# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420969 342.04366858
0.00100000 1628712.40550831 635.19785323
0.00200000 1628511.44736488 732.83017452
0.00300000 1628176.66229676 1758.43085792
0.00400000 1627707.93409109 1342.85909665
0.00500000 1627105.66491252 2050.15321894
0.00600000 1626369.68234816 2049.22588319
0.00700000 1625500.49435980 2340.72080916
0.00800000 1624497.70472598 2631.68639277
0.00900000 1623362.55026840 2435.04392950
0.01000000 1622094.23763861 3479.39228997
0.01100000 1620693.98815619 2917.24930570
0.01200000 1619161.19688605 3157.36447236
0.01300000 1617497.27781774 4755.44220652
0.01400000 1615701.65113563 4725.92753908
0.01500000 1613775.72128308 4647.67428425
0.01600000 1611718.57481745 6164.82382427
0.01700000 1609532.29022482 5649.45859212
0.01800000 1607216.43302201 5038.62374425
0.01900000 1604771.68805832 6258.60986583
0.02000000 1602198.59154817 9589.15900419
0.02100000 1599498.77276929 7917.51928418
0.02200000 1596670.49355407 6059.36479833
0.02300000 1593716.77706305 6311.11872444
0.02400000 1590637.21598750 7157.86779832
0.02500000 1587433.11710615 8667.38521524
0.02600000 1584104.97281419 7698.75052000
0.02700000 1580653.30365675 7302.61859736
0.02800000 1577078.23134220 8232.34874514
0.02900000 1573382.67097818 10620.33351673
0.03000000 1569566.21336090 8028.33155037
0.03100000 1565629.53408926 7515.02210942
0.03200000 1561573.50013222 8502.76809984
0.03300000 1557400.82506677 10325.56794621
0.03400000 1553109.47700098 9784.59015657
0.03500000 1548702.87890910 10035.59511876
0.03600000 1544180.81689475 10284.24471579
0.03700000 1539544.76081078 10530.48665095
0.03800000 1534796.50079887 12569.98392328
0.03900000 1529936.50323715 13769.42916680
0.04000000 1524964.33419707 9378.53108990
0.04100000 1519883.64661918 12447.84764297
0.04200000 1514694.88662156 12700.71721354
0.04300000 1509397.78381309 13946.83616982
0.04400000 1503996.31900968 12182.37074975
0.04500000 1498489.91533021 11373.53898583
0.04600000 1492878.87784127 17892.15418268
0.04700000 1487166.24590543 14990.63645591
0.04800000 1481352.44588717 14154.32327903
0.04900000 1475439.98853794 13278.96051494
0.05000000 1469428.28095947 11241.12687280
0.05100000 1463321.03360393 14838.07597196
0.05200000 1457115.91448052 15059.29367794
0.05300000 1450818.90119146 15277.12374173
0.05400000 1444427.63929592 14299.83429589
0.05500000 1437946.56899579 16910.25244024
0.05600000 1431373.98165981 13462.07292571
0.05700000 1424714.61024365 12395.01768770
0.05800000 1417967.31002644 16313.71466358
0.05900000 1411134.27707493 12700.20908685
0.06000000 1404217.68041630 16703.17008890
0.06100000 1397218.86157012 15592.96322380
0.06200000 1390138.87576604 21018.90078408
0.06300000 1382980.63807772 19914.92211945
0.06400000 1375742.02440633 16096.18243832
0.06500000 1368429.65522660 18966.43590865
0.06600000 1361041.01263405 16414.15538036
0.06700000 1353579.19294816 15187.15925562
0.06800000 1346046.67497821 15324.74211196
0.06900000 1338444.89112570 16864.40641776
0.07000000 1330772.74261432 17007.27644704
0.07100000 1323035.43927618 20004.29677881
0.07200000 1315231.44977169 23042.85607948
0.07300000 1307365.50270466 17414.10931197
0.07400000 1299437.80839710 16080.54363252
0.07500000 1291449.29819350 23556.03630318
0.07600000 1283401.05013983 16305.61110644
0.07700000 1275298.10323629 20889.38391048
0.07800000 1267139.15669525 15015.59971101
0.07900000 1258925.14477472 16617.81269046
0.08000000 1250661.38603280 21273.75117439
0.08100000 1242346.84510019 24449.38705869
0.08200000 1233982.70855374 18435.70253089
0.08300000 1225571.75440156 16986.42531321
0.08400000 1217115.34593866 21725.50994477
0.08500000 1208617.18912662 15591.16247166
0.08600000 1200075.66083887 18793.18573111
0.08700000 1191494.92705026 20446.05390828
0.08800000 1182873.16970793 17370.49331294
0.08900000 1174216.66821408 25363.08122472
0.09000000 1165524.48181545 23864.11488620
0.09100000 1156798.66154732 23945.73341903
0.09200000 1148040.19917178 17616.67768404
0.09300000 1139252.82073702 16063.46552725
0.09400000 1130434.48208344 24163.03819014
0.09500000 1121589.80602584 20996.16215568
0.09600000 1112719.43257489 16190.06850502
0.09700000 1103826.61494361 19471.50240301
0.09800000 1094911.61573807 16259.43825819
0.09900000 1085976.89663882 17918.61963712
