# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 370.49989972
0.00100000 1646598.61722163 592.77551628
0.00200000 1646395.75207427 740.87811189
0.00300000 1646057.78738824 1086.39817838
0.00400000 1645584.60333343 1851.28274910
0.00500000 1644976.63323276 1480.47902851
0.00600000 1644233.64821936 1726.44540092
0.00700000 1643356.21504595 2169.23029401
0.00800000 1642343.89168106 3325.74652107
0.00900000 1641197.97225789 2707.97676999
0.01000000 1639917.59529643 3247.03697889
0.01100000 1638504.04423136 4129.03037124
0.01200000 1636956.70687891 4468.89200571
0.01300000 1635276.95366181 3434.08175415
0.01400000 1633464.23005118 4042.82414860
0.01500000 1631519.99900940 5873.47225797
0.01600000 1629443.29868367 5401.60477661
0.01700000 1627236.20460260 5272.24553942
0.01800000 1624898.29782847 5557.15242863
0.01900000 1622430.25493719 5840.74918132
0.02000000 1619832.65790365 9184.45158578
0.02100000 1617107.12362159 5336.45374990
0.02200000 1614251.92289155 7239.92020310
0.02300000 1611270.02686895 8700.85854114
0.02400000 1608161.01703314 6633.66449774
0.02500000 1604926.40742430 7511.05592978
0.02600000 1601566.47992373 7783.61344844
0.02700000 1598081.84275261 8725.52726107
0.02800000 1594472.69631932 6935.95654707
0.02900000 1590741.69048685 7874.17172945
0.03000000 1586888.77619547 8116.93646334
0.03100000 1582914.37221309 12916.58187159
0.03200000 1578819.51292320 9378.18833871
0.03300000 1574606.85351188 9636.59438774
0.03400000 1570274.43723120 10717.12352860
0.03500000 1565825.54193884 9301.00414862
0.03600000 1561260.07946662 10397.99260978
0.03700000 1556579.48770281 10647.00418828
0.03800000 1551785.51594404 10893.53482608
0.03900000 1546878.80990676 10209.40061818
0.04000000 1541858.77898850 10430.67512320
0.04100000 1536729.19835647 11617.67327825
0.04200000 1531490.37359599 10865.92470476
0.04300000 1526142.25815999 11079.79330854
0.04400000 1520688.63228132 10264.64874461
0.04500000 1515128.93572434 12545.26817071
0.04600000 1509463.72607566 10641.71976353
0.04700000 1503695.79568456 16239.91534868
0.04800000 1497825.73067809 12109.92159598
0.04900000 1491855.98173483 11188.92038383
0.05000000 1485786.03801818 14776.14283616
0.05100000 1479619.44019969 11541.03217119
0.05200000 1473354.12592323 15227.11560102
0.05300000 1466995.77842439 14259.19963102
0.05400000 1460542.38920759 15664.31785474
0.05500000 1453998.20515053 19541.73678883
0.05600000 1447361.43886217 12374.94087974
0.05700000 1440637.10065419 15040.25203289
0.05800000 1433823.84396891 13958.27577278
0.05900000 1426923.94473167 15410.77932288
0.06000000 1419939.55762008 15590.93707106
0.06100000 1412872.31377760 13139.71313217
0.06200000 1405722.89369088 18597.71475285
0.06300000 1398494.25912544 13425.54551532
0.06400000 1391184.61533340 13564.05063385
0.06500000 1383800.09148049 15069.58370114
0.06600000 1376338.68765376 15215.42490392
0.06700000 1368803.20441287 15357.97267225
0.06800000 1361196.43806911 16906.06055218
0.06900000 1353519.48229855 15633.15075248
0.07000000 1345771.32463741 14332.46527856
0.07100000 1337957.35010867 18784.92207537
0.07200000 1330075.87547620 21846.49727814
0.07300000 1322131.87174137 17610.79735676
0.07400000 1314125.26668589 14783.90994305
0.07500000 1306057.25296735 19355.76939623
0.07600000 1297928.71252394 19488.40053217
0.07700000 1289744.97185705 16599.01856610
0.07800000 1281504.36455164 18222.99291851
0.07900000 1273208.07490994 16806.34737709
0.08000000 1264861.56841939 16904.87565495
0.08100000 1256463.51620121 18545.40236925
0.08200000 1248015.37144559 15537.79210361
0.08300000 1239519.97749688 21865.13342922
0.08400000 1230978.38597058 20403.46770517
0.08500000 1222394.25023967 20499.55253887
0.08600000 1213766.39663190 19007.58266369
0.08700000 1205098.82652660 19088.76630855
0.08800000 1196389.77871202 22360.52601426
0.08900000 1187645.53809939 22446.50172438
0.09000000 1178864.91710051 22528.10962406
0.09100000 1170050.28994807 19376.03371185
0.09200000 1161202.54551284 21058.40915234
0.09300000 1152325.42645968 17872.56820426
0.09400000 1143417.13615073 19552.43394709
0.09500000 1134481.81505383 21237.50057603
0.09600000 1125520.41917773 26202.11659016
0.09700000 1116536.31754542 19695.70156745
0.09800000 1107529.74871953 16446.81754178
0.09900000 1098502.77649750 18125.29666451
0.10000000 1089455.07292278 18155.76964407
0.10100000 1080389.64409004 18182.95856521
0.10200000 1071308.58805753 18206.89031042
0.10300000 1062212.60303767 26512.82781900
0.10400000 1053104.56278798 29855.51575959
0.10500000 1043986.90710078 24899.08890584
0.10600001 1034856.10028627 23253.21766758
0.10700001 1025719.88169642 24924.99429813
0.10800001 1016575.22662103 19945.20688496
0.10900001 1007426.40107252 21609.29732006
0.11000001 998273.59817417 21607.63304954
0.11100001 989119.05790377 23264.08133702
0.11200001 979964.94784435 18271.44731272
0.11300001 970809.91650417 18260.93538918
0.11400001 961658.98099094 24882.92730474
0.11500001 952511.60102361 16573.70263823
0.11600001 943369.52323294 19867.36309487
0.11700001 934235.01551412 21496.74871937
0.11800001 925106.93712590 21467.10748707
0.11900001 915989.45557604 19785.37317237
0.12000001 906882.49800216 16459.91811408
0.12100001 897789.42521209 31216.13978516
0.12200001 888708.85076770 21315.68278987
0.12300001 879643.90960874 17997.51523854
0.12400001 870594.85927607 26117.84700889
0.12500001 861563.50529195 21168.61632250
0.12600001 852552.78101263 17865.24436799
0.12700001 843562.04776993 19435.67049655
0.12800001 834591.89622444 16149.35395305
0.12900001 825644.93945818 20930.10020174
0.13000001 816721.97278775 20863.16377825
0.13100001 807823.44205618 23992.35736001
0.13200001 798952.67736883 17533.01733137
0.13300001 790110.26481330 17469.33877858
0.13400001 781295.08994160 15821.22631722
0.13500001 772511.03214745 22062.91611836
0.13600001 763756.79293157 18834.24340174
0.13700001 755035.92170313 18755.09317947
0.13800001 746346.73396905 17117.46315077
0.13900001 737694.04735949 27884.83630519
0.14000001 729075.55295070 16961.94353933
0.14100001 720493.44590511 19950.46445804
0.14200001 711947.91296089 21379.79683460
0.14300001 703443.31007398 19752.68907856
0.14400001 694974.16733003 21161.96439341
0.14500001 686549.06048352 19546.05267399
0.14600001 678162.33356003 16448.82817646
0.14700001 669820.60759577 17844.02182817
0.14800001 661519.58755299 19220.45252315
0.14900001 653262.44601928 19107.92744759
0.15000001 645050.37673761 18993.50923921
0.15100001 636884.08897706 21781.43687077
0.15200001 628764.70725152 20202.21099727
0.15300001 620692.26498286 14337.99199770
0.15400001 612666.06660402 17093.38406491
0.15500001 604690.39327168 18394.68263142
0.15600001 596761.65972903 21080.60662483
0.15700001 588886.91566659 19539.26878401
0.15800001 581058.21688569 16629.88695218
0.15900001 573283.81734103 20638.21839841
0.16000001 565559.04071704 13658.25147802
0.16100001 557890.04328869 18979.42016859
0.16200001 550272.03200410 24217.47327171
0.16300001 542709.32330104 14685.71498181
0.16400001 535200.29534600 13246.20793516
0.16500001 527746.22742814 14454.96985169
0.16600001 520347.75953565 20855.53918684
0.16700001 513004.30862660 18098.79286288
0.16800001 505716.74788719 15383.90419710
0.16900001 498488.03304149 13982.58998704
0.17000001 491315.50118305 13862.46752046
0.17100001 484201.00210039 12492.38644410
0.17200001 477144.73956339 13620.09723402
0.17300001 470146.61184033 15952.07529307
0.17400001 463208.56909629 17022.91571821
0.17500001 456329.11058750 14456.50690616
0.17600001 449507.37954624 16708.19008685
0.17700001 442748.22443101 16549.92941089
0.17800001 436047.95711856 16391.04348227
0.17900001 429407.95071840 11594.01521702
0.18000001 422829.57837413 16071.75303315
0.18100001 416312.99354688 17048.01789103
0.18200001 409854.77211294 12375.56542855
0.18300001 403460.49940710 17816.81649547
0.18400001 397126.48907817 13224.31271103
0.18500001 390855.03074239 14176.31263475
0.18600001 384645.38762507 17262.88581217
0.18700001 378497.17841753 13875.70721634
0.18800001 372410.90648869 10557.84969777
0.18900001 366388.75619526 12530.49605391
0.19000001 360424.97238419 14456.64632539
0.19100001 354528.65007966 11231.46816521
0.19200001 348690.74650052 14132.43662344
0.19300001 342918.27328168 12972.59889124
0.19400001 337207.19433198 17753.95962052
0.19500001 331559.06958262 11697.40452764
0.19600001 325972.44107081 10595.73469772
0.19700001 320449.23748604 10469.07708341
0.19800001 314988.29059124 15043.84146959
0.19900001 309590.82422605 10216.49768229
0.20000001 304253.74698601 11925.22617672
0.20100001 298981.02531310 12682.77569320
0.20200001 293768.84330506 8945.26170142
0.20300001 288619.91195124 9714.94669545
0.20400001 283532.89109954 13077.95522011
0.20500001 278507.11480042 9466.45727952
0.20600001 273543.95880161 10192.24838672
0.20700001 268641.73369296 8381.62248741
0.20800001 263801.12118770 10751.21520222
0.20900001 259024.07657276 13870.73995616
0.21000001 254305.32677443 8853.64037018
0.21100001 249648.04676891 9526.56991505
0.21200001 245051.38653593 10178.20982094
0.21300001 240515.23289714 8492.59327509
0.21400001 236039.84945146 9134.74260563
0.21500001 231625.43521433 10506.53023804
0.21600001 227269.34107707 7397.61740181
0.21700001 222973.26576656 9478.59397588
0.21800001 218736.64858427 7185.49924573
0.21900001 214557.95226706 7788.45403554
0.22000001 210437.60339221 7673.60757052
0.22100001 206377.97771382 8246.86437938
0.22200001 202375.38832910 8123.34847164
0.22300001 198430.40013949 8000.71411194
0.22400001 194541.27686726 7222.34524522
0.22500001 190712.51744481 8404.70104123
0.22600001 186938.26935698 6365.24837261
0.22700001 183221.96003051 8146.04872818
0.22800001 179560.74590087 6167.91191338
0.22900001 175955.04741295 7284.53930739
0.23000001 172405.04455746 6571.21858407
0.23100001 168911.35994294 7641.55028521
0.23200001 165470.53702703 8096.47375964
0.23300001 162084.98317764 6258.10149646
0.23400001 158753.49171589 7274.87910195
0.23500001 155473.94870565 7705.28926228
0.23600001 152248.74398123 8118.66465679
0.23700001 149075.89206680 6918.61247806
0.23800001 145954.99039041 5755.73531828
0.23900001 142886.36562385 8230.25504922
0.24000001 139868.71763117 6573.13069599
0.24100001 136903.52332572 5963.51775815
0.24200001 133988.03535831 6349.02335578
0.24300001 131122.76726232 6718.73091234
0.24400001 128306.71042585 5186.79901432
0.24500001 125540.40344054 6022.17343792
0.24600001 122823.05133584 5460.71312071
0.24700001 120154.68016285 5363.70517620
0.24800001 117533.20565260 4828.85198267
0.24900001 114959.25824077 5173.16686556
0.25000001 112432.78615479 4656.40405889
0.25100001 109952.43969447 4571.82265878
0.25200001 107519.38245413 8160.72151435
0.25300001 105132.13018334 4005.53434949
0.25400001 102789.03922083 3931.68093621
0.25500001 100490.99324601 5016.51062018
0.25600001 98237.53081511  4544.46839052
0.25700001 96027.87590660  7060.93004949
0.25800001 93861.35700724  6928.37639530
0.25900001 91738.30490684  4293.35287278
0.26000001 89658.29293724  4563.15903495
0.26100001 87617.88040703  4820.73600809
0.26200001 85621.33342081  3715.53793960
0.26300001 83664.63286786  4638.36746567
0.26400001 81748.46700625  3574.45188898
0.26500001 79873.16588643  3824.32736361
0.26600001 78036.63646382  3750.44092592
0.26700001 76240.40340679  3984.32367058
0.26800001 74482.62574233  3606.44890910
0.26900001 72762.52150220  4420.32339043
0.27000001 71080.80276997  3756.26520013
0.27100001 69436.22543039  3399.59775795
0.27200001 67828.82924823  3888.62696482
0.27300001 66257.15821441  4629.38786352
0.27400001 64720.53875111  2936.69458481
0.27500001 63221.51739694  3140.84513292
0.27600001 61755.27054142  3592.30425740
0.27700001 60325.50630019  2767.13110495
0.27800001 58928.56783855  2466.16068076
0.27900001 57565.96556824  3626.65600244
0.28000001 56236.00459848  3792.55632962
0.28100001 54938.62729252  3950.63687558
0.28200001 53673.86611212  3189.83801402
0.28300001 52441.01660701  2233.98741319
0.28400001 51239.54878783  2190.49081436
0.28500001 50069.07199022  2147.96329005
0.28600001 48928.26875226  2527.63448338
0.28700001 47818.07727494  2272.31513966
0.28800001 46736.63849249  2228.63671200
0.28900001 45685.82153595  2384.79999706
0.29000001 44662.32401077  2339.41264242
0.29100001 43668.63720185  2295.22367997
0.29200001 42701.58782687  1876.73487383
0.29300001 41762.22516069  2025.88563844
0.29400001 40849.64242106  2169.11611524
0.29500001 39964.92963357  1951.88725570
0.29600001 39104.79907591  1916.33076943
0.29700001 38270.40495312  2223.89333710
0.29800001 37461.94056787  1848.18492541
0.29900001 36678.18318892  1650.51832164
0.30000001 35918.75761500  2270.42477633
