# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 274.66737318
0.00100000 1664582.57511670 599.24974127
0.00200000 1664378.01383360 898.76415593
0.00300000 1664037.21388107 1098.26460029
0.00400000 1663560.06411800 1621.97112415
0.00500000 1662947.01014454 2095.31331572
0.00600000 1662197.79014838 2268.90007592
0.00700000 1661313.00048055 2591.64838846
0.00800000 1660292.19352007 2465.53401147
0.00900000 1659136.66965325 3484.18715521
0.01000000 1657845.55514530 4650.25698298
0.01100000 1656420.14516101 3279.71203022
0.01200000 1654859.82924926 4517.76753193
0.01300000 1653165.98514571 4860.30821069
0.01400000 1651338.01326973 3715.51069457
0.01500000 1649377.46786556 5937.75914872
0.01600000 1647283.33384697 5040.68722691
0.01700000 1645057.69816697 6218.31837802
0.01800000 1642700.08266405 4681.69544626
0.01900000 1640211.25340265 5412.69738046
0.02000000 1637591.77915030 6705.93863897
0.02100000 1634843.30384242 6473.97977674
0.02200000 1631964.07594339 9008.44210848
0.02300000 1628957.01808343 8209.94374484
0.02400000 1625821.71498685 8535.56439288
0.02500000 1622559.82004234 10124.77373947
0.02600000 1619171.46963934 6557.64475197
0.02700000 1615657.38674371 8821.48973565
0.02800000 1612017.75452231 9115.96081988
0.02900000 1608255.12336028 8684.57806489
0.03000000 1604369.52003058 8206.35047216
0.03100000 1600361.43272025 12290.77636883
0.03200000 1596231.78719820 9481.61725266
0.03300000 1591983.34385485 10554.85005634
0.03400000 1587614.11588406 9168.47194227
0.03500000 1583127.35930678 11113.55457554
0.03600000 1578522.93270002 12265.12375390
0.03700000 1573802.39656787 12558.94370543
0.03800000 1568967.45889727 11014.15207119
0.03900000 1564018.87980052 11260.93645606
0.04000000 1558955.91724205 10546.33726885
0.04100000 1553782.42403033 10767.71269779
0.04200000 1548498.65207701 11985.38012311
0.04300000 1543104.66405626 14258.28775772
0.04400000 1537604.09160587 10378.82810035
0.04500000 1531996.50743001 10570.77639244
0.04600000 1526282.53345370 16140.43854159
0.04700000 1520464.82995731 12042.08201331
0.04800000 1514544.13432182 13358.27988625
0.04900000 1508522.73009574 11313.92100235
0.05000000 1502400.25520799 12642.69873630
0.05100000 1496180.17936681 12837.22653698
0.05200000 1489860.50062929 13028.83068516
0.05300000 1483446.76490092 14419.10322702
0.05400000 1476937.22239475 14621.67918357
0.05500000 1470336.00275980 13585.90529927
0.05600000 1463641.27468137 13765.54683074
0.05700000 1456858.10313513 16477.06591558
0.05800000 1449985.15334213 16682.07996813
0.05900000 1443024.70872955 14285.94528366
0.06000000 1435978.95340087 18394.89125245
0.06100000 1428849.57439684 19932.45249431
0.06200000 1421637.06510420 13434.47089321
0.06300000 1414344.63486327 17651.02186837
0.06400000 1406970.36207084 20576.94250760
0.06500000 1399520.39616576 19397.35359822
0.06600000 1391992.71953242 15388.48023444
0.06700000 1384390.23633186 14120.78107142
0.06800000 1376715.77341254 18523.71159834
0.06900000 1368970.29572696 20123.86428936
0.07000000 1361152.90622208 17395.53495612
0.07100000 1353268.90417376 20461.42678947
0.07200000 1345316.65912015 17677.46172897
0.07300000 1337301.35442214 19297.25944850
0.07400000 1329222.53566205 14953.75422699
0.07500000 1321081.70523377 22590.49821837
0.07600000 1312879.71527525 19712.88984901
0.07700000 1304621.82779371 19843.29893117
0.07800000 1296306.27553537 18433.47610257
0.07900000 1287934.50539109 20091.77922648
0.08000000 1279511.96283280 15546.07107770
0.08100000 1271037.20914662 18760.51008721
0.08200000 1262511.72110469 23577.40749800
0.08300000 1253938.57118979 18959.55208620
0.08400000 1245318.41879726 17465.59164344
0.08500000 1236655.02475048 15952.85056819
0.08600000 1227947.60052669 16024.71693926
0.08700000 1219199.57791480 24140.15277628
0.08800000 1210409.82390104 24238.45786195
0.08900000 1201584.33525044 19465.66714535
0.09000000 1192721.87662176 16280.65438068
0.09100000 1183824.84533252 19604.14035973
0.09200000 1174894.30342416 24584.66445430
0.09300000 1165933.84002966 23015.53508374
0.09400000 1156941.76738919 23080.98934416
0.09500000 1147922.11995002 18183.08723466
0.09600000 1138875.92809222 21541.83919250
0.09700000 1129806.72539549 21590.60753734
0.09800000 1120714.56818571 23299.65696808
0.09900000 1111601.48468355 26678.43688689
0.10000000 1102467.46272697 18372.62113036
0.10100000 1093315.27865092 21746.04191512
0.10200000 1084147.04702832 21775.09446378
0.10300000 1074963.52653142 18446.37498301
0.10400000 1065767.63927899 16785.84110834
0.10500000 1056561.74576868 18479.26580293
0.10600001 1047342.41272457 18490.83116671
0.10700001 1038117.17313519 18499.24889580
