# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097352 271.69992646
0.00100000 1646598.61147323 543.37755469
0.00200000 1646395.72794881 963.14153135
0.00300000 1646057.73653519 1382.68854795
0.00400000 1645584.51238716 1604.44496054
0.00500000 1644976.49187932 1776.57468155
0.00600000 1644233.44091257 2071.73421989
0.00700000 1643355.94745255 2958.04082835
0.00800000 1642343.53103815 3104.02940471
0.00900000 1641197.51134767 3692.69455839
0.01000000 1639917.03667644 4329.38116377
0.01100000 1638503.36208539 3539.16741620
0.01200000 1636955.90485993 4149.68340076
0.01300000 1635276.01750225 4807.71170350
0.01400000 1633463.11919309 4410.35061734
0.01500000 1631518.73350220 3915.64513476
0.01600000 1629441.87668054 4155.07697128
0.01700000 1627234.58595428 5272.24029500
0.01800000 1624896.48030410 6483.33724815
0.01900000 1622428.24182748 10221.29838472
0.02000000 1619830.40710166 6122.95921582
0.02100000 1617104.65846883 9071.95754532
0.02200000 1614249.22366691 9467.57212694
0.02300000 1611267.07995454 8120.78645262
0.02400000 1608157.81406017 7839.76970102
0.02500000 1604922.94889720 6259.19978656
0.02600000 1601562.72086727 7783.59517942
0.02700000 1598077.81436821 10739.08340442
0.02800000 1594468.37949974 6935.93776890
0.02900000 1590737.03919395 9305.81210655
0.03000000 1586883.83447424 7379.01016948
0.03100000 1582909.10549603 9877.35327278
0.03200000 1578813.86918447 8596.64191365
0.03300000 1574600.88288340 8030.46487291
0.03400000 1570268.11762496 11541.47119707
0.03500000 1565818.89095785 10146.50688195
0.03600000 1561253.03491267 12130.93664189
0.03700000 1556572.01457393 10646.95307208
0.03800000 1551777.67490081 16340.21967292
0.03900000 1546870.56829687 10209.34622355
0.04000000 1541850.12396862 13275.33018254
0.04100000 1536720.12377966 11617.60467444
0.04200000 1531480.87843418 15804.88339867
0.04300000 1526132.31809450 11079.72114366
0.04400000 1520678.26725322 11291.03665873
0.04500000 1515118.10775797 15681.47314393
0.04600000 1509452.42722931 15962.46015999
0.04700000 1503684.02018129 12991.83053859
0.04800000 1497813.54512562 14311.60908957
0.04900000 1491843.31058079 14545.47295522
0.05000000 1485772.82597698 13639.39517760
0.05100000 1479605.74922647 19619.57314870
0.05200000 1473339.96390949 14055.66391071
0.05300000 1466981.06453892 13070.80189437
0.05400000 1460527.14707797 16869.08933542
0.05500000 1453982.47321289 21984.21602053
0.05600000 1447345.10512018 14849.76147148
0.05700000 1440620.31151233 16293.41648376
0.05800000 1433806.45392815 16495.94402268
0.05900000 1426906.02806842 23115.87873435
0.06000000 1419921.09828590 14291.50652193
0.06100000 1412853.40572859 17081.39847350
0.06200000 1405703.33889151 14612.28689081
