# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 299.63713438
0.00100000 1664582.59339936 649.18722684
0.00200000 1664378.08457386 1123.45524266
0.00300000 1664037.37314601 998.42245945
0.00400000 1663560.35054180 1621.97140341
0.00500000 1662947.45928913 2244.97915890
0.00600000 1662198.43014679 2094.37010725
0.00700000 1661313.87386826 2791.00742409
0.00800000 1660293.33525818 2241.39609723
0.00900000 1659138.09828451 3733.06088072
0.01000000 1657847.33507862 3282.53786519
0.01100000 1656422.28512073 3279.71626734
0.01200000 1654862.37812476 4195.07631247
0.01300000 1653168.99700470 4513.15156087
0.01400000 1651341.49092739 4458.62222316
0.01500000 1649381.46221295 4750.21882270
0.01600000 1647287.85555089 5040.70106332
0.01700000 1645062.80768259 4885.83675799
0.01800000 1642705.80764292 6086.22529118
0.01900000 1640217.65032611 5412.71849031
0.02000000 1637598.85677201 7737.65494827
0.02100000 1634851.09721138 5395.00886540
0.02200000 1631972.62838515 7319.39757084
0.02300000 1628966.33109952 6450.70696478
0.02400000 1625831.87329170 6706.55678313
0.02500000 1622570.81411207 6960.82911045
0.02600000 1619183.30362922 8525.00048353
0.02700000 1615670.17578649 8821.55956383
0.02800000 1612031.47696296 12622.20704347
0.02900000 1608269.82511532 7960.93599984
0.03000000 1604385.23526264 9698.50919296
0.03100000 1600378.19919740 8449.99728057
0.03200000 1596249.62660933 10271.86682033
0.03300000 1592002.29481150 10554.97570119
0.03400000 1587634.18366479 10835.60380347
0.03500000 1583148.60369676 9403.90314021
0.03600000 1578545.36898362 11389.20536355
0.03700000 1573826.04810104 12559.13244467
0.03800000 1568992.37761882 11014.32700062
0.03900000 1564045.07917965 10322.69800063
0.04000000 1558983.40612947 10546.52323118
0.04100000 1553811.25258298 12725.71474870
0.04200000 1548528.87244613 14982.01753597
0.04300000 1543136.28073563 11203.16991817
0.04400000 1537637.09262814 14530.67120017
0.04500000 1532031.00531583 13742.31875622
0.04600000 1526318.47228898 12912.65487583
0.04700000 1520502.25900772 16421.42516101
0.04800000 1514583.13320639 12245.40520173
0.04900000 1508563.28078317 15839.91518553
0.05000000 1502442.35377557 13792.42144992
0.05100000 1496223.90040491 17505.82045023
0.05200000 1489905.85080215 16582.65289220
0.05300000 1483493.77388026 13217.93014146
0.05400000 1476985.85940940 17059.18747171
0.05500000 1470386.31218476 19761.99295765
0.05600000 1463693.28126815 12514.57813882
0.05700000 1456911.88471474 15210.16078641
0.05800000 1450040.69416342 14116.14681680
0.05900000 1443081.98382431 32469.34615255
0.06000000 1436038.08728928 17081.67384634
0.06100000 1428910.52212945 15946.64217217
0.06200000 1421699.83716162 16122.07690702
0.06300000 1414409.25344490 17651.82830831
0.06400000 1407036.85177160 19206.05392489
0.06500000 1399588.82477249 15241.52301474
0.06600000 1392063.06318950 15389.25788360
0.06700000 1384462.48002415 22594.42873139
0.06800000 1376789.92193632 17099.73163087
0.06900000 1369046.34004420 15812.48596783
0.07000000 1361230.98073680 23195.37699796
0.07100000 1353348.92158645 23385.87046036
0.07200000 1345398.69149202 17678.53963439
0.07300000 1337385.40297372 20782.97013601
0.07400000 1329308.67406529 23927.55725452
0.07500000 1321169.82550099 16567.47038834
0.07600000 1312969.92975386 18197.76407951
0.07700000 1304714.00346786 19844.70092323
0.07800000 1296400.54059006 15362.34712643
0.07900000 1288030.85710547 20093.28231330
0.08000000 1279610.41183651 15547.26723315
0.08100000 1271137.76829636 26579.49198214
0.08200000 1262614.36925982 15719.54963493
0.08300000 1254043.35775383 17381.04175420
0.08400000 1245425.20683551 19055.00655900
0.08500000 1236763.97002153 22335.95834715
0.08600000 1228058.70828470 20834.01696424
0.08700000 1219312.78613977 19313.91543939
0.08800000 1210525.20606272 16160.51225990
0.08900000 1201701.79124180 16222.97494375
0.09000000 1192841.55218323 19538.74554260
0.09100000 1183946.58066446 19606.15629692
0.09200000 1175018.21762667 21308.95637790
0.09300000 1166059.92604323 18085.59030281
0.09400000 1157069.95085786 16488.24757463
0.09500000 1148052.50548090 21491.54391276
0.09600000 1139008.36493920 18229.82973780
0.09700000 1129941.31624730 18271.15194270
0.09800000 1120851.25504638 16644.64192003
0.09900000 1111740.43242840 18343.71799764
0.10000000 1102608.49225640 20045.42333190
0.10100000 1093458.40533155 18402.90582725
0.10200000 1084292.41143117 20102.78225349
0.10300000 1075110.90666272 18448.90402618
0.10400000 1065917.07833698 16788.19477361
0.10500000 1056713.30386232 16801.74232192
0.10600001 1047496.15221419 18493.54543753
0.10700001 1038272.91319190 16820.02198522
0.10800001 1029041.32477678 18507.30909710
0.10900001 1019804.89203442 20192.13781264
0.11000001 1010564.63254361 21873.67250099
0.11100001 1001322.07515591 20186.65398540
0.11200001 992079.72172262 21860.47769729
0.11300001 982836.03568376 18487.14670160
0.11400001 973596.33551426 16794.53757838
0.11500001 964359.90737421 18457.84949629
0.11600001 955128.69928551 23467.51324657
0.11700001 945904.86654504 35159.28554530
0.11800001 936687.29914542 20063.84289267
0.11900001 927479.94809083 28380.88774837
0.12000001 918282.96946742 26666.93868948
0.12100001 909099.79999046 23291.13797296
0.12200001 899928.81280573 28226.26854343
0.12300001 890773.70996723 26509.42685760
0.12400001 881634.05163919 23142.89494596
0.12500001 872511.99048887 21437.62061646
0.12600001 863410.53179669 18092.76854639
0.12700001 854328.92329594 16403.11610030
0.12800001 845267.72096873 17991.52428875
0.12900001 836229.67305425 17937.12733243
0.13000001 827215.71653689 16254.78959612
0.13100001 818226.03255377 17820.96382906
0.13200001 809263.89931097 19373.77866279
0.13300001 800330.38763700 20912.63401484
0.13400001 791424.03518739 25642.13994899
0.13500001 782548.63483482 19156.79148396
0.13600001 773703.22389652 17489.56220083
0.13700001 764891.13466759 18999.89668105
0.13800001 756110.61827368 15764.90713441
0.13900001 747366.84156583 17264.17485432
0.14000001 738657.21981123 20309.38121651
0.14100001 729984.14169890 20213.26183696
0.14200001 721347.63072688 20114.77963154
0.14300001 712752.30103356 15395.45042849
0.14400001 704192.16479069 15316.18030666
0.14500001 695676.22592803 19805.90308646
0.14600001 687198.96577044 18183.28549207
0.14700001 678766.74653193 15068.62248389
0.14800001 670375.42467394 17979.46973800
0.14900001 662027.87635603 17874.75350496
0.15000001 653725.92729888 14806.89295195
0.15100001 645469.64728289 17660.05038295
0.15200001 637260.55362622 20475.18255417
0.15300001 629098.55976184 15985.39515788
0.15400001 620982.79983338 15881.63585521
0.15500001 612918.03295553 21513.42397202
0.15600001 604900.51496687 21368.11169967
0.15700001 596936.80673429 15562.14328605
0.15800001 589019.76931511 14048.12216122
0.15900001 581157.07997002 19526.87880867
0.16000001 573344.14518274 13846.26175974
0.16100001 565587.55563674 13743.77825074
0.16200001 557881.92978608 13640.21382717
0.16300001 550231.85356680 13535.70423673
0.16400001 542635.83197925 14773.26122307
0.16500001 535095.37802725 13323.87554192
0.16600001 527610.24378075 22468.28329220
0.16700001 520180.83307205 18351.98065727
0.16800001 512807.49849000 18199.53898073
0.16900001 505493.32599929 12890.08042163
0.17000001 498235.76333235 21725.57148598
0.17100001 491036.56033741 16469.36701142
0.17200001 483895.78565274 16324.22509987
0.17300001 476813.52888148 12444.83369151
0.17400001 469791.93397854 14798.44661920
0.17500001 462829.16516790 14662.42864499
0.17600001 455924.56454045 12104.79776025
0.17700001 449082.73387997 20383.86625355
0.17800001 442300.29371345 13063.33979184
0.17900001 435578.51419143 12936.68248253
0.18000001 428918.80685085 15138.69000288
0.18100001 422321.29231973 16141.12055491
0.18200001 415782.43752130 12554.55129401
0.18300001 409308.20040783 14685.97892439
0.18400001 402894.47091828 11180.32209615
0.18500001 396543.96491519 14382.65028694
0.18600001 390255.54018573 14230.66894518
0.18700001 384028.94414182 10829.61673644
0.18800001 377864.69865097 14997.45059803
0.18900001 371765.17454733 14833.43116528
0.19000001 365724.43786098 12573.60676775
0.19100001 359751.70217131 14505.18931692
0.19200001 353838.00148544 11267.97168973
0.19300001 347989.96729827 14177.11193764
0.19400001 342203.94131760 13012.30548348
0.19500001 336481.40923898 12860.32006883
0.19600001 330820.85897824 9775.75684477
0.19700001 325224.01874494 10625.06919451
0.19800001 319690.26310313 9542.75480461
0.19900001 314220.40542044 15082.58017298
0.20000001 308811.33791921 9310.66227830
0.20100001 303467.26824456 13792.58799359
0.20200001 298184.22334521 9987.68103300
0.20300001 292965.17044923 11654.15503130
0.20400001 287808.31450463 11505.13791612
0.20500001 282713.47358160 10483.01609591
0.20600001 277681.58193808 12933.02029008
0.20700001 272711.40643425 8508.59628294
0.20800001 267803.12533717 9235.19121380
0.20900001 262959.09697313 9939.85433545
0.21000001 258174.03415731 8988.32942409
0.21100001 253450.96035696 8865.71501240
0.21200001 248789.04963069 10333.45366492
0.21300001 244188.18301512 8622.28514989
0.21400001 239648.77145595 11593.00986726
0.21500001 235170.80408447 9905.39473634
0.21600001 230751.70758469 9013.16212439
0.21700001 226393.32928094 7403.06221750
0.21800001 222095.01910211 8754.98606695
0.21900001 217855.04456130 8627.06017253
0.22000001 213674.19471041 7791.62987852
0.22100001 209554.69127954 9071.62301443
0.22200001 205492.67680298 6873.73036408
0.22300001 201488.95047552 6770.02905610
0.22400001 197541.60414486 9333.84123721
0.22500001 193655.19890801 7221.40270876
0.22600001 189824.13124264 9048.91676424
0.22700001 186051.42504311 6999.25494111
0.22800001 182334.56386914 6263.19256509
0.22900001 178673.74455952 8629.94227034
0.23000001 175069.12881403 10312.44752048
0.23100001 171521.69399359 7162.74627992
0.23200001 168027.44805972 9983.35129862
0.23300001 164589.23317581 6354.79059346
0.23400001 161205.69773322 6250.75122524
0.23500001 157874.71776261 6706.51832775
0.23600001 154598.65797824 5495.98255107
0.23700001 151375.49890272 5944.51612307
0.23800001 148205.24654426 6907.10584189
0.23900001 145087.50616258 5745.46551580
0.24000001 142021.58326036 7187.71266879
0.24100001 139008.52713926 7064.41368337
0.24200001 136045.96502649 6942.42592369
0.24300001 133134.17850922 5847.25339672
0.24400001 130272.24020582 7660.00808645
0.24500001 127460.72646662 5173.63113202
0.24600001 124698.45969903 5544.09378048
0.24700001 121986.19463713 4991.67532069
0.24800001 119321.34857572 6239.31361219
0.24900001 116704.49856075 4376.41890307
0.25000001 114135.78859215 7305.26149444
0.25100001 111613.93710817 5484.70912897
0.25200001 109139.87691260 4141.85852478
0.25300001 106712.13798278 4472.30591445
0.25400001 104329.32879062 3990.59701504
0.25500001 101992.03584979 4699.79323431
0.25600001 99700.10792025  4996.47114482
0.25700001 97452.39123409  4902.83003496
0.25800001 95248.57144116  4070.44789313
0.25900001 93088.60887774  3630.45591801
0.26000001 90972.39651317  3917.72644121
0.26100001 88896.34147157  5589.80221622
0.26200001 86864.90915989  5140.23124276
0.26300001 84873.85704638  5041.50734711
0.26400001 82923.81004049  3625.84376559
0.26500001 81015.26661247  3555.76021988
