# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 296.39991978
0.00100000 1646598.55483470 493.97957818
0.00200000 1646395.50164035 1037.22919888
0.00300000 1646057.22668135 1481.45155679
0.00400000 1645583.61295724 1234.18775661
0.00500000 1644975.08178560 1480.47763221
0.00600000 1644231.41358349 3107.59749819
0.00700000 1643353.18807559 2169.22629841
0.00800000 1642339.93403394 4212.60210865
0.00900000 1641192.93690196 2707.96846165
0.01000000 1639911.40749496 3517.61012097
0.01100000 1638496.55039508 3244.22331103
0.01200000 1636947.80511310 3830.45803191
0.01300000 1635266.54621234 4120.87187821
0.01400000 1633452.13339618 4410.32095568
0.01500000 1631506.17570255 4698.73799525
0.01600000 1629427.57572770 4570.54455424
0.01700000 1627218.49031330 7468.93320558
0.01800000 1624878.46221258 5093.99420825
0.01900000 1622408.24317901 5353.94744407
0.02000000 1619808.28148788 6633.11521275
0.02100000 1617080.33412324 8538.18455128
0.02200000 1614222.57210596 5569.06812678
0.02300000 1611237.97631912 8700.68546816
0.02400000 1608126.28407249 7839.61599232
0.02500000 1604888.78822606 10640.41315189
0.02600000 1601525.82541731 9080.65184545
0.02700000 1598038.15725325 8725.28873823
0.02800000 1594425.84089032 8322.90327113
0.02900000 1590691.60277477 12884.60257406
0.03000000 1586835.33470003 9592.42003918
0.03100000 1582857.53023713 10636.80309263
0.03200000 1578759.05291161 10159.31497341
0.03300000 1574542.84003736 11242.23639614
0.03400000 1570206.67816939 8243.58544075
0.03500000 1565754.07537776 9300.57963723
0.03600000 1561184.67591371 8664.57535174
0.03700000 1556500.17476483 10646.46168776
0.03800000 1551702.16840529 14523.93296843
0.03900000 1546791.33645572 12064.97298308
0.04000000 1541767.23658478 11378.24273325
0.04100000 1536633.37627669 13553.10700717
0.04200000 1531390.25990790 10865.21439811
0.04300000 1526037.85216421 12086.22035016
0.04400000 1520579.73994429 14369.47920982
0.04500000 1515015.61215774 10453.60820961
0.04600000 1509345.89779864 17025.42251863
0.04700000 1503573.33871088 12990.87425064
0.04800000 1497698.66467931 13209.70283709
0.04900000 1491724.29123469 16781.89905755
0.05000000 1485649.55824817 12501.74161482
0.05100000 1479478.25015581 13847.91706655
0.05200000 1473208.15078085 16396.80748230
0.05300000 1466845.01180951 19010.31223927
0.05400000 1460386.74511282 12048.19120903
0.05500000 1453837.66430161 21982.02650969
0.05600000 1447195.96654506 23509.69957358
0.05700000 1440466.81688047 17544.88664857
0.05800000 1433648.58089277 17762.90674665
0.05900000 1426743.64749271 12840.69342717
0.06000000 1419754.37088607 14289.82841057
0.06100000 1412682.18583370 13137.94494221
0.06200000 1405527.69926962 13282.23737896
0.06300000 1398294.18288086 17450.71221827
0.06400000 1390979.51998843 18986.87133580
0.06500000 1383590.05040482 20546.31320962
0.06600000 1376123.67464657 15213.04793501
0.06700000 1368583.20256283 18147.41411526
0.06800000 1360971.49577303 16903.26676873
0.06900000 1353289.47685287 24156.21829279
0.07000000 1345536.48038088 14329.96418711
0.07100000 1337717.59418707 21671.02604085
0.07200000 1329831.40724195 16017.82005061
0.07300000 1321882.49841374 20542.05498786
0.07400000 1313871.04670101 16259.15496490
0.07500000 1305798.34065695 22329.15267186
0.07600000 1297665.14783371 17985.63979215
0.07700000 1289476.58979929 19612.93985047
0.07800000 1281231.36812699 16700.85166674
0.07900000 1272930.72744624 19857.72027956
0.08000000 1264579.47723364 18437.56964299
0.08100000 1256176.96923577 26266.66165910
0.08200000 1247724.42448433 15534.16981377
0.08300000 1239224.63600682 18737.07737579
0.08400000 1230678.67268773 18829.38457595
0.08500000 1222090.39916396 17341.46357823
0.08600000 1213458.29735254 17419.19467635
0.08700000 1204786.71626326 15903.18540145
