# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 324.60689558
0.00100000 1664582.47462488 599.24970510
0.00200000 1664377.60501588 973.66092977
0.00300000 1664036.29929887 1297.94835969
0.00400000 1663558.44194809 1746.73643042
0.00500000 1662944.47345978 1795.98010242
0.00600000 1662194.12830515 2443.42546809
0.00700000 1661308.03982265 2192.92670370
0.00800000 1660285.70815326 2913.80154083
0.00900000 1659128.44109882 2488.69276803
0.01000000 1657835.41976772 3556.05712895
0.01100000 1656407.87420010 4174.14802472
0.01200000 1654845.25509365 4517.72774448
0.01300000 1653148.91847166 4513.09674648
0.01400000 1651318.22566581 5573.19925869
0.01500000 1649354.81298735 4750.14207292
0.01600000 1647257.54988765 4620.55763399
0.01700000 1645028.65011325 6218.20857637
0.01800000 1642667.59080370 5617.92341334
0.01900000 1640175.17329286 5904.63089029
0.02000000 1637551.86781543 6189.94634035
0.02100000 1634799.41356459 6473.80597123
0.02200000 1631915.99910389 6756.13254324
0.02300000 1628904.50257795 5864.05647620
0.02400000 1625764.77699202 7925.60364922
0.02500000 1622498.14937078 8858.84030015
0.02600000 1619104.88276062 7213.11258261
0.02700000 1615585.78156564 10178.19089004
0.02800000 1611940.94427188 9115.52645789
0.02900000 1608172.97868199 7960.45660997
0.03000000 1604281.90445680 9697.88455821
0.03100000 1600268.18536584 8449.41640752
0.03200000 1596132.67886940 13431.45711131
0.03300000 1591878.26769926 10554.15340140
0.03400000 1587502.94090576 13335.02531889
0.03500000 1583010.05355418 8548.25468393
0.03600000 1578399.21158737 11388.15083789
0.03700000 1573672.28243109 10763.91890963
0.03800000 1568830.69070186 12848.72395148
0.03900000 1563875.31601742 14074.87849596
0.04000000 1558805.58745788 11503.98576852
0.04100000 1553625.05881070 12724.18982164
0.04200000 1548334.19842656 10985.43164748
0.04300000 1542933.12315665 14256.70271973
0.04400000 1537425.23265145 13490.90704306
0.04500000 1531810.31232759 11626.44081079
0.04600000 1526088.90644461 13986.60547776
0.04700000 1520263.61948000 15324.25799706
0.04800000 1514335.22539691 13356.43730945
0.04900000 1508306.16158498 14705.98575998
0.05000000 1502175.88392095 11491.64604712
0.05100000 1495947.93869588 15168.91280501
0.05200000 1489620.36596741 17763.72369197
0.05300000 1483198.66535818 13215.30072441
0.05400000 1476681.06079426 14619.14318361
0.05500000 1470071.71031509 14818.32353124
0.05600000 1463368.84819836 13762.98465954
0.05700000 1456577.58252339 19008.33833921
0.05800000 1449696.49144667 15395.77745803
0.05900000 1442727.69139704 15581.45979483
0.06000000 1435673.72057610 14450.05667269
0.06100000 1428536.05699200 15942.46314104
0.06200000 1421315.31320216 14774.57337135
0.06300000 1414014.51151469 14931.99393974
0.06400000 1406631.97366704 16457.59486157
0.06500000 1399173.75109923 18007.36701899
0.06600000 1391637.82646108 13985.96081032
0.06700000 1384026.98767441 18352.19871543
0.06800000 1376344.30980387 19943.22998258
0.06900000 1368590.37050962 18681.25943209
0.07000000 1360764.83304811 18839.78999579
0.07100000 1352872.50582355 17533.22849669
0.07200000 1344912.50838767 16199.47192242
0.07300000 1336888.89457451 17807.36091011
0.07400000 1328802.09562795 14949.02427639
0.07500000 1320653.27134359 15055.44799900
0.07600000 1312443.37306464 15158.72166955
0.07700000 1304177.51258619 18310.65313527
0.07800000 1295854.16618031 18427.04710724
0.07900000 1287474.83389158 15449.69873135
0.08000000 1279044.41311190 17094.42938316
0.08100000 1270562.16928802 18753.49849857
0.08200000 1262029.19648835 18854.71708030
0.08300000 1253448.59418376 20531.48893631
0.08400000 1244820.90149524 19045.76068686
0.08500000 1236150.50274278 25514.14757438
0.08600000 1227435.78573079 17619.84153144
0.08700000 1218680.99331262 16086.58986712
0.08800000 1209884.24538326 17767.15097787
0.08900000 1201051.89426005 17835.62146750
0.09000000 1192182.91971180 17900.62738036
0.09100000 1183279.30853573 16329.25522496
0.09200000 1174342.46429429 18020.28596131
0.09300000 1165375.91360869 18074.98126945
0.09400000 1156377.54414761 23069.73308996
0.09500000 1147352.16494572 28087.18231804
0.09600000 1138300.05028012 18218.49316114
0.09700000 1129225.11102042 24899.41486859
0.09800000 1120127.54452041 18297.28430004
0.09900000 1111009.28935992 24997.71018605
0.10000000 1101869.79981575 16693.32825225
0.10100000 1092712.67682474 18390.35521589
0.10200000 1083539.92427371 20088.83114094
0.10300000 1074351.56141628 25139.82771974
0.10400000 1065151.10953902 18453.74384092
0.10500000 1055941.10766060 25184.19660261
0.10600001 1046717.64601395 18479.80090992
0.10700001 1037488.46046117 16807.31385038
0.10800001 1028250.92513756 18493.09375892
0.10900001 1019009.02996707 20176.37974296
0.11000001 1009763.49449036 21856.33186701
0.11100001 1000515.68273861 26893.86281800
0.11200001 991268.35687965 26883.19910416
0.11300001 982019.97423196 20151.05081997
0.11400001 972775.86283813 21814.49975127
0.11500001 963535.03023305 20118.61237861
0.11600001 954299.74155049 25121.94187935
0.11700001 945071.93743425 23418.88371253
0.11800001 935850.89038671 18375.43309819
0.11900001 926640.08926715 18347.47463169
0.12000001 917440.02375292 23312.15210168
0.12100001 908253.90876121 19945.25677598
0.12200001 899080.36709069 18246.83690974
0.12300001 889922.80023792 19863.07783715
0.12400001 880780.97200903 21469.03720429
0.12500001 871657.04510097 16474.31892869
0.12600001 862553.88583657 18074.81752945
0.12700001 853470.78214431 21302.63172624
0.12800001 844408.58163144 21241.09887202
0.12900001 835369.55129753 26063.53122891
0.13000001 826355.00312355 19485.45189210
0.13100001 817364.87018721 22657.35526960
0.13200001 808402.55598207 17740.39492731
0.13300001 799469.23309896 19283.19881141
0.13400001 790563.25955102 25614.25081705
0.13500001 781688.39494436 15946.44400871
0.13600001 772843.84985708 17470.13604975
0.13700001 764032.89976358 15815.48177086
0.13800001 755253.86169734 20471.15688664
0.13900001 746511.71264210 25082.79472763
0.14000001 737803.85267335 17165.00744196
0.14100001 729133.10381000 21742.75018107
0.14200001 720498.95048458 15454.70321682
0.14300001 711906.32467886 15377.17733837
0.14400001 703349.09557701 16827.62790544
0.14500001 694836.24949186 18260.29749802
0.14600001 686362.74687308 22701.44892375
0.14700001 677934.22846709 21070.19681478
0.14800001 669546.82538844 14964.37225343
0.14900001 661203.64259745 16364.79092639
0.15000001 652906.06165899 16267.15529377
0.15100001 644654.60403919 16167.93823219
0.15200001 636450.40463114 23370.45996084
0.15300001 628293.66724508 15964.94283807
0.15400001 620183.41987012 17303.11823093
0.15500001 612124.32905274 15756.08097339
0.15600001 604112.75854290 15649.54174863
0.15700001 596155.26524070 18367.54458896
0.15800001 588244.55269920 15432.59656846
0.15900001 580388.60568238 16715.19263262
0.16000001 572582.75456062 16593.44901042
0.16100001 564833.04585461 20588.16549325
0.16200001 557134.87850412 23157.31231819
0.16300001 549492.42104256 21628.02271325
0.16400001 541904.27873023 17435.77099128
0.16500001 534371.66920434 18628.19726793
0.16600001 526894.99246451 18478.20825814
0.16700001 519473.91388245 17017.96622229
0.16800001 512109.42623686 14280.17202487
0.16900001 504804.12567111 12872.50581243
0.17000001 497555.61211815 15314.76246415
0.17100001 490365.66176905 17712.00853948
0.17200001 483234.28312665 12539.93023931
0.17300001 476161.77113464 12427.82281351
0.17400001 469150.16785501 16009.75023413
0.17500001 462197.27717511 14642.41043243
0.17600001 455303.07670843 13297.12698328
0.17700001 448471.58954742 15566.44960840
0.17800001 441699.73136227 13045.60218196
0.17900001 434988.61127007 11744.69305904
0.18000001 428339.94950607 16281.20224977
0.18100001 421753.55006416 16119.42144488
0.18200001 415225.92461110 14817.33781969
0.18300001 408762.93148421 12410.04318610
0.18400001 402360.77906775 14515.16579058
0.18500001 396021.97458145 15468.61905792
0.18600001 389745.43287956 16398.53986313
0.18700001 383530.73902406 11897.12408660
0.18800001 377378.67436150 10698.68592362
0.18900001 371291.27891080 11639.98214381
0.19000001 365262.90853880 14650.69595372
0.19100001 359302.60905925 12417.49875582
0.19200001 353401.34476547 13300.26023870
0.19300001 347566.13013928 15171.26229746
0.19400001 341792.86652663 12996.67436382
0.19500001 336083.08862107 10868.92759962
0.19600001 330435.39031773 13670.11274344
0.19700001 324851.67963573 12542.52394346
0.19800001 319330.90768774 10485.23084945
0.19900001 313874.41208688 10357.85608838
0.20000001 308478.59530276 13950.94513191
0.20100001 303147.75361349 10103.91510547
0.20200001 297878.12888156 10884.46734377
0.20300001 292672.37819002 10746.93023509
0.20400001 287528.95089482 11493.97035529
0.20500001 282447.73571510 12218.68962457
0.20600001 277429.42311809 9475.60239449
0.20700001 272472.83741860 11051.49880809
0.20800001 267578.09728045 12582.86061941
0.20900001 262747.62990265 11587.17102645
0.21000001 257976.30845386 8981.44560340
0.21100001 253266.94096670 12886.22256556
0.21200001 248618.78783339 8737.70771147
0.21300001 244031.37217954 8616.74815902
0.21400001 239505.78155934 10813.68654864
0.21500001 235041.35497609 7615.34026126
0.21600001 230636.03308379 12011.52517089
0.21700001 226291.23420014 8139.69607902
0.21800001 222006.57929382 8022.20812208
0.21900001 217780.18193515 10780.11951549
0.22000001 213612.82078197 8497.51841249
0.22100001 209506.85636559 6976.57864685
0.22200001 205458.23259266 11683.38294882
0.22300001 201467.82588949 6769.31926998
0.22400001 197533.96506779 8666.80312717
0.22500001 193660.83539290 6565.10263027
0.22600001 189843.01997771 8403.40167670
0.22700001 186083.51917155 10818.89631625
0.22800001 182379.69629285 8770.64000949
0.22900001 178731.87367714 8632.74990686
0.23000001 175140.24890340 7889.19288495
0.23100001 171605.57164279 7166.24901071
0.23200001 168124.05464141 6463.52958637
0.23300001 164698.51351269 9827.56076609
0.23400001 161327.57651650 5686.79734117
0.23500001 158009.02272984 6152.87163611
0.23600001 154745.28074772 6601.43398893
0.23700001 151534.33434812 7573.68638894
0.23800001 148376.13185223 5851.21303635
0.23900001 145270.38157663 6798.65417936
0.24000001 142216.29479412 7197.56701998
0.24100001 139214.91282525 6569.55204697
0.24200001 136264.05117804 4966.82490038
0.24300001 133363.65412216 6833.55396047
0.24400001 130513.01177858 7194.53011462
0.24500001 127712.61465779 5183.85527418
0.24600001 124961.36182404 6481.74614443
0.24700001 122259.94856916 5912.49139250
0.24800001 119605.73080719 7147.63881117
0.24900001 116999.52815499 6142.47551872
0.25000001 114441.17740097 4739.58158628
0.25100001 111929.52479106 5077.12348472
0.25200001 109465.48153658 4154.21522085
0.25300001 107047.55786106 6933.47065069
0.25400001 104674.47147191 4404.17859555
0.25500001 102346.65450942 5109.14523483
0.25600001 100064.08248333 5400.45878714
0.25700001 97825.43695554  4543.01350716
0.25800001 95630.64428683  3715.25070633
0.25900001 93479.39664618  4374.83597004
0.26000001 91371.73647128  3934.92401732
0.26100001 89304.14247196  3860.61826173
0.26200001 87280.84142597  3787.55229290
0.26300001 85297.70099230  4391.12585486
0.26400001 83355.52414180  3313.38224142
0.26500001 81454.52658382  3900.04291738
0.26600001 79592.73418956  5737.84047924
0.26700001 77771.43393384  4064.33532971
0.26800001 75989.21975925  3372.78167862
0.26900001 74244.94230507  3608.30436678
0.27000001 72539.42732901  4128.21900465
0.27100001 70871.26982134  3469.85753466
0.27200001 69240.77904467  4536.65605770
0.27300001 67646.35652285  3058.29192313
0.27400001 66087.27614430  4089.15040495
0.27500001 64566.21225264  2673.04131376
0.27600001 63078.31913355  3407.17556925
0.27700001 61626.96250950  3597.78224158
0.27800001 60209.03422265  2771.72302162
0.27900001 58825.50504661  4200.14125911
0.28000001 57475.11085457  2907.09124461
0.28100001 56157.60183980  4275.84000645
0.28200001 54872.98336394  3028.16573026
0.28300001 53620.64113095  2969.51124638
0.28400001 52399.78290848  2688.10899044
0.28500001 51210.39150821  2636.31107962
0.28600001 50050.94336084  2801.10117777
0.28700001 48922.47297220  2958.83130541
0.28800001 47822.96381808  2695.06325353
0.28900001 46754.40780099  2033.81683561
0.29000001 45713.33482317  1995.38715948
0.29100001 44702.38704748  2349.55757443
0.29200001 43718.41373614  2689.99412452
0.29300001 42762.32577217  2074.40052140
0.29400001 41833.35405548  2221.35120550
0.29500001 40932.30179648  2180.87314295
0.29600001 40056.34739629  1962.96139708
0.29700001 39206.20104363  2979.27935834
0.29800001 38382.38880558  2065.74026331
0.29900001 37583.44643213  2367.75723731
0.30000001 36809.12984807  1994.31874958
0.30100001 36059.83543928  1796.86168500
0.30200001 35333.46973887  1605.90627566
0.30300001 34630.99530509  1895.00815281
0.30400001 33952.24877551  2174.64163702
0.30500001 33295.14047151  1986.72112599
0.30600001 32660.68072872  2105.63418627
0.30700001 32048.45774216  1776.76658134
0.30800001 31457.53037435  1603.86226207
0.30900001 30887.70515356  1723.53402917
0.31000001 30339.63062077  1839.94698611
0.31100001 29810.04942397  1534.62141700
0.31200001 29301.70899035  1375.71530223
0.31300001 28812.33305218  1628.47314121
0.31400001 28343.75656938  2142.78809810
0.31500001 27893.21509507  1586.56614973
0.31600002 27461.04202653  2089.23617630
0.31700002 27046.75252138  1677.16920326
0.31800002 26650.81240910  1912.86215123
0.31900002 26272.53350388  1639.40616827
0.32000002 25911.07544507  1372.38017593
0.32100002 25566.96966202  1358.37316246
0.32200002 25239.31064263  1345.12912439
0.32300002 24927.03631709  1574.89022909
0.32400002 24630.90568651  1320.83237998
0.32500002 24349.91015241  1428.85279540
0.32600002 24084.54677952  1535.75119812
0.32700002 23833.96893093  1524.42072501
0.32800002 23598.35757496  1863.32640235
0.32900002 23375.79733563  1504.23262978
0.33000002 23168.71246374  1265.35929113
0.33100002 22972.82030191  1144.04650521
0.33200002 22792.73262324  1480.04616298
0.33300002 22624.22281240  1813.55778652
0.33400002 22469.30318410  1241.99079232
0.33500002 22326.18913107  1912.90797534
0.33600002 22195.07730694  1346.35345320
0.33700002 22075.05984107  1454.96726303
0.33800002 21967.98150148  1340.48629470
0.33900002 21870.90424060  1673.12425364
0.34000002 21785.53082605  1782.92792724
0.34100002 21710.57498863  1225.12780463
0.34200002 21646.93492159  1336.48182535
0.34300002 21591.99769652  1559.80598747
0.34400002 21548.02005857  1226.62109993
0.34500002 21513.08297571  1451.48777711
0.34600002 21488.79631056  1901.43623159
0.34700002 21471.49061755  1232.89304965
0.34800002 21464.68238259  1685.51426392
0.34900002 21466.03112352  1126.96668736
0.35000002 21475.87838632  1809.12808095
0.35100002 21493.93691279  1702.31988412
0.35200002 21519.23403466  1709.16524415
0.35300002 21552.51530380  1373.32634020
0.35400002 21593.71183259  1264.85173050
0.35500002 21641.87045960  1386.81112474
0.35600002 21696.47899540  1742.76975785
0.35700002 21758.08397566  1752.61374725
0.35800002 21826.84033042  1527.98802970
0.35900002 21901.35684212  2010.54465334
0.36000002 21982.86926213  1190.37242693
0.36100002 22069.35022288  1677.71208341
0.36200002 22162.82908139  1568.79593084
0.36300002 22259.98378193  1823.09275809
0.36400002 22363.30438596  1346.83007044
0.36500002 22471.27748980  1480.40783115
0.36600002 22584.81828200  1367.62373585
0.36700002 22702.59412555  1253.18325509
0.36800002 22826.41298563  1642.47462418
0.36900002 22953.61150659  1783.49569854
0.37000002 23084.00535653  1541.54995073
0.37100002 23218.84182307  1813.85600914
0.37200002 23358.12374421  1568.26450248
0.37300002 23500.40782868  1450.21023580
0.37400002 23647.14903146  1330.15219603
0.37500002 23796.21133384  1610.52765937
0.37600002 23949.46599756  2166.94778611
0.37700002 24104.35330520  1366.71689715
0.37800002 24263.19888812  1655.23550656
0.37900002 24424.45767976  1809.85239981
0.38000002 24588.31345816  2107.83327105
0.38100002 24754.14751895  1560.25399203
0.38200002 24922.34562442  2147.68323593
0.38300002 25092.48073989  1878.92504681
0.38400002 25265.24494635  1896.78835421
0.38500002 25438.69089224  1620.19029968
0.38600002 25615.01074496  1486.95144419
0.38700002 25791.85426901  1951.41178644
0.38800002 25970.02130817  2121.49114117
0.38900002 26149.58694598  1988.67618146
0.39000002 26331.05097136  2162.04269769
0.39100002 26512.54908925  2182.51314443
0.39200002 26695.51145207  1888.44056959
0.39300002 26878.86382754  1588.54092747
0.39400002 27063.74522254  2084.58507453
0.39500002 27248.25230167  1780.40088974
0.39600002 27433.15480974  2450.46666948
0.39700002 27618.04698117  1978.55697947
0.39800002 27804.20926715  1830.49020383
0.39900002 27989.61710804  2015.25252726
0.40000002 28174.95687677  2033.66848372
0.40100002 28359.89755966  1710.10190387
0.40200002 28546.00389483  1898.16661892
0.40300002 28730.57047580  1915.17991866
0.40400002 28914.69476487  2107.88134823
0.40500002 29098.42363465  2126.51289998
0.40600002 29281.83327977  2860.24961029
0.40700002 29464.23421297  1983.53234120
0.40800002 29646.35425900  1818.80391997
0.40900002 29826.64654955  2201.20661965
0.41000002 30006.91623075  2404.90441526
0.41100002 30185.74053247  2238.57462396
0.41200002 30362.80083621  1880.97560093
0.41300002 30539.30797140  1896.49111489
0.41400002 30714.21812557  2485.54821958
0.41500002 30888.39365200  2891.15378282
0.41600002 31059.84217805  2137.07254232
0.41700002 31230.74209366  2741.43467088
0.41800002 31400.77164388  2368.24630960
0.41900002 31567.22369971  2386.48222478
0.42000002 31732.79141454  2204.31846006
0.42100002 31897.21756768  2624.82215802
0.42200002 32059.53510526  2237.59535870
0.42300002 32219.52452727  2458.99422844
0.42400002 32377.59861351  2270.47921036
0.42500002 32534.03837010  2286.81766540
0.42600002 32687.08851247  2512.32974212
0.42700002 32839.45807596  2951.61063173
0.42800002 32989.03704653  2759.69802490
0.42900002 33136.96339660  3206.00136054
0.43000002 33282.57417550  2797.23407913
0.43100002 33424.46631827  2382.49607207
0.43200002 33565.01516314  2616.05740578
0.43300002 33702.77820410  2632.86115807
0.43400002 33838.51374880  2428.75943941
0.43500002 33971.17045463  2221.71465302
0.43600002 34102.36944928  3129.57459267
0.43700002 34229.95702128  2473.79911116
0.43800002 34354.31417222  3167.12437362
0.43900002 34477.14470422  3185.68832164
0.44000002 34596.46372844  2975.12303932
0.44100002 34713.80829347  2531.67815882
0.44200002 34828.04691438  3008.62097528
0.44300002 34939.83173753  2792.39148480
0.44400002 35048.34105967  3041.31993958
0.44500002 35153.07864912  3527.61160962
