# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 345.79990640
0.00100000 1646598.60949268 740.96939187
0.00200000 1646395.71428254 889.05371386
0.00300000 1646057.71856285 1086.39813295
0.00400000 1645584.47426612 1481.02608312
0.00500000 1644976.42934405 1776.57461401
0.00600000 1644233.33781386 1899.08958249
0.00700000 1643355.84274076 2366.43251190
0.00800000 1642343.38159964 2438.88002464
0.00900000 1641197.29676432 2954.15526046
0.01000000 1639916.78849214 2976.44909963
0.01100000 1638503.05066096 3834.09730548
0.01200000 1636955.53893698 4788.09516132
0.01300000 1635275.61964888 3777.48684799
0.01400000 1633462.61594444 4410.34925856
0.01500000 1631518.17023377 5090.33691780
0.01600000 1629441.23785333 4155.07534227
0.01700000 1627233.89000826 5711.59121014
0.01800000 1624895.66907321 7409.52458438
0.01900000 1622427.38774799 6327.46709773
0.02000000 1619829.47725004 6122.95570098
0.02100000 1617103.68489948 5336.44240211
0.02200000 1614248.15581646 8353.73458588
0.02300000 1611265.85803264 6380.61308824
0.02400000 1608156.54592525 7839.76351886
0.02500000 1604921.56762148 8762.87215942
0.02600000 1601561.16524894 7783.58761912
0.02700000 1598076.18502522 7383.11231297
0.02800000 1594466.70919494 11097.48880492
0.02900000 1590735.21450225 7874.13967332
0.03000000 1586881.95302745 10330.60198906
0.03100000 1582907.12237086 9877.34089808
0.03200000 1578811.79466537 11722.67811531
0.03300000 1574598.73324238 10439.59008267
0.03400000 1570265.81509763 9068.28550060
0.03500000 1565816.55897868 13528.65569430
0.03600000 1561250.55673144 10397.92918836
0.03700000 1556569.50423984 10646.93590139
0.03800000 1551775.06937518 9985.67303356
0.03900000 1546867.89004232 12065.57010109
0.04000000 1541847.34974994 11378.83396844
0.04100000 1536717.26707373 12585.71500089
0.04200000 1531477.94461390 10865.83652113
0.04300000 1526129.44848694 13094.19127582
0.04400000 1520675.23491512 11291.01414362
0.04500000 1515114.99729624 12545.15276052
0.04600000 1509449.30626112 11705.77991422
0.04700000 1503680.92210976 10826.50314271
0.04800000 1497810.39249860 11008.90689709
0.04900000 1491840.20444451 11188.80205414
0.05000000 1485769.67731289 15912.59398501
0.05100000 1479602.57713058 17311.35095886
0.05200000 1473336.89640571 12884.33175949
0.05300000 1466977.97279652 11882.52213359
0.05400000 1460524.03091894 14459.18858039
0.05500000 1453979.38572608 15877.45563280
0.05600000 1447342.14369536 13612.25349666
0.05700000 1440617.37751242 20053.39483104
0.05800000 1433803.63735787 12689.16278310
0.05900000 1426903.23335684 14126.34267002
0.06000000 1419918.42313170 15590.70501437
0.06100000 1412850.88672921 14453.46524667
0.06200000 1405700.95551406 13283.87465054
0.06300000 1398471.90353879 13425.33090168
0.06400000 1391161.94486363 17632.97847578
0.06500000 1383777.07029420 15069.33300041
0.06600000 1376315.21187945 15215.16537922
0.06700000 1368779.25875877 19546.16872982
0.06800000 1361172.15372157 14088.13245047
0.06900000 1353494.71206385 17054.03417046
0.07000000 1345746.28609265 24364.73765067
0.07100000 1337931.85104614 15894.63113490
0.07200000 1330050.27117489 14564.05115164
0.07300000 1322106.12617943 19077.99229468
0.07400000 1314099.04173106 22175.42236844
0.07500000 1306030.94493363 14888.75347012
0.07600000 1297902.13218094 23985.23252715
0.07700000 1289718.16370311 15089.70322286
0.07800000 1281477.20102701 21259.70776204
0.07900000 1273181.09310067 15278.17383381
0.08000000 1264834.15875993 15367.73574985
0.08100000 1256435.95836463 20090.41191686
0.08200000 1247987.85574193 23306.17429963
0.08300000 1239492.41414262 17179.36566628
0.08400000 1230950.70657004 23541.93336818
0.08500000 1222366.39459684 25229.64356889
0.08600000 1213738.54597356 17423.21764550
0.08700000 1205071.01703480 22269.71344054
0.08800000 1196361.86478318 19165.71797392
0.08900000 1187617.75977834 25652.54481610
0.09000000 1178837.23783341 20918.46776801
0.09100000 1170022.72270612 16146.31433192
0.09200000 1161175.13370282 17818.23326389
0.09300000 1152298.26179402 24371.10938219
0.09400000 1143390.05378424 19551.97083860
0.09500000 1134454.97031494 24504.22851057
0.09600000 1125493.84447646 18013.52982762
0.09700000 1116509.89208147 18053.96580372
0.09800000 1107503.63467544 16446.42974820
0.09900000 1098477.18512703 19772.59026204
0.10000000 1089429.77126639 18155.34799195
0.10100000 1080364.78148260 21488.45651433
0.10200000 1071284.15542347 18206.47507779
0.10300000 1062188.54128406 18227.15622585
0.10400000 1053080.91499049 23220.43526795
0.10500000 1043964.02634456 23238.64031979
0.10600001 1034833.64337106 19930.89690915
0.10700001 1025697.98974220 19939.56985890
0.10800001 1016554.13592944 18282.72699511
0.10900001 1007405.92097128 16622.19847836
0.11000001 998253.92945648 23269.30019091
0.11100001 989099.87521618 21601.94229160
0.11200001 979946.50498067 16610.09404138
0.11300001 970792.42084262 18260.60629577
0.11400001 961642.28200603 16588.33014566
0.11500001 952495.64049263 18230.76741748
0.11600001 943354.48582078 18211.45920637
0.11700001 934220.94965891 21496.42506402
0.11800001 925093.85427436 18164.21868418
0.11900001 915977.25494621 16487.59136562
0.12000001 906871.28471864 18105.68605227
0.12100001 897779.23685840 21358.16905100
0.12200001 888699.69105991 18036.16107977
0.12300001 879636.08920025 27814.09445096
0.12400001 870588.07995956 24485.29090255
0.12500001 861558.01237151 22796.82608155
0.12600001 852548.39136039 17865.15238282
0.12700001 843559.02541505 19435.60086149
0.12800001 834589.96449291 19379.17988885
0.12900001 825644.46413987 22540.09493338
0.13000001 816722.80293731 17653.46421758
0.13100001 807825.82906991 19193.94260346
0.13200001 798956.24630422 27096.60237075
0.13300001 790115.44242484 22233.84959801
0.13400001 781301.80171969 17403.49845380
0.13500001 772519.20422252 25215.02801467
0.13600001 763766.54084205 21973.56441610
0.13700001 755047.02944948 18755.36909590
0.13800001 746359.38048820 23342.39072550
0.13900001 737708.43488719 20139.44122216
0.14000001 729091.52454581 16962.31511851
0.14100001 720511.29324415 16881.58039690
0.14200001 711967.55293074 16798.87520372
0.14300001 703464.58022353 15194.83564953
0.14400001 694997.21400027 15116.19011753
0.14500001 686573.60954159 16539.55903406
0.14600001 678188.99520933 16449.47485480
0.14700001 669849.30208258 16357.72072856
0.14800001 661550.14607382 20699.90504724
0.14900001 653294.75611260 16169.04597666
0.15000001 645084.58910093 18994.51662229
0.15100001 636920.27715716 15973.96130483
0.15200001 628802.89111842 17317.23243855
0.15300001 620732.55914007 24376.16874772
0.15400001 612708.23567881 17094.56058215
0.15500001 604734.58771205 22641.26403245
0.15600001 596807.99309529 16865.79468085
0.15700001 588935.30853681 18145.09771241
0.15800001 581108.77889970 19403.22304327
0.15900001 573336.52170674 15136.08488749
0.16000001 565613.87817179 17757.44854340
0.16100001 557947.11337936 13558.11549512
0.16200001 550331.20947327 14801.15857749
0.16300001 542770.53842944 20028.23381354
0.16400001 535263.74391097 14572.55611594
0.16500001 527812.02470670 14456.77203924
0.16600001 520415.68553751 16947.33759966
0.16700001 513074.52679718 14222.42655433
0.16800001 505789.27029033 12821.75860726
0.16900001 498562.71498736 16527.35478222
0.17000001 491392.67422025 13864.64495781
0.17100001 484280.41736807 13743.87889391
0.17200001 477226.29655034 16099.22987438
0.17300001 470230.72355076 17182.23144997
0.17400001 463294.98664409 12161.49397375
0.17500001 456417.83317314 15664.26077429
0.17600001 449598.34678577 14324.20400511
0.17700001 442841.40939044 13006.25280809
0.17800001 436143.43825805 11710.45187034
0.17900001 429505.76977562 13915.98759803
