# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 274.66737318
0.00100000 1664582.31609762 948.81194271
0.00200000 1664376.97404898 823.86662824
0.00300000 1664034.88231821 1198.10515795
0.00400000 1663555.92219742 1497.20038687
0.00500000 1662940.54506904 1496.64654980
0.00600000 1662188.47398422 1919.82776561
0.00700000 1661300.33457893 2192.91653278
0.00800000 1660275.66770650 3137.92114445
0.00900000 1659115.75902355 3484.14324289
0.01000000 1657819.75430555 3282.48325526
0.01100000 1656388.95976652 3577.80030887
0.01200000 1654822.74075259 3549.59493454
0.01300000 1653122.54574040 4165.86899900
0.01400000 1651287.65442120 4458.47686459
0.01500000 1649319.76246873 4354.20436681
0.01600000 1647217.73513787 5040.48649485
0.01700000 1644983.74349794 4885.60193735
0.01800000 1642617.32542325 7022.18938217
0.01900000 1640119.16912276 7380.53659408
0.02000000 1637489.92309877 8252.94958575
0.02100000 1634731.21752125 7552.45856737
0.02200000 1631841.29150654 6192.83798262
0.02300000 1628823.07792714 6450.13968219
0.02400000 1625676.20230525 6096.28603662
0.02500000 1622402.25277956 8858.31670474
0.02600000 1619001.35996096 6556.95580775
0.02700000 1615474.44368338 7463.49227165
0.02800000 1611821.39661416 7011.42339681
0.02900000 1608045.02202439 7959.82322449
0.03000000 1604145.24758364 8205.20331854
0.03100000 1600122.62266948 9216.70673067
0.03200000 1595978.03012642 8690.10077429
0.03300000 1591714.16185718 9741.29111964
0.03400000 1587329.19123021 8333.47863847
0.03500000 1582826.38586007 9401.98916617
0.03600000 1578205.44703940 9634.94469944
0.03700000 1573468.16951816 12556.27657345
0.03800000 1568616.00411558 9176.40404876
0.03900000 1563649.98213368 12196.47042546
0.04000000 1558569.25511197 10543.72149942
0.04100000 1553377.55025198 10764.90692238
0.04200000 1548075.36296316 12980.61252065
0.04300000 1542662.53501688 10181.57320372
0.04400000 1537142.92265394 10375.71520978
0.04500000 1531516.13516854 20078.17746499
0.04600000 1525782.40995621 11832.44313926
0.04700000 1519944.92939466 14226.68520079
0.04800000 1514004.09519992 13353.51674098
0.04900000 1507962.34227950 16964.57714030
0.05000000 1501819.26114472 16084.48503585
0.05100000 1495578.42411489 11665.51225152
0.05200000 1489237.70098264 16575.21638436
0.05300000 1482802.71074028 16814.98352367
0.05400000 1476271.82308040 12179.24310838
0.05500000 1469648.93462114 12345.05162671
0.05600000 1462932.51812073 12508.07361361
0.05700000 1456127.43513686 15201.97113243
0.05800000 1449232.54972531 15390.85039672
0.05900000 1442249.78269882 20768.39784087
0.06000000 1435181.77427805 13131.91384815
0.06100000 1428029.97894530 13280.67942482
0.06200000 1420795.00814844 17454.46749099
0.06300000 1413480.07451148 18997.17308965
0.06400000 1406083.07041593 15080.24163546
0.06500000 1398610.34860358 16615.49171865
0.06600000 1391059.94152564 15378.16837309
0.06700000 1383434.60498341 21166.55044682
0.06800000 1375737.22538821 24206.09761377
0.06900000 1367968.92176619 15800.04178614
0.07000000 1360128.60871485 18830.98146948
0.07100000 1352221.70231879 16064.39457597
0.07200000 1344246.65145276 17663.40182756
0.07300000 1336208.48282721 17798.29782521
0.07400000 1328106.76884306 17929.44221963
0.07500000 1319943.38861347 16552.09086905
0.07600000 1311718.61902953 27270.63136809
0.07700000 1303438.03089371 19825.29337947
0.07800000 1295099.98871617 15346.93558600
0.07900000 1286705.99964865 18528.56726400
0.08000000 1278260.87969749 20190.13154196
0.08100000 1269764.06622179 17179.90862203
0.08200000 1261216.40049972 18842.57390766
0.08300000 1252621.21736268 17361.33088745
0.08400000 1243979.20987946 19032.88280453
0.08500000 1235294.28031475 20715.88605339
0.08600000 1226565.33937431 20808.68195948
0.08700000 1217796.12030733 17682.40049719
0.08800000 1208985.30425476 22595.93639771
0.08900000 1200138.89127179 19442.25095180
0.09000000 1191255.67212130 24390.96103246
0.09100000 1182338.18297437 21211.14799908
0.09200000 1173387.37075807 18005.63005031
0.09300000 1164407.03921122 22985.39603416
0.09400000 1155395.14875507 18110.81980790
0.09500000 1146356.02543073 24761.29131315
0.09600000 1137290.73009915 19857.09708097
0.09700000 1128202.51604152 21559.95109515
0.09800000 1119091.80316088 24927.77108745
0.09900000 1109960.42817205 16649.40720548
0.10000000 1100808.38722460 23348.14699103
0.10100000 1091638.42628748 23382.89619082
0.10200000 1082452.78621341 21741.06523372
0.10300000 1073252.35261027 16742.73748831
0.10400000 1064039.70578282 16758.62615449
0.10500000 1054817.33719386 23480.23503067
0.10600001 1045582.04941397 20137.91121927
