# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 274.66737318
0.00100000 1664582.27605339 599.24963361
0.00200000 1664376.80760079 1123.45438070
0.00300000 1664034.50954437 1297.94696368
0.00400000 1663555.25856020 1372.43314046
0.00500000 1662939.50037617 1646.31017054
0.00600000 1662186.97508343 2094.35567387
0.00700000 1661298.30100944 1993.55804406
0.00800000 1660272.98945931 2465.50549344
0.00900000 1659112.37824542 2737.53554113
0.01000000 1657815.58248542 3282.47499506
0.01100000 1656383.90991365 3279.64028442
0.01200000 1654816.77395140 4194.96070589
0.01300000 1653115.53169767 4860.15987755
0.01400000 1651279.53030968 3715.37910790
0.01500000 1649310.43603013 5541.68331183
0.01600000 1647207.14485015 4200.37840714
0.01700000 1644971.81616328 5329.70892345
0.01800000 1642603.98481054 5149.56372410
0.01900000 1640104.34638589 6396.40723953
0.02000000 1637473.51634073 6705.45435274
0.02100000 1634713.17400084 5934.00909066
0.02200000 1631821.51148306 7318.71981151
0.02300000 1628801.50029673 6450.05423477
0.02400000 1625652.75690663 9753.91698619
0.02500000 1622376.84929620 10123.63200196
0.02600000 1618973.96797509 7868.21384424
0.02700000 1615444.93822536 12891.25119747
0.02800000 1611789.79656176 8413.54312389
0.02900000 1608011.18919614 10854.07602543
0.03000000 1604109.15923957 8205.01872666
0.03100000 1600084.20326067 8448.44498196
0.03200000 1595937.18590139 10269.85626429
0.03300000 1591670.88880515 8929.27409784
0.03400000 1587283.37340444 9166.56190436
0.03500000 1582777.99856896 12820.50238043
0.03600000 1578154.46466672 11386.38498878
0.03700000 1573414.53322598 8968.46325416
0.03800000 1568559.54805618 13764.11067119
0.03900000 1563590.77873524 11257.85412825
0.04000000 1558507.21004391 10543.30176451
0.04100000 1553312.62620679 9785.86999884
0.04200000 1548007.40711911 11981.57788696
0.04300000 1542591.64288573 15271.65797345
0.04400000 1537069.09720700 13487.78195439
0.04500000 1531439.18520812 15850.39630339
0.04600000 1525702.40098109 16134.30364041
