# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 328.13292544
0.00100000 1682663.90782409 908.63853180
0.00200000 1682456.72452640 832.81610501
0.00300000 1682111.56466175 1211.12036970
0.00400000 1681628.30737066 1513.46553414
0.00500000 1681007.41562480 1512.90673395
0.00600000 1680248.59043209 2469.96552849
0.00700000 1679352.49101411 3022.83460946
0.00800000 1678318.62143102 2492.30325805
0.00900000 1677148.31052600 2767.29483066
0.01000000 1675840.66627503 3871.19210625
0.01100000 1674397.02173138 3315.30624737
0.01200000 1672816.77177334 3914.39141757
0.01300000 1671101.29734810 3860.24416713
0.01400000 1669249.90624533 3755.81245555
0.01500000 1667264.33826717 6002.15188503
0.01600000 1665143.42942474 4670.72752833
0.01700000 1662889.36899018 6285.72209675
0.01800000 1660501.64826492 6152.15888365
0.01900000 1657981.02030442 6963.52059949
0.02000000 1655328.10461525 5735.71214195
0.02100000 1652544.59052374 7089.41661477
0.02200000 1649628.65518980 7967.70676656
0.02300000 1646583.22131044 6520.46985319
0.02400000 1643407.95847943 8011.61416290
0.02500000 1640104.51438370 7036.04868805
0.02600000 1636672.90693545 7291.37813389
0.02700000 1633114.18843125 8916.80387723
0.02800000 1629428.22093739 9214.41701197
0.02900000 1625617.65681201 11704.44766645
0.03000000 1621682.64961339 9803.07206751
0.03100000 1617623.65254724 8541.05327845
0.03200000 1613441.52129951 9583.84307793
0.03300000 1609139.07403567 9847.93158709
0.03400000 1604714.38624257 8424.75091649
0.03500000 1600170.76646510 12097.29155311
0.03600000 1595507.89105984 11511.58996599
0.03700000 1590727.66961978 13600.72220425
0.03800000 1585831.30844649 9277.11358375
0.03900000 1580820.23811730 13278.89061513
0.04000000 1575693.30678222 9690.51428576
0.04100000 1570454.36222076 9893.86294074
0.04200000 1565103.80833127 12113.90403848
0.04300000 1559641.72259386 13381.72660101
0.04400000 1554071.76568513 11538.98339610
0.04500000 1548393.50445466 11752.30724488
0.04600000 1542607.46341280 11962.92143488
0.04700000 1536716.59347698 13277.23198514
0.04800000 1530721.36985019 14626.04336944
0.04900000 1524624.30185984 14865.08763507
0.05000000 1518424.84803774 15100.73581692
0.05100000 1512126.76312385 14153.50716217
0.05200000 1505727.95653032 13167.59159348
0.05300000 1499233.63855983 14572.55164614
0.05400000 1492642.75005450 16008.59424088
