# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 271.69992646
0.00100000 1646598.34535723 592.77541841
0.00200000 1646394.66075059 740.87762080
0.00300000 1646055.34162730 987.63324016
0.00400000 1645580.26704984 1604.44082134
0.00500000 1644969.84894795 1924.61479945
0.00600000 1644223.87554556 2417.00919545
0.00700000 1643342.94665363 2760.81626512
0.00800000 1642326.54305066 2217.14092673
0.00900000 1641176.02281757 3200.29338130
0.01000000 1639890.52710982 4329.31117851
0.01100000 1638471.31395555 4128.94789094
0.01200000 1636917.81127877 3830.38784633
0.01300000 1635231.37646416 5150.97906304
0.01400000 1633411.38570250 5145.24609306
0.01500000 1631459.42735270 5090.15364000
0.01600000 1629374.47893631 5401.37663913
0.01700000 1627158.61774682 5711.32700449
0.01800000 1624811.46007992 4630.71286960
0.01900000 1622333.63537307 5353.70123830
0.02000000 1619725.78347019 7653.20467309
0.02100000 1616989.54733597 11205.73807109
0.02200000 1614123.11266268 8909.95998670
0.02300000 1611129.50911538 9280.10639492
0.02400000 1608008.29882347 7839.04081421
0.02500000 1604761.01436819 9387.85236280
0.02600000 1601387.92841141 7782.74568805
0.02700000 1597889.79557170 9395.59242829
0.02800000 1594266.65515802 7628.56629477
0.02900000 1590521.18010047 8588.81476689
0.03000000 1586653.37032847 11804.70161785
0.03100000 1582663.71575527 8356.46480370
0.03200000 1578553.14958971 8595.22229540
0.03300000 1574324.34884612 11240.67636896
0.03400000 1569975.37994389 10715.08246252
0.03500000 1565509.65080855 10144.50300569
0.03600000 1560926.83305438 9529.45875619
0.03700000 1556228.62078859 8870.50354873
0.03800000 1551416.49054474 9983.36557868
0.03900000 1546491.56131922 12062.63473691
0.04000000 1541452.85333090 9479.93548728
0.04100000 1536304.13931923 12582.33148442
0.04200000 1531045.88311445 17775.44352761
0.04300000 1525678.04544423 11076.42312407
0.04400000 1520204.39152032 12313.65614318
0.04500000 1514624.42140831 13586.18169131
0.04600000 1508938.53945260 17020.82751627
0.04700000 1503149.84417178 12987.21525765
0.04800000 1497258.56530130 13205.82116040
0.04900000 1491267.50173732 12302.95746200
0.05000000 1485175.83775991 11361.59568793
0.05100000 1478987.37812549 12689.71229545
0.05200000 1472700.01407096 14049.55878896
0.05300000 1466319.33028521 11877.18712900
0.05400000 1459843.44182032 14452.45074799
0.05500000 1453276.54124943 15869.78057076
0.05600000 1446616.90822299 21026.57774221
0.05700000 1439869.57238691 12526.86586450
0.05800000 1433033.17331260 16487.04742878
0.05900000 1426109.81076681 17968.98445492
0.06000000 1419101.95810790 22074.13198965
0.06100000 1412011.14062027 19697.55633215
0.06200000 1404838.06502071 15930.86440200
0.06300000 1397585.76527187 20125.23596088
0.06400000 1390252.17657334 16265.95122661
0.06500000 1382843.78913271 15059.16956809
0.06600000 1375358.30440601 16586.82192721
0.06700000 1367798.74487082 15346.70263566
0.06800000 1360167.93177099 15485.51262808
0.06900000 1352466.89543893 15620.99337368
0.07000000 1344694.47662360 14320.99684667
0.07100000 1336856.45464933 15881.85542510
0.07200000 1328950.90345907 20372.81830443
0.07300000 1320982.98292563 21994.36769627
0.07400000 1312952.06876071 16247.78261235
0.07500000 1304860.17270585 16362.94733270
0.07600000 1296707.77070863 25460.85827148
0.07700000 1288500.03170634 24120.72172453
0.07800000 1280235.61524006 18204.95130246
0.07900000 1271915.91943255 22894.48762362
0.08000000 1263545.59128860 19957.70355064
0.08100000 1255124.11366317 18525.63278686
0.08200000 1246652.59176275 23281.23824365
0.08300000 1238133.99376979 21840.68467513
0.08400000 1229569.44836997 20380.11456335
0.08500000 1220962.37629866 23625.62309049
0.08600000 1212311.85456263 17402.73748933
0.08700000 1203621.90080729 23831.71475507
0.08800000 1194890.46397180 25522.86150909
0.08900000 1186124.21597858 17613.94543460
0.09000000 1177321.65998579 22498.61797921
0.09100000 1168485.41311211 17737.60940438
0.09200000 1159616.17273246 19411.97564365
0.09300000 1150717.93259117 19470.14833439
0.09400000 1141788.66991380 17897.53824204
0.09500000 1132832.71589460 17944.07106319
0.09600000 1123851.08341252 19622.44083879
0.09700000 1114846.86890122 18027.07471764
0.09800000 1105820.49249119 18063.57859415
0.09900000 1096774.27154125 23032.26078540
0.10000000 1087707.41464243 24718.15216017
0.10100000 1078623.16429688 23104.10926587
0.10200000 1069523.60016056 21481.38251963
0.10300000 1060409.63199420 21505.10834846
0.10400000 1051283.67276392 21525.03421249
0.10500000 1042148.72664800 19884.19863998
0.10600001 1033000.91114203 19895.59848475
0.10700001 1023848.12084887 23220.87647357
0.10800001 1014687.14742562 19908.16276940
0.10900001 1005522.50513784 24886.68317347
0.11000001 996354.24067694 21566.08855456
0.11100001 987184.62510553 18243.17273072
0.11200001 978015.78730860 16577.36837530
0.11300001 968846.76197194 16567.28040972
0.11400001 959681.83406955 23176.31738402
0.11500001 950521.38354094 24808.60927861
0.11600001 941366.22631756 24781.46707481
0.11700001 932219.42079477 21450.36988269
0.11800001 923079.32300394 21420.05669915
0.11900001 913950.47093220 19741.33110198
0.12000001 904832.38283062 19707.25022636
0.12100001 895728.59553783 18031.01747758
0.12200001 886638.11051537 19630.16869161
0.12300001 877563.44446626 21219.48508694
0.12400001 868505.17234052 17912.92002353
0.12500001 859465.05981864 22741.44655439
0.12600001 850446.19865146 16201.00084776
0.12700001 841447.93767863 19386.96139775
0.12800001 832470.36428370 20940.79300048
0.12900001 823516.99165197 20876.15672231
0.13000001 814587.73861731 20808.64476379
0.13100001 805683.71044261 19143.04586247
0.13200001 796807.62184814 23844.46920784
0.13300001 787960.73722894 17421.81272145
0.13400001 779141.42268165 23666.42182972
0.13500001 770353.72675875 17286.73844351
0.13600001 761596.39392303 18780.96795968
0.13700001 752872.89363631 21818.25748638
0.13800001 744181.58299089 21722.66143185
0.13900001 735527.52503232 15446.07875409
0.14000001 726908.00030940 15374.10493160
0.14100001 718325.50031101 19890.43404170
0.14200001 709780.06418540 16747.26140434
0.14300001 701275.90833194 16662.31636789
0.14400001 692807.68930509 27123.42231570
0.14500001 684384.16121325 25479.62352390
0.14600001 675999.63343304 19377.53040648
0.14700001 667660.72033257 16304.27555970
0.14800001 659362.79074771 17684.11088217
0.14900001 651109.30648223 23439.93613928
0.15000001 642901.38277813 23298.74721118
0.15100001 634739.76918122 17366.48090423
0.15200001 626625.53521358 21571.58506763
0.15300001 618558.87666317 18575.32394275
0.15400001 610538.93246655 21292.54627459
0.15500001 602569.91690867 14100.13672109
0.15600001 594648.34593577 15404.36612847
0.15700001 586781.38048790 18078.73518609
0.15800001 578960.79479553 19331.50185065
0.15900001 571195.09834006 15079.55130794
0.16000001 563479.43160600 14968.83180718
0.16100001 555820.08192827 14857.07149126
0.16200001 548212.14590405 13403.78760009
0.16300001 540660.02084569 17290.30828288
0.16400001 533161.86826043 15834.90823489
0.16500001 525719.53093558 14399.45863214
0.16600001 518332.87576870 23371.63047186
0.16700001 511002.00503858 14164.97624846
0.16800001 503727.10991826 19154.22425904
0.16900001 496511.65324771 13927.15253121
0.17000001 489352.87112968 16317.47225833
0.17100001 482252.47911189 14930.53745834
0.17200001 475210.74839473 17264.40730446
0.17300001 468227.75044524 20775.26626836
0.17400001 461304.98470966 13320.18206255
0.17500001 454441.38708260 15596.42914126
0.17600001 447635.57979407 16638.61528677
0.17700001 440893.01533693 14126.21287858
0.17800001 434209.53180558 15156.08442353
0.17900001 427586.88578706 19626.23898464
0.18000001 421026.11949169 20575.54743145
0.18100001 414527.65250900 11316.60544805
0.18200001 408087.83079411 14562.61492980
0.18300001 401712.17983752 11087.25668727
0.18400001 395397.30523622 14263.95846024
0.18500001 389145.13266642 11942.86468574
0.18600001 382955.03806260 10741.88932514
0.18700001 376826.87620140 11689.17025202
0.18800001 370760.94258575 10511.07321891
0.18900001 364759.52180308 11435.21154881
0.19000001 358816.43318087 15420.13694453
0.19100001 352941.38722427 10164.71243234
0.19200001 347124.84238657 10049.26466193
0.19300001 341374.01699119 17881.17185493
0.19400001 335684.79496977 11782.53686021
0.19500001 330058.80925651 11644.47534083
0.19600001 324494.47280596 12465.45576191
0.19700001 318993.94675483 12316.35686625
0.19800001 313555.91906518 9359.64462642
0.19900001 308181.40016022 19415.42912767
0.20000001 302867.55190803 9131.45712159
0.20100001 297618.10226756 9919.61181740
0.20200001 292429.76132459 13356.72997979
0.20300001 287304.59145354 14066.43346241
0.20400001 282241.49565318 11282.60432202
0.20500001 277239.74953065 9423.37953196
0.20600001 272300.71351259 8454.93755421
0.20700001 267422.87503481 10846.67232412
0.20800001 262606.87454936 9879.27108754
0.20900001 257854.33854867 9746.89445789
0.21000001 253160.34506647 8813.77783014
0.21100001 248527.79863730 8693.50280730
0.21200001 243955.92656802 8573.83144456
0.21300001 239444.82532745 7686.17925638
0.21400001 234994.60011399 8336.43383316
0.21500001 230605.33908578 10460.25867547
0.21600001 226274.36684521 7365.23098903
0.21700001 222003.45079792 10889.26977648
0.21800001 217792.06510930 9300.81058024
0.21900001 213638.67358136 7755.08421768
0.22000001 209543.66060757 11808.83355189
0.22100001 205509.26598619 9580.84243329
0.22200001 201532.02035301 9437.74495939
0.22300001 197612.35613092 7303.75302796
0.22400001 193748.47084171 8500.71456015
0.22500001 189945.05861071 7726.96534967
0.22600001 186195.95192267 10143.95594044
0.22700001 182504.78187578 6241.66383531
0.22800001 178868.83153209 6144.14465368
0.22900001 175288.22981699 6047.44421468
0.23000001 171763.22218126 7737.07470906
0.23100001 168294.61045691 7613.64853714
0.23200001 164878.63881339 8067.51217868
0.23300001 161517.90834260 6236.20673605
0.23400001 158211.00178079 8365.40711480
0.23500001 154956.18399647 6033.99409021
0.23600001 151755.48918780 5934.39868537
0.23700001 148606.97654171 6366.32317616
0.23800001 145510.32634048 5216.54544604
0.23900001 142465.87872945 6667.40343990
0.24000001 139472.25817081 7058.69131990
0.24100001 136530.91946905 5451.67987227
0.24200001 133639.13284471 8280.94925843
0.24300001 130797.40707881 6223.34092319
0.24400001 128004.72387580 5645.00858995
0.24500001 125261.60597242 5546.58417484
0.24600001 122567.47609280 6357.57528568
0.24700001 119921.81222178 6245.52827596
0.24800001 117323.06886260 5696.62187811
0.24900001 114771.56551445 4734.32730144
0.25000001 112267.58130417 5072.24956328
0.25100001 109809.23193849 6226.18374547
0.25200001 107398.04444570 6113.63396931
0.25300001 105032.47563055 6402.78001736
0.25400001 102710.79305376 3928.68802018
0.25500001 100434.15066233 4242.33872469
0.25600001 98201.70833259  4164.24363887
0.25700001 96012.90030702  5573.54912653
0.25800001 93866.91296418  6564.11353416
0.25900001 91764.21895943  5010.32659225
0.26000001 89704.15808558  3863.10975074
0.26100001 87683.65205558  4479.75799548
0.26200001 85706.74453241  4733.58372450
0.26300001 83769.35131167  3648.99311580
0.26400001 81872.28818648  5207.07777505
0.26500001 80015.79552583  4150.41951032
0.26600001 78197.84976450  3758.18883752
0.26700001 76419.92037372  3072.08094439
0.26800001 74680.10510572  3314.67662197
0.26900001 72977.67639934  3842.27484425
0.27000001 71313.43459653  3768.55862959
0.27100001 69686.11915518  3127.51317569
0.27200001 68095.69533732  4182.77828404
0.27300001 66540.67226897  2734.82175968
0.27400001 65020.33793399  3218.50688005
0.27500001 63537.37930861  3682.62667901
0.27600001 62087.03744361  3095.65983344
0.27700001 60672.78037812  2783.06056766
0.27800001 59290.97295248  2729.46006905
0.27900001 57943.22229357  2676.97699666
0.28000001 56627.92222165  2625.55373807
0.28100001 55344.79301012  2575.19334064
0.28200001 54094.23685836  2525.93050965
0.28300001 52875.12463771  3378.72062427
0.28400001 51687.06242523  3093.47083257
0.28500001 50529.73461248  3468.36114796
0.28600001 49401.83143700  2339.42383843
0.28700001 48304.18862547  2504.08925687
0.28800001 47235.10836012  3480.99147537
0.28900001 46196.23983659  2612.39748641
0.29000001 45184.52700806  2366.76563671
0.29100001 44202.12947369  3097.68538014
0.29200001 43246.24133291  2280.80687586
0.29300001 42317.70378774  2052.83190792
0.29400001 41415.63321333  2199.17022773
0.29500001 40541.09217646  1980.02703563
0.29600001 39690.91630887  3359.63777000
0.29700001 38866.21903571  1911.05208045
0.29800001 38067.09105155  1878.04002593
0.29900001 37292.47685068  2517.24230659
0.30000001 36541.70976932  1814.84410161
0.30100001 35815.60638460  1784.69175063
0.30200001 35111.86810265  2074.58482506
0.30300001 34431.67253361  1570.08434186
0.30400001 33774.55954527  1699.70478958
0.30500001 33138.55983856  1825.27196232
0.30600001 32524.79260782  1497.76677050
0.30700001 31932.70434005  2507.99471760
0.30800001 31361.53291070  1598.96783115
0.30900001 30810.78028071  1432.70135088
0.31000001 30281.33530950  1836.41166679
0.31100001 29770.00841561  1393.23645981
0.31200001 29279.58168241  1649.61171009
0.31300001 28807.34476845  1899.55640397
0.31400001 28355.65505133  1607.76571753
0.31500001 27921.49387862  1323.47887251
0.31600002 27505.24421901  1700.23675190
0.31700002 27106.45673284  1680.87146159
0.31800002 26725.55762816  1790.34519028
0.31900002 26362.00243447  1644.98902980
0.32000002 26014.68960428  1628.38957288
