# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 345.79990640
0.00100000 1646598.33216388 543.37746252
0.00200000 1646394.61025106 1037.22863730
0.00300000 1646055.22772734 1283.92312336
0.00400000 1645580.05031436 1851.27762695
0.00500000 1644969.53118036 2072.66169133
0.00600000 1644223.39354630 3107.58234032
0.00700000 1643342.30599680 2366.41301898
0.00800000 1642325.71004814 2438.85378239
0.00900000 1641174.96300353 2954.11505969
0.01000000 1639889.20500950 3246.98076612
0.01100000 1638469.74579923 3834.01937210
0.01200000 1636915.89827324 3191.98614158
0.01300000 1635229.19798049 3433.98146721
0.01400000 1633408.80469025 5512.75496022
0.01500000 1631456.51130858 4698.59496179
0.01600000 1629371.15113136 4985.87594535
0.01700000 1627154.89332302 5271.98209086
0.01800000 1624807.23906289 5093.77092367
0.01900000 1622328.93347611 5353.68572204
0.02000000 1619720.60547502 5102.12013804
0.02100000 1616983.87667846 8537.67525595
0.02200000 1614116.86204896 8909.92548331
0.02300000 1611122.67347248 8700.06283276
0.02400000 1608000.97266836 6633.00431471
0.02500000 1604753.06536979 7510.24468893
0.02600000 1601379.27168065 8431.26225103
0.02700000 1597880.51613999 6711.09847516
0.02800000 1594256.70125388 9015.52205904
0.02900000 1590510.49475920 8588.75706605
0.03000000 1586641.97151087 8115.67405732
0.03100000 1582651.65084548 8356.40110097
0.03200000 1578540.26934994 10939.28457044
0.03300000 1574310.69454007 11240.57887721
0.03400000 1569960.90311761 12363.44268251
0.03500000 1565494.39809099 11835.13819609
0.03600000 1560910.72445839 11261.97139743
0.03700000 1556211.67569896 8870.40696172
0.03800000 1551398.70683363 10890.81942599
0.03900000 1546472.78332310 12990.37198150
0.04000000 1541433.23696239 10427.79633126
0.04100000 1536283.61413726 11614.30466139
0.04200000 1531024.37925707 11850.12924521
0.04300000 1525655.58392575 18124.78917835
0.04400000 1520181.00191726 14365.71113529
0.04500000 1514600.16572965 12540.88995495
0.04600000 1508913.13698277 13829.18954332
0.04700000 1503123.55877844 16233.73518980
0.04800000 1497231.17640308 12105.11462445
0.04900000 1491239.03737583 11184.29330092
0.05000000 1485146.44588105 15905.91917606
0.05100000 1478956.88313108 13843.03707097
0.05200000 1472668.46717341 11707.71485962
0.05300000 1466286.74202536 13064.61548049
0.05400000 1459809.65045360 21678.17432017
0.05500000 1453241.71207062 13427.95404594
0.05600000 1446580.92286434 13605.09421441
0.05700000 1439832.40644700 16284.50527705
0.05800000 1432995.00146801 16486.60826169
0.05900000 1426070.54592362 16685.02616659
0.06000000 1419061.51464953 18178.17885192
0.06100000 1411969.59518191 15757.58141860
0.06200000 1404795.38101344 21240.50715378
0.06300000 1397541.97412990 25491.16679998
0.06400000 1390207.26709140 21687.23438087
0.06500000 1382797.69915076 17796.60722056
0.06600000 1375311.15778144 15204.06556065
0.06700000 1367750.30875254 15346.15918239
0.06800000 1360118.36520193 15484.94831266
0.06900000 1352416.06275472 22720.59091803
0.07000000 1344642.65620190 15752.48945507
0.07100000 1336803.36776159 14437.47704804
0.07200000 1328896.74185387 16006.56200549
0.07300000 1320927.71284128 16128.52812950
0.07400000 1312895.58444272 14770.07601717
0.07500000 1304802.70069877 17849.70178222
0.07600000 1296649.02616489 19469.18604059
0.07700000 1288440.32259672 15074.75248121
0.07800000 1280174.64566636 18204.08431508
0.07900000 1271853.85352153 15262.24695811
0.08000000 1263482.35547395 16886.44247307
0.08100000 1255059.80164596 16980.95991299
0.08200000 1246587.21814379 15520.01159417
0.08300000 1238067.62575455 15599.65281663
0.08400000 1229501.76023559 15676.14817882
0.08500000 1220893.68083475 22049.34091099
0.08600000 1212242.03060937 18983.71109066
0.08700000 1203550.94330111 17475.56051734
0.08800000 1194818.42494933 17545.90939440
0.08900000 1186051.24841067 19214.03112673
0.09000000 1177247.39365503 20890.25598174
0.09100000 1168410.26025637 17736.46858397
0.09200000 1159540.21426176 19410.70409879
0.09300000 1150641.08921058 17846.44413230
0.09400000 1141710.60752275 22777.12769055
0.09500000 1132753.74396397 22836.31655168
0.09600000 1123771.27282131 21256.13462462
0.09700000 1114765.86206442 19664.47073130
0.09800000 1105738.76809380 26272.35436517
0.09900000 1096691.57925512 16450.37446236
0.10000000 1087623.89794538 19773.00339452
0.10100000 1078538.69682909 24752.46425638
0.10200000 1069438.34124471 16522.82314940
0.10300000 1060323.51032299 18195.15229306
0.10400000 1051196.82232900 23178.89102281
0.10500000 1042061.00107417 16568.77069663
0.10600001 1032912.28647879 28183.01306268
0.10700001 1023758.88911962 28194.32113311
0.10800001 1014597.21675138 23224.13138441
0.10900001 1005431.85040400 18248.58894371
0.11000001 996262.92622262 16587.77850239
0.11100001 987092.43004366 21558.09968697
0.11200001 977923.17724362 16575.79863462
0.11300001 968753.32330354 24848.52391262
0.11400001 959587.89448115 16552.89195918
0.11500001 950426.76105943 18191.16906326
0.11600001 941271.10021943 16519.30858677
0.11700001 932123.77601593 19798.30993498
0.11800001 922983.21659729 24712.87678833
0.11900001 913853.70420796 18094.30419559
0.12000001 904735.25337624 19705.13474674
0.12100001 895631.04786059 22946.06852713
0.12200001 886539.95598578 19627.99555023
0.12300001 877464.89566181 17952.93261108
0.12400001 868406.30397451 22795.66655341
0.12500001 859366.04001958 17866.22081387
0.12600001 850346.75619376 19438.92776262
0.12700001 841348.00184609 16153.88239672
0.12800001 832370.15052991 20938.27212338
0.12900001 823416.54201999 16056.62332617
0.13000001 814487.31568201 24007.01476129
0.13100001 805582.84603338 15950.54110333
0.13200001 796706.60300199 19073.15697498
0.13300001 787859.54540467 17419.57537011
0.13400001 779040.23677894 25240.90486164
0.13500001 770252.44789223 17284.46574563
0.13600001 761495.22146137 17213.60029277
0.13700001 752771.48277177 21815.31859939
0.13800001 744080.11429753 18616.88533762
0.13900001 735426.14734003 16988.34480469
0.14000001 726806.45045841 19983.54429779
0.14100001 718224.01870646 18357.80678395
0.14200001 709678.73689963 16744.87058692
0.14300001 701174.79814858 18174.45162526
0.14400001 692706.77540384 15066.37307571
0.14500001 684283.35661380 20980.12870346
0.14600001 675898.88264365 17884.28527843
0.14700001 667560.26094183 14819.83849206
0.14800001 659262.62831528 20628.32861320
0.14900001 651009.30882078 19042.02318143
0.15000001 642801.71504293 20383.24334575
0.15100001 634640.47871129 20257.72503632
0.15200001 626526.47705186 20130.29665756
0.15300001 618460.40276647 17143.72317368
0.15400001 610440.76832026 15612.02338654
0.15500001 602472.09468971 15507.63244916
0.15600001 594550.94056917 15401.84284233
0.15700001 586684.41938047 19466.18995379
0.15800001 578864.32856729 15186.50637675
0.15900001 571099.20642919 13706.38160125
0.16000001 563384.13378709 16326.87296782
0.16100001 555725.35464654 14854.53943090
0.16200001 548118.02272436 13401.48628824
0.16300001 540566.38612599 17287.31384441
0.16400001 533068.93878030 15832.14822920
0.16500001 525627.11045461 17014.55036870
0.16600001 518241.22907569 20771.10944202
0.16700001 510910.92987472 16737.44285295
0.16800001 503636.86629157 15320.63419597
0.16900001 496422.28203049 12658.76878950
0.17000001 489264.12766213 23844.28838753
0.17100001 482164.46439710 16171.79689953
0.17200001 475123.78599882 17261.24796046
0.17300001 468141.42789654 14662.19021413
0.17400001 461219.58363461 13317.71610639
0.17500001 454356.77094958 14394.02318348
0.17600001 447551.99388096 15447.25779836
0.17700001 440810.12980687 12946.59412390
0.17800001 434127.66830763 11656.32844461
0.17900001 427505.98102728 15005.46064282
0.18000001 420946.13921805 11428.68821960
0.18100001 414448.72262205 13577.34079444
0.18200001 408009.90881263 12319.85977856
0.18300001 401635.27671155 16627.70124134
0.18400001 395321.34373177 15358.23492951
0.18500001 389070.24428633 14111.57842693
0.18600001 382881.14370377 10739.81658828
0.18700001 376754.11288567 12749.35978239
0.18800001 370689.15961156 15763.55725725
0.18900001 364688.88874932 11432.99720247
0.19000001 358746.95984503 15417.15132778
0.19100001 352872.78802370 12195.28413033
0.19200001 347057.47436632 16075.70297225
0.19300001 341307.97213453 12911.68119596
0.19400001 335619.76403765 12761.94213058
0.19500001 329995.07747457 14552.78360432
0.19600001 324431.85179683 11504.35400837
0.19700001 318932.56533411 9472.29763806
0.19800001 313495.62109687 10293.62920518
0.19900001 308122.32789850 16638.60649286
0.20000001 302809.80793903 10955.65936901
0.20100001 297561.39506428 9917.72176623
0.20200001 292374.29044358 11573.63683422
0.20300001 287250.39503353 12305.80750487
0.20400001 282188.56491161 12148.21829364
0.20500001 277188.00503955 11134.64268874
0.20600001 272250.22454886 11834.71782054
0.20700001 267373.64752608 8342.05819714
0.20800001 262558.78085703 10700.58361965
0.20900001 257807.64571913 10557.22359125
0.21000001 253114.89594809 11215.52156964
0.21100001 248483.75411356 10272.31888066
0.21200001 243913.16685747 13248.14428416
0.21300001 239403.13404680 8453.32506283
0.21400001 234954.20773940 7577.27355782
0.21500001 230566.09296642 8217.37594182
0.21600001 226236.36789427 8836.79294774
0.21700001 221967.06294295 10887.48495211
0.21800001 217756.81012427 7153.31155080
0.21900001 213604.58295336 7753.84672782
0.22000001 209510.90950531 7639.81567634
0.22100001 205477.81441609 7526.65269795
0.22200001 201501.88663860 7414.26226945
0.22300001 197583.40943695 8630.44373230
0.22400001 193720.74330022 9153.30555376
0.22500001 189918.58899625 9013.53665999
0.22600001 186170.73974783 7606.93678581
0.22700001 182480.90524523 6864.93197996
0.22800001 178846.19886477 6757.70394368
0.22900001 175266.77364659 7256.04477211
0.23000001 171742.97533854 7141.07325229
0.23100001 168275.65311997 7027.19160662
0.23200001 164860.62934881 6914.25512189
0.23300001 161501.20597593 6802.43111742
0.23400001 158195.53412960 6691.67141017
0.23500001 154941.84452793 7130.42402242
0.23600001 151742.26916688 6473.32550883
0.23700001 148595.05177526 8487.74975886
0.23800001 145499.53696467 6259.39037628
0.23900001 142456.30735565 5128.42730738
0.24000001 139463.86714820 7058.26665023
0.24100001 136523.53486353 5451.38500496
0.24200001 133632.79007105 9741.83085699
0.24300001 130792.29699273 7180.49744456
0.24400001 128000.80973341 5644.83597626
0.24500001 125258.69344057 5546.45520792
0.24600001 122565.48043722 4995.15639152
0.24700001 119920.99794082 7137.69813509
0.24800001 117323.12159296 4820.22067868
0.24900001 114772.81054350 6025.57283859
0.25000001 112269.89184609 4649.65779077
0.25100001 109812.53921831 4150.91417883
0.25200001 107402.28714235 4483.50868887
0.25300001 105037.68212249 4402.12946602
0.25400001 102716.98955081 4321.81753982
0.25500001 100441.11934514 5399.71483147
0.25600001 98209.74724916  5678.97890337
0.25700001 96021.72850218  5202.45749639
0.25800001 93876.66623010  4011.81952116
0.25900001 91774.77241936  4295.05955245
0.26000001 89715.57812997  4917.31106997
0.26100001 87695.84020314  3791.09135136
0.26200001 85719.95683126  3719.81770270
0.26300001 83783.24109986  5972.06970818
0.26400001 81887.08085386  3906.01394155
0.26500001 80031.41498161  3512.57896975
0.26600001 78214.07621143  3445.72129054
0.26700001 76436.90274885  3687.31636309
0.26800001 74697.86140541  3014.05885034
0.26900001 72996.16198046  3547.61364013
0.27000001 71332.68618528  3769.57597985
0.27100001 69705.81964719  2843.99757619
0.27200001 68116.07113125  3626.15921827
0.27300001 66561.77822210  4377.10274303
0.27400001 65042.09650399  3219.58392931
0.27500001 63559.66290020  2894.50718546
0.27600001 62109.79755951  3096.79465288
0.27700001 60696.14617454  5315.16177205
0.27800001 59314.86790313  3227.02554100
0.27900001 57967.78087606  3165.04098563
0.28000001 56652.76604130  2626.70562182
0.28100001 55370.37709293  2342.16706188
0.28200001 54120.14195412  2297.40013469
0.28300001 52901.29602880  2704.31438099
0.28400001 51713.82196543  2652.91919239
0.28500001 50556.85645247  2168.88924447
0.28600001 49429.32215197  2979.10538711
0.28700001 48332.11563655  2087.94749433
0.28800001 47263.27931747  2868.40855755
0.28900001 46224.84209694  2010.78072639
0.29000001 45213.41022418  2170.92199467
0.29100001 44231.28429443  2905.99551570
