# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 252.40994265
0.00100000 1682663.94907914 504.79919671
0.00200000 1682456.88602580 757.10562269
0.00300000 1682111.92516449 1312.04734837
0.00400000 1681628.94453697 2017.95481012
0.00500000 1681008.41281695 2118.07068399
0.00600000 1680250.03202785 2469.96764764
0.00700000 1679354.43758057 2015.22540885
0.00800000 1678321.17296468 2718.88041499
0.00900000 1677151.52866439 2767.30014059
0.01000000 1675844.63233704 3318.17251530
0.01100000 1674401.81925946 4520.88510884
0.01200000 1672822.46089457 4240.60512429
0.01300000 1671107.96874476 4913.05764480
0.01400000 1669257.63275275 3755.82984019
0.01500000 1667273.18806838 6802.47491023
0.01600000 1665153.49641175 5519.98408737
0.01700000 1662900.67866558 5836.78164395
0.01800000 1660514.32140405 6152.20583764
0.01900000 1657995.12737080 6963.57984917
0.02000000 1655343.71181141 8342.93268493
0.02100000 1652561.66329438 7089.48985696
0.02200000 1649647.40282943 6260.41217816
0.02300000 1646603.63624433 8298.88270442
0.02400000 1643430.11506490 7395.43585501
0.02500000 1640128.45506624 7036.15139358
0.02600000 1636698.75497438 7954.35631299
0.02700000 1633141.96087379 8916.95551478
0.02800000 1629457.99442912 8505.77112099
0.02900000 1625649.44081900 10241.59194739
0.03000000 1621716.57956798 12065.57190658
0.03100000 1617659.69892349 9317.72029454
0.03200000 1613479.75167548 8785.39765251
0.03300000 1609179.60411598 9027.49799526
0.03400000 1604757.20745244 10109.97087343
0.03500000 1600215.89968447 12097.63276026
0.03600000 1595555.49917979 10626.40011562
0.03700000 1590777.66099374 9067.43308701
0.03800000 1585883.87294995 11132.90530333
0.03900000 1580875.23775682 10433.77705238
0.04000000 1575750.79339019 10659.95461126
0.04100000 1570514.48181606 12862.51420246
0.04200000 1565166.54000760 15142.98697710
0.04300000 1559707.14486369 15441.10145089
0.04400000 1554139.84220491 10490.44442208
0.04500000 1548464.30233708 13889.72543735
0.04600000 1542680.97538069 17401.44221123
0.04700000 1536792.84961304 14384.38174137
0.04800000 1530800.44795372 13501.66057916
0.04900000 1524706.03436702 20583.53242207
0.05000000 1518509.51555812 13939.91800195
0.05100000 1512214.15869271 12974.79808600
0.05200000 1505818.18510236 14365.50615533
0.05300000 1499326.71470309 19431.27512840
0.05400000 1492738.64378717 17241.13213976
0.05500000 1486057.66839128 13731.17349648
0.05600000 1479281.92767654 15177.43328620
0.05700000 1472417.04619675 16653.03756982
0.05800000 1465461.18959735 16860.13177356
0.05900000 1458416.65148651 17063.47561936
0.06000000 1451285.94610035 18590.97383809
0.06100000 1444070.84003313 18801.80321587
0.06200000 1436771.55026151 13577.49178463
0.06300000 1429391.19620316 17838.80296267
0.06400000 1421928.34415834 15250.18220430
0.06500000 1414388.73507684 14002.44913226
0.06600000 1406770.62697979 16965.65455517
0.06700000 1399076.78864145 21405.87586799
0.06800000 1391310.37697724 15840.06938334
0.06900000 1383471.83171966 21789.68236975
0.07000000 1375560.73018354 16114.69470873
0.07100000 1367582.26322727 19200.85587504
0.07200000 1359534.80466294 14886.90680846
0.07300000 1351423.56772737 19501.04299604
0.07400000 1343248.14474119 21156.15927114
0.07500000 1335010.02352306 19784.84947598
0.07600000 1326710.05950203 16855.85209619
0.07700000 1318353.50951444 20052.15781993
0.07800000 1309938.67588422 20179.60624834
0.07900000 1301467.29309534 26549.93402444
0.08000000 1292944.27623809 17280.20106255
0.08100000 1284368.73399068 23696.60425393
0.08200000 1275741.64893176 19059.58112942
0.08300000 1267066.80504181 25544.06798848
0.08400000 1258344.06841331 17648.27638788
0.08500000 1249577.78592162 25791.28671220
0.08600000 1240767.05682231 16192.01085177
0.08700000 1231915.28089177 17887.41071850
0.08800000 1223021.56686072 19592.80642126
0.08900000 1214091.57172529 21307.30808458
0.09000000 1205124.24081134 19739.93599178
0.09100000 1196122.08768056 16506.48558549
0.09200000 1187086.13868140 24839.77861905
0.09300000 1178019.97685580 21593.10719047
0.09400000 1168921.86077238 21654.27848850
0.09500000 1159796.07221001 16701.06422482
0.09600000 1150643.28269887 16741.86055027
0.09700000 1141467.50556258 21813.44505681
0.09800000 1132268.58624051 23539.86501473
0.09900000 1123048.65761769 21899.44985331
0.10000000 1113807.44549178 20249.02031129
0.10100000 1104547.99357882 28729.29466418
0.10200000 1095272.56916499 23690.74678536
0.10300000 1085981.82382592 20329.58069834
0.10400000 1076678.32499824 22044.98974145
0.10500000 1067365.09923206 20365.32705152
0.10600001 1058038.57777246 25472.27995843
0.10700001 1048705.59020026 22085.74076892
0.10800001 1039364.51852071 16993.61067756
0.10900001 1030018.87881159 22093.90599037
0.11000001 1020669.23023106 16994.14348325
0.11100001 1011317.42120045 20388.16017114
0.11200001 1001965.82722024 22078.31804218
0.11300001 992613.34504971 25460.53349923
0.11400001 983264.76243116 18657.44974561
0.11500001 973919.85003220 20335.44742623
0.11600001 964580.21472799 18621.22192222
0.11700001 955248.22132123 21980.26260776
0.11800001 945922.65447842 16884.72017768
0.11900001 936607.72747569 18544.83387751
0.12000001 927303.19148661 20196.66446194
0.12100001 918013.13122202 21839.53342059
0.12200001 908735.17162100 21796.01411817
0.12300001 899473.56866803 23422.29283164
0.12400001 890227.62396640 16691.76873584
0.12500001 880999.87974265 34966.88687464
0.12600001 871792.97915989 19929.18844273
0.12700001 862606.32609512 23186.85913815
0.12800001 853440.32627359 19816.88531003
0.12900001 844298.22763693 23049.34270085
0.13000001 835180.63759541 19693.56036275
0.13100001 826087.46404048 17992.18581491
0.13200001 817022.80462414 16299.60572062
0.13300001 807986.80836821 19488.64273659
0.13400001 798978.54636297 16179.31632663
0.13500001 790001.90273490 19339.24749076
0.13600001 781055.72236543 17655.76543655
0.13700001 772143.38235703 17581.70564530
0.13800001 763263.22251801 19096.84672793
0.13900001 754420.31358634 19011.39279892
0.14000001 745611.97690596 18923.63286632
0.14100001 736841.08462761 18833.65901133
0.14200001 728107.26186613 18741.48180438
0.14300001 719415.22464374 18647.24350231
0.14400001 710758.95748694 17004.90885999
0.14500001 702147.50891788 21527.84363894
0.14600001 693575.65075446 18352.01258471
0.14700001 685049.22781891 18249.71229005
0.14800001 676564.64421279 22681.83076733
0.14900001 668124.29456973 19542.63653820
0.15000001 659730.25588781 19425.75830118
0.15100001 651382.40723455 19306.97546143
0.15200001 643083.03468124 20662.25887930
0.15300001 634831.09677346 23463.35844396
0.15400001 626626.08954090 18939.77445016
0.15500001 618472.74780263 15919.48927973
0.15600001 610367.79113991 18686.41080765
0.15700001 602317.00969443 17129.89656419
0.15800001 594313.55738896 24096.44432166
0.15900001 586365.57896948 19701.88438331
0.16000001 578468.13478893 13970.00611457
0.16100001 570627.60232819 16639.50166935
0.16200001 562839.08895382 17889.84128691
0.16300001 555106.77188605 17752.31540296
0.16400001 547429.33761707 14903.76442023
0.16500001 539808.12814512 16129.46763047
0.16600001 532243.09010408 14665.95904024
0.16700001 524734.89856154 25124.30812936
0.16800001 517283.16382675 19669.69323324
0.16900001 509891.76492831 26004.48123922
0.17000001 502557.76138243 14179.66790696
0.17100001 495282.94188521 14056.13055445
0.17200001 488067.26685511 17731.48464218
0.17300001 480911.13945161 17572.49386541
0.17400001 473816.29304516 13681.44610780
0.17500001 466781.20892554 19716.83919619
0.17600001 459805.07359903 18311.73792093
0.17700001 452892.59985101 18138.34948072
0.17800001 446040.58177836 11976.19018641
0.17900001 439249.96481485 11859.74961018
0.18000001 432522.12662982 11742.97629268
0.18100001 425857.45336396 16276.27263640
0.18200001 419252.30416239 14961.01918076
0.18300001 412712.76126401 15947.22184858
0.18400001 406234.28689454 15782.20279142
0.18500001 399819.99050027 13385.97391433
0.18600001 393468.77281968 12140.47955891
0.18700001 387180.40613623 12010.33676577
