# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 299.63713438
0.00100000 1664582.35242087 599.24966110
0.00200000 1664377.11505549 898.76367059
0.00300000 1664035.20197619 1198.10538810
0.00400000 1663556.48922113 1372.43415576
0.00500000 1662941.41139882 1945.64152835
0.00600000 1662189.74193915 2617.94895014
0.00700000 1661302.04305320 1993.56253452
0.00800000 1660277.89358584 2689.65030117
0.00900000 1659118.55248756 2488.67793512
0.01000000 1657823.22766589 4376.65351002
0.01100000 1656393.12464405 3577.80930501
0.01200000 1654827.73374160 3549.60564450
0.01300000 1653128.39610499 3818.72676343
0.01400000 1651294.44150525 3715.41265809
0.01500000 1649327.51506314 4750.06345490
0.01600000 1647226.57042818 4200.42794237
0.01700000 1644993.70250280 4441.48319600
0.01800000 1642628.49754237 6554.08800011
0.01900000 1640131.67435511 5412.43476959
0.02000000 1637503.70573090 5673.95059702
0.02100000 1634746.34975403 7013.06215841
0.02200000 1631857.91044144 6192.90105148
0.02300000 1628841.17369886 7622.97703990
0.02400000 1625695.86412865 7925.26769900
0.02500000 1622423.51425590 6960.19719403
0.02600000 1619024.31510654 7212.75365370
0.02700000 1615499.14968715 8142.11608734
0.02800000 1611847.94695687 7712.69277989
0.02900000 1608073.49399210 11578.12968834
0.03000000 1604175.64369084 9697.24221185
0.03100000 1600155.01932177 7680.74444616
0.03200000 1596012.34927942 11850.39223921
0.03300000 1591750.67598876 9741.51458614
0.03400000 1587367.83658829 9167.04967927
0.03500000 1582867.24711999 11111.72858790
0.03600000 1578248.57164050 11387.06397062
0.03700000 1573513.61355073 10762.83361444
0.03800000 1568663.78163626 11929.68861144
0.03900000 1563700.18333035 10320.42168792
0.04000000 1558621.91608346 11502.63027372
0.04100000 1553432.70205139 9786.62647670
0.04200000 1548133.00700058 14978.18753761
0.04300000 1542722.86100392 12218.36562630
0.04400000 1537205.90547960 11413.75437826
0.04500000 1531581.77650794 12681.49769873
0.04600000 1525850.89696685 11832.97425606
0.04700000 1520016.08982326 14227.35126243
0.04800000 1514078.03065801 16692.71106468
0.04900000 1508039.10512945 11310.29381494
0.05000000 1501898.90944257 16085.33806916
0.05100000 1495661.02763364 16332.61918260
0.05200000 1489323.30172560 13024.13288053
0.05300000 1482891.33760931 19218.27263133
0.05400000 1476363.49958949 14615.99932754
0.05500000 1469743.64612868 17284.18608477
0.05600000 1463030.15154369 15010.69005530
0.05700000 1456228.43255212 13936.10675004
0.05800000 1449336.51286423 12826.62873775
0.05900000 1442356.98865731 19471.82025632
0.06000000 1435292.13123279 18386.09306007
0.06100000 1428143.61066861 18594.43067985
0.06200000 1420911.85931799 20141.42654731
0.06300000 1413600.03021150 14927.61701698
0.06400000 1406206.38151001 21936.82057747
0.06500000 1398737.07585111 22155.99631789
0.06600000 1391189.87542235 16777.75068260
0.06700000 1383567.82488261 19757.34946395
0.06800000 1375873.98299908 21360.44458592
0.06900000 1368108.76276549 15801.65694976
0.07000000 1360271.95265897 17384.27636906
0.07100000 1352368.42142377 14605.57963547
0.07200000 1344396.86885780 25025.94888617
0.07300000 1336362.09856106 19283.70598579
0.07400000 1328263.87749582 17931.56318654
0.07500000 1320103.64619383 16554.10049920
0.07600000 1311882.55865586 16667.46868910
0.07700000 1303605.21894650 18302.61813219
0.07800000 1295270.57686357 21488.53987790
0.07900000 1286880.04251142 20075.32960479
0.08000000 1278438.34271313 18639.63191116
0.08100000 1269944.98870775 17182.35650338
0.08200000 1261400.67725794 23556.65875319
0.08300000 1252808.93318526 23678.08994846
0.08400000 1244170.22858867 19035.80539092
0.08500000 1235488.69356802 20719.14636380
0.08600000 1226763.19456139 22412.96461696
0.08700000 1217997.44015926 20900.83705459
0.08800000 1209189.79098394 25828.29514841
0.08900000 1200346.62718003 19445.61627367
0.09000000 1191467.00899430 17889.87798044
0.09100000 1182552.71788777 16319.22827355
0.09200000 1173605.16101579 22920.50987160
0.09300000 1164628.12867937 21347.63460186
0.09400000 1155619.38378389 19761.09239143
0.09500000 1146583.67867697 18161.88632390
0.09600000 1137521.37377189 16550.93676640
0.09700000 1128436.48657528 24882.02569876
0.09800000 1119328.76318547 26595.25266373
0.09900000 1110200.80978620 18318.31422284
0.10000000 1101051.58674998 21685.21202084
0.10100000 1091884.78012911 21717.58929819
0.10200000 1082702.40465826 20073.30352654
0.10300000 1073504.80049495 26794.68108080
0.10400000 1064294.97020256 16762.64656929
0.10500000 1055075.80861684 26841.12983407
0.10600001 1045843.56938301 18464.36908627
0.10700001 1036605.44705017 23510.21264543
0.10800001 1027359.13446223 30235.18075014
0.10900001 1018108.69947428 23518.31206476
0.11000001 1008854.66140537 26875.88944487
0.11100001 999598.59248196 25189.88571632
0.11200001 990343.26174061 21822.21479978
0.11300001 981086.83576121 25164.87852206
0.11400001 971834.80883204 18440.56636585
0.11500001 962586.51806035 25123.50930439
0.11600001 953343.75272314 21750.53874264
0.11700001 944108.69502935 18381.79715791
0.11800001 934880.49073288 25031.42631831
0.11900001 925662.81453094 23326.70402491
0.12000001 916455.93512750 21623.77880792
0.12100001 907263.13342869 18263.20773627
0.12200001 898083.18202212 18226.59903782
0.12300001 888919.51326006 21494.07484331
0.12400001 879771.56862433 21444.43299563
0.12500001 870641.70576583 18100.64191578
0.12600001 861532.85295490 19694.64194663
0.12700001 852444.47457255 19640.32161973
0.12800001 843376.80184014 19583.21026167
0.12900001 834332.82008765 19523.38891023
0.13000001 825313.20143455 16217.40517259
0.13100001 816318.36932770 19395.72536949
0.13200001 807351.50791174 17717.32967632
0.13300001 798413.91858182 19257.74462406
0.13400001 789503.82778327 15987.45326635
0.13500001 780625.01966054 22294.65161266
0.13600001 771776.70987163 17446.01334924
0.13700001 762962.23801446 26848.64242173
0.13800001 754179.90427607 15724.65174566
0.13900001 745434.58658274 17219.53976210
0.14000001 736723.91725882 21814.39621881
0.14100001 728050.27821291 18608.96598878
0.14200001 719413.65490670 18517.70835069
0.14300001 710818.58219672 15353.68209965
0.14400001 702259.30442524 18328.96871007
0.14500001 693744.59171251 18231.60873023
0.14600001 685269.17165250 19643.24173208
0.14700001 676839.23877576 15025.83180969
0.14800001 668450.50119286 19421.83022845
0.14900001 660106.16004560 22278.58395266
0.15000001 651807.77580745 17716.13618235
0.15100001 643555.34589676 14673.06257879
0.15200001 635350.66089033 18955.68786213
0.15300001 627193.64434983 14488.17386816
0.15400001 619083.31711108 17272.42536250
0.15500001 611024.32638158 20017.15787693
0.15600001 603012.89840229 18461.24075586
0.15700001 595055.87777252 15513.10746570
0.15800001 587145.78022579 21005.14127899
0.15900001 579290.67666778 20854.46534438
0.16000001 571485.73596458 17941.79552750
0.16100001 563737.27438284 15068.69805556
0.16200001 556040.54893877 16314.23047599
