# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682663.77288068 555.27905824
0.00200000 1682456.18345830 832.81583718
0.00300000 1682110.34980731 1211.11949501
0.00400000 1681626.14391455 2017.95144938
0.00500000 1681004.02658425 1664.19405219
0.00600000 1680243.72687827 1940.68158355
0.00700000 1679345.88503076 2216.73666037
0.00800000 1678309.99050798 2492.29044113
0.00900000 1677137.39698678 2767.27682332
0.01000000 1675827.18754046 3594.64947249
0.01100000 1674380.71833839 3315.27396665
0.01200000 1672797.38365712 3914.34604938
0.01300000 1671078.56045030 4211.11815807
0.01400000 1669223.56426971 4882.47914193
0.01500000 1667234.10809809 5601.90685266
0.01600000 1665109.10097609 4670.63123703
0.01700000 1662850.64037004 5387.63631648
0.01800000 1660458.27386928 6625.22881086
0.01900000 1657932.78067441 5471.17842310
0.02000000 1655274.75931206 6256.93887324
0.02100000 1652485.75694738 7634.48454323
0.02200000 1649564.23320529 6829.19623574
0.02300000 1646512.89616079 5927.44669599
0.02400000 1643331.53794824 8011.24161279
0.02500000 1640021.72800798 7035.69353448
0.02600000 1636583.54065673 7953.79637138
0.02700000 1633017.97525966 8916.27855329
0.02800000 1629324.91222251 12048.85827844
0.02900000 1625507.02477664 8777.73833682
0.03000000 1621564.61636956 8294.30339398
0.03100000 1617497.74748198 10093.18640871
0.03200000 1613307.71868252 10381.63564788
0.03300000 1608997.09003749 8205.88553749
0.03400000 1604563.92566534 14320.73369733
0.03500000 1600011.72637907 11232.08283786
0.03600000 1595340.11345698 12395.79325442
0.03700000 1590550.85826559 9066.14031140
0.03800000 1585645.36360038 12058.83354826
0.03900000 1580624.78857303 9483.74917063
0.04000000 1575488.15748120 11627.10314100
0.04100000 1570239.49775363 11871.01115344
0.04200000 1564879.03839025 12112.16431906
0.04300000 1559406.74000273 14408.91894646
0.04400000 1553826.51528054 14683.66125134
0.04500000 1548137.72597624 10682.15080558
0.04600000 1542340.96676654 13048.20518542
0.04700000 1536439.32683964 13274.83640128
0.04800000 1530433.05770582 14623.28854677
0.04900000 1524324.79383394 12575.68013450
0.05000000 1518114.17071591 12774.93134145
0.05100000 1511804.51943031 14150.49096105
0.05200000 1505394.14896093 14361.46085035
0.05300000 1498888.09524648 13355.09355123
0.05400000 1492285.41450521 18467.03286569
0.05500000 1485589.62343946 13726.84876093
0.05600000 1478798.93984956 13908.10467830
0.05700000 1471919.07957944 17927.97522613
0.05800000 1464948.00414537 18150.70661886
0.05900000 1457888.18719885 15745.19315714
0.06000000 1450742.06459589 13274.29051121
0.06100000 1443511.71344546 14767.12551863
0.06200000 1436196.84343770 19000.88512685
0.06300000 1428800.90269802 17831.43609939
0.06400000 1421322.38453389 15243.68328702
0.06500000 1413767.00812842 15395.92343871
0.06600000 1406133.16437165 15544.80285945
0.06700000 1398423.56010025 14263.92098056
0.06800000 1390641.28226562 14393.13794518
0.06900000 1382786.86547363 18875.04159742
0.07000000 1374859.89855116 19034.93618682
0.07100000 1366865.50392776 17714.57776061
0.07200000 1358802.28126943 22318.32851539
0.07300000 1350675.22761591 17990.99487482
0.07400000 1342483.70761916 18123.53090220
0.07500000 1334229.98307141 16731.24477195
0.07600000 1325914.12619923 21440.03242576
0.07700000 1317541.87222280 24664.38500449
0.07800000 1309111.31620869 15512.96982457
0.07900000 1300624.36572055 18728.99174484
0.08000000 1292085.55887884 23548.26041524
0.08100000 1283494.43684549 17365.68054529
0.08200000 1274851.88725869 19046.28808940
0.08300000 1266161.63080281 20739.72848591
0.08400000 1257423.59007086 22445.01213630
0.08500000 1248642.10534622 16107.48391513
0.08600000 1239816.28558551 24269.40492982
0.08700000 1230949.63154001 21123.09666912
0.08800000 1222040.89626953 21208.52075079
0.08900000 1213096.32616395 24565.20175864
0.09000000 1204114.21431287 18079.77577721
0.09100000 1195097.69390162 19790.81874081
0.09200000 1186047.47859396 19854.43572456
0.09300000 1176967.18981295 19914.28578745
0.09400000 1167855.01896535 18306.12828262
0.09500000 1158715.35640454 16685.50191649
0.09600000 1149549.20636446 26761.50678216
0.09700000 1140359.76384776 20115.94717998
0.09800000 1131147.67397823 20157.05249803
0.09900000 1121914.66060684 18511.59277047
0.10000000 1112660.59547507 18542.48969559
0.10100000 1103388.42950023 21946.39689494
0.10200000 1094100.46220451 20284.62352339
0.10300000 1084797.53672100 20307.41084269
0.10400000 1075482.13465661 18632.72885950
0.10500000 1066157.10155742 25427.84806851
0.10600001 1056818.84255771 16961.94322117
0.10700001 1047474.71826622 22059.81860477
0.10800001 1038122.61151089 20367.96659639
0.10900001 1028766.28641613 20369.57342975
