# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 331.67800267
0.00100000 1700843.12899588 612.30354098
0.00200000 1700633.95646341 841.81383511
0.00300000 1700285.47762035 1326.22271979
0.00400000 1699797.57884675 1402.33305583
0.00500000 1699170.72837161 1835.10445928
0.00600000 1698404.61157926 2139.98989771
0.00700000 1697499.91240995 3055.49996933
0.00800000 1696456.12651314 2748.25904098
0.00900000 1695274.54873102 2797.20312498
0.01000000 1693954.33733541 3074.52725502
0.01100000 1692496.81611356 3046.49440165
0.01200000 1690901.36430011 4286.43514643
0.01300000 1689169.40849839 3901.98150573
0.01400000 1687300.18505688 3796.42558468
0.01500000 1685295.53980307 5258.12231832
0.01600000 1683154.23791253 5150.45219826
0.01700000 1680878.46157141 4992.20925481
0.01800000 1678467.76428789 6218.72334651
0.01900000 1675922.86708581 5027.76882812
0.02000000 1673244.43393415 6851.93626691
0.02100000 1670434.05308190 7717.40567513
0.02200000 1667490.04981713 6328.12502656
0.02300000 1664415.17512761 7190.27388384
0.02400000 1661209.34646844 6852.48886664
0.02500000 1657874.00153786 8405.42157168
0.02600000 1654409.23865950 8040.42926764
0.02700000 1650816.20956336 7626.77123750
0.02800000 1647094.62489778 9314.32053095
0.02900000 1643247.17426127 9612.99641080
0.03000000 1639274.19725375 7622.62536761
0.03100000 1635175.89741090 10988.38253621
0.03200000 1630953.24350060 8073.21892717
0.03300000 1626609.15302815 9125.27776917
0.03400000 1622141.55613765 10219.49227520
0.03500000 1617553.93201810 8734.79163625
0.03600000 1612845.85191671 11636.68335935
0.03700000 1608019.22863120 14665.13604334
0.03800000 1603075.38851506 10315.79060250
0.03900000 1598015.51715897 10546.90290168
0.04000000 1592838.75748372 11755.15057495
0.04100000 1587548.86239415 11001.71412650
0.04200000 1582146.21173072 11225.32789300
0.04300000 1576631.03615924 11446.34185383
0.04400000 1571006.65653084 13785.58405129
0.04500000 1565272.99444013 14040.49941252
0.04600000 1559430.50579799 15391.57980773
0.04700000 1553482.07258184 14540.59287562
0.04800000 1547428.24920293 17060.39724125
0.04900000 1541271.35876071 13871.44287453
0.05000000 1535011.44678225 14091.40573764
0.05100000 1528651.48976092 16692.87504581
