# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 353.37391970
0.00100000 1682663.85618978 605.75900261
0.00200000 1682456.52185630 757.10545881
0.00300000 1682111.10489610 1513.90004834
0.00400000 1681627.49967157 1261.22067268
0.00500000 1681006.13544678 1815.48669814
0.00600000 1680246.76706748 2117.11101270
0.00700000 1679350.00833017 2015.22009375
0.00800000 1678315.38736585 2492.29845546
0.00900000 1677144.17167704 2767.28800156
0.01000000 1675835.59921959 3041.64174392
0.01100000 1674390.85559462 3918.07477268
0.01200000 1672809.45516948 4566.77001284
0.01300000 1671092.73957766 4562.08338026
0.01400000 1669239.98710898 4131.36915124
0.01500000 1667252.96844863 5601.97022344
0.01600000 1665130.51361463 4670.69129949
0.01700000 1662874.80316398 4938.73838694
0.01800000 1660485.36054644 6625.33688670
0.01900000 1657962.98332136 6466.05592672
0.02000000 1655308.12416753 7821.33124049
0.02100000 1652522.57405416 8725.31958660
0.02200000 1649604.56723985 6829.36321865
0.02300000 1646556.88336416 10076.92858487
0.02400000 1643379.40348128 8011.47495727
0.02500000 1640073.53645906 8315.17320961
0.02600000 1636639.45900656 10605.42417944
0.02700000 1633078.22423017 8230.71462710
0.02800000 1629389.61835742 8505.41419788
0.02900000 1625576.45774947 7315.09439574
0.03000000 1621638.68773787 9048.74429351
0.03100000 1617576.85257677 13199.42772437
0.03200000 1613391.68206390 11180.80487167
0.03300000 1609086.26752282 9847.60841122
0.03400000 1604658.51433852 12636.68638348
0.03500000 1600111.83177242 12096.84600681
0.03600000 1595445.71046531 8854.72410229
0.03700000 1590662.21190789 11786.80753535
0.03800000 1585762.55787238 10204.38253216
0.03900000 1580748.00155376 13278.28382797
0.04000000 1575617.73005762 10659.05443777
0.04100000 1570375.18569898 14840.04619294
0.04200000 1565021.02413451 11103.82468137
0.04300000 1559555.37816733 12351.67916842
0.04400000 1553981.68529398 11538.31454917
0.04500000 1548299.69808193 12819.92209579
0.04600000 1542509.97723166 11962.16542952
0.04700000 1536615.17759633 11063.62979324
0.04800000 1530616.04298333 12375.03128331
0.04900000 1524514.99521873 14864.02189527
0.05000000 1518311.76008686 17422.62825830
0.05100000 1512009.58112578 12973.04281040
0.05200000 1505606.65133477 13166.53077950
0.05300000 1499108.44285261 15785.61263913
0.05400000 1492513.40238451 14775.88337266
0.05500000 1485825.37304987 19969.49394535
0.05600000 1479042.72981401 15174.97911602
0.05700000 1472170.87263066 23054.19694153
0.05800000 1465208.02999664 14263.80083803
0.05900000 1458156.40488441 14435.74908259
0.06000000 1451018.65383361 14604.50343314
0.06100000 1443796.50244222 14770.03891021
0.06200000 1436490.03609392 14932.31462319
0.06300000 1429102.80197123 15091.32629442
0.06400000 1421632.83048940 18019.19696915
0.06500000 1414086.30106910 15399.40053899
