# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 321.09991309
0.00100000 1646598.40869028 493.97953434
0.00200000 1646394.91839865 814.96551041
0.00300000 1646055.91661388 1382.68701921
0.00400000 1645581.28146144 1481.02320959
0.00500000 1644971.43797829 1776.56922334
0.00600000 1644226.16304682 1899.08129563
0.00700000 1643346.05735052 1972.01535078
0.00800000 1642330.62594063 2660.57572635
0.00900000 1641181.14971784 2954.12619577
0.01000000 1639896.86665646 3517.57893087
0.01100000 1638478.98278173 3539.11475690
0.01200000 1636926.87811967 3192.00755228
0.01300000 1635242.08571311 3777.40938460
0.01400000 1633423.72450880 3675.20354307
0.01500000 1631473.60812998 4307.09051725
0.01600000 1629390.62318492 4154.94627486
0.01700000 1627176.81713205 6150.72864467
0.01800000 1624831.79046652 5556.92497344
0.01900000 1622356.29585916 5840.48292863
0.02000000 1619750.83554251 5612.43689904
0.02100000 1617017.08726623 6403.38795589
0.02200000 1614153.30128828 7796.36079943
0.02300000 1611162.39544426 6960.22186514
0.02400000 1608044.15298265 7839.21560324
0.02500000 1604799.76526761 7510.46324446
0.02600000 1601429.67802466 7782.94859118
0.02700000 1597934.79465490 8053.59173392
0.02800000 1594314.96198411 11096.43264429
0.02900000 1590572.85888050 10736.36729040
0.03000000 1586708.53238897 11805.11202360
0.03100000 1582722.54050423 8356.77539838
0.03200000 1578615.52722110 8595.56194161
0.03300000 1574390.61985621 12847.02805028
0.03400000 1570045.45206136 9891.28680437
0.03500000 1565583.73831965 10144.98309279
0.03600000 1561004.92093082 10396.29325385
0.03700000 1556310.86387986 12419.36126813
0.03800000 1551503.08422921 13614.44019418
0.03900000 1546582.37591134 12063.34309076
0.04000000 1541548.08396631 12324.67750242
0.04100000 1536403.88775503 11615.21392999
0.04200000 1531150.19436403 10863.51113300
0.04300000 1525787.01849422 12084.23374740
0.04400000 1520318.03215482 12314.57663237
0.04500000 1514742.92787968 11496.89935681
0.04600000 1509061.79142103 12766.66334890
0.04700000 1503278.15249586 11905.96352149
0.04800000 1497391.81682928 12106.41340235
0.04900000 1491405.63766242 13422.65136375
0.05000000 1485319.22317905 14771.50036237
0.05100000 1479135.86395056 14998.43835915
0.05200000 1472853.75167113 14051.02544574
0.05300000 1466478.25202473 14254.16927418
0.05400000 1460007.66822739 13249.57020704
0.05500000 1453446.14063723 17092.52741125
0.05600000 1446791.81051841 17318.09878004
0.05700000 1440049.95725072 15034.12225547
0.05800000 1433219.00426507 16489.18541399
0.05900000 1426301.29366751 12836.71224256
0.06000000 1419298.91804796 14285.24427754
0.06100000 1412213.67841058 17073.66416986
