# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 249.69761198
0.00100000 1664582.35521987 599.24966211
0.00200000 1664377.12286741 823.86670191
0.00300000 1664035.21988460 1497.63175125
0.00400000 1663556.51624317 1372.43417805
0.00500000 1662941.47025985 1795.97685897
0.00600000 1662189.80161309 1919.82929902
0.00700000 1661302.16899456 2192.91895421
0.00800000 1660278.04966551 2689.65055402
0.00900000 1659118.74263425 2488.67822034
0.01000000 1657823.44510904 3282.49056305
0.01100000 1656393.42353135 5366.71492590
0.01200000 1654828.01907776 4517.68069015
0.01300000 1653128.78151396 3818.72765372
0.01400000 1651294.81266359 4086.95484252
0.01500000 1649327.99689220 5145.90357944
0.01600000 1647227.11175431 5880.60105185
0.01700000 1644994.30511935 5773.93026998
0.01800000 1642629.11113500 6554.09044835
0.01900000 1640132.32223534 7872.63550196
0.02000000 1637504.49299837 5158.13938628
0.02100000 1634747.21011387 5934.13264176
0.02200000 1631858.80648335 7318.88707959
0.02300000 1628842.11554398 7036.59825944
0.02400000 1625696.96972493 6096.36391445
0.02500000 1622424.64355892 6960.20203874
0.02600000 1619025.44644084 7868.46402959
0.02700000 1615500.41307282 8820.63265937
0.02800000 1611849.30702689 7712.69928783
0.02900000 1608074.75277453 7236.33671974
0.03000000 1604177.01012905 10443.19281596
0.03100000 1600156.44542413 9984.97667889
0.03200000 1596013.90116710 12640.43067944
0.03300000 1591752.29885052 8929.73080822
0.03400000 1587369.39001337 12500.53452313
0.03500000 1582868.86832653 11111.73996877
0.03600000 1578250.21126993 13138.93361602
0.03700000 1573515.27473188 10762.84497692
0.03800000 1568665.54788951 10094.36326783
0.03900000 1563701.88420262 13135.09643559
0.04000000 1558623.55884438 11502.64239729
0.04100000 1553434.36456522 15658.61912085
0.04200000 1548134.70194351 12981.11007803
0.04300000 1542724.58822844 10181.98275493
0.04400000 1537207.46212989 12451.38102152
0.04500000 1531583.33185561 15851.88822126
0.04600000 1525852.20222911 11832.98437837
0.04700000 1520017.54453070 12038.53951257
0.04800000 1514079.41839997 11128.48424303
0.04900000 1508040.33020283 13572.36360359
0.05000000 1501900.12598598 13787.44379858
0.05100000 1495661.97490010 19832.47871105
0.05200000 1489324.16743780 14208.15321947
0.05300000 1482891.94999125 12011.42535488
0.05400000 1476363.85749784 13398.00263159
0.05500000 1469743.91392268 23457.11396046
0.05600000 1463030.20625018 15010.69061659
0.05700000 1456228.07254207 19003.77723374
0.05800000 1449336.03469280 14109.28695653
0.05900000 1442356.18014617 20769.92996418
0.06000000 1435291.04180388 17072.78773988
0.06100000 1428142.21801969 15938.06789791
0.06200000 1420910.11829763 25512.44236658
0.06300000 1413597.98949107 20355.81200041
0.06400000 1406203.85939051 15081.53709728
0.06500000 1398734.10296912 20771.20240072
0.06600000 1391186.59412153 22370.28148015
0.06700000 1383564.03768780 15523.58922934
0.06800000 1375869.63304138 22784.40218968
0.06900000 1368103.89599007 17238.10989654
0.07000000 1360266.55826723 18832.89138113
0.07100000 1352362.38696296 14605.51446329
0.07200000 1344390.26480814 22081.61113393
0.07300000 1336354.93286168 17800.24853976
0.07400000 1328255.86533569 19425.74294091
0.07500000 1320095.13641584 18058.90231263
0.07600000 1311873.00175504 21212.98743286
0.07700000 1303595.01949675 21352.88742056
0.07800000 1295259.51329377 26093.00411897
0.07900000 1286868.36529386 16986.66321862
0.08000000 1278425.67165730 20192.73443109
0.08100000 1269931.29984121 17182.17129301
0.08200000 1261386.03131109 21985.95955745
0.08300000 1252793.46668413 15785.19842105
0.08400000 1244153.75205687 17449.25719164
0.08500000 1235471.11908496 20718.85163970
0.08600000 1226744.49678589 16009.01643470
0.08700000 1217977.34561102 19292.76206042
0.08800000 1209168.71992186 17756.64348597
0.08900000 1200324.47746211 16204.38120685
0.09000000 1191443.23500699 19515.84110618
0.09100000 1182527.90661641 22846.44022918
0.09200000 1173579.22471249 22920.00333557
0.09300000 1164600.65287517 21347.13097035
0.09400000 1155590.54157013 16467.16599129
0.09500000 1146553.21103336 19812.44041789
0.09600000 1137489.61816827 21515.61713905
0.09700000 1128402.85965965 19905.02738019
0.09800000 1119293.79915017 26594.42191822
0.09900000 1110164.10120259 18317.70853119
0.10000000 1101013.43850043 16680.35437771
0.10100000 1091844.77404492 21716.79357713
0.10200000 1082660.61230650 26763.37159507
0.10300000 1073461.32173868 23444.39636961
0.10400000 1064249.64141944 28495.28548957
0.10500000 1055028.43857388 21807.43885135
0.10600001 1045794.20005537 20141.99724082
0.10700001 1036554.21914995 18471.39705447
0.10800001 1027306.00462926 18476.09936277
0.10900001 1018053.52651537 20157.46077373
0.11000001 1008797.37037961 21835.42010965
0.11100001 999539.01797522 25188.38443868
0.11200001 990281.39361664 16785.27041200
0.11300001 981022.93281729 23485.69011737
0.11400001 971768.55443059 20115.61002385
0.11500001 962517.98217560 20097.37641417
0.11600001 953272.81250564 20075.92637677
0.11700001 944035.50245805 21722.25793457
0.11800001 934804.78200249 18354.89275910
0.11900001 925584.45714702 24990.78152008
0.12000001 916375.05228196 21621.87037709
0.12100001 907179.84960480 18261.53123281
0.12200001 897997.16888488 21538.46311041
0.12300001 888830.67115506 18185.47638863
0.12400001 879680.01567719 18143.40117821
