# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 370.49989972
0.00100000 1646598.40361856 592.77543938
0.00200000 1646394.89268840 889.05327020
0.00300000 1646055.86577456 1283.92362104
0.00400000 1645581.18388574 1481.02312177
0.00500000 1644971.28447502 1924.61647901
0.00600000 1644225.95034878 1899.08104997
0.00700000 1643345.77651505 2169.21651515
0.00800000 1642330.24943387 2882.28970945
0.00900000 1641180.68693703 2707.94824920
0.01000000 1639896.29688836 3517.57770871
0.01100000 1638478.28822131 3244.18715193
0.01200000 1636926.05652550 3830.40714021
0.01300000 1635241.10442354 4120.80776489
0.01400000 1633422.59277950 4042.72109635
0.01500000 1631472.30553938 4307.08707841
0.01600000 1629389.13859979 5401.42523592
0.01700000 1627175.14064525 4832.71038451
0.01800000 1624829.89698262 7409.22466364
0.01900000 1622354.19692908 4867.06281040
0.02000000 1619748.53309447 5102.20811005
0.02100000 1617014.51880062 9071.45186176
0.02200000 1614150.53320202 7239.46547032
0.02300000 1611159.37232663 6380.19140483
0.02400000 1608040.82162800 7236.18402728
0.02500000 1604796.20978403 6884.57605440
0.02600000 1601425.82690955 10377.23983301
0.02700000 1597930.63243799 9395.83254907
0.02800000 1594310.47909860 6935.25090213
0.02900000 1590568.06293125 10736.33491774
0.03000000 1586703.46664537 8115.98860494
0.03100000 1582717.05675372 10635.85911077
0.03200000 1578609.76059101 10158.35427728
0.03300000 1574384.45980482 8832.29722668
0.03400000 1570038.92028193 10715.51612534
0.03500000 1565576.83161846 11835.76139359
0.03600000 1560997.64959334 8663.53735562
0.03700000 1556303.18084412 10645.11424928
0.03800000 1551495.02347521 11799.12019959
0.03900000 1546573.88171275 11135.33246401
0.04000000 1541539.10458133 9480.46593249
0.04100000 1536394.52074921 9679.28592952
0.04200000 1531140.42020699 13826.19863591
0.04300000 1525776.85224056 15105.19153833
0.04400000 1520307.36077876 13340.69771040
0.04500000 1514731.70629544 14632.30896270
0.04600000 1509050.16075250 12766.56495344
0.04700000 1503265.97430539 11905.86707022
0.04800000 1497379.23579375 13206.88547419
0.04900000 1491392.60220201 14541.07854832
0.05000000 1485305.60924488 14771.36497179
0.05100000 1479121.76886268 12690.86536803
0.05200000 1472839.11915281 16392.70016009
0.05300000 1466463.06174373 17817.52703080
0.05400000 1459991.96065212 15658.41450821
0.05500000 1453429.88757318 15871.45511269
0.05600000 1446775.03886540 16080.90530739
0.05700000 1440032.66382674 15033.94171211
0.05800000 1433201.11288826 17757.36261782
0.05900000 1426282.79146489 14120.20029500
0.06000000 1419279.85032993 15583.69348467
0.06100000 1412194.22310100 18386.76964401
0.06200000 1405025.99932501 17260.74520854
0.06300000 1397778.66576633 13418.67581875
0.06400000 1390450.21089328 17623.95724729
0.06500000 1383046.92358832 19169.03125762
0.06600000 1375566.59385868 13824.44491511
0.06700000 1368012.06154683 18139.84078504
0.06800000 1360386.35732237 19711.99924030
0.06900000 1352690.15493223 15623.57202095
0.07000000 1344923.11904053 15755.77507738
0.07100000 1337090.00767238 21660.85913884
0.07200000 1329189.73343664 18921.01674186
0.07300000 1321226.88596929 19065.30485785
0.07400000 1313200.96960410 19205.56508051
0.07500000 1305114.28455045 16366.13389538
0.07600000 1296966.77244370 19473.95700119
0.07700000 1288764.08962260 16586.39461115
0.07800000 1280504.58986823 16691.37811169
0.07900000 1272190.10908495 16792.91022757
0.08000000 1263824.61398560 16891.01675829
0.08100000 1255408.09831464 21618.12846726
0.08200000 1246941.43376880 20181.74805258
0.08300000 1238427.87788229 20285.44959175
0.08400000 1229868.04775013 20385.06384831
0.08500000 1221265.69751445 17329.76106128
0.08600000 1212619.97183749 17407.16051302
0.08700000 1203934.51199841 17481.12993509
0.08800000 1195207.67126763 17551.62547686
0.08900000 1186446.13142037 27228.93999503
0.09000000 1177648.09686275 19289.87673276
0.09100000 1168816.39101159 24194.50043063
0.09200000 1159951.81953160 19417.59437133
0.09300000 1151057.92077732 19475.90093477
0.09400000 1142132.81237897 21158.01134369
0.09500000 1133181.15145781 24476.71402196
