# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 271.69992646
0.00100000 1646598.59531036 938.56122162
0.00200000 1646395.66109781 814.96587805
0.00300000 1646057.59472479 1678.97880643
0.00400000 1645584.25020800 1481.02588146
0.00500000 1644976.09127993 2072.66995705
0.00600000 1644232.85970914 2417.02240217
0.00700000 1643355.17149578 2366.43154530
0.00800000 1642342.51201349 2660.59498179
0.00900000 1641196.20099239 2461.79440672
0.01000000 1639915.42161295 3788.20478750
0.01100000 1638501.40019804 3834.09344340
0.01200000 1636953.57563996 4149.67749618
0.01300000 1635273.35302221 4807.70386993
0.01400000 1633459.99893837 3675.28516054
0.01500000 1631515.13671361 4698.76380297
0.01600000 1629437.81896971 4570.57328653
0.01700000 1627230.04018714 4832.87343615
0.01800000 1624891.39612941 4630.94068735
0.01900000 1622422.56686481 4867.26792022
0.02000000 1619824.13850779 5102.44626711
0.02100000 1617097.80534281 8004.63449936
0.02200000 1614241.73166037 6126.04764997
0.02300000 1611258.88911132 7540.69194428
0.02400000 1608148.96937172 6030.55891012
0.02500000 1604913.34341947 10640.57595283
0.02600000 1601552.28340624 6486.28704447
0.02700000 1598066.73704495 9396.63284420
0.02800000 1594456.49028851 9710.24047116
0.02900000 1590724.30067960 7874.08564990
0.03000000 1586870.36780313 9592.63181430
0.03100000 1582894.79088750 9117.47441504
0.03200000 1578798.68954283 10941.07542246
0.03300000 1574584.83142461 9636.45961256
0.03400000 1570251.06662663 9068.20032818
0.03500000 1565801.00398071 10146.39097434
0.03600000 1561234.15584940 9531.33496194
0.03700000 1556552.28054852 9759.58325040
0.03800000 1551756.96455065 16340.00159293
0.03900000 1546848.93562386 14849.75046968
0.04000000 1541827.60636338 13275.13630594
0.04100000 1536696.57442456 16458.02107519
0.04200000 1531456.39055676 9877.89417735
0.04300000 1526106.88821415 18130.15067355
0.04400000 1520651.84065040 12317.28048131
0.04500000 1515090.62671776 11499.53839111
0.04600000 1509423.86816757 10641.43876527
0.04700000 1503654.58649546 15156.83893679
0.04800000 1497783.05950252 15412.18839938
0.04900000 1491811.86975062 17901.74327029
0.05000000 1485740.33886337 13639.09694589
0.05100000 1479572.34932725 13848.79783484
0.05200000 1473305.56348235 12884.05775307
0.05300000 1466945.56138209 13070.48556123
0.05400000 1460490.73302160 19278.47857492
0.05500000 1453945.00814310 17098.39409339
0.05600000 1447306.67775356 13611.91993946
0.05700000 1440581.01108492 15039.66645776
0.05800000 1433766.28021564 20302.13147581
0.05900000 1426864.73569633 14125.96154316
0.06000000 1419878.96354892 14291.08243578
0.06100000 1412810.35195059 17080.87795330
0.06200000 1405659.48691784 17268.52760398
0.06300000 1398429.39973344 16109.90743815
0.06400000 1391118.22133215 17632.42428000
0.06500000 1383732.51165328 13698.95250617
0.06600000 1376269.52720269 15214.66033510
