# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 321.09991309
0.00100000 1646598.46767047 691.57137285
0.00200000 1646395.15438332 1037.22898011
0.00300000 1646056.45151239 1283.92407792
0.00400000 1645582.21552273 1604.44272110
0.00500000 1644972.90863554 1924.61837928
0.00600000 1644228.27335621 1726.43975731
0.00700000 1643348.93334459 1972.01880197
0.00800000 1642334.35420267 2217.15147178
0.00900000 1641185.91615878 3200.31267332
0.01000000 1639902.70854352 4599.92729609
0.01100000 1638486.05481839 3244.20252979
0.01200000 1636935.29090746 3511.22635294
0.01300000 1635251.94406665 6868.05846799
0.01400000 1633435.19307827 6982.93575997
0.01500000 1631486.71853028 3915.56829883
0.01600000 1629405.49361763 5816.97787225
0.01700000 1627193.59168521 4393.42289463
0.01800000 1624850.58875382 4630.82438632
0.01900000 1622377.13682879 5840.55795612
0.02000000 1619773.94440468 7143.20341795
0.02100000 1617042.53312060 7470.73684173
0.02200000 1614181.14472004 8910.28032367
0.02300000 1611192.77715063 6380.32368794
0.02400000 1608077.15849151 10854.52131476
0.02500000 1604835.56816739 7510.63080204
0.02600000 1601468.33807017 11026.11001193
0.02700000 1597976.34561659 8053.80115078
0.02800000 1594359.49149723 10403.19615911
0.02900000 1590620.45061246 10736.68853460
0.03000000 1586759.45052722 7378.43178410
0.03100000 1582776.70134642 8357.06136764
0.03200000 1578673.18211787 14847.42196166
0.03300000 1574451.60715064 11241.58499330
0.03400000 1570110.09067956 11540.30969897
0.03500000 1565651.99472384 10990.87751050
0.03600000 1561076.93264736 8663.97737659
0.03700000 1556386.74829723 10645.68585069
0.03800000 1551582.77092872 11799.78751900
0.03900000 1546666.01562255 14847.99443759
0.04000000 1541635.78844010 10429.16659207
0.04100000 1536495.71537238 10647.91580124
0.04200000 1531246.23437562 10864.19253692
0.04300000 1525887.24332160 13092.11315541
0.04400000 1520422.63111258 11289.13856030
0.04500000 1514851.88353925 13588.22202672
0.04600000 1509175.16775609 15959.52814093
0.04700000 1503395.95906949 11906.89654960
0.04800000 1497514.14907012 12107.40245857
0.04900000 1491532.69014153 11186.49569676
0.05000000 1485450.84794737 11363.69951596
