# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 296.39991978
0.00100000 1646598.44486360 592.77545423
0.00200000 1646395.06085579 889.05336101
0.00300000 1646056.24171333 1185.16053625
0.00400000 1645581.84214781 1604.44235706
0.00500000 1644972.33302586 1628.52267415
0.00600000 1644227.44755026 2244.37055728
0.00700000 1643347.82516919 1972.01747216
0.00800000 1642332.89688723 2217.14950441
0.00900000 1641184.05616304 2954.13142738
0.01000000 1639900.43048637 3517.58657528
0.01100000 1638483.26575225 3539.12400812
0.01200000 1636932.02418141 3511.21934581
0.01300000 1635248.08583364 4807.62958439
0.01400000 1633430.71646902 4410.26312998
0.01500000 1631481.56728051 4698.66712299
0.01600000 1629399.65929181 4570.46624863
0.01700000 1627187.00705289 4832.74562774
0.01800000 1624843.21032556 6020.04436514
0.01900000 1622368.95627201 7300.66063265
0.02000000 1619764.84104850 6632.93732414
0.02100000 1617032.55505672 6403.44920835
0.02200000 1614170.19359387 8910.21987345
0.02300000 1611180.80280215 6960.30138493
0.02400000 1608064.13989373 9045.36119935
0.02500000 1604821.48030591 8136.44527675
0.02600000 1601453.08193442 8431.65086203
0.02700000 1597959.96948488 7382.57539715
0.02800000 1594341.89796140 10403.08136128
0.02900000 1590601.57136864 7157.70739980
0.03000000 1586739.36796277 8116.17224019
0.03100000 1582755.19746650 10636.11541638
0.03200000 1578650.36966150 9377.18362768
0.03300000 1574427.42346503 12847.32836774
0.03400000 1570084.38839514 12364.41512911
0.03500000 1565624.82656681 8454.37445387
0.03600000 1561048.26519350 12129.34558110
0.03700000 1556356.53473902 12419.72572160
0.03800000 1551551.00532839 12707.20332172
0.03900000 1546632.60371565 14847.67368327
0.04000000 1541600.69695037 12325.09814325
0.04100000 1536458.91099620 16455.47569975
0.04200000 1531207.78084854 10863.91970913
0.04300000 1525847.08920874 10070.59125623
0.04400000 1520380.72834095 10262.57039292
0.04500000 1514808.01465262 14633.04610147
0.04600000 1509129.48340294 11703.29968784
0.04700000 1503348.38541873 14071.34154195
0.04800000 1497464.69940114 11006.36605270
0.04900000 1491481.34832263 16779.16594966
