# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 271.69992646
0.00100000 1646598.51084519 493.97956498
0.00200000 1646395.32805836 814.96571319
0.00300000 1646056.83436324 1382.68779012
0.00400000 1645582.90269299 1357.60594631
0.00500000 1644973.99104911 2664.85797098
0.00600000 1644229.84338027 2589.66210875
0.00700000 1643351.07022924 2760.82991273
0.00800000 1642337.15593674 2882.30183036
0.00900000 1641189.42105061 2954.14108417
0.01000000 1639907.06598443 3517.60080842
0.01100000 1638491.29801407 4128.99825077
0.01200000 1636941.54246017 3830.44337730
0.01300000 1635259.26319324 4120.85352500
0.01400000 1633443.65368536 3675.24838372
0.01500000 1631496.44359281 4307.15080288
0.01600000 1629416.56910117 4570.51368065
0.01700000 1627206.05970153 5272.14786993
0.01800000 1624864.54958365 5557.03700963
0.01900000 1622392.73104857 5840.61409532
0.02000000 1619791.11362811 6633.04491036
0.02100000 1617061.44646807 8538.08482446
0.02200000 1614201.90306000 6682.79618228
0.02300000 1611215.40578893 6380.41329735
0.02400000 1608101.78704316 6030.38197638
0.02500000 1604862.26956937 8136.65207832
0.02600000 1601497.10213508 7783.27627237
0.02700000 1598007.38641573 6711.63133035
0.02800000 1594392.81289012 7629.16995955
0.02900000 1590656.14170112 7873.74826294
0.03000000 1586797.59814996 8854.33100467
0.03100000 1582817.34474452 9876.78068567
0.03200000 1578716.33877808 10159.04010794
0.03300000 1574497.53974195 13650.89429888
0.03400000 1570158.65910801 9067.66667473
0.03500000 1565703.36864458 14373.15758788
0.03600000 1561131.13917330 10397.13386738
0.03700000 1556443.84708836 8871.73033870
0.03800000 1551642.95572201 9077.11171106
0.03900000 1546729.18878136 12064.48823120
0.04000000 1541702.12659546 11377.76222151
0.04100000 1536565.22043309 13552.50587260
0.04200000 1531319.04896715 12840.11082128
0.04300000 1525963.47080932 12085.63124980
0.04400000 1520502.15942774 12316.06806335
0.04500000 1514934.70142567 11498.35491809
0.04600000 1509261.56255761 14896.41231493
0.04700000 1503485.82761460 11907.60830851
0.04800000 1497607.72545563 12108.15902368
0.04900000 1491629.93153629 12305.94750799
0.05000000 1485551.73543313 11364.47130526
0.05100000 1479376.97544942 15000.88322986
0.05200000 1473103.30115324 12882.28896892
0.05300000 1466736.49128586 16632.79258657
0.05400000 1460274.72377140 12047.26703292
0.05500000 1453721.92675818 13432.39122986
0.05600000 1447076.53844194 17321.50697344
0.05700000 1440343.76735549 12530.99136092
0.05800000 1433521.88471861 12686.66927213
0.05900000 1426613.10923735 19259.27787422
0.06000000 1419619.99992039 14288.47596674
0.06100000 1412544.16284097 14450.32746115
0.06200000 1405385.92260559 17265.16686624
0.06300000 1398148.56653374 24160.00835931
0.06400000 1390829.99284237 17628.77098372
0.06500000 1383436.81932886 21913.64024324
0.06600000 1375966.55297603 20742.69675663
0.06700000 1368422.28890029 18145.28040000
0.06800000 1360806.65496388 18309.65439960
0.06900000 1353120.68299791 15628.54462034
0.07000000 1345364.00372699 22925.00369705
0.07100000 1337541.13152022 17334.53387641
0.07200000 1329651.11235993 17471.61643490
0.07300000 1321698.49647024 17605.02479788
0.07400000 1313682.91379116 22168.40020913
0.07500000 1305606.56328379 16372.30707099
0.07600000 1297469.46277935 16484.35029741
0.07700000 1289277.10432043 19609.90567619
0.07800000 1281028.00076079 15180.18252091
0.07900000 1272723.81014597 19854.49236953
0.08000000 1264368.70887667 15362.08053350
0.08100000 1255962.28600507 18538.00421120
0.08200000 1247506.14618964 17084.59747377
0.08300000 1239002.64765041 21856.00773030
0.08400000 1230453.06932076 17257.10510725
0.08500000 1221861.02442022 20490.61034146
0.08600000 1213225.22907927 18999.10797942
0.08700000 1204549.92814443 20670.07773758
0.08800000 1195833.36719905 22350.12668260
0.08900000 1187081.72470748 22435.84565078
0.09000000 1178293.68979593 17692.08058338
0.09100000 1169471.87993559 20980.32651172
0.09200000 1160617.15134818 19428.73202646
0.09300000 1151733.05349681 19487.32418092
0.09400000 1142817.68432041 26056.24442708
0.09500000 1133875.76462177 22858.93648921
0.09600000 1124907.88020993 24551.11563968
0.09700000 1115917.14603781 19684.77938154
0.09800000 1106904.18537829 19725.03351087
0.09900000 1097871.18165989 19761.68219912
0.10000000 1088817.57309677 19794.70440979
0.10100000 1079746.23989639 21476.15372160
0.10200000 1070659.65481890 23158.36942302
0.10300000 1061558.16280306 23184.43136623
0.10400000 1052444.78450124 21548.80797643
0.10500000 1043321.96313640 18247.70199380
0.10600001 1034186.17823767 16598.68894174
0.10700001 1025045.23976706 16605.73366565
0.10800001 1015895.94600750 16609.89949891
0.10900001 1006742.67993693 18272.38050086
0.11000001 997585.72662998 21592.74406927
0.11100001 988426.92387887 16605.57310285
0.11200001 979269.15339293 19918.33551771
0.11300001 970110.55581147 21565.55867101
0.11400001 960955.94586419 19891.78901598
0.11500001 951805.44474044 19873.69862199
0.11600001 942660.24082482 18198.05680610
0.11700001 933522.96235745 18175.69293308
0.11800001 924392.39974992 21450.52664648
0.11900001 915272.32816149 16474.90268290
0.12000001 906163.13772427 21380.92024175
0.12100001 897067.85665155 19699.61106008
0.12200001 887985.53561148 24575.00085581
0.12300001 878919.28796531 19617.47943165
0.12400001 869868.67650283 19572.04614350
0.12500001 860836.28191258 19523.76779375
0.12600001 851824.54784447 21095.43592146
0.12700001 842833.12769350 19418.87617720
0.12800001 833862.45835390 19362.28719551
0.12900001 824915.32784589 17694.43461627
0.13000001 815992.33468925 20844.52517214
0.13100001 807094.12465540 19176.55730575
0.13200001 798223.51712391 20701.92789250
0.13300001 789381.82455890 19039.89050596
0.13400001 780567.61048773 23709.74228638
0.13500001 771784.60670344 26765.49142242
0.13600001 763031.77985821 25088.48610468
0.13700001 754312.22409047 21859.96928491
0.13800001 745624.69621286 18655.53077896
0.13900001 736974.10865220 20119.39411500
0.14000001 728357.70044820 20026.19591827
0.14100001 719778.08515977 19930.65611806
0.14200001 711235.35527864 18307.19890834
0.14300001 702733.50179555 24286.47096759
0.14400001 694267.32536816 16610.34654294
0.14500001 685845.31704553 18024.01578219
0.14600001 677462.26163423 16431.84793110
0.14700001 669124.62932432 17825.48096614
0.14800001 660827.51509295 23631.19305461
0.14900001 652574.30629034 14682.92258428
0.15000001 644366.64009008 18973.37661267
0.15100001 636204.89450037 17406.56673486
0.15200001 628090.31404275 15856.14072621
0.15300001 620023.11821523 21483.80205996
0.15400001 612001.94392043 14229.04586763
0.15500001 604031.69063014 15547.77645057
0.15600001 596108.55161295 16846.02846363
0.15700001 588239.55784840 13941.27817899
0.15800001 580416.92416757 15227.23872424
0.15900001 572648.86596595 16492.28811827
0.16000001 564930.37228617 19100.29678858
0.16100001 557268.00849049 13541.61324554
0.16200001 549656.84826185 14783.02163185
0.16300001 542100.92700457 16002.82012063
0.16400001 534598.97884966 23816.38563211
0.16500001 527152.34733179 17063.92228874
0.16600001 519761.37452052 15624.02765574
0.16700001 512425.54200045 15495.74912172
0.16800001 505145.89873211 14085.99405123
0.16900001 497924.94792677 20315.33883466
0.17000001 490760.77106172 20140.82299542
0.17100001 483654.64320052 13726.11942220
