# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664582.40333529 599.24967943
0.00200000 1664377.32286643 1123.45472851
0.00300000 1664035.66374154 1198.10572057
0.00400000 1663557.30663643 1372.43483012
0.00500000 1662942.69324193 1945.64302810
0.00600000 1662191.57289781 1745.30122260
0.00700000 1661304.58586603 2392.27870307
0.00800000 1660281.17391528 2689.65561530
0.00900000 1659122.72905495 3484.15787996
0.01000000 1657828.35347898 3008.95859149
0.01100000 1656399.32362177 4472.27836850
0.01200000 1654835.07707292 4840.39281266
0.01300000 1653137.01354097 4165.90545786
0.01400000 1651304.41242679 4458.52211120
0.01500000 1649338.94623026 5145.93774138
0.01600000 1647239.58328383 5460.59946269
0.01700000 1645008.35551546 4441.52275913
0.01800000 1642644.88247981 5149.69193830
0.01900000 1640149.84875117 6396.58469876
0.02000000 1637523.87739207 5674.02049183
0.02100000 1634768.58351411 6473.68388422
0.02200000 1631882.18887460 6192.99318814
0.02300000 1628867.61545693 5863.92368256
0.02400000 1625724.69634955 8535.05504501
0.02500000 1622454.72313794 10756.87530568
0.02600000 1619057.91947361 6557.18487378
0.02700000 1615535.32389504 8820.82327247
0.02800000 1611886.77645418 8414.04935896
0.02900000 1608114.86900085 9407.47241559
0.03000000 1604219.96151317 11189.43474588
0.03100000 1600202.14207077 9985.26182597
0.03200000 1596062.48176568 10270.66254321
0.03300000 1591803.79593476 12177.29960028
0.03400000 1587424.01434737 9167.37410584
0.03500000 1582926.57510604 9402.58429032
0.03600000 1578311.10539627 10511.55244772
0.03700000 1573579.50142575 8969.40357294
0.03800000 1568733.00868876 11930.21508320
0.03900000 1563772.75486244 9382.63696368
0.04000000 1558697.99851898 9585.99313510
0.04100000 1553512.34237819 18595.54360048
0.04200000 1548216.26031109 13980.39347920
0.04300000 1542809.83185831 11200.79989921
0.04400000 1537296.51985747 11414.42719005
0.04500000 1531676.03712305 13739.13469138
0.04600000 1525948.90651953 11833.73432017
0.04700000 1520118.15332786 12039.33633428
0.04800000 1514183.89834537 12242.17738773
0.04900000 1508148.92531132 11311.11746634
0.05000000 1502012.78029101 13788.47796515
0.05100000 1495778.78979114 19834.02767658
0.05200000 1489445.17609220 14209.30764209
0.05300000 1483017.22407022 13213.68408246
0.05400000 1476493.56974631 15835.39427399
0.05500000 1469877.74308704 13581.67097970
0.05600000 1463168.56667449 13761.10101172
0.05700000 1456370.88982309 15204.51279948
0.05800000 1449483.32859027 14110.72086269
0.05900000 1442507.86806935 12982.57141899
0.06000000 1435447.24958068 19701.51442093
0.06100000 1428303.01048369 14611.54048007
0.06200000 1421075.57542318 16114.99777857
0.06300000 1413768.08440636 14929.39166936
0.06400000 1406378.67434736 19197.06980263
0.06500000 1398913.60319872 18004.01891536
0.06600000 1391370.78280119 18178.26012783
0.06700000 1383753.12592070 19759.99556289
0.06800000 1376063.44337431 17090.70876671
0.06900000 1368302.58219083 15803.89556423
0.07000000 1360469.99470678 27529.11163204
0.07100000 1352570.71016596 17529.31722478
0.07200000 1344603.53770437 16195.75037037
0.07300000 1336573.07411451 16319.55799960
0.07400000 1328478.78617223 14945.38704484
0.07500000 1320323.11808751 15051.68425171
0.07600000 1312105.91857020 15154.82406995
0.07700000 1303832.94780347 19831.30006595
0.07800000 1295502.35339135 21492.38505067
0.07900000 1287116.13797687 15445.39438017
0.08000000 1278678.40942123 20196.72642426
0.08100000 1270188.88420993 17185.65640968
0.08200000 1261648.65673842 25132.04242156
0.08300000 1253061.03172744 15788.56974075
0.08400000 1244426.40901759 15866.43745972
0.08500000 1235748.77524724 15941.15994905
0.08600000 1227026.91356162 17613.97217118
0.08700000 1218264.92409088 19297.31730376
0.08800000 1209461.17613492 16146.30745969
0.08900000 1200621.89946043 19450.07568482
0.09000000 1191745.61972183 16267.32847337
0.09100000 1182835.18281368 26117.00206353
0.09200000 1173891.42865820 16375.78619923
0.09300000 1164917.76301652 22995.47772255
0.09400000 1155912.57183884 21413.28139968
0.09500000 1146880.15134272 21469.59744226
0.09600000 1137821.44178238 18210.83303178
0.09700000 1128739.53014051 28207.20218431
0.09800000 1119635.26733390 19951.90140198
0.09900000 1110510.23474418 21654.95059578
0.10000000 1101364.29112469 18354.23677474
0.10100000 1092200.50325517 16710.66848574
0.10200000 1083020.96868948 26772.27960527
0.10300000 1073826.55832757 20102.03411751
0.10400000 1064619.49937876 23474.86106568
0.10500000 1055402.96305259 26849.45264331
0.10600001 1046173.24882623 16791.08143374
0.10700001 1036937.97080042 16798.39591746
0.10800001 1027694.16957239 23523.92064859
0.10900001 1018446.28908113 16804.36456075
0.11000001 1009194.52080952 23524.32538735
0.11100001 999940.82333301 21838.70860961
0.11200001 990687.44847194 25188.22956319
0.11300001 981433.49548479 18460.76491922
0.11400001 972183.41371406 23478.23054665
0.11500001 962937.33038367 21781.64343893
0.11600001 953696.20339691 23432.31682092
0.11700001 944463.24121548 18388.70017248
0.11800001 935236.56409708 18363.37080093
0.11900001 926020.53655446 31669.90384187
0.12000001 916815.31783729 16640.19880258
