# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420969 244.31690613
0.00100000 1628712.32730067 586.33645175
0.00200000 1628511.13101338 952.67904181
0.00300000 1628175.96145289 1269.97729517
0.00400000 1627706.66574464 1464.93605483
0.00500000 1627103.70653953 1903.71141200
0.00600000 1626366.83968324 2219.99082655
0.00700000 1625496.68105028 2925.89414749
0.00800000 1624492.67881335 4166.82389708
0.00900000 1623356.19634803 2922.04127834
0.01000000 1622086.39310380 2676.44266419
0.01100000 1620684.49601586 5542.74121770
0.01200000 1619149.91593019 3157.34247449
0.01300000 1617484.12694116 4415.73186130
0.01400000 1615686.31417696 4362.35324167
0.01500000 1613758.14730728 5422.22761640
0.01600000 1611698.66003242 4520.81494349
0.01700000 1609509.81047282 5214.81201986
0.01800000 1607191.23528949 6870.74284003
0.01900000 1604743.64238791 5777.07737327
0.02000000 1602167.57124716 6560.87650104
0.02100000 1599464.67218724 5806.05702328
0.02200000 1596633.16133083 6059.22312254
0.02300000 1593675.94871152 6310.95704416
0.02400000 1590592.91305155 8350.61317429
0.02500000 1587385.15120936 8667.12332144
0.02600000 1584053.04088154 8981.58115260
0.02700000 1580597.53746078 11285.46693436
0.02800000 1577018.47527970 7546.03375027
0.02900000 1573318.48211484 8495.92019350
0.03000000 1569497.84087244 8027.98182507
0.03100000 1565556.72130489 8266.13986884
0.03200000 1561496.05020810 8502.34638499
0.03300000 1557318.68107543 7942.32563963
0.03400000 1553022.46136976 10599.37878791
0.03500000 1548610.98783362 10871.24963661
0.03600000 1544083.79570871 11140.56510089
0.03700000 1539442.61757582 11407.27032379
0.03800000 1534688.99985245 9875.72417109
0.03900000 1529823.64732001 11932.62500170
0.04000000 1524846.04217352 10315.58395332
0.04100000 1519759.80179518 20106.42311002
0.04200000 1514565.28553970 17584.10378089
0.04300000 1509262.52031363 11953.35971573
0.04400000 1503855.15477390 15226.53414924
0.04500000 1498342.67528317 13440.13442178
0.04600000 1492725.47002988 13680.82956880
0.04700000 1487006.83167811 13918.38459182
0.04800000 1481186.75648941 14152.74011676
0.04900000 1475268.10026418 12170.96239371
0.05000000 1469249.92680718 14611.69120251
0.05100000 1463136.24564532 15977.44854674
0.05200000 1456924.62879247 12740.80647253
0.05300000 1450620.91793231 11750.02998301
0.05400000 1444223.04659896 14297.80882809
0.05500000 1437735.18136093 12076.97608681
0.05600000 1431155.69709280 13460.01995926
0.05700000 1424489.62231743 18589.59043898
0.05800000 1417735.48366380 16311.04750115
0.05900000 1410895.33740241 19047.08794454
0.06000000 1403971.66771506 16700.24376769
0.06100000 1396966.14584689 15590.14291620
0.06200000 1389879.02215836 14447.79311068
0.06300000 1382713.61633788 18583.67187247
0.06400000 1375467.89940087 22798.38149877
0.06500000 1368148.39215466 20317.00457388
0.06600000 1360752.49272532 16410.67583010
0.06700000 1353283.36878376 15183.84010834
0.06800000 1345743.64512924 13928.44737907
0.06900000 1338134.32393631 16860.49327099
0.07000000 1330454.99856270 21254.01959733
0.07100000 1322710.29929719 14285.27190150
0.07200000 1314899.12520978 17277.77531466
0.07300000 1307026.19277340 15958.79056152
0.07400000 1299090.67277803 18999.20197976
0.07500000 1291095.28232565 19134.03298093
0.07600000 1283039.66170543 22228.66318114
0.07700000 1274929.39504730 14916.67462147
0.07800000 1266763.00657478 21015.59926463
0.07900000 1258542.14437175 18123.00772899
0.08000000 1250270.84124548 16709.87057712
0.08100000 1241948.83087740 19858.76273747
0.08200000 1233577.74841201 21501.26116377
0.08300000 1225159.73734608 20068.11743957
0.08400000 1216696.26783180 21718.02940021
0.08500000 1208190.68996193 24937.05701149
0.08600000 1199642.01130407 18786.39477907
0.08700000 1191054.31261386 15721.91766477
0.08800000 1182425.48390987 26835.14761761
0.08900000 1173762.32393239 22184.10896430
0.09000000 1165063.04686664 15903.11133679
0.09100000 1156330.56606439 15957.36256138
0.09200000 1147565.41120593 16008.53823851
0.09300000 1138771.30839113 16056.67620285
0.09400000 1129946.28385126 17711.90883178
0.09500000 1121094.93783232 22601.27500902
0.09600000 1112218.32982130 24274.16618942
0.09700000 1103318.73480995 19462.54339704
0.09800000 1094397.41059698 19502.16277378
0.09900000 1085456.38708017 16281.84657182
0.10000000 1076495.05472577 21201.57109987
0.10100000 1067515.93441040 21232.89293404
0.10200000 1058521.96442780 16354.16511965
0.10300000 1049513.36767895 19646.89116715
0.10400000 1040493.04211847 19665.31942120
0.10500000 1031463.54410050 19680.32534738
0.10600001 1022421.04646682 26255.77370870
0.10700001 1013373.75500480 16416.65560361
0.10800001 1004318.33149148 19704.72659120
0.10900001 995258.90201846 27917.01351555
0.11000001 986195.79935649 21346.20908183
0.11100001 977131.00050862 22982.12221381
0.11200001 968067.26329027 18049.61497377
0.11300001 959003.10103129 19678.74455965
0.11400001 949942.74678239 21302.46709961
0.11500001 940886.45302204 18008.56755883
0.11600001 931835.57483554 19624.45813018
0.11700001 922792.81971969 19600.12041391
0.11800001 913756.31504228 17941.60609087
0.11900001 904730.53579804 21170.69553485
0.12000001 895715.70678536 17882.96492835
0.12100001 886714.59862838 17849.56571125
0.12200001 877726.41966027 17813.45852622
0.12300001 868754.07082890 17774.70912660
0.12400001 859797.44606756 16121.20287336
0.12500001 850859.02412389 20905.60720781
0.12600001 841941.04559520 22454.56874416
0.12700001 833043.29083822 20792.76151921
0.12800001 824165.96317713 27110.94063643
0.12900001 815312.42210535 27027.60806666
0.13000001 806482.44102339 15847.38071307
0.13100001 797677.27204520 17373.41180409
0.13200001 788899.49550954 17312.40024507
0.13300001 780150.44144087 20385.33199588
0.13400001 771428.54368814 23432.14311925
0.13500001 762737.88470988 17115.83893987
0.13600001 754076.91166146 21694.79377143
0.13700001 745448.87403327 16973.87166211
0.13800001 736852.83872924 16899.72065317
0.13900001 728293.41045523 18352.99480897
0.14000001 719767.83027666 16745.39936111
0.14100001 711278.75977001 22725.35744645
0.14200001 702826.28955803 18090.74954648
0.14300001 694414.24871393 17999.21817565
0.14400001 686037.83004248 25366.24996234
0.14500001 677705.11347648 16325.91695378
0.14600001 669410.78958524 20664.71204934
0.14700001 661161.81615243 16145.57231213
0.14800001 652952.94422914 14593.49899202
0.14900001 644787.57678844 14507.72116223
0.15000001 636667.21986462 14420.51321034
0.15100001 628592.65317892 15765.10448560
0.15200001 620564.58044734 15666.15357263
0.15300001 612583.70486489 18395.88952518
0.15400001 604648.40680844 25304.53701908
0.15500001 596763.41774415 20946.39695134
0.15600001 588925.04217625 18029.94101715
0.15700001 581140.78292225 15150.34092583
0.15800001 573402.11018326 20513.46146002
0.15900001 565717.62242313 13577.22357901
0.16000001 558082.28499199 22912.06929185
0.16100001 550502.47154619 17390.37389704
0.16200001 542973.41183115 18585.98076435
0.16300001 535499.07996986 14490.60578805
0.16400001 528078.37020051 22218.89847513
0.16500001 520712.23933332 15558.88244583
0.16600001 513401.61161182 14146.78207588
0.16700001 506145.42321618 14030.35179399
0.16800001 498944.72397847 15177.89922007
0.16900001 491802.40728442 13795.05817570
0.17000001 484716.19318922 14919.56513086
0.17100001 477687.50989627 16021.63983848
0.17200001 470716.67299114 13436.60806505
0.17300001 463803.81187389 16947.39208620
0.17400001 456950.23956381 15593.42766153
0.17500001 450154.96551211 14260.90998093
0.17600001 443416.79798451 15304.53150525
0.17700001 436741.07266356 11660.98719087
0.17800001 430123.44257431 12703.69647645
0.17900001 423566.14890645 13723.54387278
0.18000001 417069.62839016 15852.81732392
0.18100001 410634.77292500 11210.32983039
0.18200001 404257.73174492 13316.25031271
0.18300001 397943.95076541 12081.57891596
0.18400001 391690.00349964 11956.33792165
0.18500001 385498.13377784 16133.09766076
0.18600001 379367.58023493 11705.38724115
0.18700001 373297.93440284 16843.20359601
0.18800001 367289.98349622 12495.20582889
0.18900001 361345.44992694 16477.35329518
0.19000001 355458.63635461 15275.83561910
0.19100001 349638.93215861 11076.56189415
0.19200001 343876.89334858 13937.33114598
0.19300001 338179.77653016 11809.23835445
0.19400001 332543.62067707 10699.59150088
0.19500001 326970.15413060 14419.38447855
0.19600001 321457.01347541 9499.05519709
0.19700001 316007.16729960 9385.41331233
0.19800001 310618.80143352 19471.14048804
0.19900001 305293.34945166 10990.56109967
0.20000001 300027.89694153 13568.76228046
0.20100001 294825.95912937 10719.87238059
0.20200001 289684.32113535 9702.97679503
0.20300001 284605.07885203 9579.80740695
0.20400001 279587.20461955 12895.96042261
0.20500001 274629.85557137 12729.09440740
0.20600001 269734.52903608 10050.30902694
0.20700001 264899.62332039 9917.84236592
0.20800001 260125.80469205 8970.43879884
0.20900001 255414.78714785 9654.67941058
0.21000001 250761.55489252 11904.90538130
0.21100001 246169.09221269 9393.81300291
0.21200001 241636.58835736 8492.31829929
0.21300001 237163.85461735 9135.55211175
0.21400001 232751.64168397 9007.48895901
0.21500001 228399.33912525 7400.13893752
0.21600001 224104.95447690 8753.53993572
0.21700001 219869.99357708 7908.72404289
0.21800001 215693.74236147 7794.09374874
0.21900001 211574.59436436 7680.15813856
0.22000001 207513.44809698 8942.79246858
0.22100001 203512.11579102 8810.03990916
0.22200001 199567.36000144 10680.84561232
0.22300001 195679.34620357 7889.79161200
0.22400001 191846.81073117 7769.79620202
0.22500001 188073.95469341 6375.70736560
0.22600001 184354.74509152 6905.00730393
0.22700001 180692.87906489 8651.57545875
0.22800001 177085.63523663 6691.18104384
0.22900001 173533.08910249 7184.27022859
0.23000001 170035.40841749 5891.72718030
0.23100001 166593.70086566 6377.20717073
0.23200001 163204.02504855 7415.17522877
0.23300001 159869.05328353 6172.54443920
0.23400001 156587.30836304 6071.67316894
0.23500001 153357.08528820 5971.72518356
0.23600001 150180.31446145 6940.58356110
0.23700001 147055.36546620 6299.85215454
0.23800001 143981.62979614 5677.91583957
0.23900001 140959.60960023 6089.45542276
0.24000001 137987.91151246 6484.74220826
0.24100001 135067.90429123 7354.44773653
0.24200001 132196.93513000 6746.00991878
0.24300001 129375.69779731 5208.66583970
0.24400001 126602.86591251 5117.92109661
0.24500001 123879.14088065 5942.48266915
0.24600001 121203.93662325 4939.66667075
0.24700001 118576.66941196 4411.05231079
0.24800001 115995.84741927 5198.93412728
0.24900001 113461.93656889 5531.26966940
0.25000001 110975.10851519 4178.21303326
0.25100001 108533.29110456 5333.32617719
0.25200001 106138.25366801 4833.53630071
0.25300001 103788.39983794 5536.07350927
0.25400001 101482.13143680 5046.19922444
0.25500001 99220.30954144  4572.07207998
0.25600001 97002.50918848  4113.39159675
0.25700001 94827.65498806  4036.81346384
0.25800001 92695.43293662  4321.46128797
0.25900001 90605.98730443  3886.99703927
0.26000001 88558.96903652  4160.50056219
0.26100001 86551.11091859  4421.89646606
0.26200001 84586.49235999  4004.32473779
0.26300001 82660.87256163  4910.05606249
0.26400001 80775.50869192  5779.48792038
0.26500001 78930.30561702  3464.25127746
0.26600001 77122.98885435  3706.53101973
0.26700001 75355.66188429  3635.15730131
0.26800001 73626.01430967  3862.05276337
