# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420969 342.04366858
0.00100000 1628712.31604388 586.33644770
0.00200000 1628511.08725882 879.39601497
0.00300000 1628175.86327135 1367.66777387
0.00400000 1627706.49410702 1831.16987545
0.00500000 1627103.42662455 2343.02902708
0.00600000 1626366.43275398 2219.99027109
0.00700000 1625496.13454837 2535.77407528
0.00800000 1624491.95423278 2412.37065389
0.00900000 1623355.27761657 3409.04622872
0.01000000 1622085.26549314 4014.66120545
0.01100000 1620683.11738875 2917.22973831
0.01200000 1619148.30191451 3157.33932716
0.01300000 1617482.23065312 4076.05540102
0.01400000 1615684.12485881 4725.87627471
0.01500000 1613755.60149116 3873.01361604
0.01600000 1611695.77087163 6164.73659917
0.01700000 1609506.57097031 5214.80152387
0.01800000 1607187.61738381 5954.63039035
0.01900000 1604739.62930272 5295.64101565
0.02000000 1602163.11555383 7065.53965921
0.02100000 1599459.81085117 8972.96994570
0.02200000 1596627.77402529 7160.87589184
0.02300000 1593670.07235642 6884.65502596
0.02400000 1590586.52508459 5964.69974104
0.02500000 1587378.19723547 6809.85277715
0.02600000 1584045.51599946 7056.92309655
0.02700000 1580589.45348811 9293.86641218
0.02800000 1577009.80922516 10289.98947709
0.02900000 1573309.19837817 11327.82674843
0.03000000 1569487.92794356 8757.74304048
0.03100000 1565546.15443558 7514.62188706
0.03200000 1561484.84463308 7729.35033693
0.03300000 1557306.77493683 9530.71790198
0.03400000 1553009.83766829 9783.96242875
0.03500000 1548597.66400786 11707.39888052
0.03600000 1544069.71010492 11140.46347325
0.03700000 1539427.80805833 9652.21280292
0.03800000 1534673.36802824 12568.97546584
0.03900000 1529807.27637215 9178.84408331
0.04000000 1524828.87319763 16879.85640849
0.04100000 1519741.75058270 9574.37347260
0.04200000 1514546.36055679 10745.70692667
0.04300000 1509242.74764936 11953.20311623
0.04400000 1503834.53026309 14211.23697098
0.04500000 1498321.17650733 13439.94157776
0.04600000 1492703.07745837 13680.62434088
0.04700000 1486983.60834604 12847.53897362
0.04800000 1481162.49284542 14152.50827763
0.04900000 1475242.85478762 15490.05069629
0.05000000 1469223.81930130 13487.47528925
0.05100000 1463109.11753999 15977.15230782
0.05200000 1456896.57604176 16215.25964700
0.05300000 1450591.87406835 12924.77420047
0.05400000 1444192.99915694 14297.51135840
0.05500000 1437704.12551238 13284.38673944
0.05600000 1431123.65619341 17130.55096402
0.05700000 1424456.47880022 18589.15791606
0.05800000 1417701.31110739 16310.65434587
0.05900000 1410860.11842409 16507.06415654
0.06000000 1403935.39164526 16699.81226382
0.06100000 1396928.69481035 19487.15620327
0.06200000 1389840.54854876 15760.79255726
0.06300000 1382674.00690118 17255.77241293
0.06400000 1375427.21959628 17433.54082369
0.06500000 1368106.71573677 21670.81139098
0.06600000 1360709.57636562 15042.64507055
0.06700000 1353239.27011070 20704.56180165
0.06800000 1345698.52978487 22284.76869637
0.06900000 1338088.09281196 16859.91075879
0.07000000 1330407.58979592 14168.84149483
0.07100000 1322661.75733696 18570.17194280
0.07200000 1314849.45127547 15837.36238254
0.07300000 1306975.44288599 20310.39933410
0.07400000 1299038.71283959 17537.02344519
0.07500000 1291042.05647976 19133.24417385
0.07600000 1282985.36328472 14818.48164064
0.07700000 1274873.97503636 14916.02620732
0.07800000 1266706.26697657 21014.65795465
0.07900000 1258484.32209999 21142.53760294
0.08000000 1250211.74392507 19747.09542165
