# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 349.57665678
0.00100000 1664582.11847178 549.31211214
0.00200000 1664376.18947129 823.86623988
0.00300000 1664033.11387803 1098.26189428
0.00400000 1663552.78806692 1497.19756615
0.00500000 1662935.63622223 1646.30634502
0.00600000 1662181.41594991 2792.46489248
0.00700000 1661290.73683544 1993.54896705
0.00800000 1660263.13486880 2241.35532670
0.00900000 1659099.91505175 2488.64997896
0.01000000 1657800.20731100 4103.05569026
0.01100000 1656365.30841185 3279.60345345
0.01200000 1654794.65552753 4194.90463568
0.01300000 1653089.58562438 4512.93476780
0.01400000 1651249.51685830 3715.31157763
0.01500000 1649276.02394362 4749.91516047
0.01600000 1647168.04679276 5040.33444851
0.01700000 1644927.69543700 6217.82696768
0.01800000 1642554.62584158 5617.53707315
0.01900000 1640049.39905198 7380.22262875
0.02000000 1637412.82125312 5157.85062027
0.02100000 1634646.29491272 5933.76631956
0.02200000 1631748.21981866 5629.53161414
0.02300000 1628721.57898654 6449.73774637
0.02400000 1625565.93277507 6705.45977845
0.02500000 1622282.85788182 7592.28412163
0.02600000 1618872.51701420 7867.72079255
0.02700000 1615335.77867224 7462.85163927
0.02800000 1611672.66977788 7711.85407855
0.02900000 1607885.86677834 7235.48673271
0.03000000 1603975.33357238 8950.18277273
0.03100000 1599941.68950476 9215.66455559
0.03200000 1595785.77831514 11058.79595307
0.03300000 1591510.29630756 12175.05432803
0.03400000 1587113.41984433 12498.51875796
0.03500000 1582598.34369351 8546.03145058
0.03600000 1577964.99749401 11385.01798306
0.03700000 1573215.03098508 11657.52391873
0.03800000 1568349.80704870 12844.78551418
0.03900000 1563370.54710634 10318.24608874
0.04000000 1558276.25596869 11500.07930195
0.04100000 1553070.86062643 11741.21625074
0.04200000 1547754.67050937 10981.31989672
0.04300000 1542327.61749390 11197.29902276
0.04400000 1536793.67044701 10373.35775728
0.04500000 1531152.27835366 13734.43657500
0.04600000 1525403.62627497 13980.32488471
0.04700000 1519551.10076175 13128.92212118
0.04800000 1513594.98621092 14462.40076615
0.04900000 1507537.91624398 14698.49536756
0.05000000 1501379.25113677 12634.10698664
0.05100000 1495122.53586452 13994.34758761
0.05200000 1488765.93430179 13019.25870218
0.05300000 1482314.93781798 15608.77702287
0.05400000 1475767.79348325 13392.59335041
0.05500000 1469128.51984609 16042.88418511
0.05600000 1462395.62412147 15004.17980364
0.05700000 1455573.97276382 16462.54240041
0.05800000 1448662.41102562 14102.72922982
0.05900000 1441662.79632431 15569.95892751
0.06000000 1434577.90038467 14439.02724195
0.06100000 1427409.04710146 18584.86666176
0.06200000 1420156.99913203 18788.67797677
0.06300000 1412824.96435090 13563.12029192
0.06400000 1405410.78166046 17813.58249063
0.06500000 1397920.77926058 23527.00781550
0.06600000 1390352.99405578 16767.65789285
0.06700000 1382710.43599617 15514.01181792
0.06800000 1374995.61280225 15654.32578452
0.06900000 1367209.90868697 17226.84565600
0.07000000 1359352.28520525 21715.65377306
0.07100000 1351428.02602797 18974.05037413
0.07200000 1343435.49102983 19123.80511070
0.07300000 1335379.96506307 20751.80562942
0.07400000 1327260.88314385 14931.68563513
0.07500000 1319080.07036431 19548.76755910
0.07600000 1310838.16470545 22710.27226819
0.07700000 1302540.31205336 22859.58354839
0.07800000 1294185.07008384 15336.09379970
0.07900000 1285773.88160115 16972.21603320
0.08000000 1277311.67757350 27934.80769898
0.08100000 1268797.80136989 23409.32053360
0.08200000 1260233.30876128 15689.90543033
0.08300000 1251621.31216643 17347.47220078
0.08400000 1242962.56708486 17432.55082163
0.08500000 1234260.97843002 23882.95105381
0.08600000 1225515.60951652 17592.27740059
0.08700000 1216730.04501909 20879.08855296
0.08800000 1207903.09141570 25800.81124434
0.08900000 1199040.43494990 21043.16062176
0.09000000 1190141.17436913 24368.14168991
0.09100000 1181207.97294914 21190.87203028
0.09200000 1172241.64268401 19623.32602057
0.09300000 1163245.76463545 19682.11926254
0.09400000 1154218.44924632 18092.37504223
0.09500000 1145164.18155815 28033.62048220
0.09600000 1136084.00185123 19836.02760477
0.09700000 1126981.09187217 21536.60967817
0.09800000 1117855.64344605 19920.18850281
0.09900000 1108710.00983512 18293.71602250
0.10000000 1099543.83290082 18323.89883701
0.10100000 1090360.02047093 21687.26182716
0.10200000 1081160.59495330 23385.50476881
0.10300000 1071946.55527395 20066.84045869
