# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 353.37391970
0.00100000 1682663.70731184 757.19868627
0.00200000 1682455.93402250 1059.94727200
0.00300000 1682109.78028290 1513.89885618
0.00400000 1681625.14057649 1387.34079369
0.00500000 1681002.45869613 2118.06318179
0.00600000 1680241.46008836 1764.25360492
0.00700000 1679342.79758790 2418.25372903
0.00800000 1678305.95985136 2492.28445560
0.00900000 1677132.30980567 2515.69857225
0.01000000 1675820.93440079 2765.10466116
0.01100000 1674373.13140289 3315.25894452
0.01200000 1672788.38417616 4240.51873981
0.01300000 1671068.01084646 4211.09157306
0.01400000 1669211.36729649 4882.44346579
0.01500000 1667220.15305088 6802.25852734
0.01600000 1665093.23808854 5095.18553632
0.01700000 1662832.76652909 5387.57840523
0.01800000 1660438.30030017 5678.69924255
0.01900000 1657910.52811883 5968.47817054
0.02000000 1655250.18853960 6778.24982869
0.02100000 1652458.78653797 5453.11424281
0.02200000 1649534.65290049 6829.07377327
0.02300000 1646480.67154792 7112.79682485
0.02400000 1643296.55162764 8627.30728943
0.02500000 1639983.89957218 8314.71875057
0.02600000 1636542.72762361 7953.59802003
0.02700000 1632974.13172969 8230.19000087
0.02800000 1629277.95535866 7796.09537392
0.02900000 1625456.87802033 9508.92317301
0.03000000 1621510.96611877 9048.03160684
0.03100000 1617440.81769648 12421.94605148
0.03200000 1613247.30142893 11179.80431382
0.03300000 1608933.10402829 9846.67105059
0.03400000 1604496.40045558 10950.68843838
0.03500000 1599940.42145593 8639.67867483
0.03600000 1595264.94911520 11509.83713978
0.03700000 1590471.85656552 11785.39700220
0.03800000 1585562.35747943 12985.75630873
0.03900000 1580537.88338495 12328.19606132
0.04000000 1575397.23492972 9688.69344378
0.04100000 1570144.44175481 14837.86566256
0.04200000 1564779.76588428 11102.11295401
0.04300000 1559303.26119636 14407.96280224
0.04400000 1553718.74594315 12585.12242662
0.04500000 1548025.81881407 10681.37864613
0.04600000 1542224.64982942 13047.22114408
0.04700000 1536318.55181570 17698.39054003
0.04800000 1530307.90459696 12372.53998434
0.04900000 1524195.33238428 16004.05173498
0.05000000 1517980.19256163 16257.56861939
0.05100000 1511666.04820132 12970.09529777
0.05200000 1505251.05813026 14360.09576376
0.05300000 1498740.64749739 15781.73975386
0.05400000 1492133.23514800 17234.13966965
0.05500000 1485432.70882913 16220.92593711
0.05600000 1478637.70570769 13906.58827112
0.05700000 1471753.10484283 12804.25260982
0.05800000 1464777.59841146 14259.61058635
0.05900000 1457713.19155611 13119.41933676
0.06000000 1450562.69698436 22563.50380573
0.06100000 1443327.43303863 17449.82948089
0.06200000 1436008.04651005 13570.27667384
0.06300000 1428607.81669198 15086.09924962
0.06400000 1421124.66287409 15241.56272212
0.06500000 1413564.92422060 16793.15208529
0.06600000 1405926.55996588 19781.38762426
0.06700000 1398212.53095818 17114.12217985
0.06800000 1390425.66601887 14390.90631692
0.06900000 1382567.05294129 18872.04115622
0.07000000 1374635.81613033 21959.80819103
0.07100000 1366637.12405882 17711.61795737
0.07200000 1358569.47066801 19339.23732094
0.07300000 1350438.36761567 22484.79987434
0.07400000 1342242.65941830 16610.25368873
0.07500000 1333984.74656523 16728.16950602
0.07600000 1325665.04670253 16842.57520795
0.07700000 1317288.68365846 24659.64531434
0.07800000 1308854.20646384 21713.89230353
0.07900000 1300363.30750636 18725.23250637
0.08000000 1291820.75269471 18834.74745785
0.08100000 1283226.02025796 18940.41694766
0.08200000 1274579.91267838 17455.37272323
0.08300000 1265885.94289865 20735.21271782
0.08400000 1257144.46657985 19234.31124150
0.08500000 1248359.55051907 19324.60674923
0.08600000 1239530.54028529 16175.87431020
0.08700000 1230660.51613146 19493.66349090
0.08800000 1221748.72474171 19572.41548956
0.08900000 1212800.88416894 18010.09397584
0.09000000 1203815.83886419 18075.29566964
0.09100000 1194796.40750489 28029.92503694
0.09200000 1185743.38316565 19849.34516685
0.09300000 1176660.44438927 23227.27826374
0.09400000 1167545.65640443 19965.03166282
0.09500000 1158403.35152016 20017.21085513
0.09600000 1149234.77264460 21737.77674642
0.09700000 1140043.12459533 25137.95207913
0.09800000 1130828.66219184 21830.64835004
0.09900000 1121593.54265342 25235.85589635
0.10000000 1112337.51634718 21907.48841471
0.10100000 1103063.58289999 20252.24833454
0.10200000 1093773.79548154 27038.08949608
0.10300000 1084469.07600250 25376.57757219
0.10400000 1075152.20039134 20320.37754337
0.10500000 1065825.44570723 22030.61299929
0.10600001 1056485.88544302 18652.25918515
0.10700001 1047140.67322691 22052.78361591
0.10800001 1037787.26241315 18664.60479289
0.10900001 1028429.86543642 20362.91229403
0.11000001 1019068.69776950 18664.24407817
0.11100001 1009705.87031135 23748.28318763
0.11200001 1000343.63408677 18651.40793560
0.11300001 990980.67498021 18640.34737398
0.11400001 981622.12676895 18626.28073245
0.11500001 972267.82407169 27067.93749673
0.11600001 962918.86545793 16899.22688460
0.11700001 953578.36773933 25317.50685581
0.11800001 944244.36173086 18540.23891580
0.11900001 934921.53512477 18511.44726739
0.12000001 925609.69693387 16799.81679070
0.12100001 916312.23501503 26829.62350513
0.12200001 907027.80476215 25101.99567938
0.12300001 897759.83365643 16698.33369274
0.12400001 888508.27540346 23323.34332828
0.12500001 879274.95263901 19941.95686553
0.12600001 870063.17543228 16574.70427304
0.12700001 860871.86132684 21487.36267134
0.12800001 851701.91527170 18128.47612094
0.12900001 842556.08398319 19715.81329445
0.13000001 833435.33387737 21290.10660740
0.13100001 824339.45426951 22850.69074948
0.13200001 815272.16383992 21144.08456593
0.13300001 806234.36445851 21066.90493646
0.13400001 797224.70888857 17758.18122771
0.13500001 788246.97565405 19296.28687380
0.13600001 779300.12270209 16014.61827663
0.13700001 770387.65486906 17541.72772852
0.13800001 761507.55261719 15877.43322078
0.13900001 752665.36965144 18967.16820967
0.14000001 743858.26158461 17305.86327192
0.14100001 735088.92650123 18788.87384751
0.14200001 726356.88786960 18696.42717559
0.14300001 717667.40837856 17051.77842737
0.14400001 709014.00135364 18505.26630822
0.14500001 700405.76816455 18406.66445565
0.14600001 691837.43623727 18306.01942641
0.14700001 683315.24703170 18203.51903970
0.14800001 674834.90641623 16590.81695698
0.14900001 666399.42327604 16493.38650425
0.15000001 658010.87679412 20865.52588764
0.15100001 649668.81694169 19256.18464275
0.15200001 641375.17479639 14719.56095615
0.15300001 633129.85721676 21937.95058779
0.15400001 624931.89412197 18888.56739121
