# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700842.82053617 714.35400159
0.00200000 1700632.72956358 918.34170304
0.00300000 1700282.72500598 1326.22057275
0.00400000 1699792.67975388 1529.81346991
0.00500000 1699163.06477619 1835.09618259
0.00600000 1698393.58736059 2318.30734113
0.00700000 1697484.91039483 2444.37837256
0.00800000 1696436.50679275 2290.18938086
0.00900000 1695249.79552109 3051.44976238
0.01000000 1693923.79011340 3074.47181181
0.01100000 1692459.87641523 3046.42791019
0.01200000 1690857.49644287 3626.88948889
0.01300000 1689117.94262387 3547.14783596
0.01400000 1687240.58357383 3796.29148133
0.01500000 1685227.18430238 4853.45450691
0.01600000 1683076.60352807 6866.95284937
0.01700000 1680790.92243481 6353.38997181
0.01800000 1678369.75770785 5261.68942718
0.01900000 1675813.79100140 5530.18575984
0.02000000 1673123.81531697 6851.44233365
0.02100000 1670301.30844909 7716.79239490
0.02200000 1667344.59203927 7478.04083504
0.02300000 1664256.58458674 6590.45637495
0.02400000 1661036.93772490 7474.66656059
0.02500000 1657687.32672132 7111.47895642
0.02600000 1654207.89569617 7369.49651239
0.02700000 1650599.42219226 6932.51789072
0.02800000 1646862.15668221 9313.00592313
0.02900000 1642998.40744218 8872.19180755
0.03000000 1639008.56705832 9145.66822457
0.03100000 1634893.01337310 10201.73287286
0.03200000 1630652.71610332 8878.90444813
0.03300000 1626290.37822074 10782.30570467
0.03400000 1621804.19446314 8514.47241379
0.03500000 1617197.44312917 12226.01323463
0.03600000 1612469.87378409 12528.89149831
0.03700000 1607623.35143537 13745.18029045
0.03800000 1602659.00633122 10313.11118303
0.03900000 1597578.53584082 13419.66032253
0.04000000 1592380.55395828 9793.14086065
0.04100000 1587069.18260096 10998.38994538
0.04200000 1581644.67146010 14282.25204588
0.04300000 1576107.05579142 14563.22987151
0.04400000 1570460.27224105 14840.85026192
0.04500000 1564703.69758262 15115.03842097
0.04600000 1558837.89387283 13187.76919522
0.04700000 1552865.91172752 14534.82560975
0.04800000 1546788.15180583 11368.89344475
0.04900000 1540607.27964297 17331.83270274
0.05000000 1534322.90505822 11737.57077027
0.05100000 1527938.20693899 11917.91856931
0.05200000 1521451.70186535 18143.31239025
