# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 349.57665678
0.00100000 1664581.93558306 499.37459253
0.00200000 1664375.44820738 823.86587295
0.00300000 1664031.45456558 998.41890831
0.00400000 1663549.82811585 1372.42866035
0.00500000 1662931.01376270 1496.63797163
0.00600000 1662174.77005680 2094.34029554
0.00700000 1661281.72111615 2192.89196301
0.00800000 1660251.30974004 2689.60723533
0.00900000 1659084.97007976 3981.80409840
0.01000000 1657781.76999777 3282.40804633
0.01100000 1656343.02335571 4472.12635777
0.01200000 1654768.17220206 3872.15769272
0.01300000 1653058.55754464 3818.56543635
0.01400000 1651213.47831863 4086.75354001
0.01500000 1649234.73533142 3958.16354105
0.01600000 1647121.17448191 4620.17510096
0.01700000 1644874.84678472 5773.51097121
0.01800000 1642495.46016149 5149.22349931
0.01900000 1639983.55053875 5903.94104834
0.02000000 1637339.95974077 7220.66954909
0.02100000 1634566.16385419 7012.28916086
0.02200000 1631660.42750148 6192.15160369
0.02300000 1628625.75399345 7035.66357750
0.02400000 1625461.79671382 8533.67482186
0.02500000 1622170.03075398 6326.46340887
0.02600000 1618750.83317862 7867.12940908
0.02700000 1615204.77913510 7462.24642138
0.02800000 1611532.17080918 7711.18179095
0.02900000 1607735.41755586 10128.73359565
0.03000000 1603814.79806713 8203.51306919
0.03100000 1599770.66205926 9214.67943746
0.03200000 1595603.95905161 8688.06395719
0.03300000 1591317.43165245 13796.72276846
0.03400000 1586909.23525329 10830.65603033
0.03500000 1582382.68403589 9399.35357722
0.03600000 1577737.47052937 8756.44336611
0.03700000 1572975.40363762 8965.96021539
0.03800000 1568097.79642740 11008.04704037
0.03900000 1563105.93672742 11254.36326563
0.04000000 1557998.83524415 11498.03193691
0.04100000 1552780.34032967 12717.27157696
0.04200000 1547450.81964033 10979.16407470
0.04300000 1542010.26452929 14248.17550562
0.04400000 1536462.56987300 12445.34739396
0.04500000 1530807.19555510 12675.08416814
0.04600000 1525044.38769860 13977.03246301
0.04700000 1519177.58689815 13125.69496125
0.04800000 1513206.92116222 13346.48566564
0.04900000 1507135.05669381 13564.21614162
0.05000000 1500961.51219539 13778.82732358
0.05100000 1494689.73393384 16322.01265490
0.05200000 1488317.79390292 15381.76511680
0.05300000 1481851.53014411 13203.29774909
0.05400000 1475288.88570647 12171.13387467
0.05500000 1468633.98061682 16037.48381647
0.05600000 1461885.18330856 14998.94268066
0.05700000 1455047.63548010 13924.80652153
0.05800000 1448119.94012248 15379.03448218
