# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664581.92992462 599.24950900
0.00200000 1664375.42545933 1048.55655124
0.00300000 1664031.40592933 1098.26076704
0.00400000 1663549.74419387 1497.19482666
0.00500000 1662930.87591897 1646.30163232
0.00600000 1662174.56010412 2617.92503875
0.00700000 1661281.45286084 3189.66052206
0.00800000 1660250.95083060 2913.74054173
0.00900000 1659084.51502150 3484.07763048
0.01000000 1657781.21178797 3282.40694107
0.01100000 1656342.33829947 3875.84124037
0.01200000 1654767.37309066 3549.47617090
0.01300000 1653057.60931892 3471.42113268
0.01400000 1651212.38209381 5944.36483906
0.01500000 1649233.48442068 3958.16053886
0.01600000 1647119.75346209 5040.18667091
0.01700000 1644873.23285575 5329.38951352
0.01800000 1642493.64231488 5617.32850948
0.01900000 1639981.55894475 7379.91734825
0.02000000 1637337.74447804 5673.37554126
0.02100000 1634563.74526625 8630.49696630
0.02200000 1631657.73840307 7317.98528921
0.02300000 1628622.84409293 6449.34675617
0.02400000 1625458.63585833 7314.56419489
0.02500000 1622166.59803730 8224.38502766
0.02600000 1618747.09336725 7867.11123359
0.02700000 1615200.76862574 10175.76530840
0.02800000 1611527.87710659 7010.14658690
0.02900000 1607730.79326453 10852.18335280
0.03000000 1603809.85189343 7457.71615410
0.03100000 1599765.40669277 11518.31145818
0.03200000 1595598.36076828 9477.85469950
0.03300000 1591311.53048824 8927.25809759
0.03400000 1586903.00172657 11663.73760086
0.03500000 1582376.06125790 11108.28046299
0.03600000 1577730.45708781 8756.40444150
0.03700000 1572968.02252105 10759.10177163
0.03800000 1568089.97285812 12842.65747206
0.03900000 1563097.74913042 10316.44562202
0.04000000 1557990.24102730 9581.64042632
0.04100000 1552771.32696304 10760.70579479
0.04200000 1547441.32189876 11977.19638715
0.04300000 1542000.37702718 12212.64355294
0.04400000 1536452.26442878 12445.26391986
0.04500000 1530796.41128087 10562.49572862
0.04600000 1525033.14633326 16127.22627218
0.04700000 1519165.88624152 12031.79437861
0.04800000 1513194.70889341 13346.37795342
0.04900000 1507122.47320702 13564.10289024
0.05000000 1500948.32891821 13778.70630109
0.05100000 1494676.06947123 13990.16866197
0.05200000 1488303.72179566 14198.41816759
0.05300000 1481836.94559587 13203.16780076
0.05400000 1475273.74647104 13388.10987356
0.05500000 1468618.31594297 13570.03387235
0.05600000 1461868.99147218 19998.36873655
0.05700000 1455030.96030616 15190.52393467
0.05800000 1448102.73472386 15378.85176084
0.05900000 1441086.48102433 14266.75682848
0.06000000 1433984.67981493 20993.53669328
0.06100000 1426799.14825784 14596.15596878
0.06200000 1419530.14850444 18780.38474258
0.06300000 1412180.99188955 14912.63197160
0.06400000 1404749.71294042 16435.57241004
0.06500000 1397242.50420970 22132.32230198
0.06600000 1389657.46240315 13966.05815060
0.06700000 1381997.52298692 15506.01293358
0.06800000 1374265.41674676 25602.56591242
0.06900000 1366462.21498262 15782.63932198
0.07000000 1358587.11896019 15915.84884393
0.07100000 1350645.45661010 21880.45742192
0.07200000 1342635.59681437 14701.86047385
0.07300000 1334562.78369146 19257.74187100
0.07400000 1326426.13061719 16414.52413564
0.07500000 1318228.01244975 16530.58005095
0.07600000 1309968.82549995 15130.14064383
0.07700000 1301653.72494429 16752.28422552
0.07800000 1293281.10173400 18390.45812910
0.07900000 1284852.77721486 18501.88085970
0.08000000 1276373.37262755 17058.73092541
0.08100000 1267842.07018563 17153.90401444
0.08200000 1259260.80748852 17245.57756781
0.08300000 1250631.81672556 22061.14628241
0.08400000 1241956.28928093 20585.42646108
0.08500000 1233237.78901162 17499.64504760
0.08600000 1224475.80015373 25567.05590762
0.08700000 1215673.87873116 17651.58554805
0.08800000 1206830.30765402 20944.54097297
0.08900000 1197951.59943371 16172.34735197
0.09000000 1189036.11996807 22722.48131999
0.09100000 1180086.93135979 26056.32066858
0.09200000 1171104.74086242 21237.98547344
0.09300000 1162093.27732218 24578.27397035
0.09400000 1153050.44189357 18074.06652612
0.09500000 1143980.85871895 23062.65519578
0.09600000 1134885.64443592 21466.36297359
0.09700000 1125767.70744272 19858.54329289
0.09800000 1116627.50002265 26531.07064797
0.09900000 1107467.49569371 18273.21453820
0.10000000 1098287.01537248 21630.76378499
0.10100000 1089089.04936143 21661.98221060
0.10200000 1079875.63067771 21689.30306235
0.10300000 1070648.05137008 18372.32142576
0.10400000 1061408.75574765 21732.34529633
0.10500000 1052160.31701437 23421.08975869
0.10600001 1042899.14304641 26781.65125360
0.10700001 1033633.39430078 23442.80648591
0.10800001 1024359.52956873 26797.24655464
0.10900001 1015082.36445263 21773.51774229
0.11000001 1005801.67659318 18421.25857388
0.11100001 996519.89604247 20089.84204991
0.11200001 987239.20848071 20080.44644583
0.11300001 977958.66853955 16723.09401936
0.11400001 968682.44348509 23393.68211164
0.11500001 959411.16304208 23371.25703221
0.11600001 950145.45328626 16675.05349043
0.11700001 940888.68340794 19984.47657675
0.11800001 931638.73328955 24944.62825868
0.11900001 922400.58583411 18263.53245976
0.12000001 913173.79745662 16574.10520456
0.12100001 903961.52002380 18196.74625529
0.12200001 894762.86574056 16508.37565064
0.12300001 885580.94441617 23060.52887908
0.12400001 876415.73336023 16432.79577478
0.12500001 867269.45850125 18030.53289185
0.12600001 858144.67104015 21251.95377977
0.12700001 849040.99149229 27712.69926831
0.12800001 839958.62221874 24379.80015890
0.12900001 830901.29246558 17822.83356341
0.13000001 821868.77939360 16149.72227630
0.13100001 812861.87583994 20923.06567038
0.13200001 803883.57988139 19244.97380957
0.13300001 794935.12919262 19173.83622004
0.13400001 786014.98589096 19100.16505764
0.13500001 777127.12087451 17438.73341463
0.13600001 768270.46783115 20524.34651585
0.13700001 759447.99998205 23580.86151136
0.13800001 750658.62199749 17216.35630736
0.13900001 741907.30943047 15580.05423277
0.14000001 733191.14582668 17057.69281211
0.14100001 724512.95011196 18518.55187825
0.14200001 715872.42264851 16891.01060906
0.14300001 707274.18668714 21387.97241424
0.14400001 698712.44042165 21275.79481442
0.14500001 690196.14745082 25696.00378173
0.14600001 681719.89852371 19541.50181304
0.14700001 673290.00664955 19431.15050860
0.14800001 664901.97683239 16346.61587164
0.14900001 656558.95930609 16249.83500951
0.15000001 648262.72075548 16151.46644970
0.15100001 640013.31475048 16051.53469133
0.15200001 631812.35179812 17400.11298958
0.15300001 623659.80581221 15847.19641350
0.15400001 615554.76908125 14311.64905652
0.15500001 607501.56649683 24166.41345573
0.15600001 599496.76614568 18353.59436175
0.15700001 591547.37463468 21029.51016079
0.15800001 583645.21150379 13919.93895137
0.15900001 575799.15499900 20728.77055837
0.16000001 568003.65013721 21947.66207728
0.16100001 560265.75718939 14975.90439660
0.16200001 552579.99078155 13510.58141239
0.16300001 544950.68362868 18768.10243017
0.16400001 537376.56170662 17290.09168917
0.16500001 529859.37982650 13193.49918056
0.16600001 522398.40233362 14394.68865592
0.16700001 514994.32259743 14275.64329642
0.16800001 507647.00111643 16729.50771170
0.16900001 500360.31171195 12759.18855112
0.17000001 493131.10895640 15178.57625041
0.17100001 485961.02485697 15045.35404003
0.17200001 478850.85162426 18639.27027967
0.17300001 471800.27748654 17239.58295349
0.17400001 464810.73084304 14641.53871302
0.17500001 457881.27155164 20549.71243775
0.17600001 451010.80526961 17961.50616817
0.17700001 444204.11544173 14232.30053095
0.17800001 437457.70764970 12920.31400569
0.17900001 430773.00059742 13957.04587860
0.18000001 424151.11255117 11515.70324971
0.18100001 417592.45171038 14820.35681126
0.18200001 411093.30807639 16926.76775963
0.18300001 404659.44445324 14519.18155286
0.18400001 398286.93458601 12157.70925258
0.18500001 391978.30234416 13123.43418246
0.18600001 385732.51417461 12983.75704051
0.18700001 379549.54633061 12843.95725464
0.18800001 373429.79444853 12704.08220736
0.18900001 367375.37155064 13611.25815905
0.19000001 361380.27055581 11388.89976468
0.19100001 355453.91176041 12284.48777088
0.19200001 349587.38386659 13156.72181349
0.19300001 343787.03431207 11004.62348833
0.19400001 338049.29785717 13843.11940139
0.19500001 332375.51391915 13680.57679939
0.19600001 326764.48356654 10621.48004026
0.19700001 321217.96049802 11448.20865316
0.19800001 315734.88860310 14137.03030530
0.19900001 310316.07405680 13964.22399250
0.20000001 304958.78053508 9194.50766768
0.20100001 299666.61720579 9079.89893047
0.20200001 294436.56454161 9862.15319544
0.20300001 289270.43497708 11507.17844727
0.20400001 284167.26698617 13107.21580926
0.20500001 279126.13058149 12074.99697970
0.20600001 274148.47287094 11066.00363050
0.20700001 269233.01558720 8400.07048338
0.20800001 264379.84173988 14918.95517460
0.20900001 259590.97224908 13901.09722106
0.21000001 254861.67609426 8873.00967267
0.21100001 250194.54750460 11138.66178147
