# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664581.99846308 599.24953368
0.00200000 1664375.70261874 973.65981686
0.00300000 1664032.02492609 1098.26117557
0.00400000 1663550.84993566 1996.26109578
0.00500000 1662932.60530323 1945.63122522
0.00600000 1662177.04727248 1745.28597069
0.00700000 1661284.81109953 2392.25022741
0.00800000 1660255.37758855 2465.47933981
0.00900000 1659090.07957797 2737.49874833
0.01000000 1657788.08989127 3829.49065300
0.01100000 1656350.64872764 3577.71755702
0.01200000 1654777.25021545 4517.54209115
0.01300000 1653069.18346534 4860.02361374
0.01400000 1651225.86092111 4829.83585731
0.01500000 1649248.90991117 5145.65682805
0.01600000 1647137.23952611 4200.20014856
0.01700000 1644892.97551458 6217.69572636
0.01800000 1642515.77854769 4681.17017950
0.01900000 1640006.21963571 7380.02832137
0.02000000 1637365.01389089 5673.47002978
0.02100000 1634593.74320396 8091.23939570
0.02200000 1631690.63857360 6755.19955060
0.02300000 1628658.73481302 6449.48888343
0.02400000 1625497.69544617 6705.17829946
0.02500000 1622208.93655496 6326.61514150
0.02600000 1618792.75383224 9834.16642933
0.02700000 1615249.94446028 10176.07511618
0.02800000 1611580.64668391 8412.45136148
0.02900000 1607787.42547096 9405.55687085
0.03000000 1603870.26072996 9695.39617176
0.03100000 1599829.83739963 11518.77535929
0.03200000 1595666.79469280 8688.40609727
0.03300000 1591384.23262322 10550.87794869
0.03400000 1586980.02810561 9164.81008518
0.03500000 1582457.51190188 12817.90643831
0.03600000 1577816.41924732 10508.25783781
0.03700000 1573058.60510315 8966.43446376
0.03800000 1568185.35442254 12843.43864711
0.03900000 1563197.98785694 12192.94486994
0.04000000 1558095.39674122 10540.51584739
0.04100000 1552881.57135918 10761.46978849
0.04200000 1547556.75394072 10979.91567860
0.04300000 1542121.05635631 10177.99944439
0.04400000 1536578.27531218 12446.28460806
0.04500000 1530927.85279280 12676.08321012
0.04600000 1525170.19570828 10752.45037959
0.04700000 1519308.44469652 15314.62983479
0.04800000 1513342.95633588 14459.99262059
0.04900000 1507276.57557694 12435.03232733
0.05000000 1501108.30051486 11483.47903368
0.05100000 1494842.00132482 12825.74496884
0.05200000 1488475.75681949 16566.73594543
0.05300000 1482015.01818184 13204.75442758
0.05400000 1475458.00521582 13389.78202175
0.05500000 1468808.81302375 13571.79406545
0.05600000 1462065.82288057 13750.72970586
