# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 277.65093691
0.00100000 1682663.42241821 605.75884646
0.00200000 1682454.78644182 984.23608123
0.00300000 1682107.20945679 1312.04367012
0.00400000 1681620.58002734 1765.70167612
0.00500000 1680995.33999769 2118.05421223
0.00600000 1680231.20290341 2117.09140185
0.00700000 1679328.85745312 2418.23365523
0.00800000 1678287.75917028 2718.82628464
0.00900000 1677109.28256258 3521.92964394
0.01000000 1675792.52360088 3318.06934000
0.01100000 1674338.79158860 3013.80995608
0.01200000 1672747.56604037 3588.04368647
0.01300000 1671020.14495023 4210.97095100
0.01400000 1669155.90916495 5257.84134695
0.01500000 1667156.56985280 5201.52872956
0.01600000 1665020.99654769 5094.96447720
0.01700000 1662751.28023215 4489.42865802
0.01800000 1660347.11582116 4731.98949302
0.01900000 1657809.06800166 4973.42742842
0.02000000 1655137.95938356 6777.79025027
0.02100000 1652335.25369376 5997.97724285
0.02200000 1649399.32662935 9673.72749018
0.02300000 1646333.07094537 10075.55885281
0.02400000 1643136.13261276 6161.76077826
0.02500000 1639810.13423978 7674.31177873
0.02600000 1636355.24793285 7289.96296297
0.02700000 1632772.33613651 8229.17295103
0.02800000 1629061.43079190 10629.62632339
0.02900000 1625225.14044016 8044.86481455
0.03000000 1621263.66251256 9800.53929037
0.03100000 1617177.39692850 8538.69704867
0.03200000 1612967.33730890 8782.60755616
0.03300000 1608636.12251603 11485.66244426
0.03400000 1604181.97988849 11790.73809621
0.03500000 1599608.20182517 8637.88468874
0.03600000 1594914.58549778 16818.37508131
0.03700000 1590102.85469031 13595.38003635
0.03800000 1585174.34502101 10200.59738229
0.03900000 1580130.45081545 15169.25303032
0.04000000 1574970.11907364 11623.28001737
0.04100000 1569697.18444144 9889.09272050
0.04200000 1564312.09947891 16143.70161557
0.04300000 1558814.72114694 15432.26645569
0.04400000 1553209.05444793 14677.82624620
0.04500000 1547494.69144825 11745.48525384
0.04600000 1541671.69192939 15216.30030670
0.04700000 1535743.64169516 14374.56115480
0.04800000 1529710.62304800 14616.38568330
0.04900000 1523575.32506011 17140.22320476
0.05000000 1517337.35996062 16250.68388191
0.05100000 1510999.96540636 11785.80027920
0.05200000 1504561.61712867 13157.39195494
0.05300000 1498027.54711528 15774.23080648
0.05400000 1491396.36966362 12304.02062351
0.05500000 1484671.81694813 12471.24384414
0.05600000 1477852.50995662 17689.89536966
0.05700000 1470943.44392062 16636.37112730
0.05800000 1463943.40642357 14251.48972697
0.05900000 1456854.06985740 13111.68724111
0.06000000 1449678.61702103 14591.01596199
0.06100000 1442418.25452628 18780.28655156
0.06200000 1435073.71698458 14917.59198536
0.06300000 1427648.27933077 16446.50894685
0.06400000 1420139.70135963 16615.63528297
0.06500000 1412554.29197927 22374.86103160
0.06600000 1404890.35539953 15531.06360562
0.06700000 1397150.77320529 19951.31397507
0.06800000 1389338.17498519 15817.61586261
0.06900000 1381453.79694557 21757.89832057
0.07000000 1373496.79401576 17553.28984952
0.07100000 1365472.28542985 17696.52164804
0.07200000 1357378.87728604 19322.28922335
0.07300000 1349221.83834478 14976.36310735
0.07400000 1341000.45757515 19612.13261114
0.07500000 1332716.73906981 27347.34876755
0.07600000 1324371.34070688 15296.48970227
0.07700000 1315969.45253396 21555.58064322
0.07800000 1307509.38830355 18592.78437361
0.07900000 1298992.98340156 18705.49983834
0.08000000 1290424.95752932 20382.26316033
0.08100000 1281804.86084424 18919.44063373
0.08200000 1273133.65342419 25360.82356627
0.08300000 1264414.48475975 17524.78558124
0.08400000 1255648.13421246 17610.46590894
0.08500000 1246838.48234042 17692.63889499
0.08600000 1237984.61295068 17771.26995329
0.08700000 1229090.44603239 21091.19304431
0.08800000 1220154.58814282 19546.87742004
0.08900000 1211182.70252176 21256.25742766
0.09000000 1202173.61510348 19691.60474042
0.09100000 1193130.58267613 23051.28394028
0.09200000 1184054.07157688 21472.82159698
0.09300000 1174948.10523509 21536.79978102
0.09400000 1165810.32823243 19935.35754969
0.09500000 1156645.50763398 18321.26570207
0.09600000 1147454.54626281 23373.65020612
0.09700000 1138240.77734786 16732.14021364
0.09800000 1129004.67371043 20118.86423146
0.09900000 1119748.02143086 28553.57588915
0.10000000 1110470.97127402 21870.72680776
0.10100000 1101176.01231708 21902.39191510
0.10200000 1091865.61511828 20243.18945646
0.10300000 1082540.69594171 21953.92634643
0.10400000 1073204.03303022 16902.96431543
0.10500000 1063857.81830105 21989.94213890
0.10600001 1054499.17339425 25387.06879402
0.10700001 1045135.28769071 22010.55019453
0.10800001 1035763.46529554 22015.15349093
0.10900001 1026388.27531071 25403.11100955
0.11000001 1017009.42483344 18626.52849257
0.11100001 1007629.30395580 25392.25965499
0.11200001 998250.52957149 18612.38200008
0.11300001 988871.30480940 27055.52017338
0.11400001 979496.83469678 23654.84967170
0.11500001 970127.26950850 21944.27986959
0.11600001 960763.33206881 18547.53699902
0.11700001 951408.25830752 26943.88314419
0.11800001 942060.09634759 18497.35086298
0.11900001 932723.84643081 25183.54503982
0.12000001 923398.65311496 28491.46678395
0.12100001 914088.50127282 18400.60239744
0.12200001 904791.98182277 16693.41285108
0.12300001 895512.16068668 16656.52697353
0.12400001 886249.33974389 16617.17590316
0.12500001 877005.46309720 21548.02524365
0.12600001 867783.30337117 18184.39997905
0.12700001 858582.22739387 19781.73545140
0.12800001 849402.79451338 16435.94484845
0.12900001 840248.60656367 22938.78804034
0.13000001 831119.64173502 21230.95224884
0.13100001 822016.06753384 21158.69457569
0.13200001 812941.81963168 19461.82807942
0.13300001 803897.18315068 16158.33414308
0.13400001 794881.27556498 19315.61590688
0.13500001 785897.98571790 20842.01556390
0.13600001 776946.09537256 20756.11591654
0.13700001 768028.91276906 20667.65901716
0.13800001 759144.87387240 20576.62277662
0.13900001 750299.32876438 18907.54397651
0.14000001 741489.14503574 17250.74577281
0.14100001 732717.48349187 20288.94807478
0.14200001 723983.78417637 20188.28877394
0.14300001 715292.69111398 23175.48428523
0.14400001 706638.39576990 23054.07874945
0.14500001 698029.78662710 18344.22365790
0.14600001 689462.03926406 21283.69415613
0.14700001 680940.50972399 19651.94403774
0.14800001 672461.64301401 15029.51843044
0.14900001 664028.06706673 17928.75865669
0.15000001 655641.83065641 22275.43224757
0.15100001 647302.56140435 19186.04882532
0.15200001 639012.57601262 14665.33931150
0.15300001 630771.07465469 20399.13751695
0.15400001 622577.76999838 18817.41398621
0.15500001 614436.49853556 20128.94064197
0.15600001 606344.69120768 14279.41815186
0.15700001 598308.28703875 17015.88848648
0.15800001 590319.70504988 15487.03819295
0.15900001 582387.63939866 16772.76480637
0.16000001 574506.78255794 16649.20734441
0.16100001 566684.07681351 15147.46608825
0.16200001 558913.88307552 15031.98959492
0.16300001 551200.78870125 17627.40205482
0.16400001 543543.27758629 20179.04513304
0.16500001 535943.23943944 20017.48093811
0.16600001 528400.01670941 18530.98946090
0.16700001 520914.26377997 19690.56010057
0.16800001 513485.84092596 15620.24001850
0.16900001 506118.57013028 14196.62656249
0.17000001 498809.38933853 12794.46144068
0.17100001 491559.95382038 12682.24740744
0.17200001 484370.92959903 16340.25408166
0.17300001 477241.93972534 17438.42130108
0.17400001 470174.71196063 13576.29544902
0.17500001 463168.16064076 14673.16802208
0.17600001 456221.15297638 15746.47383867
0.17700001 449338.58362175 13197.07482428
0.17800001 442517.00721274 14257.89864582
0.17900001 435757.53620115 17648.18104973
0.18000001 429061.69003370 16308.63560852
0.18100001 422429.36329141 12685.55437886
0.18200001 415857.43060764 15981.40181318
0.18300001 409351.34938339 15817.33688737
0.18400001 402907.14428446 16771.01067311
0.18500001 396527.59183427 12169.43236830
0.18600001 390211.41582114 13134.51687706
0.18700001 383958.70096637 14075.92664244
0.18800001 377769.60504056 13922.69945156
0.18900001 371646.89767468 11651.13079259
0.19000001 365583.90191144 10473.97928465
0.19100001 359590.24724801 15534.29941511
0.19200001 353657.39663158 11262.22032789
0.19300001 347791.02214059 14169.00691153
0.19400001 341987.87789652 13004.08967151
0.19500001 336249.43647015 14828.60084906
0.19600001 330574.57145530 12699.02276256
0.19700001 324964.56592182 9651.44806398
0.19800001 319418.72998397 11441.57944874
0.19900001 313937.79106752 12243.57443026
0.20000001 308519.14337446 11162.22313483
0.20100001 303166.26787423 9185.93835074
0.20200001 297875.88036239 11791.41728145
0.20300001 292650.30095953 12537.13948567
0.20400001 287488.45704245 10608.32456628
0.20500001 282389.07967690 14833.89905658
0.20600001 277353.89923489 11195.39067180
0.20700001 272381.53625365 10197.96519939
0.20800001 267471.92546992 8385.24525985
0.20900001 262627.56210156 9927.32231672
0.21000001 257843.32708152 8160.74168791
0.21100001 253121.89127192 10464.05947985
0.21200001 248462.45123404 11907.56353831
0.21300001 243865.06389460 10959.29648953
0.21400001 239329.93737976 10033.90809901
0.21500001 234857.19168909 11414.06005572
0.21600001 230443.75711337 7500.94464867
0.21700001 226092.26880050 7393.21753932
0.21800001 221801.31407974 9472.02556562
0.21900001 217569.71472971 9333.74120322
0.22000001 213397.95033330 8488.97086564
0.22100001 209288.11610051 10453.94189352
0.22200001 205236.69846047 6865.16788812
0.22300001 201244.14834089 9466.52518558
0.22400001 197308.46338074 7990.99314478
0.22500001 193434.47743373 8524.65782361
0.22600001 189616.48461357 7102.08576705
0.22700001 185857.29660458 6991.95182891
0.22800001 182154.70955512 7508.41748294
0.22900001 178508.48962315 6158.54318324
0.23000001 174919.32554658 6060.95491682
0.23100001 171387.64409297 10139.29350405
0.23200001 167909.71714993 5868.44489193
0.23300001 164488.42268141 6350.89830009
0.23400001 161121.94360357 6247.50365871
0.23500001 157808.72760550 7821.00091003
0.23600001 154550.64003797 7691.98571850
0.23700001 151345.98279037 9725.49331410
0.23800001 148194.50925883 5844.05074904
0.23900001 145096.14959291 5745.80779565
0.24000001 142049.77221831 6162.11941030
0.24100001 139056.66369817 7066.85998341
0.24200001 136114.25353096 5457.50125347
0.24300001 133222.96746253 6338.74909171
0.24400001 130381.85017422 6708.14650878
0.24500001 127591.13983530 5649.73593916
0.24600001 124850.20550350 5550.84039927
0.24700001 122159.29551828 4998.75860908
0.24800001 119516.16707884 4463.92905157
0.24900001 116921.19307431 4822.99944248
0.25000001 114374.67533542 5598.06874913
0.25100001 111874.84341335 4651.75620920
0.25200001 109423.03786730 6228.90672528
0.25300001 107017.73538026 4892.85109307
0.25400001 104657.54091632 4803.78135533
0.25500001 102342.94908476 4322.96637387
0.25600001 100073.69148450 6172.54558280
0.25700001 97848.95111947  4165.43004624
0.25800001 95667.91995540  4831.70852596
0.25900001 93531.00498580  4012.48030374
0.26000001 91437.47310731  3937.75496568
0.26100001 89384.38190214  3864.08701246
0.26200001 87376.12914482  4136.38614944
0.26300001 85408.00633747  4396.80437430
0.26400001 83480.80441826  4313.87077244
0.26500001 81595.23832159  4557.91022832
0.26600001 79748.89287617  3193.94331083
0.26700001 77943.30959844  4073.31755236
0.26800001 76176.82351953  4610.60246170
0.26900001 74448.40446761  3618.19262834
0.27000001 72758.76911835  2957.64410462
0.27100001 71106.85145971  3481.39161222
0.27200001 69492.57988778  3130.29340918
0.27300001 67914.59607911  4186.93504642
0.27400001 66371.95002326  3559.19598844
0.27500001 64867.41170451  3491.16426316
0.27600001 63396.02283914  2897.51536099
0.27700001 61961.40199305  3358.92776101
0.27800001 60560.18699754  3041.33273495
0.27900001 59193.54161916  2734.74175223
0.28000001 57859.96655687  3658.19655869
0.28100001 56559.34455972  2870.95246573
0.28200001 55291.74943224  2347.13487449
0.28300001 54056.17707744  2533.07257774
0.28400001 52852.43214708  2485.38573935
0.28500001 51680.02195864  2438.78035166
0.28600001 50537.62650541  2610.77390884
0.28700001 49426.02716764  3202.80671206
0.28800001 48343.62369827  2095.69618652
0.28900001 47292.22085902  2262.93287522
0.29000001 46268.27761352  3231.37666148
0.29100001 45274.06965493  2181.30477923
0.29200001 44307.31728868  2142.03735572
0.29300001 43368.24127429  2103.79348380
0.29400001 42456.12400407  2066.55193372
0.29500001 41571.98158126  2953.27371133
0.29600001 40712.97667673  2176.51583617
0.29700001 39879.71238446  1960.88555077
0.29800001 39072.61376165  1927.64749118
0.29900001 38290.54458954  1895.38204691
0.30000001 37532.92544329  2541.91749598
0.30100001 36800.42832343  2500.58922296
0.30200001 36090.55322377  2460.47358251
0.30300001 35404.61929698  1937.34085965
0.30400001 34742.44450258  1748.41360237
0.30500001 34101.74520382  1878.32421475
0.30600001 33483.67536780  2004.50032079
0.30700001 32887.74496947  1671.35527848
0.30800001 32313.06960064  1797.25301628
0.30900001 31759.46510100  1624.49671683
0.31000001 31227.23166074  1748.10051113
0.31100001 30713.80601141  1437.40618939
0.31200001 30221.45606592  1560.78717242
0.31300001 29747.93961342  1961.57923098
0.31400001 29295.11632558  1522.61374311
0.31500001 28860.02944772  1367.96546059
0.31600002 28443.69531346  1758.24710905
0.31700002 28044.89605336  1471.51576559
0.31800002 27664.25116571  1720.85482524
0.31900002 27301.37736886  1703.60602848
0.32000002 26955.16779370  1557.46966887
0.32100002 26626.05843603  1286.03868335
0.32200002 26313.34307425  1912.32229847
0.32300002 26016.08889149  1390.82017800
0.32400002 25734.80940131  1505.48642126
0.32500002 25468.51756318  1868.11585172
0.32600002 25217.78271469  1236.93230073
0.32700002 24981.55041432  1843.63850788
0.32800002 24760.46593236  1710.70067227
0.32900002 24552.19986029  1823.00092595
0.33000002 24359.30639333  1451.32754364
0.33100002 24177.51224644  1565.25221696
0.33200002 24011.44948296  1559.18354601
0.33300002 23856.64996435  1314.74004180
0.33400002 23715.44535361  1191.70118545
0.33500002 23585.79971505  1545.34167051
0.33600002 23468.25928226  1423.58467548
0.33700002 23361.58171702  1302.87547406
0.33800002 23267.74679852  1893.06396918
0.33900002 23183.78226082  1537.08483669
0.34000002 23111.29727621  1182.14291166
0.34100002 23049.24619120  1537.15430129
