# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 403.85590823
0.00100000 1682663.36113496 706.71862846
0.00200000 1682454.54439800 757.10456895
0.00300000 1682106.65957668 1110.19043487
0.00400000 1681619.59289960 1261.21474260
0.00500000 1680993.80266589 2118.05227519
0.00600000 1680229.00188242 2293.51268094
0.00700000 1679325.84996402 2418.22932445
0.00800000 1678283.80881416 2718.81988507
0.00900000 1677104.30940129 2767.22222880
0.01000000 1675786.38381834 3318.05718323
0.01100000 1674331.38041191 3315.17627756
0.01200000 1672738.73782083 5545.12915900
0.01300000 1671009.78350926 5614.59312022
0.01400000 1669143.92299903 4882.24619121
0.01500000 1667142.82025298 5201.48583081
0.01600000 1665005.38524712 5094.91670662
0.01700000 1662733.69330323 4489.38117331
0.01800000 1660327.41042038 5205.12666589
0.01900000 1657787.13345861 5470.69778727
0.02000000 1655113.69096394 6256.33003485
0.02100000 1652308.56011078 7088.40404425
0.02200000 1649370.05887083 6828.39235396
0.02300000 1646301.16201165 7112.02134362
0.02400000 1643101.44226306 8010.11989627
0.02500000 1639772.55973434 7674.13593004
0.02600000 1636314.71985561 6627.07491853
0.02700000 1632728.69376734 6857.46082790
0.02800000 1629014.59488287 7794.83519398
0.02900000 1625175.04340181 8044.61683420
0.03000000 1621210.15250891 9046.35306682
0.03100000 1617120.38693159 9314.61385732
0.03200000 1612906.69099467 13572.61042985
0.03300000 1608571.84114955 8203.71676806
0.03400000 1604113.96825743 8421.59872193
0.03500000 1599536.28852640 9501.24599260
0.03600000 1594838.70421573 15047.30386967
0.03700000 1590022.95678845 12688.38378198
0.03800000 1585090.28828579 9272.77861561
0.03900000 1580042.18995337 11376.30429450
0.04000000 1574877.56323529 10654.04720898
0.04100000 1569600.27292033 12855.02683126
0.04200000 1564210.67380767 11098.07524554
0.04300000 1558708.74238583 18517.46071909
0.04400000 1553098.53929379 11531.75718981
0.04500000 1547379.49281649 12812.30279584
0.04600000 1541551.84901037 15215.11745704
0.04700000 1535618.96006174 13267.74843199
0.04800000 1529580.97393986 16863.63102232
0.04900000 1523440.77926103 15996.12892682
0.05000000 1517197.81900707 12767.22024146
0.05100000 1510855.40913592 17677.00911036
0.05200000 1504411.90545260 15548.09776741
0.05300000 1497872.78381444 14559.32413740
0.05400000 1491236.37970393 23375.13134193
0.05500000 1484506.58763908 13716.84150967
0.05600000 1477681.92905715 13897.59919130
0.05700000 1470767.53176407 14075.24593599
0.05800000 1463762.04692010 14249.72419212
0.05900000 1456667.35134347 22287.01151649
0.06000000 1449486.41150988 15915.36154193
0.06100000 1442220.51059233 14753.91651283
0.06200000 1434870.54968037 14915.48006113
