# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700842.69496211 561.27810267
0.00200000 1700632.22838141 1071.39833781
0.00300000 1700281.59706786 1224.20279350
0.00400000 1699790.68321862 1402.32736694
0.00500000 1699159.94229939 1529.24400860
0.00600000 1698389.08475775 1961.63947276
0.00700000 1697478.79770524 2648.06703447
0.00800000 1696428.53964490 2748.21435025
0.00900000 1695239.71578661 3560.00355533
0.01000000 1693911.33693206 3912.93535727
0.01100000 1692444.80397979 3046.40077980
0.01200000 1690839.59355210 3956.56482238
0.01300000 1689096.95859887 4256.52452340
0.01400000 1687216.30034751 4935.10789729
0.01500000 1685199.34926838 6066.71792751
0.01600000 1683044.94957399 5579.29425725
0.01700000 1680755.28629032 5445.64737187
0.01800000 1678329.87598291 7174.86054268
0.01900000 1675769.42169350 7038.23188870
0.02000000 1673074.70860204 7378.25979870
0.02100000 1670247.31484337 7716.54294443
0.02200000 1667285.48050383 5752.13516907
0.02300000 1664192.09802284 5991.09182559
0.02400000 1660966.92065920 6228.62623648
0.02500000 1657611.53879818 10343.49647449
0.02600000 1654126.02433057 11388.65819841
0.02700000 1650511.51706029 7625.36355807
0.02800000 1646767.71948818 8596.12788994
0.02900000 1642897.40969286 10350.25415629
0.03000000 1638900.79445749 8382.97794898
0.03100000 1634778.31758444 9416.32354256
0.03200000 1630530.85910157 10492.46656158
0.03300000 1626161.23732796 10781.44950051
0.03400000 1621667.50675246 9365.13028361
0.03500000 1617053.12123427 8732.08725790
0.03600000 1612317.67323586 10738.03620000
0.03700000 1607463.22032502 12827.55709144
0.03800000 1602490.68931653 12186.94225626
0.03900000 1597401.95375720 12459.73581632
0.04000000 1592195.63694878 12729.60470728
0.04100000 1586875.64174917 9997.31700656
0.04200000 1581442.33988165 15300.45534819
0.04300000 1575895.93917822 13521.18778578
0.04400000 1570240.17083412 11659.03380991
0.04500000 1564474.53703652 11874.36228785
0.04600000 1558599.42482524 13185.75174699
0.04700000 1552618.23377522 14532.50734401
0.04800000 1546531.02177507 15913.80495450
0.04900000 1540340.65574292 11552.55545581
0.05000000 1534046.54263219 12909.00225737
0.05100000 1527652.21747337 13107.25663651
0.05200000 1521155.96744551 14511.82860570
0.05300000 1514562.82042710 18401.93912605
0.05400000 1507871.91316440 17415.92140922
0.05500000 1501086.63424865 17652.77964225
0.05600000 1494205.61193374 16608.09615165
0.05700000 1487234.08186483 16820.61825105
0.05800000 1480170.63068947 15719.41283190
0.05900000 1473016.93935974 18560.01430279
0.06000000 1465776.34125212 16094.22497885
0.06100000 1458450.05190108 27127.17223305
0.06200000 1451038.74745433 19197.24352617
0.06300000 1443545.49409065 22172.85982593
0.06400000 1435968.54430690 18200.90215029
0.06500000 1428314.00027550 14140.30926418
0.06600000 1420579.93287693 17132.19479209
0.06700000 1412769.40644304 17292.29834412
0.06800000 1404885.45568423 20356.79120575
0.06900000 1396928.80163754 16134.52841431
0.07000000 1388898.66346846 16270.94860448
0.07100000 1380800.32955004 19386.43753490
0.07200000 1372632.42806764 22545.48868719
0.07300000 1364400.32818230 16659.32878769
0.07400000 1356102.90378639 18307.39005908
0.07500000 1347742.81513190 18437.12257520
0.07600000 1339320.22453438 17016.06425043
0.07700000 1330840.34667391 20242.08262203
0.07800000 1322301.70455014 15669.27593375
0.07900000 1313706.31042074 18917.37175735
0.08000000 1305058.45698853 25370.33759401
0.08100000 1296358.33534091 22323.29158194
0.08200000 1287606.04948349 20839.90488881
0.08300000 1278805.56298576 19335.54101980
0.08400000 1269957.20349241 22668.73714638
0.08500000 1261064.92896574 24401.60752102
0.08600000 1252128.11789762 21242.35451749
0.08700000 1243150.14587247 16409.58269607
0.08800000 1234130.04333633 19770.76422276
0.08900000 1225073.75653248 19846.19578800
0.09000000 1215979.53538721 19917.74572529
0.09100000 1206851.07094288 16654.54556146
0.09200000 1197688.55184493 25061.63412492
0.09300000 1188496.12599162 25136.69424595
0.09400000 1179271.71414715 16804.62271637
0.09500000 1170019.55501575 25272.42357621
0.09600000 1160740.96112940 20266.53813400
0.09700000 1151439.22100631 18618.77307899
0.09800000 1142114.85656423 28832.69090961
0.09900000 1132769.42136959 23788.15896734
0.10000000 1123403.21557928 20423.47141969
0.10100000 1114018.81876718 18748.93760165
0.10200000 1104618.87105013 17066.36236046
0.10300000 1095204.17744398 17085.18597183
0.10400000 1085777.25404370 18811.09181128
0.10500000 1076340.63942330 18825.19866923
0.10600001 1066891.24283120 22260.68682912
0.10700001 1057436.03174300 18843.51097239
0.10800001 1047973.21606304 17134.36288900
0.10900001 1038506.66354998 20562.43290607
0.11000001 1029036.08306536 18846.79674845
0.11100001 1019564.30011804 18841.54915312
0.11200001 1010093.36663569 20545.30004458
0.11300001 1000621.82713357 25665.95107435
0.11400001 991155.10904113 20516.91172318
