# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420645 459.24646524
0.00100000 1700842.55952858 816.40444796
0.00200000 1700631.68415476 994.86956673
0.00300000 1700280.37762548 1020.16826292
0.00400000 1699788.50874875 1529.80971600
0.00500000 1699156.55932603 1988.01325310
0.00600000 1698384.20399160 2318.29453283
0.00700000 1697472.16332664 2036.96668065
0.00800000 1696419.86370648 2290.16691269
0.00900000 1695228.74503431 4068.54916200
0.01000000 1693897.81140821 3912.90411331
0.01100000 1692428.47947867 3960.28281441
0.01200000 1690820.14378218 3297.09942493
0.01300000 1689074.17656206 3547.05592722
0.01400000 1687189.86916592 4175.79511130
0.01500000 1685169.08353791 5662.16837282
0.01600000 1683010.54142009 5150.01248697
0.01700000 1680716.46362507 8168.28237964
0.01800000 1678286.41223309 5261.42813910
0.01900000 1675721.07447774 6032.59614033
0.02000000 1673021.24310602 5270.01715418
0.02100000 1670188.47576168 7165.10888587
0.02200000 1667220.97362374 8627.86893049
0.02300000 1664121.73236104 6589.92236011
0.02400000 1660890.44334338 6851.17339119
0.02500000 1657528.67662114 7110.79834746
0.02600000 1654036.64072064 7368.73357144
0.02700000 1650415.23810185 10397.61647626
0.02800000 1646664.46523793 8595.58890273
0.02900000 1642786.86157608 8871.04945982
0.03000000 1638782.78417959 9906.44238572
0.03100000 1634652.58943497 7846.33279032
0.03200000 1630397.23194506 8877.51333682
0.03300000 1626019.43396169 9121.96944505
0.03400000 1621517.41947145 11066.85689852
0.03500000 1616894.45723768 9604.35351950
0.03600000 1612150.30461749 10736.92152495
0.03700000 1607286.90198291 10993.84291800
0.03800000 1602305.25311011 14060.22924674
0.03900000 1597207.16227818 9583.24341747
0.04000000 1591991.33327318 11748.89658399
0.04100000 1586661.67117805 12994.75968947
0.04200000 1581218.57685429 13258.51838202
0.04300000 1575662.04160617 11439.30695305
0.04400000 1569996.09239602 13776.71635059
0.04500000 1564220.22744428 11872.43207795
0.04600000 1558334.59780942 12084.88536780
0.04700000 1552342.75486527 11176.86835484
0.04800000 1546244.71194824 14774.36891009
0.04900000 1540043.38404843 19635.55406060
0.05000000 1533738.28673346 15253.02797184
0.05100000 1527332.66652426 14295.83442462
0.05200000 1520825.05231192 13299.61570225
0.05300000 1514220.60121442 15944.74367410
0.05400000 1507518.05836421 17411.83438609
0.05500000 1500721.12518540 15127.26964755
0.05600000 1493828.34008288 21712.79593631
0.05700000 1486844.82962920 16816.21580806
0.05800000 1479769.42655779 20953.53605843
