# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700842.48306812 663.32858415
0.00200000 1700631.38071922 841.81256011
0.00300000 1700279.68821349 1530.25177390
0.00400000 1699787.28881552 1912.26077258
0.00500000 1699154.65020520 2293.85886857
0.00600000 1698381.46694370 1961.63067418
0.00700000 1697468.44732694 2648.05088788
0.00800000 1696414.97823468 2519.17634904
0.00900000 1695222.57702537 3305.68416651
0.01000000 1693890.23626961 3633.39471369
0.01100000 1692419.28518829 3350.99033057
0.01200000 1690809.21551388 4615.90936073
0.01300000 1689061.36334859 3901.73192142
0.01400000 1687175.01765072 4175.75835380
0.01500000 1685152.04021657 5662.11110726
0.01600000 1682991.22974780 5149.95339325
0.01700000 1680694.64802409 4991.66332855
0.01800000 1678261.96481730 5739.65617795
0.01900000 1675693.90907553 6535.20654028
0.02000000 1672991.16952488 5796.91466463
0.02100000 1670155.35894070 6613.81552127
0.02200000 1667184.70816343 7477.32375583
0.02300000 1664082.16184908 5990.69605534
0.02400000 1660847.41362676 7473.81370211
0.02500000 1657482.06620338 8403.43445944
0.02600000 1653986.32052566 8708.23837587
0.02700000 1650361.04897568 6931.51672317
0.02800000 1646606.33221427 10744.10681042
0.02900000 1642724.66661809 9609.93974095
0.03000000 1638716.38483902 11430.04730964
0.03100000 1634581.76596751 9415.19140520
0.03200000 1630321.94080710 11298.13157016
0.03300000 1625939.58787670 10779.97996458
0.03400000 1621432.87787475 11066.27990210
0.03500000 1616805.05614881 10476.89724765
0.03600000 1612055.99105680 14315.05786214
0.03700000 1607187.50524968 10077.06612395
0.03800000 1602200.62587912 13122.02373323
0.03900000 1597097.30229248 10540.84268328
0.04000000 1591876.09463974 11748.04612283
0.04100000 1586540.94936443 10994.72928888
0.04200000 1581092.29022812 11217.85031960
0.04300000 1575529.95702216 12478.19783883
0.04400000 1569858.28678662 11656.19832073
0.04500000 1564076.52777572 14029.76710604
0.04600000 1558185.03304933 14280.76649177
0.04700000 1552187.08842480 12293.32231206
0.04800000 1546082.92186254 13636.45200531
0.04900000 1539875.38575141 19633.41208222
0.05000000 1533563.91773974 11731.76451701
0.05100000 1527151.91165391 11911.78546580
0.05200000 1520637.77819948 14506.88508006
0.05300000 1514026.88044965 15942.70379435
0.05400000 1507317.74331849 12435.37196229
0.05500000 1500514.07516442 17646.04634711
0.05600000 1493614.53696756 17878.56684179
0.05700000 1486624.37563489 14226.99593892
0.05800000 1479541.88888472 17022.13022642
0.05900000 1472369.38546077 13251.32508806
0.06000000 1465109.54840735 13405.75299423
0.06100000 1457764.06088136 16268.64767969
0.06200000 1450333.47596584 16446.78238623
0.06300000 1442820.86657456 19391.51335342
0.06400000 1435224.35798184 16792.12577370
0.06500000 1427550.01059505 15546.02034259
0.06600000 1419796.12045038 14268.95167815
0.06700000 1411965.83819631 14402.05222360
0.06800000 1404061.76104676 17438.44788848
0.06900000 1396085.14491370 16124.78417870
0.07000000 1388035.05709221 17739.08886033
0.07100000 1379916.75467331 16393.41181335
0.07200000 1371728.69053206 27036.77375697
0.07300000 1363476.56398358 15134.59056936
0.07400000 1355158.88366233 19819.19960237
0.07500000 1346778.62665008 16888.60476980
0.07600000 1338335.94489918 20095.11515473
0.07700000 1329836.12528462 20226.80841398
0.07800000 1321277.30716014 20354.27787134
0.07900000 1312661.71347931 15751.94130058
0.08000000 1303993.98855801 20596.58601548
0.08100000 1295273.35852802 17525.04936313
0.08200000 1286501.40369735 16016.94322763
0.08300000 1277681.05568214 19318.53846857
0.08400000 1268812.64654633 19412.83440337
0.08500000 1259900.79349839 17877.99309903
0.08600000 1250944.31643290 17957.30650552
0.08700000 1241946.94002944 16393.70037820
0.08800000 1232907.34541178 18105.24521766
0.08900000 1223831.73123475 23130.42080677
0.09000000 1214718.34913496 19897.08749351
0.09100000 1205570.58597139 24955.31230204
0.09200000 1196389.40310682 20027.55954904
0.09300000 1187178.23176899 23434.89939638
0.09400000 1177934.94312798 18464.13110130
0.09500000 1168664.42736965 18511.64539963
0.09600000 1159367.64056440 21929.43995213
0.09700000 1150047.77454490 25358.55462089
0.09800000 1140705.46505264 20327.37234298
0.09900000 1131342.34122821 16970.13591640
0.10000000 1121958.95772040 30595.82221587
0.10100000 1112557.20313374 17022.12600853
0.10200000 1103139.95816541 20452.21578638
0.10300000 1093708.27617526 22180.40488422
0.10400000 1084264.77431923 23908.03939849
0.10500000 1074811.83032160 34179.01781233
0.10600001 1065346.13343064 20518.56749535
0.10700001 1055875.39192495 20526.21858494
0.10800001 1046396.66050916 20530.30344538
0.10900001 1036914.70508780 23952.73081488
0.11000001 1027429.33525652 23949.37893212
0.11100001 1017942.80759669 18811.58396991
0.11200001 1008457.23251259 17093.35089579
0.11300001 998971.83982020 18790.66119170
0.11400001 989491.02347344 20482.46515031
0.11500001 980015.58564507 25578.40798977
0.11600001 970545.78750858 17033.07937289
0.11700001 961085.28725086 18712.33142403
0.11800001 951631.54504806 18685.28626706
0.11900001 942190.25382844 20351.31044127
0.12000001 932760.22374691 20315.51863017
0.12100001 923345.68419182 25345.84022506
0.12200001 913944.90405553 20234.74112907
0.12300001 904561.13082911 16824.83782611
0.12400001 895194.70701397 25177.35232106
0.12500001 885847.69066325 21765.27878519
0.12600001 876522.58835320 18367.53170448
0.12700001 867218.95769529 26640.96763589
0.12800001 857937.47481753 16601.09092012
0.12900001 848681.64341831 24823.93923999
0.13000001 839451.48124663 26392.35581439
0.13100001 830247.38909542 18082.78898688
0.13200001 821072.92154191 18018.44611263
0.13300001 811928.37534932 22847.66555944
0.13400001 802813.41345961 17882.66962790
0.13500001 793731.26726617 16192.11861566
0.13600001 784681.44258241 35475.44969184
0.13700001 775666.42602105 20873.18450847
0.13800001 766685.30405653 17583.92827772
0.13900001 757743.21454541 15912.60825586
0.14000001 748837.10337399 20589.27712827
0.14100001 739970.11459949 18913.63702119
0.14200001 731141.64890293 15682.98910866
0.14300001 722356.72575311 18723.48721466
0.14400001 713608.69494271 18625.18781655
0.14500001 704907.58935725 15437.47693514
0.14600001 696247.61972126 24563.61718254
0.14700001 687634.56207695 18318.58559794
0.14800001 679065.05666599 21247.94662553
0.14900001 670541.39083441 21122.05480784
0.15000001 662065.90291480 16495.37274942
0.15100001 653637.65026254 16393.23304210
0.15200001 645259.87852638 16289.58640206
0.15300001 636931.32585939 20598.36005031
0.15400001 628651.51599275 19000.99296756
0.15500001 620424.53385990 17421.52173296
0.15600001 612247.80035913 18743.96729261
0.15700001 604127.22075501 21476.72371147
0.15800001 596055.14219773 22745.46529982
0.15900001 588040.55182892 14112.97391003
0.16000001 580077.95298415 15409.77154840
0.16100001 572174.32461320 13903.83674442
0.16200001 564323.94736100 16557.26539717
0.16300001 556531.36855517 24643.21016298
0.16400001 548795.47011458 19015.76393720
0.16500001 541117.77662388 13473.83327405
0.16600001 533497.53022676 13364.11376314
0.16700001 525935.97899004 15904.30475558
0.16800001 518432.07363072 14456.47905578
0.16900001 510990.62453785 19545.39231147
0.17000001 503607.78712959 14209.29438482
0.17100001 496285.68354178 14084.58836401
0.17200001 489024.86109543 16497.25446810
0.17300001 481825.13809260 18863.45504714
0.17400001 474687.89915831 13706.61373551
0.17500001 467612.08579757 14813.95157769
0.17600001 460596.87816530 19566.15630855
0.17700001 453646.69967924 15746.07768956
0.17800001 446758.53554810 13195.01397064
0.17900001 439933.42198928 15441.66384119
0.18000001 433172.76364134 18817.02574140
0.18100001 426476.51453156 13971.37127601
0.18200001 419841.60937584 12677.11799394
0.18300001 413273.26866578 12546.97702940
0.18400001 406767.83861175 15802.93127661
0.18500001 400327.93372784 13402.97985439
0.18600001 393952.27115971 14365.47024651
0.18700001 387640.83185233 10931.47197469
0.18800001 381394.01078089 10812.52071649
0.18900001 375214.28992147 12832.32932161
0.19000001 369095.36039380 13746.95734739
0.19100001 363046.64358352 13592.46697801
0.19200001 357059.79186515 12404.25775551
0.19300001 351140.00886507 11239.99221489
0.19400001 345284.24261626 12119.47748852
0.19500001 339494.11373357 16967.91660622
0.19600001 333768.46356647 16766.85955960
0.19700001 328108.55715593 11693.78952966
0.19800001 322513.81386124 10589.74157859
0.19900001 316984.76281606 13313.36066746
0.20000001 311518.47317379 15027.65185613
0.20100001 306119.17292644 10202.95251585
0.20200001 300783.29065408 9158.85163330
0.20300001 295512.89389775 14468.31196907
