# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 302.89193117
0.00100000 1682663.23776952 555.27888165
0.00200000 1682454.04577025 984.23564794
0.00300000 1682105.54459189 1110.18969898
0.00400000 1681617.61153221 1639.57723354
0.00500000 1680990.69928934 2723.20504064
0.00600000 1680224.53015962 2646.35374274
0.00700000 1679319.79335399 3828.84928798
0.00800000 1678275.87253824 3398.50878537
0.00900000 1677094.27086156 2767.20566521
0.01000000 1675774.00392763 3041.52994846
0.01100000 1674316.41539627 5123.40845418
0.01200000 1672720.93760729 3587.98656848
0.01300000 1670988.95211833 4210.89234506
0.01400000 1669119.72337996 5633.27931614
0.01500000 1667115.11904087 5601.50704941
0.01600000 1664973.90664074 5943.95711242
0.01700000 1662698.21732882 7182.85662107
0.01800000 1660287.67303545 5678.18409729
0.01900000 1657742.92656371 6465.19770532
0.02000000 1655064.78562648 5734.79974161
0.02100000 1652254.79911463 7633.41751800
0.02200000 1649311.15158877 8535.18559725
0.02300000 1646236.83714228 9482.32461356
0.02400000 1643031.58035382 6777.50557800
0.02500000 1639696.86172650 7673.78166335
0.02600000 1636233.01312406 7289.41840687
0.02700000 1632640.79909262 8914.21917133
0.02800000 1628920.32990519 7085.80376004
0.02900000 1625074.10993134 8044.11721350
0.03000000 1621102.42351379 10553.37726216
0.03100000 1617005.63423540 10866.27836205
0.03200000 1612784.77153801 9579.94198417
0.03300000 1608442.50082794 9843.66855886
0.03400000 1603977.02114301 10105.05569945
0.03500000 1599391.63974462 9500.38677879
0.03600000 1594686.11993673 12390.71172453
0.03700000 1589862.28102357 11780.88004722
0.03800000 1584921.28098631 10198.96891515
0.03900000 1579864.79660589 12322.94598420
0.04000000 1574691.61528335 11621.22465931
0.04100000 1569405.55180470 11864.70652177
0.04200000 1564007.03036899 12105.41497666
0.04300000 1558496.03335204 11314.68172734
0.04400000 1552876.65321635 11530.10968561
0.04500000 1547148.30894324 10675.32382774
0.04600000 1541311.15039061 15212.74176155
0.04700000 1535368.73657836 14371.05204274
0.04800000 1529321.06930839 13488.61245890
0.04900000 1523171.00991417 17135.67465916
0.05000000 1516918.03709882 15085.75058143
0.05100000 1510565.59918269 17673.61833375
0.05200000 1504111.84950634 13153.45873690
0.05300000 1497562.54687469 13343.28291469
0.05400000 1490915.73388620 13530.06091598
0.05500000 1484175.54322049 17453.90520249
0.05600000 1477340.33607815 13894.38650918
0.05700000 1470415.31625688 17909.65938801
0.05800000 1463399.10077467 19426.62396986
0.05900000 1456293.73395243 14417.30863950
0.06000000 1449101.87402688 15911.13932016
0.06100000 1441825.23946917 17431.66795979
0.06200000 1434464.38664857 16266.82690496
0.06300000 1427022.34064845 19179.18115504
0.06400000 1419497.24480152 15224.10866248
0.06500000 1411895.29056291 16773.31683651
0.06600000 1404214.58940710 15523.59301222
0.06700000 1396458.19049289 18517.03647251
0.06800000 1388628.77401576 20121.23187734
0.06900000 1380727.59764300 17397.16854482
0.07000000 1372753.77888167 16081.81127269
0.07100000 1364712.41094262 19160.56314707
0.07200000 1356602.24348746 16340.27478830
0.07300000 1348428.54341862 16464.31328659
0.07400000 1340190.25746300 19600.28343395
0.07500000 1331889.85130476 19738.60852153
0.07600000 1323527.76233656 19872.77028313
0.07700000 1315109.23022423 18464.13445810
0.07800000 1306632.43348020 24773.75210058
0.07900000 1298099.44965646 23365.79118976
0.08000000 1289514.90508217 20367.88888125
0.08100000 1280878.14058390 18905.76224204
0.08200000 1272190.70776717 22174.28507691
0.08300000 1263455.37295190 20695.39998023
0.08400000 1254672.67351615 25595.32374114
0.08500000 1245847.01927545 16071.42730313
0.08600000 1236977.24698999 20985.31998048
0.08700000 1228067.23640472 27557.83007897
0.08800000 1219115.37798733 19530.22927257
0.08900000 1210128.22612978 16336.73182008
0.09000000 1201103.64138858 24592.59821268
0.09100000 1192045.28824915 21385.29347590
0.09200000 1182953.75794542 21452.86740834
0.09300000 1173832.77779569 21516.35582810
0.09400000 1164680.15848622 23235.37025380
0.09500000 1155500.77959884 19967.05440997
0.09600000 1146295.54583826 20014.32117117
0.09700000 1137067.41588241 23400.84851900
0.09800000 1127817.32211264 18422.89682291
0.09900000 1118546.95109686 28522.94859419
0.10000000 1109256.51083919 30249.42647313
0.10100000 1099948.08646606 20195.04781733
0.10200000 1090624.40985224 18535.16271726
0.10300000 1081286.72845235 21928.49588455
0.10400000 1071937.42564043 21947.91982253
0.10500000 1062578.89966291 30411.00953917
0.10600001 1053207.92004165 18594.38670327
0.10700001 1043832.33683256 20292.10158292
0.10800001 1034448.88673478 16913.24009408
0.10900001 1025062.35743766 21987.58860190
0.11000001 1015672.52151924 20293.13793514
0.11100001 1006281.76658876 20286.64136939
0.11200001 996892.33717492 20276.79109271
0.11300001 987503.19843795 20263.56658597
0.11400001 978118.75270606 18559.80420648
0.11500001 968739.67558122 23598.49960836
0.11600001 959366.30021887 30306.38285109
0.11700001 950002.53145918 18496.55015860
0.11800001 940645.66547930 21827.68369549
0.11900001 931301.08385735 23468.78841862
0.12000001 921968.06273306 21753.83746490
0.12100001 912650.29133014 21711.95145355
0.12200001 903346.52890487 21666.76751653
0.12300001 894059.70283676 19955.41350750
0.12400001 884790.29660719 26543.71014889
0.12500001 875540.25544931 21512.02509005
0.12600001 866312.18392116 19803.89745767
0.12700001 857105.50678662 18102.06915642
0.12800001 847920.97282329 21329.45307661
0.12900001 838761.94703540 22898.20223331
0.13000001 829628.45835532 16302.19997508
0.13100001 820521.03593129 19495.58073270
0.13200001 811443.04732225 19425.94746864
0.13300001 802395.07043506 19353.77001129
0.13400001 793376.30847628 24098.80650612
0.13500001 784390.48944174 25602.50678249
0.13600001 775436.59796692 20715.78969145
0.13700001 766517.48062786 23800.36889576
0.13800001 757632.00283996 18955.95360494
0.13900001 748785.50201517 17296.94591224
0.14000001 739974.56280458 15650.46274140
0.14100001 731202.71042119 18689.54215982
0.14200001 722469.15349357 23245.44611003
0.14300001 713778.71195898 16959.38299608
0.14400001 705125.03268806 24538.35229502
0.14500001 696518.03463737 15253.74567811
0.14600001 687951.72278299 19720.13706386
0.14700001 679432.35943807 18100.07890933
0.14800001 670956.10139690 16495.45653108
0.14900001 662525.42977500 17888.18744790
0.15000001 654142.37207916 16297.95796934
0.15100001 645806.73795872 25031.47034439
0.15200001 637520.70940053 21946.65145671
0.15300001 629283.86909352 18897.39548063
0.15400001 621095.28757965 18772.60595299
0.15500001 612959.17841603 18646.21908739
0.15600001 604872.77396328 18518.18084885
0.15700001 596842.45735347 16974.20028826
0.15800001 588860.08515817 16853.17643268
0.15900001 580934.92281321 13942.43880561
0.16000001 573061.13425086 15223.36974995
