# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 302.89193117
0.00100000 1682663.23166785 504.79898149
0.00200000 1682454.02233651 984.23563423
0.00300000 1682105.49087637 1009.26333048
0.00400000 1681617.52159887 1639.57714586
0.00500000 1680990.55357556 2269.33733715
0.00600000 1680224.31595161 1764.23560357
0.00700000 1679319.51343690 2015.18349988
0.00800000 1678275.50335874 2492.23922771
0.00900000 1677093.79511412 2515.64080021
0.01000000 1675773.43171702 3041.52890990
0.01100000 1674315.70064524 3917.89891009
0.01200000 1672720.10825048 4566.52609574
0.01300000 1670987.97449447 4210.88988145
0.01400000 1669118.58762991 4131.06868752
0.01500000 1667113.82028593 4401.18068153
0.01600000 1664972.44709891 5943.95190186
0.01700000 1662696.54525914 6284.99322302
0.01800000 1660285.80147682 5204.99622184
0.01900000 1657740.86724971 5967.86739138
0.02000000 1655062.48901515 6256.13649148
0.02100000 1652252.28405258 6542.91934149
0.02200000 1649308.39061631 9673.19415044
0.02300000 1646233.81570695 6519.08620694
0.02400000 1643028.31067409 6777.49209057
0.02500000 1639693.30927981 9592.20629737
0.02600000 1636229.15748754 7952.07406910
0.02700000 1632636.65449227 7542.78168922
0.02800000 1628915.88724530 8502.94132136
0.02900000 1625069.34948580 8775.37489014
0.03000000 1621097.33613622 7538.10295952
0.03100000 1617000.20843260 9313.92162913
0.03200000 1612778.98786037 11176.55890064
0.03300000 1608436.39218805 10663.93377182
0.03400000 1603970.55596457 10947.09954956
0.03500000 1599384.77615466 10364.01382807
0.03600000 1594678.85896040 8850.46807624
0.03700000 1589854.64612082 11780.82347259
0.03800000 1584913.21547638 14834.78838341
0.03900000 1579856.34481762 12322.88006025
0.04000000 1574682.74949568 10652.72929397
0.04100000 1569396.24745393 9887.19681740
0.04200000 1563997.26550139 22193.12222707
0.04300000 1558485.85001973 11314.60779634
0.04400000 1552866.03762209 18867.32323334
0.04500000 1547137.18125849 13877.82116072
0.04600000 1541299.56727844 18472.47617256
0.04700000 1535356.67764972 13265.48231184
0.04800000 1529308.54161141 15736.58562538
0.04900000 1523158.02146504 17135.52853910
0.05000000 1516904.45961781 12764.75162209
0.05100000 1510551.51449745 17673.45354292
0.05200000 1504097.28997212 14349.08881502
0.05300000 1497547.46129860 15769.17550260
0.05400000 1490900.10303076 12299.92642360
0.05500000 1484159.35856421 13713.63311286
0.05600000 1477323.62869321 15157.34113770
0.05700000 1470398.10429301 17909.44974628
0.05800000 1463381.30967022 15541.11023435
0.05900000 1456275.39025548 17038.42286178
0.06000000 1449082.88984401 15910.93087383
0.06100000 1441805.74058278 17431.43221824
0.06200000 1434444.33073406 17622.14942679
0.06300000 1427001.66420475 13699.21661688
0.06400000 1419475.92754581 17991.85822306
0.06500000 1411873.45394305 15375.30263266
0.06600000 1404192.11885756 16934.55774577
0.06700000 1396435.15018859 21365.45879777
0.06800000 1388605.11485623 18683.68269496
0.06900000 1380703.30586649 14497.38539035
0.07000000 1372728.84775107 20467.38807842
0.07100000 1364686.91604518 17686.34326033
0.07200000 1356576.15049906 14854.50954385
0.07300000 1348401.83152311 17960.71323745
0.07400000 1340162.83390670 18092.19910562
0.07500000 1331861.79993770 16701.54775406
0.07600000 1323499.11504570 18343.69859450
0.07700000 1315079.93776113 21541.01039055
0.07800000 1306602.47978128 17031.56412266
0.07900000 1298068.97392261 17134.51125945
0.08000000 1289483.74712050 15667.22826248
0.08100000 1280846.23731210 20480.73229554
0.08200000 1272158.22405947 25341.39301241
0.08300000 1263422.20219664 19102.94459375
0.08400000 1254638.90369604 20795.64080488
0.08500000 1245812.55300084 24106.47403225
0.08600000 1236942.21196308 16142.09662401
0.08700000 1228031.53213052 19452.02038237
0.08800000 1219078.99371090 17902.17586340
0.08900000 1210091.12872737 17969.85410564
0.09000000 1201065.98481090 21312.91690165
0.09100000 1192006.94279214 19739.63590003
0.09200000 1182914.74469367 18151.82761022
0.09300000 1173793.14314835 24825.72614420
0.09400000 1164639.86587318 18255.73075554
0.09500000 1155459.79973166 21630.20846765
0.09600000 1146253.94842877 16677.99573363
0.09700000 1137025.24042223 21728.55336599
0.09800000 1127774.38542913 18422.19545215
0.09900000 1118503.47993242 20133.06358549
0.10000000 1109212.36169110 18485.02487688
0.10100000 1099903.40385980 20194.22744464
0.10200000 1090579.04397638 16849.44702197
0.10300000 1081240.71854989 20240.82720340
0.10400000 1071890.78257264 23635.19286765
0.10500000 1062531.67321644 25341.38159851
0.10600001 1053160.01409842 21974.18472813
0.10700001 1043783.83881345 27054.87837518
0.10800001 1034399.74237444 25368.65487562
0.10900001 1025012.62866199 20295.25100272
0.11000001 1015622.20010880 18601.12147054
0.11100001 1006230.83340695 20285.61455640
0.11200001 996840.79031614 20275.74262955
0.11300001 987451.14985961 20262.49854909
0.11400001 978066.05120867 23620.29624884
0.11500001 968686.47035540 20226.17445343
0.11600001 959312.52260396 21886.71623389
0.11700001 949948.16055401 18495.49155703
0.11800001 940590.70477314 20147.45384515
0.11900001 931245.61030338 30172.35919500
0.12000001 921912.09257875 18405.97579535
0.12100001 912593.65298047 18370.51109990
0.12200001 903289.42737802 18332.25979229
0.12300001 894002.14172550 16628.44061953
0.12400001 884732.15621478 18247.60158171
0.12500001 875481.61246528 16546.60325528
0.12600001 866252.99255455 21452.75637154
0.12700001 857045.85795649 16455.28124824
0.12800001 847860.80965431 18046.71818402
0.12900001 838701.40941054 19625.61390520
0.13000001 829567.32049834 26081.59778582
0.13100001 820459.52049829 21118.62905311
0.13200001 811380.97712115 17805.75638229
0.13300001 802332.66653121 20964.95356481
0.13400001 793313.42431117 20883.97687958
0.13500001 784327.14978602 17600.30207102
0.13600001 775372.84885795 23900.86919299
0.13700001 766453.23568730 20625.25754489
0.13800001 757567.40442406 22113.39357791
0.13900001 748720.47099458 23584.69594854
0.14000001 739909.27165198 15649.08183346
0.14100001 731136.98805651 18687.86229610
0.14200001 722403.02673180 17045.10021967
0.14300001 713712.26637822 26207.51565755
0.14400001 705058.24752626 30670.03521409
0.14500001 696450.90627455 16777.50312358
0.14600001 687884.28283722 15167.84915209
0.14700001 679364.68076866 18098.27594949
0.14800001 670888.10920934 16493.78494307
0.14900001 662457.02210044 16395.81207055
0.15000001 654073.76841316 17777.72586427
0.15100001 645737.74585737 16195.10343027
0.15200001 637451.58483367 17555.41747471
0.15300001 629214.38661105 24709.25012822
0.15400001 621025.61600031 15882.73087873
0.15500001 612889.28515038 14341.60994934
0.15600001 604802.62721588 14243.10254314
0.15700001 596772.08437675 15557.84897398
0.15800001 588789.54873893 15446.89454024
0.15900001 580864.22796103 13940.74212908
0.16000001 572990.27521824 22140.34527951
0.16100001 565174.84181867 15107.12423493
0.16200001 557412.33610518 13628.73226113
0.16300001 549707.20788832 14875.07774768
0.16400001 542058.26617328 18782.31980961
0.16500001 534467.16438905 15969.87962590
0.16600001 526933.09380676 15839.60954767
0.16700001 519457.14460228 15708.38479444
0.16800001 512038.43588076 14278.19245870
0.16900001 504681.51618285 20591.00683253
0.17000001 497382.90745788 12757.87217872
0.17100001 490144.38084074 18968.58843426
0.17200001 482966.74312414 20052.78012146
0.17300001 475849.70911140 12419.67799432
0.17400001 468794.55238945 13536.44333952
0.17500001 461800.32060831 15848.98775179
0.17600001 454866.20159863 15699.70768966
0.17700001 447996.57367229 16746.11271480
0.17800001 441188.21925196 13030.49467106
0.17900001 434442.53887435 12902.94401402
0.18000001 427760.71170988 16259.18542010
0.18100001 421142.81208185 12646.91924421
0.18200001 414585.55527730 17070.56104492
0.18300001 408094.33731732 13516.08509044
0.18400001 401665.57747451 17833.95248236
0.18500001 395301.51280678 11028.91272834
0.18600001 389001.23237388 13093.78210030
0.18700001 382764.45317289 11873.35389838
0.18800001 376591.95369638 11744.02063088
0.18900001 370485.71442678 11614.72769605
0.19000001 364439.67054535 15661.79558169
0.19100001 358463.36081332 12388.49433507
0.19200001 352547.90036682 11226.88841767
0.19300001 346699.19723034 11097.84182775
0.19400001 340913.96126346 11966.08060579
0.19500001 335193.66232130 9854.69413793
0.19600001 329537.03914968 10711.60196375
0.19700001 323945.75581656 10583.30834267
0.19800001 318418.77635634 12356.24120045
0.19900001 312956.90428758 13144.19060127
0.20000001 307557.24436439 10200.13649142
0.20100001 302223.76735847 10073.11864214
0.20200001 296953.15655285 11754.89125772
0.20300001 291747.38491042 9820.21744023
0.20400001 286605.29036711 13219.66964302
0.20500001 281526.20259436 9569.07607848
0.20600001 276511.03245331 10302.80155620
0.20700001 271559.28659408 10167.18017068
0.20800001 266670.36222670 8360.11625099
0.20900001 261846.45707567 14846.69481801
0.21000001 257083.20660201 8950.35226095
0.21100001 252382.66625990 10433.49991641
0.21200001 247744.30115015 9498.51695513
0.21300001 243167.97955876 10927.96951800
0.21400001 238654.45025461 7696.60638458
0.21500001 234203.02796869 10623.44985091
0.21600001 229811.00079986 9724.45295860
0.21700001 225481.06491829 8847.87740572
0.21800001 221211.73560345 7993.48644397
0.21900001 217001.83735879 7161.06097143
0.22000001 212851.76419490 7761.63994836
0.22100001 208763.85163150 9037.38756445
0.22200001 204734.18506027 6848.35881409
0.22300001 200763.34789053 7420.21368890
0.22400001 196849.60475602 6643.67447467
0.22500001 192997.71195731 9813.93411710
0.22600001 189201.65804530 7086.54843720
0.22700001 185464.50359697 7611.46358756
0.22800001 181783.87399813 8741.98691398
0.22900001 178159.65921512 6761.15938696
0.23000001 174592.21667737 6654.58265337
0.23100001 171082.67059782 7739.78038388
0.23200001 167626.54719786 10545.38658295
0.23300001 164227.01821891 9222.98977937
0.23400001 160882.34885633 6238.21337194
0.23500001 157590.99941197 5578.72164304
0.23600001 154354.52643724 6036.03404181
0.23700001 151171.64517147 5396.82798788
0.23800001 148041.71691528 6368.75496293
0.23900001 144964.92872409 5740.61144900
0.24000001 141939.80828605 7183.57403714
0.24100001 138968.01302820 5044.53911154
0.24200001 136046.96388331 5950.69448174
0.24300001 133176.76919906 7311.40497488
0.24400001 130356.63381160 9581.21303838
0.24500001 127586.87787431 5178.75161790
0.24600001 124866.81808658 6014.21057764
0.24700001 122196.59903965 5454.85643918
0.24800001 119573.94162931 4466.08693113
0.24900001 116999.55175025 4826.23173801
0.25000001 114473.24024041 4740.90946884
0.25100001 111993.52453173 5503.36205585
0.25200001 109561.54020666 7484.14916559
0.25300001 107176.10569910 4491.75080236
0.25400001 104835.43038229 4009.95540184
0.25500001 102540.36931003 4725.06044136
0.25600001 100290.52428447 3866.19989409
0.25700001 98084.81190117  4934.64712022
0.25800001 95922.60775684  4844.57153398
0.25900001 93804.38495020  5121.71966061
0.26000001 91729.34423001  3591.20399652
0.26100001 89694.60474882  4582.49757344
0.26200001 87704.48525087  4151.93052823
0.26300001 85754.29420259  3735.45723222
0.26400001 83844.73124391  3666.11104711
0.26500001 81976.64798730  3925.04209136
0.26600001 80147.60807674  4172.88541197
0.26700001 78358.93400369  4095.03808481
0.26800001 76609.20000674  3091.18136655
0.26900001 74897.39215522  3033.34452583
0.27000001 73224.00051397  3571.86691410
0.27100001 71588.05470433  4381.18915524
0.27200001 69989.68052709  4012.50857450
0.27300001 68427.30291552  4218.54342438
0.27400001 66899.87230507  3311.54383582
0.27500001 65410.33336852  2978.78672257
0.27600001 63953.89080431  3454.46957528
0.27700001 62533.77437047  3650.72192052
0.27800001 61146.71671611  2814.88923725
0.27900001 59793.97507278  3515.88590068
0.28000001 58474.00278196  2464.67933391
0.28100001 57186.76916528  2902.80054022
0.28200001 55932.32911078  2611.76023144
0.28300001 54709.63290028  3029.81961342
0.28400001 53518.44057838  2516.70478732
0.28500001 52358.30867206  2246.17154835
0.28600001 51227.84345687  2646.43051824
0.28700001 50128.05866525  3681.40480263
0.28800001 49057.03467095  2339.28480901
0.28900001 48016.77094967  2506.47556221
0.29000001 47003.63644304  2872.39235900
0.29100001 46019.96743436  2418.80960284
0.29200001 45063.39442657  2376.64353456
0.29300001 44134.26670710  1946.32125391
0.29400001 43231.77297080  2295.60725342
0.29500001 42357.03292640  2444.84805624
0.29600001 41507.02156179  2218.96547773
0.29700001 40682.51688832  2000.35945009
0.29800001 39883.76634689  2504.30180747
0.29900001 39109.95914124  2111.93789360
0.30000001 38360.01924408  2251.54143612
0.30100001 37635.07875001  1875.35606289
0.30200001 36932.41458972  2014.29398708
0.30300001 36253.41862917  1653.15596775
0.30400001 35597.82775865  1791.46076676
0.30500001 34963.37669828  1925.78287971
0.30600001 34351.36501086  2372.82065046
0.30700001 33761.15572036  1871.71856175
0.30800001 33191.77535582  2153.81440481
0.30900001 32643.33242286  1669.70653248
0.31000001 32115.96674960  1648.03091178
0.31100001 31606.97410001  1775.04774950
0.31200001 31118.71949068  2191.53592389
0.31300001 30649.27752213  2021.01345550
0.31400001 30199.93456225  1712.33637075
0.31500001 29768.29585894  1975.42420673
0.31600002 29354.85378470  1535.40569991
0.31700002 28958.80325891  1657.60197702
0.31800002 28580.60434438  1641.09837916
0.31900002 28219.87996990  1354.55430269
0.32000002 27875.46924714  1476.42429858
0.32100002 27547.89171292  1729.73220256
0.32200002 27236.55250673  1319.61103144
0.32300002 26940.35855586  1702.09193416
0.32400002 26659.71435725  1559.59336375
0.32500002 26393.84903291  1677.85706247
0.32600002 26143.31544682  1795.26155674
0.32700002 25906.96980060  1274.62297455
0.32800002 25685.58060990  1394.34180943
0.32900002 25476.62162135  1765.52996196
0.33000002 25282.92000170  1380.82674128
0.33100002 25099.98314458  1749.97090771
0.33200002 24932.36596437  1369.90891278
0.33300002 24775.99603825  1613.66069839
0.33400002 24632.76368383  1485.35572047
0.33500002 24501.08509101  1358.34022177
0.33600002 24381.02278958  1232.46076038
0.33700002 24271.73036478  2584.21125432
0.33800002 24174.96207291  1721.01563147
0.33900002 24087.81157747  1351.32629349
0.34000002 24011.95575524  1473.85391406
0.34100002 23946.31366635  1965.51351882
0.34200002 23891.67994066  1597.99508851
0.34300002 23845.34174560  1353.46166158
0.34400002 23809.43668845  2217.84913257
0.34500002 23782.32860588  1357.73320441
0.34600002 23765.56049608  1360.69723065
0.34700002 23755.37489242  1240.03062811
0.34800002 23755.48783084  1989.75975495
0.34900002 23763.34729275  1621.84852954
0.35000002 23779.28413473  1377.17730589
0.35100002 23803.21024686  1508.17147267
0.35200002 23833.79289140  1514.39927205
0.35300002 23872.27028121  1901.42641796
0.35400002 23918.29911027  1655.74433433
0.35500002 23970.75894593  1664.05016484
0.35600002 24029.63902318  1544.14467677
0.35700002 24095.13317357  1293.90871271
