# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700842.60999088 561.27807463
0.00200000 1700631.88775314 1071.39812321
0.00300000 1700280.83356679 1020.16853648
0.00400000 1699789.32010955 1784.77885393
0.00500000 1699157.82126011 1682.16630963
0.00600000 1698386.02233485 1961.63593566
0.00700000 1697474.64291876 3055.45448424
0.00800000 1696423.11446319 2519.18843134
0.00900000 1695232.83581968 2542.84936243
0.01000000 1693902.86004588 3353.92780771
0.01100000 1692434.55740204 3351.02056956
0.01200000 1690827.40257032 3626.82493753
0.01300000 1689082.68747978 4965.90332021
0.01400000 1687199.74267834 5694.29938397
0.01500000 1685180.38915690 4853.31973688
0.01600000 1683023.38395661 4291.70982094
0.01700000 1680730.97565844 5445.56860541
0.01800000 1678302.66534326 6218.11165490
0.01900000 1675739.17284621 6535.38306899
0.02000000 1673041.24877753 5797.08818925
0.02100000 1670210.49700261 7716.37284600
0.02200000 1667245.14201360 6902.39520153
0.02300000 1664148.05620190 7189.11993003
0.02400000 1660919.09968023 7474.13628936
0.02500000 1657559.72532055 7110.93154639
0.02600000 1654070.12476132 10718.37489869
0.02700000 1650451.33433802 8318.27510605
0.02800000 1646703.17794626 9312.10689834
0.02900000 1642828.35557579 11089.09190928
0.03000000 1638827.07485542 9144.65549803
0.03100000 1634699.83168532 7846.55955313
0.03200000 1630447.43480490 11299.00124361
0.03300000 1626072.76443116 10780.86292518
0.03400000 1621573.85990897 13621.22105172
0.03500000 1616954.21977347 10477.86382798
0.03600000 1612213.34055797 8947.78445361
0.03700000 1607353.33754528 12826.68022681
0.03800000 1602375.17707038 10311.28474165
0.03900000 1597280.66299030 12458.78974829
0.04000000 1592068.48273969 14686.83243385
0.04100000 1586742.50535013 9996.47824721
0.04200000 1581303.14547537 14279.16806609
0.04300000 1575750.58979587 11439.94981294
0.04400000 1570088.47241307 13777.52698528
0.04500000 1564316.57298672 11873.16334065
0.04600000 1558435.00567039 14283.05749094
0.04700000 1552447.24656064 11177.62069508
0.04800000 1546353.43805394 14775.40778808
0.04900000 1540156.37843125 12706.29071350
0.05000000 1533855.59076103 12907.39539730
0.05100000 1527454.31450639 13105.55862897
0.05200000 1520951.09763617 14509.87414763
0.05300000 1514351.08933402 18399.36659315
0.05400000 1507653.06586790 12438.13837345
0.05500000 1500860.68995075 15128.67646045
0.05600000 1493972.52220357 19160.19849136
0.05700000 1486993.80336982 16817.90070115
0.05800000 1479923.07466076 15716.78378675
0.05900000 1472762.09549392 14580.34542638
0.06000000 1465514.15615366 18773.23721739
0.06100000 1458180.47940685 17629.40281987
0.06200000 1450761.76257577 17822.60908633
0.06300000 1443261.19072906 15240.83888669
0.06400000 1435676.71838641 18197.20325657
0.06500000 1428014.61102676 21206.01796572
0.06600000 1420273.16387507 17128.49515775
0.06700000 1412455.08945355 15847.74684533
0.06800000 1404563.58347314 18898.40390025
0.06900000 1396599.34277483 16130.72316427
0.07000000 1388561.71376076 17745.81953287
0.07100000 1380455.82211531 16399.81593486
0.07200000 1372280.48435970 21037.06081075
0.07300000 1364040.81254928 15140.85372873
0.07400000 1355735.91563839 19827.63869542
0.07500000 1347368.32152000 16895.99954382
0.07600000 1338938.20365002 21650.63176802
0.07700000 1330450.97463259 20236.16027301
0.07800000 1321904.90333552 20363.94599088
0.07900000 1313302.11312012 17335.58870629
0.08000000 1304646.91689525 17436.60686227
0.08100000 1295939.41672756 17534.06113099
0.08200000 1287179.90362184 25640.62488334
0.08300000 1278372.22931962 17718.23992992
0.08400000 1269516.60002933 19423.60489217
0.08500000 1260617.31644772 19514.35697472
0.08600000 1251673.35214850 16334.33801246
0.08700000 1242688.37446321 19684.18477582
0.08800000 1233661.42350572 23057.13308817
0.08900000 1224598.16538907 28104.52921574
0.09000000 1215497.25083829 19909.84590401
0.09100000 1206361.93667323 19977.35460987
0.09200000 1197192.91556036 23381.17873950
0.09300000 1187993.98848940 26801.14563976
0.09400000 1178762.86017975 18477.10870169
0.09500000 1169504.41964903 25261.29665177
0.09600000 1160219.45649220 18569.31327406
0.09700000 1150911.56613647 21993.92106286
0.09800000 1141581.12945807 22038.22474037
0.09900000 1132229.65791139 23776.82393418
0.10000000 1122857.54504099 18712.42186810
0.10100000 1113467.39428360 22146.86751391
0.10200000 1104061.78951676 17057.75545037
0.10300000 1094641.42199590 22199.32908235
0.10400000 1085209.04621765 17092.04328202
0.10500000 1075767.16103392 20525.63839825
0.10600001 1066312.40504245 22248.60937809
0.10700001 1056852.22861134 18833.10760010
0.10800001 1047384.30450749 23974.62785846
0.10900001 1037912.83451168 18838.11883302
0.11000001 1028437.72613140 17123.48894608
0.11100001 1018961.22235801 27389.67894631
0.11200001 1009485.84399890 20532.94303357
0.11300001 1000010.12153286 20520.20865996
0.11400001 990539.17374377 20504.16186192
0.11500001 981073.21093014 25606.01201101
0.11600001 971612.72754368 18756.98458853
0.11700001 962161.23795628 20436.30565664
0.11800001 952716.91842662 20407.19735384
0.11900001 943284.27881243 25468.67672755
0.12000001 933862.86490177 27119.37887420
0.12100001 924456.72829954 18609.31481732
0.12200001 915064.23019136 27012.69734785
0.12300001 905688.72524273 18530.39219151
0.12400001 896330.13459233 16806.19081547
0.12500001 886990.58503178 18440.53513174
0.12600001 877673.12890396 21735.57606156
0.12700001 868376.83355625 20007.40318801
0.12800001 859102.47477445 21610.72377145
0.12900001 849853.35759121 18229.35537952
0.13000001 840629.91213216 19822.05426239
0.13100001 831431.92416136 29632.23517390
0.13200001 822263.59097433 24606.23911985
0.13300001 813125.11243683 16343.81553048
0.13400001 804015.90969849 21165.71982068
0.13500001 794939.22639408 19460.11317964
0.13600001 785894.44336150 17765.14472983
0.13700001 776884.59831707 19297.81433215
0.13800001 767908.23097798 19213.06484508
0.13900001 758970.75127689 19126.06383413
0.14000001 750068.62809653 19036.74267887
0.14100001 741205.86953550 17366.45434227
0.14200001 732381.13724421 17280.53374832
0.14300001 723599.77462872 26570.58497764
0.14400001 714855.14719081 20212.53024024
0.14500001 706156.82313306 20104.28570296
0.14600001 697499.71313203 23069.80410014
0.14700001 688889.28122777 15293.34276474
0.14800001 680321.98695024 19766.75626341
0.14900001 671800.20637280 21161.70749917
0.15000001 663326.35777269 19531.64552618
0.15100001 654899.96442653 20904.40785087
0.15200001 646523.21511021 16321.47933562
0.15300001 638195.72615090 16216.55416674
0.15400001 629916.47231271 14645.55867241
0.15500001 621689.87396998 17457.05248493
0.15600001 613513.50629278 14448.24375508
0.15700001 605392.71670287 18652.15048194
0.15800001 597320.35414891 15670.70023073
0.15900001 589305.15428998 19800.65411875
0.16000001 581341.65904974 14039.40172875
0.16100001 573436.69928046 15327.96369531
0.16200001 565584.81774815 19359.96922543
0.16300001 557790.73775228 15093.81807612
0.16400001 550052.72913654 14975.18625771
0.16500001 542372.81366350 14855.59206760
0.16600001 534749.96863107 16074.58481598
0.16700001 527185.62785873 15942.09413915
0.16800001 519678.92265686 15808.63357365
0.16900001 512234.08123521 18286.75756356
0.17000001 504847.86752919 14244.28325495
0.17100001 497521.96864369 15403.28087657
0.17200001 490256.88176378 13994.38335080
0.17300001 483052.77891505 15129.21375009
0.17400001 475910.99376426 12492.66417629
0.17500001 468830.30175441 18565.68082629
0.17600001 461809.88529443 17165.47424710
0.17700001 454854.43589129 18216.92101784
0.17800001 447960.64619272 15636.06709388
0.17900001 441129.75544873 11910.50395969
0.18000001 434362.69006918 12972.24235166
0.18100001 427660.15323560 15177.65955527
0.18200001 421018.49342032 12712.65400935
0.18300001 414443.43194661 12582.50318829
0.18400001 407930.74374593 14716.10227583
0.18500001 401483.52655511 15681.94728809
0.18600001 395100.22254697 14407.33029583
0.18700001 388781.01610389 12059.98768931
0.18800001 382525.93532422 13013.53293457
0.18900001 376338.00002395 16088.45026116
0.19000001 370210.53182633 10606.53223797
0.19100001 364152.85039422 10487.60258689
0.19200001 358156.84918008 14516.09778317
0.19300001 352227.91606152 13324.78269424
0.19400001 346362.72996826 11144.22136334
0.19500001 340563.00858976 11013.80821825
0.19600001 334827.49328746 9894.15289421
0.19700001 329157.29420842 14663.95814997
0.19800001 323552.11788995 13521.24364562
0.19900001 318012.58789803 10494.41589660
0.20000001 312535.73470627 13192.13398543
0.20100001 307125.42159466 10236.49078555
0.20200001 301778.43674667 10108.06921657
0.20300001 296496.62128207 10887.35644806
0.20400001 291279.24432234 12539.57206077
0.20500001 286125.11486128 11493.64640725
0.20600001 281035.60876673 13089.23409701
0.20700001 276009.78604231 13778.40917052
0.20800001 271047.11062927 10196.79278388
0.20900001 266150.45594202 10060.48771018
0.21000001 261314.54721267 9097.66639128
0.21100001 256542.15961776 10605.45337995
0.21200001 251832.32805902 10459.85624042
0.21300001 247185.05734216 8728.10478738
0.21400001 242600.97529001 9388.65818759
0.21500001 238079.58530739 10027.91260724
0.21600001 233618.11519415 9885.55101182
0.21700001 229219.34280776 9744.11472346
0.21800001 224881.66011522 8864.83546088
0.21900001 220603.97118195 9463.91081117
0.22000001 216386.71597308 7890.54197104
0.22100001 212232.17778318 9187.53141065
0.22200001 208136.36790424 9050.81038628
0.22300001 204100.14314921 8915.09467431
0.22400001 200121.42203671 8104.91797574
0.22500001 196204.80795431 7981.61196501
0.22600001 192344.97481952 7859.21604277
0.22700001 188544.47509202 7737.86562369
0.22800001 184801.10030649 6347.91809572
0.22900001 181114.60322736 6873.29951752
0.23000001 177485.84792891 7379.86190589
0.23100001 173915.16173855 8473.14708062
0.23200001 170398.59071902 7146.51723274
0.23300001 166939.47276196 8203.40607950
0.23400001 163535.50449800 6341.08948681
0.23500001 160185.46173917 6804.67873652
0.23600001 156891.03282075 12270.44825727
0.23700001 153650.59814797 5485.32661333
0.23800001 150463.92117784 7012.37137817
0.23900001 147330.85533216 6364.69325140
0.24000001 144250.32364698 12515.15867158
0.24100001 141223.34611956 6151.68924795
0.24200001 138247.81866331 6550.87319723
0.24300001 135323.91090896 5943.42644826
0.24400001 132450.56316066 5841.07011169
0.24500001 129628.15195524 6218.26274344
0.24600001 126855.95839003 7050.02022103
0.24700001 124134.44546251 5079.58174862
0.24800001 121461.03916880 6804.85504135
0.24900001 118836.54754782 6684.55611579
0.25000001 116260.63627490 4377.21316283
0.25100001 113732.01975243 5588.79171503
0.25200001 111251.88378215 5910.81286498
0.25300001 108818.59326829 4975.18631960
0.25400001 106431.02633447 5292.28303487
0.25500001 104089.49970745 5196.14807124
0.25600001 101793.80950658 3924.15154214
0.25700001 99542.80281697  4237.53731641
0.25800001 97336.15640578  4159.66084081
0.25900001 95173.98284799  4454.14260803
0.26000001 93055.47877637  3643.12216647
0.26100001 90977.95247927  3932.97707177
0.26200001 88945.82454566  3508.91294436
0.26300001 86954.07663887  4132.05791740
0.26400001 85003.69604962  3716.78678564
0.26500001 83095.24137403  4310.15037402
0.26600001 81226.48470558  3578.43295303
0.26700001 79398.82865998  3830.19967580
0.26800001 77610.69903323  3444.75103960
0.26900001 75860.96480112  4301.31690777
0.27000001 74150.34776029  4219.89649073
0.27100001 72477.89098812  3548.51771070
0.27200001 70843.46328807  3191.14395483
0.27300001 69245.65345216  3699.79543904
0.27400001 67683.40867328  2791.94073990
0.27500001 66159.75675260  3012.91546510
0.27600001 64669.57685833  2955.72315019
0.27700001 63216.38102374  3163.34785614
0.27800001 61796.97325046  2844.82379822
0.27900001 60412.35055355  3552.24638067
0.28000001 59061.25363464  2489.43195852
0.28100001 57743.42067576  3908.07489630
0.28200001 56458.88773292  2876.01587724
0.28300001 55206.63574494  3527.70419107
0.28400001 53986.54927008  3000.30261769
0.28500001 52798.18049888  2718.05046073
0.28600001 51639.91791814  4223.88728604
0.28700001 50512.93773010  2182.15901323
0.28800001 49415.32668995  3213.23177011
0.28900001 48349.07719662  2313.50345336
0.29000001 47310.42875933  2271.61034440
0.29100001 46301.73736765  2636.42105051
0.29200001 45320.95909500  2589.41312046
0.29300001 44367.97200821  2347.95318982
0.29400001 43442.24355802  2114.55130528
0.29500001 42544.59323499  2644.57204067
0.29600001 41672.51705804  2042.16179510
0.29700001 40826.46339050  2189.93159993
0.29800001 40006.59041461  2332.58436455
0.29900001 39212.07601197  2470.36090570
0.30000001 38442.21048379  2603.49882826
0.30100001 37697.88736396  1707.71437843
0.30200001 36976.21070760  2016.68262746
0.30300001 36278.68806494  1819.73907949
0.30400001 35605.18261663  2117.61833638
0.30500001 34953.32274395  2566.97214384
0.30600001 34324.24130035  2054.82080273
0.30700001 33717.68124170  1869.30833654
0.30800001 33132.36174248  2610.66456710
0.30900001 32568.48036257  1968.76473113
0.31000001 32026.13969296  1643.42143615
0.31100001 31502.66913609  2064.05497952
0.31200001 31000.46705620  1746.56639664
0.31300001 30517.46742183  2156.05917543
0.31400001 30055.21641394  1988.15265991
0.31500001 29610.84785059  1543.90968003
0.31600002 29185.36916739  1526.54080658
0.31700002 28777.65484091  2059.04130136
0.31800002 28388.25407619  1358.37802186
0.31900002 28016.68052882  1344.80072906
0.32000002 27662.12625183  1331.93144209
0.32100002 27324.64302672  1451.75835275
0.32200002 27003.77041031  1831.66583366
