# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1719190.39626459 309.45427133
0.00100000 1719119.51217132 773.60379885
0.00200000 1718906.81166660 850.85889872
0.00300000 1718552.45606210 1134.24466141
0.00400000 1718056.32604261 1546.25075219
0.00500000 1717418.90195410 1545.67707294
0.00600000 1716639.84067242 3785.19100279
0.00700000 1715719.91552167 2058.86398419
0.00800000 1714658.48879166 2777.74686912
0.00900000 1713457.03543319 2570.18566302
0.01000000 1712114.58639762 5367.47946012
0.01100000 1710632.46954634 4926.62172680
0.01200000 1709010.20171606 3999.08404735
0.01300000 1707249.06712972 3943.74551901
0.01400000 1705348.39774179 4604.44087802
0.01500000 1703310.03633820 5314.32755002
0.01600000 1701132.78718908 6506.83320188
0.01700000 1698818.75969876 5045.49194264
0.01800000 1696367.54195762 4834.64771213
0.01900000 1693779.90983545 6605.74194643
0.02000000 1691056.63090256 5326.82862831
0.02100000 1688199.15004718 7242.37468206
0.02200000 1685205.86990103 5813.96051530
0.02300000 1682079.51979722 9083.22982036
0.02400000 1678820.05402175 10072.92078343
0.02500000 1675429.07181282 7841.00841419
0.02600000 1671906.44798753 8802.58785127
0.02700000 1668253.46620884 9809.33083059
0.02800000 1664469.96744722 7964.48915948
0.02900000 1660558.44901312 8967.01603638
0.03000000 1656519.32206445 9243.37824199
0.03100000 1652352.92310916 13483.20047298
0.03200000 1648060.31070067 11421.05847919
0.03300000 1643644.14922443 10897.36121173
0.03400000 1639102.66479380 9465.81832594
0.03500000 1634439.09075319 10591.16579716
0.03600000 1629653.21359327 10853.49090411
0.03700000 1624747.06969250 15743.79983343
0.03800000 1619721.49823532 11370.44544383
0.03900000 1614578.50357348 12593.71291109
0.04000000 1609316.61669174 10887.02741641
0.04100000 1603939.98779347 11115.30463079
0.04200000 1598448.80229562 14433.99335436
0.04300000 1592843.13841326 10512.76520151
0.04400000 1587126.98287002 11784.41839510
0.04500000 1581299.91631724 18548.64888026
0.04600000 1575362.22182537 13327.56501620
0.04700000 1569317.05793363 15818.71667967
0.04800000 1563164.83323662 11489.26205886
0.04900000 1556908.30829076 14012.17542685
0.05000000 1550547.15472572 15420.19217181
0.05100000 1544084.34966005 14452.63018608
0.05200000 1537518.72851566 14667.92935358
0.05300000 1530855.12683830 13639.91981599
0.05400000 1524092.69169873 12573.76529288
0.05500000 1517234.65477102 17842.68037246
0.05600000 1510280.10982670 15495.47464991
0.05700000 1503234.00015092 17001.57733532
0.05800000 1496094.83678111 17212.57190086
0.05900000 1488864.53547302 13399.78144511
0.06000000 1481546.49210417 16267.38124330
0.06100000 1474141.69476569 20564.27760298
0.06200000 1466650.96403660 18017.80793541
0.06300000 1459077.51390324 15407.85926722
0.06400000 1451419.43193255 18396.74216010
0.06500000 1443682.54035621 25726.42407257
0.06600000 1435865.52825535 21645.67385122
0.06700000 1427971.21111124 18934.89914547
0.06800000 1420002.59942143 16166.73035116
0.06900000 1411960.42379866 17790.70217280
0.07000000 1403844.13805562 19436.22300155
0.07100000 1395658.77974690 24116.98484361
0.07200000 1387402.98091648 22788.09502910
0.07300000 1379082.50025358 21430.94305810
0.07400000 1370695.71722079 23130.49131209
0.07500000 1362245.67961901 15529.60147557
0.07600000 1353732.54017487 17199.17272923
0.07700000 1345161.51976984 20459.90767503
0.07800000 1336530.77355002 20589.25753210
0.07900000 1327842.77956595 20714.34833281
0.08000000 1319101.80368797 17629.79643332
0.08100000 1310307.73227700 20951.82162213
0.08200000 1301461.11571855 21064.14914634
0.08300000 1292565.87862799 17914.96391857
