# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700842.53283383 612.30332636
0.00200000 1700631.58149721 841.81265950
0.00300000 1700280.13983280 1122.18493227
0.00400000 1699788.09692665 1402.32523325
0.00500000 1699155.91054109 1988.01249402
0.00600000 1698383.26929039 2318.29325696
0.00700000 1697470.90959316 2444.35821140
0.00800000 1696418.21116889 2977.21408630
0.00900000 1695226.63256534 2797.12406330
0.01000000 1693895.24938715 2794.92728217
0.01100000 1692425.32815725 4569.54858498
0.01200000 1690816.42039658 4286.21981363
0.01300000 1689069.81478211 3901.75144423
0.01400000 1687184.81382259 4555.39919927
0.01500000 1685163.25968845 4448.83120368
0.01600000 1683003.98680507 6437.49053731
0.01700000 1680709.04763299 4537.91463217
0.01800000 1678278.10150686 4783.09280452
0.01900000 1675711.87404476 6535.27660366
0.02000000 1673011.04195313 6323.98202465
0.02100000 1670177.24091149 6613.90217387
0.02200000 1667208.71238088 6327.05735094
0.02300000 1664108.26597939 7188.94803626
0.02400000 1660875.85219865 7473.94167569
0.02500000 1657512.92894998 7757.16086176
0.02600000 1654019.56612193 8038.53545902
0.02700000 1650396.89785449 11090.66766155
0.02800000 1646644.81195908 7879.19578656
0.02900000 1642765.90039072 10349.42564765
0.03000000 1638760.36286378 8382.25964134
0.03100000 1634628.68356472 10200.08345478
0.03200000 1630371.78064449 10491.44289166
0.03300000 1625992.51830525 12438.84333847
0.03400000 1621488.98145269 14471.78982720
0.03500000 1616864.40836614 12223.49549171
0.03600000 1612118.54832488 11631.43586370
0.03700000 1607253.47259066 11909.74878269
0.03800000 1602270.08551806 12185.26456429
0.03900000 1597170.28490315 10541.32436853
0.04000000 1591952.65723631 9790.50929569
0.04100000 1586621.22545769 10995.28560224
0.04200000 1581176.25837342 16317.73974344
0.04300000 1575617.84426201 10399.07825483
0.04400000 1569950.03209239 12716.59585053
0.04500000 1564172.20151235 11872.06756111
0.04600000 1558284.74985333 17577.45279547
0.04700000 1552290.84523929 15647.09244773
0.04800000 1546190.86874808 12500.95375547
0.04900000 1539987.52644581 12704.89768456
0.05000000 1533680.35935407 16425.71741356
0.05100000 1527272.67015739 11912.72738217
0.05200000 1520762.96916974 15717.08601881
0.05300000 1514156.46417559 18397.00189736
0.05400000 1507451.75784023 17411.06861500
0.05500000 1500652.58631643 12605.48231309
0.05600000 1493757.67638904 12771.62872910
0.05700000 1486772.20096843 14228.41062743
0.05800000 1479694.38667838 15714.35512027
0.05900000 1472526.61028640 13252.74011156
0.06000000 1465271.57640341 14747.95910551
0.06100000 1457930.88262541 16270.50941044
0.06200000 1450505.08740470 19190.18320338
0.06300000 1442997.39615769 16623.33078097
0.06400000 1435405.81593890 22392.33177586
0.06500000 1427736.47925581 18374.96934756
0.06600000 1419987.63671607 18552.13934172
0.06700000 1412162.30700128 14404.05620551
0.06800000 1404263.34562146 15987.53893826
0.06900000 1396291.73550454 21991.59586382
0.07000000 1388246.80744407 19220.27794912
0.07100000 1380133.57283583 17886.53194172
0.07200000 1371950.73143477 21032.00569818
0.07300000 1363703.73405857 16650.82337304
0.07400000 1355391.27274335 25921.85930602
0.07500000 1347016.19127662 16891.58383036
0.07600000 1338578.74175463 15460.58519207
0.07700000 1330084.11680340 21786.77885479
0.07800000 1321530.51847370 17226.15111615
0.07900000 1312920.30657606 20481.55774325
0.08000000 1304257.72594395 17431.40532497
0.08100000 1295542.54162820 17528.69141064
0.08200000 1286775.74805400 16020.35881503
0.08300000 1277960.68000717 16102.30532380
0.08400000 1269097.59175829 16180.99505443
0.08500000 1260190.96863370 26010.34281366
0.08600000 1251239.71514592 17961.54695424
0.08700000 1242247.53538032 19677.20188442
0.08800000 1233213.22436392 18109.73705029
0.08900000 1224142.70865575 18178.52007738
0.09000000 1215034.63763419 23219.31301593
0.09100000 1205892.14978364 18305.44369373
0.09200000 1196716.02268342 18363.60823092
0.09300000 1187510.09256525 18418.28240120
0.09400000 1178271.90703584 23506.52565011
0.09500000 1169006.54778485 21883.80360313
0.09600000 1159714.72317210 18561.23501689
0.09700000 1150400.08742451 23675.23491224
0.09800000 1141062.68202810 22028.21611227
0.09900000 1131704.61129644 23765.79795475
0.10000000 1122325.89452464 25504.85715249
0.10100000 1112929.44800284 17027.82135529
0.10200000 1103517.08265147 17049.33972890
0.10300000 1094090.25674686 27308.49409301
0.10400000 1084651.49518568 18791.58803814
0.10500000 1075203.44755209 20514.88274451
0.10600001 1065742.43932764 20526.20034728
0.10700001 1056276.36979037 18822.84579542
0.10800001 1046802.26485761 20538.26140307
0.10900001 1037324.93825897 20539.03474421
0.11000001 1027844.11894549 18824.96592457
0.11100001 1018362.00150319 20530.17891673
0.11200001 1008880.93198843 18810.58586247
0.11300001 999399.86881744 18798.71241751
0.11400001 989923.44686388 18783.79828867
0.11500001 980452.14037978 20471.84165511
0.11600001 970986.50204883 18744.89530478
0.11700001 961530.03935452 25528.62374713
0.11800001 952080.62756533 20393.56800295
0.11900001 942643.22696617 16967.57888459
0.12000001 933217.15477402 22019.25980411
0.12100001 923806.39319127 18596.22357097
0.12200001 914409.48206685 18557.94131284
0.12300001 905029.59761721 21883.61670142
0.12400001 895666.75866792 20152.50301956
0.12500001 886323.26303859 18426.66150685
0.12600001 877001.69731554 25060.32468172
0.12700001 867701.54365536 19991.84450796
0.12800001 858423.52612850 23254.69441880
0.12900001 849170.85040917 19870.59883612
0.13000001 839943.96064121 24757.34940683
0.13100001 830742.87718835 21383.32266679
0.13200001 821571.40475050 21307.45538664
0.13300001 812429.93335915 22861.77940250
0.13400001 803317.79248738 19520.62327776
0.13500001 794238.36566643 17822.70976586
0.13600001 785191.17123374 19362.81519560
0.13700001 776178.79169056 24100.35261840
0.13800001 767200.09849039 19195.34736940
0.13900001 758260.48734417 15923.47098515
0.14000001 749356.73088806 20603.56428744
0.14100001 740491.96034176 17349.72744907
0.14200001 731665.60027030 15694.22786602
