# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 357.19169518
0.00100000 1700842.59281688 663.32862695
0.00200000 1700631.81491330 918.34120913
0.00300000 1700280.67534900 1224.20212986
0.00400000 1699789.04075012 1912.26274351
0.00500000 1699157.37372817 2140.93837564
0.00600000 1698385.37270005 2496.62659951
0.00700000 1697473.78521348 2648.05921499
0.00800000 1696421.96856545 2977.22068053
0.00900000 1695231.39157463 2542.84719606
0.01000000 1693901.08122418 3074.43059517
0.01100000 1692432.40193608 3046.37845612
0.01200000 1690824.85440634 3956.53033278
0.01300000 1689079.67766761 4611.18772341
0.01400000 1687196.24464916 4555.43006250
0.01500000 1685176.38094132 4853.30819322
0.01600000 1683018.85778570 6008.37759089
0.01700000 1680725.87590876 6806.94010278
0.01800000 1678296.91471687 5739.77570661
0.01900000 1675732.79112712 8043.51776035
0.02000000 1673034.19901275 5270.05796528
0.02100000 1670202.75448797 6062.83627367
0.02200000 1667236.67347522 8627.95017722
0.02300000 1664138.75862288 8387.25972523
0.02400000 1660908.98350262 7474.09076656
0.02500000 1657548.78692383 8403.77273351
0.02600000 1654058.28163583 7368.82998173
0.02700000 1650438.60913121 8318.21097100
0.02800000 1646689.55601600 7163.09989717
0.02900000 1642813.74217868 7392.66217923
0.03000000 1638811.45663196 8382.52098598
0.03100000 1634683.15436065 10200.42335256
0.03200000 1630429.74905606 9684.75315545
0.03300000 1626053.95709216 9951.45067617
0.03400000 1621553.96017294 9364.47455208
0.03500000 1616933.17057153 11350.87138157
0.03600000 1612191.11167586 10737.19329997
0.03700000 1607329.96139802 9161.78120368
0.03800000 1602350.51525273 12185.87623245
0.03900000 1597254.73248407 9583.52883872
0.04000000 1592041.28562038 12728.37066835
0.04100000 1586713.98052748 12995.18810306
0.04200000 1581273.28546164 15298.81974660
0.04300000 1575719.41636718 16639.59780921
0.04400000 1570055.89930479 12717.45337499
0.04500000 1564282.52315374 16190.32486692
0.04600000 1558399.59731940 10986.71767184
0.04700000 1552410.36662724 11177.35515955
0.04800000 1546315.11932549 12501.95832144
