# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420645 280.65061764
0.00100000 1700842.65690110 510.25280919
0.00200000 1700632.07218241 841.81290239
0.00300000 1700281.24767950 1122.18566344
0.00400000 1699790.05602089 1529.81110855
0.00500000 1699158.97624141 2140.94039481
0.00600000 1698387.67061983 2139.96855210
0.00700000 1697476.91744910 2240.66962416
0.00800000 1696426.06589695 3206.24539991
0.00900000 1695236.56422200 2797.14045054
0.01000000 1693907.47757111 3633.43169628
0.01100000 1692440.12893199 3351.03160119
0.01200000 1690834.02411508 3626.83914074
0.01300000 1689090.44272083 3901.79909477
0.01400000 1687208.68908307 4175.84169060
0.01500000 1685190.64287966 4044.45772301
0.01600000 1683035.07083199 6437.60943372
0.01700000 1680744.15930460 5899.41226380
0.01800000 1678317.35199231 5261.52513525
0.01900000 1675755.54324769 5027.26685659
0.02000000 1673059.36836913 5270.13724876
0.02100000 1670230.44685855 7165.28894189
0.02200000 1667266.97622616 8628.10699397
0.02300000 1664171.85393696 7788.32463094
0.02400000 1660944.92658052 8097.10688629
0.02500000 1657587.73184449 10343.34791910
0.02600000 1654100.26075314 6699.10636246
0.02700000 1650483.76186984 9011.64175255
0.02800000 1646738.03484051 10744.96617009
0.02900000 1642865.54128901 7392.89527524
0.03000000 1638866.79689136 8382.80405142
0.03100000 1634742.01090426 8631.43821473
0.03200000 1630492.33923886 12913.49992154
0.03300000 1626120.37022216 12439.82140568
0.03400000 1621624.22239889 10216.23307249
0.03500000 1617007.29284930 9605.02376307
0.03600000 1612269.34130677 9842.90478356
0.03700000 1607412.27496794 10994.70046926
0.03800000 1602437.07212951 10311.68303637
0.03900000 1597345.54763713 12459.29584856
0.04000000 1592136.39823502 12729.13109374
0.04100000 1586813.55882829 12996.00364938
0.04200000 1581377.40119541 15299.82706637
0.04300000 1575828.00944099 13520.60494860
0.04400000 1570169.26589129 13778.23594808
0.04500000 1564400.58309926 15112.11033492
0.04600000 1558522.35663853 16481.37468762
0.04700000 1552538.05128681 16767.41173372
0.04800000 1546447.59302208 12503.02937133
0.04900000 1540254.00965946 13862.28673219
0.05000000 1533956.70273347 16428.67705130
0.05100000 1527558.94270803 15489.44840062
0.05200000 1521059.31504288 13301.66432992
0.05300000 1514462.86979511 15947.29476237
0.05400000 1507768.33767026 16170.81617562
0.05500000 1500979.48772147 15129.87394203
0.05600000 1494095.02748915 16606.86700549
0.05700000 1487119.86515706 12937.94343079
0.05800000 1480052.77778757 26196.93539004
0.05900000 1472895.43044546 17232.87734109
0.06000000 1465651.12193545 16092.85007069
0.06100000 1458321.22449769 20343.58203243
0.06200000 1450906.16046179 15082.17024299
0.06300000 1443409.19675746 18013.74761777
0.06400000 1435828.45728300 15399.26092453
0.06500000 1428170.00778566 21208.32560770
0.06600000 1420432.13795210 18557.94675064
0.06700000 1412617.74673023 17290.44202915
0.06800000 1404729.78844427 15992.84939005
0.06900000 1396769.14331622 16132.68436062
0.07000000 1388735.09741592 20706.04127210
0.07100000 1380632.76434555 14910.83455332
0.07200000 1372460.92278854 18034.13737028
0.07300000 1364224.96442449 16657.18759611
0.07400000 1355923.36343407 16779.55240886
0.07500000 1347559.31445273 16898.39459531
0.07600000 1339132.65751744 17013.68121137
0.07700000 1330648.89479982 23352.88919872
0.07800000 1322106.05305971 15666.95746348
0.07900000 1313506.69643439 17338.28920616
0.08000000 1304854.77952232 15853.98631492
0.08100000 1296150.33348178 20725.44480477
0.08200000 1287394.15640403 20836.47539915
0.08300000 1278589.59110193 17721.25256437
0.08400000 1269737.11731982 16189.14900572
0.08500000 1260840.74719614 16264.84640239
0.08600000 1251899.90751626 19604.75347218
0.08700000 1242917.85646118 19687.81977084
0.08800000 1233893.65188720 23061.47343683
0.08900000 1224833.29061497 23149.35027994
0.09000000 1215735.04512960 34849.04670569
0.09100000 1206602.50313327 28306.89605340
0.09200000 1197436.20549934 23385.93019223
0.09300000 1188239.69613298 20105.01660335
0.09400000 1179011.18116437 21841.18315755
0.09500000 1169755.12918432 23582.26451279
0.09600000 1160472.64164303 18573.36550259
0.09700000 1151166.81450910 18614.36826573
