# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 252.40994265
0.00100000 1682663.37644065 555.27892741
0.00200000 1682454.59806367 984.23597103
0.00300000 1682106.78642893 1211.11692937
0.00400000 1681619.81792449 1639.57938478
0.00500000 1680994.15608547 2118.05272050
0.00600000 1680229.47994740 2293.51333350
0.00700000 1679326.55529906 2015.19195011
0.00800000 1678284.71721689 2265.68446390
0.00900000 1677105.42236103 2515.65824108
0.01000000 1675787.77907409 3318.05994584
0.01100000 1674333.03702324 3315.17955765
0.01200000 1672740.73221394 3914.21348499
0.01300000 1671012.15337493 4912.77594760
0.01400000 1669146.58392793 3755.57998033
0.01500000 1667145.89939217 7202.07060607
0.01600000 1665008.89054359 5094.92743282
0.01700000 1662737.67186274 4938.33110696
0.01800000 1660331.80923703 6151.52963003
0.01900000 1657792.06332200 6465.38933869
0.02000000 1655119.12526307 5213.62548042
0.02100000 1652314.60997189 5997.90230613
0.02200000 1649376.66708800 7966.48966397
0.02300000 1646308.27393191 5926.71005593
0.02400000 1643109.23374148 7393.99188898
0.02500000 1639780.98097656 7034.66072967
0.02600000 1636323.66428523 9277.95560086
0.02700000 1632738.42357715 6857.50169311
0.02800000 1629025.10386441 8503.51143214
0.02900000 1625186.15493532 9507.33944289
0.03000000 1621222.06041608 8292.55122020
0.03100000 1617133.05132503 10090.91070458
0.03200000 1612920.21603128 8782.35098079
0.03300000 1608586.16367018 12305.68471937
0.03400000 1604129.01093923 9263.84546561
0.03500000 1599552.22492139 10365.09889613
0.03600000 1594855.48876256 13277.17255754
0.03700000 1590040.60971602 12688.52465235
0.03800000 1585108.77649726 11127.46412598
0.03900000 1580061.59326237 11376.44399833
0.04000000 1574897.90556520 15496.99610888
0.04100000 1569621.53619026 11866.33936380
0.04200000 1564232.85709968 10089.30239636
0.04300000 1558731.96003617 12345.15769652
0.04400000 1553122.72055185 10483.57885060
0.04500000 1547404.59654508 17083.34753963
0.04600000 1541577.85740883 11954.93683995
0.04700000 1535646.04511272 15479.31285465
0.04800000 1529609.10171289 12366.89016276
0.04900000 1523469.94871313 14853.83269136
0.05000000 1517227.97423937 13928.15345210
0.05100000 1510886.59500359 18855.86558403
0.05200000 1504444.16534393 23920.66334370
0.05300000 1497906.02330827 13346.34328985
0.05400000 1491270.60472511 18454.47459408
0.05500000 1484541.82520723 16211.19748750
0.05600000 1477718.30403614 15161.39050690
0.05700000 1470804.88533965 17914.40433965
0.05800000 1463800.49339874 16841.02546290
0.05900000 1456706.85926547 17043.47104944
0.06000000 1449526.92128573 13263.17194940
0.06100000 1442262.22453378 14754.34324647
0.06200000 1434913.29739952 16271.91755312
0.06300000 1427483.24770817 16444.60778247
0.06400000 1419970.10281018 22151.53463979
0.06500000 1412380.30299286 13982.56565370
0.06600000 1404711.69945625 16940.82388808
0.06700000 1396967.48509516 15673.97591629
0.06800000 1389150.34300609 17253.24806774
0.06900000 1381261.16979096 17403.89155420
0.07000000 1373299.54410233 19013.33307846
0.07100000 1365270.29405335 17693.90383967
0.07200000 1357172.26977036 16347.14075520
0.07300000 1349010.70012361 14974.01947299
0.07400000 1340784.38535635 16592.20754636
0.07500000 1332496.02998944 16709.50099928
0.07600000 1324145.96345633 15293.88659491
0.07700000 1315739.41434708 16933.56705664
0.07800000 1307274.40232133 21687.68335158
0.07900000 1298753.48443923 20260.55530755
0.08000000 1290180.57345901 18810.83364347
0.08100000 1281555.57917547 17339.44779978
0.08200000 1272879.84496318 20601.56125746
0.08300000 1264156.05218668 19114.04040612
0.08400000 1255385.02745665 20808.00780679
0.08500000 1246570.50909441 17688.83635445
0.08600000 1237712.06236337 20997.78612387
0.08700000 1228813.12065455 21086.43414060
0.08800000 1219872.45138655 16285.29799083
0.08900000 1210896.06622110 17981.80742798
0.09000000 1201882.35035995 22967.97279431
0.09100000 1192834.72915944 24691.68005364
0.09200000 1183753.84667928 24770.05040563
0.09300000 1174643.15717197 18218.71622387
0.09400000 1165500.86589336 19930.06574344
0.09500000 1156331.62510096 19981.41142092
0.09600000 1147136.34530173 25036.25191311
0.09700000 1137917.91923595 20072.87303900
0.09800000 1128677.34229971 16760.85932121
0.09900000 1119416.54856517 18470.37391985
0.10000000 1110135.31058386 20182.26089553
0.10100000 1100835.89485166 18527.06898171
0.10200000 1091521.27870883 18550.40500420
0.10300000 1082192.21896265 20258.63929196
0.10400000 1072851.45567147 28725.59907700
0.10500000 1063501.18553762 21982.57053933
0.10600001 1054138.37490358 21994.59822729
0.10700001 1044770.58340210 25387.92637137
0.10800001 1035394.85294257 23700.18929923
0.10900001 1026015.76269657 25393.89132192
0.11000001 1016633.05071870 20312.32930945
0.11100001 1007249.30421823 21998.32583966
0.11200001 997866.56144670 16913.83901278
0.11300001 988484.02214612 25354.61636176
0.11400001 979105.73235356 16889.57467833
0.11500001 969732.69637792 23622.68959611
0.11600001 960365.23315772 16854.41063562
0.11700001 951006.82465663 21882.66806591
0.11800001 941655.37928400 18489.40424306
0.11900001 932315.85913590 20138.02350587
0.12000001 922987.41131257 18427.44453488
0.12100001 913674.09744267 18392.26044795
0.12200001 904374.53026477 28365.70847810
0.12300001 895091.78420244 16648.70797056
0.12400001 885825.88674927 18270.15977505
0.12500001 876579.30783763 26507.75951807
0.12600001 867354.29599309 16523.10011729
0.12700001 858150.46705086 16476.48974385
0.12800001 848968.44943448 29569.57248739
0.12900001 839811.82315761 26202.13011748
0.13000001 830680.27282467 21219.72856950
0.13100001 821574.40180792 16267.17392259
0.13200001 812497.89865980 16209.33384238
0.13300001 803451.15612792 17764.30589945
0.13400001 794433.05383995 25739.63215793
0.13500001 785447.81666751 16023.13621548
0.13600001 776494.10719664 23935.43198291
0.13700001 767574.86174783 17477.68042613
0.13800001 758689.10939603 26891.73675064
0.13900001 749841.86882927 25194.68798080
0.14000001 741029.97040860 17240.06307461
0.14100001 732256.94342468 15597.07363055
0.14200001 723521.86216320 17071.49914292
0.14300001 714829.47680285 20072.41265539
0.14400001 706173.79588899 16895.20886359
0.14500001 697564.14774345 21387.31777870
0.14600001 688995.24226036 21269.28413194
0.14700001 680472.88110560 24170.39787715
0.14800001 671993.18757777 24030.47752151
0.14900001 663558.82839896 17916.08921207
0.15000001 655171.86854184 22259.46528398
0.15100001 646832.04786373 16222.54852588
0.15200001 638541.47037237 17585.43292386
0.15300001 630299.87605363 16015.92060630
0.15400001 622106.04880013 20249.55284404
0.15500001 613964.53527534 18676.80204449
0.15600001 605872.69292328 14268.30259173
0.15700001 597836.24404014 14168.71965247
0.15800001 589847.71392209 19695.01609744
0.15900001 581915.91002760 18155.77724982
0.16000001 574035.50128103 20794.43701545
0.16100001 566213.07052945 16510.77391602
0.16200001 558443.37156498 16384.72929517
0.16300001 550730.58688534 13547.97307695
0.16400001 543073.95015578 17473.40517117
0.16500001 535474.70869702 14666.65296364
0.16600001 527932.26768034 17192.11510870
0.16700001 520447.59393955 17049.86398246
0.16800001 513020.09297030 18207.08395919
0.16900001 505653.97634188 16762.43010722
0.17000001 498346.16120000 16617.35352988
0.17100001 491097.94121824 13937.36022991
0.17200001 483910.38178899 18836.21250064
0.17300001 476783.16090186 16177.25341336
0.17400001 469717.51185006 14796.10232204
0.17500001 462712.59733789 14658.73577596
0.17600001 455767.38548986 12100.62465626
0.17700001 448886.68928577 17977.91275500
0.17800001 442067.01700624 15430.34995741
0.17900001 435309.69205761 18805.37958513
0.18000001 428615.96019914 12800.61625598
0.18100001 421985.94442356 18432.34692310
0.18200001 415416.37401859 13683.81600657
0.18300001 408912.69299177 11285.99085972
0.18400001 402470.92699058 13402.28250192
0.18500001 396094.10081977 11051.02593495
0.18600001 389780.71858824 19680.02941127
0.18700001 383530.67911778 14060.23536073
0.18800001 377344.57403806 11767.49109735
0.18900001 371224.64584124 11637.89319698
0.19000001 365164.77257264 12554.36547423
0.19100001 359174.22179436 12413.06169173
0.19200001 353244.63259803 10226.43259693
0.19300001 347381.46945988 15163.20185842
0.19400001 341581.69685618 15986.02416827
0.19500001 335846.81622069 10861.28654983
0.19600001 330175.42434099 10732.35267538
0.19700001 324568.88612202 10603.66601071
0.19800001 319026.70763557 11427.53720756
0.19900001 313549.64562796 10347.13879473
0.20000001 308134.71044999 9290.26195914
0.20100001 302785.60906543 10091.84482711
0.20200001 297499.44995004 9964.74454705
0.20300001 292277.92695903 10732.44598520
0.20400001 287119.97893383 9711.83374647
0.20500001 282024.86633036 8714.56878152
0.20600001 276993.66950918 9460.71922928
0.20700001 272025.72841949 8487.20312787
0.20800001 267120.52679946 10049.07469322
0.20900001 262280.49537023 14871.30479048
0.21000001 257500.88380838 11409.86470092
0.21100001 252783.78673173 9646.22975769
0.21200001 248129.07240545 7927.72423813
0.21300001 243536.19386789 8599.26341201
0.21400001 239006.13063116 10791.12730816
0.21500001 234538.01335332 9878.74158948
0.21600001 230129.25120426 8988.84897702
0.21700001 225782.75632081 9598.02542499
0.21800001 221496.72996217 8003.78471561
0.21900001 217269.97018076 12188.84590345
0.22000001 213103.26780872 9890.12312663
0.22100001 208998.55349910 7655.61737666
0.22200001 204952.22000214 8912.34770821
0.22300001 200964.68889724 6752.41386624
0.22400001 197034.27508795 7314.89780853
0.22500001 193165.56190368 6548.31285819
0.22600001 189352.90694260 7736.96014354
0.22700001 185599.00083259 6347.48612864
0.22800001 181901.78354989 6873.15921646
0.22900001 178260.97991574 6765.00450773
0.23000001 174677.03309815 8473.58327632
0.23100001 171151.02337454 7147.26707413
0.23200001 167678.45538362 7032.43475138
0.23300001 164262.68077904 7495.30647843
0.23400001 160901.64332711 6806.13983464
0.23500001 157594.12445986 6136.71549671
0.23600001 154341.48556324 6584.20808554
0.23700001 151142.52442878 7014.52489051
0.23800001 147996.73595702 5836.25155851
0.23900001 144904.02938700 6259.85436561
0.24000001 141863.21880032 7179.69784309
0.24100001 138875.74608284 6049.42778551
0.24200001 135939.13067030 5450.47970204
0.24300001 133053.56534927 5843.71286656
0.24400001 130218.05064021 6221.16766362
0.24500001 127433.13365170 6112.96771044
0.24600001 124697.98644899 5082.06667814
0.24700001 122012.85702185 4992.76634552
0.24800001 119375.39005669 4904.53813250
0.24900001 116786.34381862 6131.28334053
0.25000001 114245.57291153 5591.74983069
0.25100001 111751.50506829 5069.04850971
0.25200001 109305.40019572 5392.58217378
