# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664581.75120219 798.99925955
0.00200000 1664374.71173636 823.86550840
0.00300000 1664029.79889123 1497.62687235
0.00400000 1663546.89188914 1621.95828122
0.00500000 1662926.43197163 1646.29723281
0.00600000 1662168.13912147 2094.33194056
0.00700000 1661272.73489791 2192.88010120
0.00800000 1660239.56769831 2241.32351102
0.00900000 1659070.09639157 2737.46577607
0.01000000 1657763.45263971 5197.08864843
0.01100000 1656320.83669979 3875.79092663
0.01200000 1654741.80908905 3226.74666920
0.01300000 1653027.66854690 5554.17321128
0.01400000 1651177.67816017 5572.72491083
0.01500000 1649193.70266572 4749.67807518
0.01600000 1647074.55517233 4620.04433379
0.01700000 1644822.30735886 4885.12247200
0.01800000 1642436.60009704 7489.51123345
0.01900000 1639918.10021064 7871.60723620
0.02000000 1637267.52353064 6188.87151890
0.02100000 1634486.52480859 5393.80577642
0.02200000 1631573.18809024 7880.49885651
0.02300000 1628530.54688134 8207.79432989
0.02400000 1625358.38774862 6095.09423198
0.02500000 1622058.02893307 6958.62926193
0.02600000 1618629.81039929 7866.54123834
0.02700000 1615074.67907306 6783.31396279
0.02800000 1611392.58853111 8411.46969788
0.02900000 1607586.03959755 7234.13751034
0.03000000 1603655.33235845 8948.39716588
0.03100000 1599600.84202727 9213.70127403
0.03200000 1595423.50879356 11846.02009840
0.03300000 1591126.12618975 9737.69234119
0.03400000 1586706.69366008 14161.35789433
0.03500000 1582168.64967589 9398.08221306
0.03600000 1577511.70172956 10506.22841905
0.03700000 1572737.65492288 9861.06555242
0.03800000 1567847.75618452 11923.48273760
0.03900000 1562843.50723735 10314.76762544
0.04000000 1557723.78711146 10538.00190813
0.04100000 1552492.38054178 10758.77269600
0.04200000 1547149.58617806 14968.67294071
0.04300000 1541695.71325844 11192.71139780
0.04400000 1536134.50110540 11405.79920042
0.04500000 1530465.30247194 12672.25329328
0.04600000 1524688.52478353 12898.86551930
0.04700000 1518807.66976123 14216.04045012
0.04800000 1512822.59930068 13343.09594666
0.04900000 1506736.29954866 11300.52277263
0.05000000 1500547.99659533 17218.78906274
0.05100000 1494261.39585135 12820.76337365
0.05200000 1487874.54760038 17742.90480698
0.05300000 1481393.13059782 13199.21340895
0.05400000 1474815.12225245 14600.67039118
0.05500000 1468144.78617146 22198.35020245
0.05600000 1461380.58862859 14993.76553900
0.05700000 1454527.39796802 21512.46122012
0.05800000 1447584.03680037 12811.11932387
0.05900000 1440552.47110473 20743.95655277
0.06000000 1433435.20449284 18362.30582742
0.06100000 1426234.18426073 15916.77424016
0.06200000 1418949.78674482 17431.79894498
0.06300000 1411585.03906672 18971.70381208
0.06400000 1404138.06800715 15059.38148365
0.06500000 1396615.37924510 16591.79148156
0.06600000 1389014.48794006 16751.51550834
0.06700000 1381338.86275908 16907.58847143
0.06800000 1373590.94792995 18481.66706951
0.06900000 1365771.91298386 14340.60575774
0.07000000 1357881.16031102 15907.57853797
0.07100000 1349923.57699663 16037.09284586
0.07200000 1341898.03789187 19101.91946425
0.07300000 1333809.52412552 19246.87233495
0.07400000 1325657.05058111 17896.37102154
0.07500000 1317443.19783785 16520.73847525
0.07600000 1309168.37428241 16632.98497502
0.07700000 1300837.71369666 22829.70294583
0.07800000 1292449.32641662 16847.07775990
0.07900000 1284005.70550075 23112.10378306
0.08000000 1275510.62872913 20146.69132588
0.08100000 1266964.05554646 18700.39033725
