# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 252.40994265
0.00100000 1682663.50126408 555.27896860
0.00200000 1682455.09554329 757.10481697
0.00300000 1682107.90886651 1312.04421565
0.00400000 1681621.81530090 1765.70297316
0.00500000 1680997.26478514 1966.76687765
0.00600000 1680233.98200948 2293.51947882
0.00700000 1679332.62379051 2821.27892522
0.00800000 1678292.69635631 3625.11237718
0.00900000 1677115.51251808 3018.80805158
0.01000000 1675800.19957319 3041.57749356
0.01100000 1674348.08685576 3616.59202507
0.01200000 1672758.58824474 4240.44320712
0.01300000 1671033.09398779 3860.08661736
0.01400000 1669170.90436391 5633.45205196
0.01500000 1667173.76517362 5201.58237896
0.01600000 1665040.53460065 4245.85355304
0.01700000 1662773.30120071 6734.23217195
0.01800000 1660371.77367946 5678.47172150
0.01900000 1657836.53198426 7460.26473056
0.02000000 1655168.32528779 6256.53655261
0.02100000 1652368.68667348 5998.09860457
0.02200000 1649435.93179723 5690.55422324
0.02300000 1646372.95421536 7705.02577645
0.02400000 1643179.51834227 6778.11582223
0.02500000 1639857.10273967 8953.62018988
0.02600000 1636405.89520987 7290.18859660
0.02700000 1632826.90266142 10286.80995791
0.02800000 1629119.94487059 8504.00650221
0.02900000 1625287.77962368 8045.17487853
0.03000000 1621330.51061250 9800.94338716
0.03100000 1617248.60830258 8539.07304475
0.03200000 1613042.95429084 8783.01929064
0.03300000 1608716.34974458 11486.23526670
0.03400000 1604266.91370528 10949.12219124
0.03500000 1599697.93350058 9502.20616379
0.03600000 1595009.20251300 8852.30148305
0.03700000 1590202.57515809 12689.81713663
0.03800000 1585279.18429215 11128.66038876
0.03900000 1580240.49112957 10429.58772445
0.04000000 1575085.45739599 12592.80881542
0.04100000 1569817.92260213 11867.82404514
0.04200000 1564438.32264383 14126.87870886
0.04300000 1558946.75730323 10289.04907580
0.04400000 1553346.62995978 12582.10828701
0.04500000 1547638.06235690 14950.18437703
0.04600000 1541820.93016979 10869.83806300
0.04700000 1535898.81544491 12164.31918406
0.04800000 1529871.83060491 12369.01432595
0.04900000 1523742.58570355 14856.49090214
0.05000000 1517510.73901208 15091.64500223
0.05100000 1511179.56450066 12965.92126742
0.05200000 1504747.57426410 15551.56690474
0.05300000 1498219.84329560 13349.13942607
0.05400000 1491594.98162104 14766.79100668
0.05500000 1484876.93893658 13720.26355581
0.05600000 1478064.07574106 17692.42781222
0.05700000 1471161.64487693 15358.92828945
0.05800000 1464168.10442879 12957.88832923
0.05900000 1457085.51076913 18359.27829318
0.06000000 1449916.66233550 17246.75950423
0.06100000 1442663.08171270 13416.76728691
0.06200000 1435325.28286252 14920.20701278
0.06300000 1427906.49187433 20561.85444437
0.06400000 1420404.66311303 15233.84072432
0.06500000 1412826.16498156 15385.67765636
0.06600000 1405169.10874696 15534.14522402
0.06700000 1397436.32556295 14253.85118781
