# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682663.50943753 504.79906482
0.00200000 1682455.13344413 984.23628423
0.00300000 1682107.99136634 1009.26483077
0.00400000 1681621.96595556 1513.45982687
0.00500000 1680997.48845847 1966.76713934
0.00600000 1680234.32180737 1764.24610972
0.00700000 1679333.06837197 2216.71974238
0.00800000 1678293.28229995 2718.83523212
0.00900000 1677116.24801165 3018.80937547
0.01000000 1675801.11000018 2765.07195089
0.01100000 1674349.18553772 3917.97726474
0.01200000 1672759.91348478 3588.07017174
0.01300000 1671034.62458630 4211.00743968
0.01400000 1669172.73044150 5257.89433398
0.01500000 1667175.80802144 5601.71096439
0.01600000 1665042.85526958 4670.44541782
0.01700000 1662775.95790210 5387.39434527
0.01800000 1660374.74844311 5205.27507059
0.01900000 1657839.82545049 5968.22364092
0.02000000 1655171.96740116 5213.79193316
0.02100000 1652372.69307052 5452.83013436
0.02200000 1649440.34909883 6828.68335551
0.02300000 1646377.79528206 5926.96033280
0.02400000 1643184.76831438 8010.52611079
0.02500000 1639862.76794363 9593.19763060
0.02600000 1636412.05368509 7952.96294466
0.02700000 1632833.48471890 8229.48113990
0.02800000 1629127.02472966 9212.71374734
0.02900000 1625295.43150394 9507.97871085
0.03000000 1621338.67226926 10554.91524163
0.03100000 1617257.34163662 8539.11915675
0.03200000 1613052.20449542 11976.91317001
0.03300000 1608726.18134175 9024.95429338
0.03400000 1604277.31153169 9264.70190157
0.03500000 1599709.00327784 10366.11481993
0.03600000 1595020.85577459 9737.60277451
0.03700000 1590214.86133170 11783.49266743
0.03800000 1585292.16878884 9273.95961661
0.03900000 1580254.19398242 11377.83072358
0.04000000 1575099.86085651 13561.61043041
0.04100000 1569833.04649676 9889.94865149
0.04200000 1564454.15440460 11099.80274045
0.04300000 1558963.36317764 12346.99040949
0.04400000 1553364.05123700 11533.72861608
0.04500000 1547656.11820112 12814.59325413
0.04600000 1541839.83207573 14130.96271788
0.04700000 1535918.53378781 16587.92093638
0.04800000 1529892.30068626 12369.17982656
0.04900000 1523763.93114577 11428.23001555
0.05000000 1517532.94222895 11609.12754864
0.05100000 1511202.68651701 15323.59595512
0.05200000 1504771.56191176 14355.52136962
0.05300000 1498244.66915193 13349.36062446
0.05400000 1491620.77525579 17228.22075762
0.05500000 1484903.70185522 18709.78751617
0.05600000 1478091.74649073 12637.68502222
0.05700000 1471190.26821362 16639.16271019
0.05800000 1464197.70424643 15549.78034515
0.05900000 1457116.01301789 14425.44920263
0.06000000 1449948.23584982 14593.72967563
0.06100000 1442695.67092648 16100.48443994
0.06200000 1435358.83324824 13564.14160823
0.06300000 1427941.06768377 15079.05837977
0.06400000 1420440.29215832 15234.22284585
0.06500000 1412862.94688757 13987.34382848
0.06600000 1405206.87065377 19771.26159517
0.06700000 1397475.10907093 19955.94549145
0.06800000 1389670.64669263 17259.71023983
0.06900000 1381793.99865667 15959.72143170
0.07000000 1373845.04185647 14631.45038094
0.07100000 1365828.48241855 20651.32762143
0.07200000 1357743.25833765 19327.47618787
0.07300000 1349594.15021468 16478.54534623
0.07400000 1341380.70245172 18108.64033174
0.07500000 1333104.99867515 18236.87723668
0.07600000 1324767.60782770 24481.70654037
0.07700000 1316373.59262501 16941.72893146
0.07800000 1307921.53898364 20148.53225293
0.07900000 1299413.18720971 18711.55077346
0.08000000 1290852.97430491 18820.63724826
0.08100000 1282240.94829467 15771.56440400
0.08200000 1273577.41062637 19027.24740762
0.08300000 1264866.16913024 20718.50882271
0.08400000 1256107.62288123 19218.44753217
0.08500000 1247305.70371451 19308.29319993
0.08600000 1238459.62659731 21010.46855170
0.08700000 1229572.94203827 19476.43631645
0.08800000 1220644.50195385 17925.16535303
0.08900000 1211680.31888459 26172.29611721
0.09000000 1202678.91966605 16416.56802462
0.09100000 1193643.27566035 18119.50577580
0.09200000 1184574.18879417 18177.29178114
0.09300000 1175475.31457417 18231.62298579
0.09400000 1166344.86673785 18282.45664535
0.09500000 1157187.22901693 18329.84656918
0.09600000 1148003.38833121 18373.79509395
0.09700000 1138796.56616084 20088.37237149
0.09800000 1129567.33379931 25161.11354340
0.09900000 1120317.44703542 21846.19124445
0.10000000 1111046.95032188 18515.59829785
0.10100000 1101758.68502299 18542.59954103
0.10200000 1092455.02904417 20254.11719116
0.10300000 1083136.42459289 20276.31482219
0.10400000 1073806.07300097 21986.18037904
0.10500000 1064466.24901151 20310.01698671
0.10600001 1055113.68506805 18628.03298639
0.10700001 1045755.63357987 18635.36626733
0.10800001 1036389.83059131 28806.45669697
0.10900001 1027020.24484175 23724.16877244
0.11000001 1017647.19242556 28804.50513742
0.11100001 1008272.65005402 18632.87945011
0.11200001 998899.20004394 25397.01335674
0.11300001 989525.15739450 20305.05718571
0.11400001 980155.95741406 18598.46016763
0.11500001 970791.14629408 23648.47343728
0.11600001 961432.27700515 20247.76470723
0.11700001 952081.84320480 20222.21930203
0.11800001 942738.40405893 18510.66943552
0.11900001 933406.33791939 20161.57784870
0.12000001 924085.44889917 21803.79719384
0.12100001 914779.51430321 23436.65226051
0.12200001 905487.04407766 16706.23675029
0.12300001 896211.22804636 21670.38851515
0.12400001 886951.97676815 21619.45545238
0.12500001 877711.62232143 21565.37557661
0.12600001 868492.87928625 18199.26914306
0.12700001 859295.07493584 24747.69932442
0.12800001 850118.96816685 18094.78309022
0.12900001 840967.45750686 16398.86619430
0.13000001 831841.17582603 16345.67987543
0.13100001 822740.15185260 24435.38366185
0.13200001 813668.20689528 19479.21779133
0.13300001 804625.97783093 22642.17608358
0.13400001 795612.40424040 22555.61272361
0.13500001 786630.88653741 24070.90626294
0.13600001 777680.71465712 15981.33943974
