# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682663.38550656 757.19854146
0.00200000 1682454.64029785 1135.65691816
0.00300000 1682106.87728770 1211.11699479
0.00400000 1681619.98632292 1387.33654143
0.00500000 1680994.39970970 1966.76352551
0.00600000 1680229.87963807 2117.08973454
0.00700000 1679327.04227085 2821.26954827
0.00800000 1678285.40945264 2492.25393826
0.00900000 1677106.25618868 3018.79139019
0.01000000 1675788.80487282 2765.05164743
0.01100000 1674334.30007428 4219.32261989
0.01200000 1672742.20332506 3914.21692739
0.01300000 1671013.88754171 4912.78104605
0.01400000 1669148.65811981 4882.26004144
0.01500000 1667148.23935723 4401.27154789
0.01600000 1665011.54895402 5944.09149549
0.01700000 1662740.66376830 5836.21999163
0.01800000 1660335.25624069 6151.54240118
0.01900000 1657795.90182127 6962.74310183
0.02000000 1655123.36419035 7299.09436626
0.02100000 1652319.25441296 6543.18454413
0.02200000 1649381.76355145 8535.55101417
0.02300000 1646313.87173532 7112.07624963
0.02400000 1643115.36755712 6777.85120023
0.02500000 1639787.57606607 8953.24057422
0.02600000 1636330.91835046 7289.85457468
0.02700000 1632746.23002781 7543.28792822
0.02800000 1629033.41338209 8503.55480782
0.02900000 1625195.27944308 7313.37909328
0.03000000 1621231.80006692 10554.21950356
0.03100000 1617143.52513551 9314.74713338
0.03200000 1612931.18316394 9580.81166927
0.03300000 1608597.90243604 9844.61961675
0.03400000 1604141.58857654 9263.91810147
0.03500000 1599565.66021400 9501.42046043
0.03600000 1594869.67689735 12392.13796218
0.03700000 1590055.63394160 9063.31753262
0.03800000 1585124.82620856 13909.47099370
0.03900000 1580078.52022552 11376.56587247
0.04000000 1574915.76164511 9685.73238294
0.04100000 1569640.39019732 15821.97586680
0.04200000 1564252.72605984 13116.25971651
0.04300000 1558752.96691580 11316.54706510
0.04400000 1553144.63239463 13628.84478221
0.04500000 1547427.61313606 14948.15143746
0.04600000 1541602.07847151 10868.29515846
0.04700000 1535671.41268836 13268.20162270
0.04800000 1529635.62230836 14615.66905120
0.04900000 1523497.60016703 14854.10229305
0.05000000 1517257.00856639 11607.01665603
0.05100000 1510916.83732389 16499.21263218
0.05200000 1504475.77034731 14352.69951797
0.05300000 1497939.01537822 12133.30659019
0.05400000 1491305.04921010 15994.24739865
0.05500000 1484577.78598114 12470.45398398
0.05600000 1477755.55051238 15161.77265577
0.05700000 1470843.81331805 19194.51265977
0.05800000 1463840.88326874 22023.48711711
0.05900000 1456748.86212690 20977.18459438
0.06000000 1449570.54728064 17242.64246546
0.06100000 1442307.43405334 13413.45976353
0.06200000 1434960.09050145 21696.59758256
0.06300000 1427531.84442230 16445.16761664
0.06400000 1420020.45279684 17998.76008094
0.06500000 1412432.39437214 15381.38949422
0.06600000 1404765.82002837 16941.47658221
0.06700000 1397023.41276433 15674.60342477
0.06800000 1389208.28107360 21567.45957322
0.06900000 1381320.95818539 15954.25781400
0.07000000 1373361.41036034 17551.55964632
0.07100000 1365334.23461011 20643.85459422
0.07200000 1357238.50488890 17834.11478971
0.07300000 1349078.86013208 16472.25365403
0.07400000 1340854.89158873 15084.61823730
0.07500000 1332568.59233880 18229.53919766
0.07600000 1324220.80140096 16824.22607053
0.07700000 1315816.39199483 20013.56826065
0.07800000 1307353.96347635 18590.57423246
0.07900000 1298835.39340772 20261.83308752
0.08000000 1290264.91207300 18812.06330052
0.08100000 1281642.76702009 23646.31016096
0.08200000 1272969.06459051 15848.46559784
0.08300000 1264248.01443164 19115.43087533
0.08400000 1255479.49346482 16007.36429304
0.08500000 1246667.72936466 17690.21591015
0.08600000 1237812.16443226 17768.79445470
0.08700000 1228915.79098144 21088.19596349
0.08800000 1219977.86593899 17915.37580269
0.08900000 1211004.26115967 19618.26995225
0.09000000 1201993.73917211 21329.37990357
0.09100000 1192948.94927880 24694.04441023
0.09200000 1183870.99251471 19818.00134588
0.09300000 1174763.24500563 19876.99503956
0.09400000 1165623.91562830 21593.18405184
0.09500000 1156457.89422889 21648.89279752
0.09600000 1147265.47219203 20031.25608610
0.09700000 1138050.41578177 18402.27608833
0.09800000 1128813.13270630 18439.16338972
0.09900000 1119555.25403432 26869.32736029
0.10000000 1110277.04798773 25231.04710207
0.10100000 1100981.34272803 23583.02147039
0.10200000 1091670.25832896 18552.93691296
0.10300000 1082344.62394470 25326.86539170
0.10400000 1073007.06445488 16899.86206022
0.10500000 1063660.38880211 16912.20097766
0.10600001 1054301.09369078 16921.53334996
0.10700001 1044936.82742609 18620.77514098
0.10800001 1035564.67884269 18624.63162549
0.10900001 1026189.12725911 18625.33353637
0.11000001 1016810.20214633 16929.89066262
0.11100001 1007430.01592856 20309.79007717
0.11200001 998051.32876502 23683.75914656
0.11300001 988672.12929854 20287.55304836
0.11400001 979297.98481523 40542.93848029
0.11500001 969928.47569214 18564.43189891
0.11600001 960564.93068088 20229.49839278
0.11700001 951210.30963870 20203.70792822
