# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700842.61716999 510.25279727
0.00200000 1700631.91608409 918.34126376
0.00300000 1700280.88959724 1020.16857010
0.00400000 1699789.42684217 1657.29475414
0.00500000 1699157.98367150 2293.86336875
0.00600000 1698386.28670223 2853.28907782
0.00700000 1697474.97560158 2240.66706092
0.00800000 1696423.56440689 3664.27505382
0.00900000 1695233.36742260 3814.27523975
0.01000000 1693903.54199287 3074.43506147
0.01100000 1692435.39527403 4264.93738178
0.01200000 1690828.35166861 3626.82697334
0.01300000 1689083.80228752 5320.61421187
0.01400000 1687201.05611618 4555.44305346
0.01500000 1685181.84301398 4853.32392399
0.01600000 1683025.09224140 4720.88559478
0.01700000 1680732.85847748 6353.17049004
0.01800000 1678304.80440207 4783.16890778
0.01900000 1675741.56251437 8546.28235445
0.02000000 1673043.89397836 5270.08850443
0.02100000 1670213.37715283 5511.70439450
0.02200000 1667248.26343408 6327.20744719
0.02300000 1664151.43455135 8387.32361192
0.02400000 1660922.78801513 9342.69110859
0.02500000 1657563.69361895 6464.49870035
0.02600000 1654074.38568502 7368.90172527
0.02700000 1650455.91591209 7625.10668075
0.02800000 1646708.08237282 7163.18048682
0.02900000 1642833.64742875 8132.02692815
0.03000000 1638832.73270094 9144.68706881
0.03100000 1634705.77076831 8631.24686681
0.03200000 1630453.60920030 11299.04403217
0.03300000 1626079.30171211 9122.30530315
0.03400000 1621580.82437304 10215.95966492
0.03500000 1616961.49255540 8731.59246301
0.03600000 1612220.98842434 9842.60958919
0.03700000 1607361.36538287 16491.52837152
0.03800000 1602383.62327369 9373.94462997
0.03900000 1597289.40039042 10542.11053078
0.04000000 1592077.55077899 10770.40513011
0.04100000 1586752.01917575 13995.15345804
0.04200000 1581313.03199337 13259.31038840
0.04300000 1575760.91228236 10400.02250381
0.04400000 1570099.15494488 10598.16978808
0.04500000 1564327.48313088 11873.24614865
0.04600000 1558446.42088184 10987.04777797
0.04700000 1552458.99794049 16766.55795754
0.04800000 1546365.50469437 14775.52308483
0.04900000 1540168.69439779 11551.26574567
0.05000000 1533868.32013347 14080.91183452
0.05100000 1527467.36338498 14297.09518730
0.05200000 1520964.56078867 13300.83570393
0.05300000 1514364.91528966 15946.26330138
0.05400000 1507667.26121464 12438.25548506
0.05500000 1500875.20240605 12607.35228833
0.05600000 1493987.24975913 15328.30989781
0.05700000 1487008.85737769 14230.67542937
0.05800000 1479938.26365413 14407.19966938
0.05900000 1472777.67590689 15905.99964270
0.06000000 1465529.97202140 17432.47983162
0.06100000 1458196.64148931 14917.35233954
0.06200000 1450778.09537297 15080.83900633
0.06300000 1443277.69511412 15241.01317300
0.06400000 1435693.56711074 13998.01293397
0.06500000 1428031.62738885 15551.26514972
0.06600000 1420290.33594082 17128.70225287
0.06700000 1412472.45113735 23051.55148135
0.06800000 1404581.14742723 21806.12333453
0.06900000 1396616.83048067 16130.92514728
0.07000000 1388579.47478136 17746.04651873
0.07100000 1380473.72240864 16400.02859036
0.07200000 1372298.51602573 19534.67029076
0.07300000 1364058.84545109 16655.15928335
0.07400000 1355754.04235275 16777.45706038
0.07500000 1347386.37093873 19968.26695327
0.07600000 1338956.30801244 17011.44069080
0.07700000 1330469.05964118 18679.78647323
0.07800000 1321922.99904369 15664.78827329
0.07900000 1313320.16972057 15759.84277584
0.08000000 1304664.83925542 20607.18210274
0.08100000 1295957.22179792 15940.27457600
0.08200000 1287197.45281597 17628.16994352
0.08300000 1278389.84824158 17718.48412819
0.08400000 1269533.94311522 37229.08462934
0.08500000 1260634.40339174 17888.40302390
0.08600000 1251690.28318744 19601.47075503
0.08700000 1242705.06404968 22965.19066203
0.08800000 1233677.66766343 23057.43669149
0.08900000 1224614.19559995 21491.98014225
0.09000000 1215513.00064590 16591.75323822
0.09100000 1206377.35417241 19977.60992367
0.09200000 1197207.99376042 20041.26275722
0.09300000 1188008.41949167 18426.01145219
0.09400000 1178776.97052188 20157.08714326
0.09500000 1169518.16973824 28629.80614087
0.09600000 1160232.66679383 20257.66331449
0.09700000 1150924.11038347 21994.16078343
0.09800000 1141593.04871059 25428.98635564
0.09900000 1132240.89413257 20380.33705272
0.10000000 1122868.19139220 23816.03545943
0.10100000 1113477.51955068 25554.31027555
0.10200000 1104071.16998871 18763.69041653
0.10300000 1094650.07794460 22199.50462500
0.10400000 1085216.81539951 22219.81534064
0.10500000 1075774.11356796 18815.29013155
0.10600001 1066318.61822909 18825.85609066
0.10700001 1056857.61610032 18833.20360515
0.10800001 1047388.75075926 18837.28756892
0.10900001 1037916.37401375 20550.74517271
0.11000001 1028440.29488201 22260.59123052
0.11100001 1018962.89984633 18830.43527557
0.11200001 1009486.52495759 22244.03662463
0.11300001 1000009.70339424 30780.30011964
0.11400001 990537.76502099 18795.45497625
0.11500001 981070.42729183 18777.68886257
0.11600001 971608.94587318 18756.91158337
0.11700001 962156.29360851 22139.21735858
0.11800001 952710.81404661 23808.24436435
0.11900001 943276.66702101 18676.87888673
0.12000001 933854.06636891 16949.45210300
0.12100001 924446.62741436 21992.58630222
0.12200001 915052.77917740 21947.54194255
0.12300001 905675.89338428 18530.12965168
0.12400001 896315.85018116 16805.92298275
0.12500001 886975.01538472 28498.50858717
0.12600001 877656.03180195 18391.28301307
0.12700001 868358.20880593 23341.46975270
0.12800001 859082.46281869 19947.89572678
0.12900001 849831.58473487 16571.71668339
0.13000001 840606.58064364 19821.50410586
0.13100001 831407.05181500 18108.04644210
0.13200001 822237.06167804 22965.08221525
0.13300001 813096.90297153 19611.89822424
0.13400001 803985.94432516 19536.85936818
0.13500001 794907.43509833 25945.77990491
0.13600001 785861.06516179 19379.33478064
0.13700001 776849.42650718 17688.86227566
0.13800001 767871.25353745 22414.16294771
0.13900001 758931.84438294 15937.56948363
0.14000001 750027.96979391 23794.63846388
0.14100001 741163.11951717 20522.80774735
0.14200001 732336.55191889 18850.34373547
0.14300001 723553.10298277 17191.62253776
0.14400001 714806.62664392 17101.74934914
0.14500001 706106.40358703 17010.10406481
0.14600001 697447.15786417 18454.45266766
0.14700001 688834.67444651 19879.76964238
0.14800001 680265.41280943 21285.50577103
0.14900001 671741.70208215 16625.60791094
0.15000001 663265.60244028 25539.04322697
0.15100001 654837.10002323 14930.28658501
0.15200001 646458.32155332 17803.46301567
0.15300001 638128.71619057 14740.77403961
0.15400001 629847.24904435 21965.92384702
0.15500001 621618.50713896 14545.87375351
0.15600001 613439.92123514 26003.71948840
0.15700001 605316.77168300 20084.41143236
0.15800001 597242.28136390 17093.07489941
0.15900001 589224.73073445 14141.39420511
0.16000001 581259.15594204 18248.63206218
0.16100001 573351.82249355 15325.69493869
0.16200001 565497.74631464 22122.27288013
0.16300001 557701.18545242 16463.33977175
0.16400001 549961.05008080 14972.69029530
0.16500001 542278.70770568 20254.11068903
0.16600001 534653.64786059 20089.61176685
0.16700001 527086.92229773 17267.36838975
0.16800001 519577.90897641 14488.43067590
0.16900001 512130.66704085 15671.19915141
0.17000001 504742.25751574 15535.96741994
0.17100001 497413.94949083 16683.26465373
0.17200001 490146.47140297 16535.09199361
0.17300001 482940.03015806 17646.62953533
0.17400001 475795.94517479 17485.50181094
0.17500001 468712.83670464 12374.01947340
0.17600001 461690.15547045 13483.66162734
0.17700001 454732.20761902 13355.48556856
0.17800001 447836.21944599 15631.72397808
0.17900001 441002.87148883 11907.07809261
0.18000001 434233.61701228 12968.38758463
0.18100001 427528.65045553 16340.14579226
0.18200001 420884.63319732 12708.61209972
0.18300001 414307.12722638 14865.34042711
0.18400001 407792.17603625 16974.35012939
0.18500001 401342.64726514 13436.95246523
0.18600001 394957.01847386 12186.39938074
0.18700001 388635.71812008 15343.33887627
0.18800001 382378.19784836 14092.54914752
0.18900001 376187.88645035 15009.89737855
0.19000001 370058.30560437 11662.38805216
0.19100001 363998.30203065 13628.09707196
0.19200001 357999.95422262 12436.91899736
0.19300001 352068.81704992 12294.24367232
0.19400001 346201.46234443 12151.67190250
0.19500001 340399.53916255 10007.74692430
0.19600001 334661.83812903 11867.10934085
0.19700001 328989.56203225 13679.38663576
0.19800001 323382.09222326 12548.84268177
0.19900001 317840.47784856 16209.86513635
0.20000001 312361.57774800 11301.24241703
0.20100001 306949.19226778 10230.61706181
0.20200001 301600.03856161 11020.46592991
0.20300001 296316.14140141 9974.00179099
0.20400001 291096.76399708 10741.47109920
0.20500001 285940.62496245 10602.67887476
0.20600001 280849.13151896 9592.40254044
0.20700001 275821.38839201 11187.31604199
0.20800001 270856.83532405 10189.63462656
0.20900001 265958.15771170 9215.45060034
0.21000001 261120.47046828 9090.90960910
0.21100001 256345.93835678 9782.16147013
0.21200001 251634.49552162 9647.66701439
0.21300001 246985.24888788 8721.04955052
0.21400001 242399.51085958 9380.86151376
0.21500001 237876.28209311 8477.91109461
0.21600001 233413.24424266 8357.36160523
0.21700001 229012.64972734 7488.71400015
0.21800001 224673.41593637 11070.78309370
0.21900001 220393.98151452 8727.60208063
0.22000001 216175.12969770 9316.06765481
