# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 306.16431016
0.00100000 1700842.61192628 663.32863440
0.00200000 1700631.89088829 994.86968767
0.00300000 1700280.83913595 1122.18539381
0.00400000 1699789.33808505 2039.74728321
0.00500000 1699157.84425617 2446.78739258
0.00600000 1698386.06775076 2318.29707686
0.00700000 1697474.69822158 2851.75761153
0.00800000 1696423.19365008 3206.23997137
0.00900000 1695232.90207617 2797.13440800
0.01000000 1693902.96783225 4471.90402817
0.01100000 1692434.69789904 3960.29736551
0.01200000 1690827.52961512 3626.82521004
0.01300000 1689082.83714165 4611.19634877
0.01400000 1687199.93155353 3796.20001428
0.01500000 1685180.55581385 6066.65027107
0.01600000 1683023.64007199 6437.56571106
0.01700000 1680731.20436252 7260.75912855
0.01800000 1678302.92708518 5261.47991317
0.01900000 1675739.50589934 5529.94061899
0.02000000 1673041.60140406 7378.11379595
0.02100000 1670210.86884784 7716.37456393
0.02200000 1667245.51841012 6327.19702983
0.02300000 1664148.43074587 7189.12154806
0.02400000 1660919.52090351 6851.29333613
0.02500000 1657560.18961825 8403.83054517
0.02600000 1654070.54022923 10718.37759093
0.02700000 1650451.79661665 10397.84679492
0.02800000 1646703.66886633 9312.10967449
0.02900000 1642828.93149125 9610.54969048
0.03000000 1638827.68624804 8382.60400047
0.03100000 1634700.38608632 8631.21843569
0.03200000 1630447.88998487 12913.14788344
0.03300000 1626073.21305662 9122.27114579
0.03400000 1621574.39325075 13621.22553179
0.03500000 1616954.69582558 8731.55576066
0.03600000 1612213.79731829 10737.34438635
0.03700000 1607353.77067551 12826.68368319
0.03800000 1602375.61881758 11248.67736468
0.03900000 1597281.01034548 10542.05515648
0.04000000 1592068.72127254 15665.95694327
0.04100000 1586742.76907969 9996.47990870
0.04200000 1581303.34223880 11219.34773368
0.04300000 1575750.75852410 13519.94213570
0.04400000 1570088.58711590 13777.52799180
0.04500000 1564316.43293994 10793.78388882
0.04600000 1558434.89899852 16480.44982303
0.04700000 1552447.00152042 16766.42839619
0.04800000 1546353.05813972 13638.83460738
0.04900000 1540155.80002528 11551.16903787
0.05000000 1533854.79440072 11733.98972357
0.05100000 1527453.35195637 16679.79138038
0.05200000 1520950.12558865 15719.02028048
0.05300000 1514349.94853273 15946.10570142
0.05400000 1507651.68259757 19901.00313835
0.05500000 1500859.11543844 13867.93887358
0.05600000 1493970.63677770 17882.82935672
0.05700000 1486991.74250103 15524.19451636
0.05800000 1479920.54717718 18336.21643569
0.05900000 1472759.43579495 15905.80264948
0.06000000 1465511.05633709 16091.31215035
0.06100000 1458177.26975640 20341.57386369
0.06200000 1450758.05314514 19193.52994028
0.06300000 1443257.12902952 16626.32290379
0.06400000 1435672.41291056 15397.58734856
0.06500000 1428009.94723597 18378.48888063
0.06600000 1420268.02780183 18555.80265143
0.06700000 1412449.48499875 15847.68396334
0.06800000 1404557.58872689 24713.19193045
0.06900000 1396592.71632539 30794.87083676
0.07000000 1388554.65452824 19224.54009220
0.07100000 1380448.39583322 14908.84337330
0.07200000 1372272.51754037 18031.66172521
0.07300000 1364032.31504723 22711.13910968
0.07400000 1355726.80455688 19827.50544584
0.07500000 1347358.52038074 16895.87663753
0.07600000 1338927.80702973 23196.92534428
0.07700000 1330439.95357730 17122.76300540
0.07800000 1321893.19375438 17230.87858865
0.07900000 1313289.79422269 22063.26957779
0.08000000 1304633.86112685 19021.56258755
0.08100000 1295925.53565906 22315.83877107
0.08200000 1287165.13609362 22435.28937489
0.08300000 1278356.91625293 22550.21706103
0.08400000 1269500.35633124 21041.96939387
0.08500000 1260600.12814014 17887.91665806
0.08600000 1251655.37131155 22867.74470754
0.08700000 1242669.49132344 21324.20947245
0.08800000 1233641.44641849 19762.93689977
0.08900000 1224577.38106776 23144.51358927
0.09000000 1215475.51151223 18250.36566268
0.09100000 1206339.18904577 19976.97790914
0.09200000 1197169.15912919 20040.61266547
0.09300000 1187969.02701211 23450.50969521
0.09400000 1178736.84184203 21836.10102137
0.09500000 1169477.39173067 23576.66532546
0.09600000 1160191.31927678 18568.86293791
0.09700000 1150882.17217523 16917.96872634
