# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 255.13692513
0.00100000 1700842.64072569 816.40448694
0.00200000 1700632.01017345 994.86975745
0.00300000 1700281.10700441 1224.20244065
0.00400000 1699789.81636232 1912.26361607
0.00500000 1699158.58158492 1988.01561914
0.00600000 1698387.13014039 1783.30655925
0.00700000 1697476.16269653 2648.06292386
0.00800000 1696425.10100200 2748.20877965
0.00900000 1695235.30679061 3559.99429644
0.01000000 1693905.94520422 4192.41739541
0.01100000 1692438.26422651 4264.94461154
0.01200000 1690831.80678184 4286.25881812
0.01300000 1689087.84522729 4256.50155770
0.01400000 1687205.72575102 5694.31957684
0.01500000 1685187.22453091 5257.78437466
0.01600000 1683031.19603854 5150.07569010
0.01700000 1680739.75662791 5445.59705576
0.01800000 1678312.49224304 6218.14806356
0.01900000 1675750.17305604 5529.97582061
0.02000000 1673053.40560225 5797.13031265
0.02100000 1670223.88966032 6614.08690293
0.02200000 1667259.81277151 6327.25127693
0.02300000 1664164.02277864 8387.38705658
0.02400000 1660936.45165428 6851.36317548
0.02500000 1657578.57278927 7111.01240203
0.02600000 1654090.38154313 10048.59952748
0.02700000 1650473.19352390 8318.38527635
0.02800000 1646726.62921388 7163.26116558
0.02900000 1642853.54704996 7392.84130116
0.03000000 1638853.97201451 8382.73845217
0.03100000 1634728.42174770 8631.36646398
0.03200000 1630477.75240945 8877.95177077
0.03300000 1626104.92913921 9951.76262511
0.03400000 1621608.05102623 9364.78692677
0.03500000 1616990.31962885 10478.09775505
0.03600000 1612251.38370953 11632.39427104
0.03700000 1607393.43534183 11910.78590673
0.03800000 1602417.39844121 12186.38487913
0.03900000 1597324.96528372 10542.34525909
0.04000000 1592114.94354838 11749.80882786
0.04100000 1586791.18044580 11996.14188039
0.04200000 1581354.04438294 12239.68087136
0.04300000 1575803.88368989 14560.42856116
0.04400000 1570144.09333396 11658.32043444
0.04500000 1564374.38819288 19429.53080415
0.04600000 1558495.35499021 12086.13203980
0.04700000 1552509.96642441 14531.49396156
0.04800000 1546418.62798988 12502.79518903
0.04900000 1540224.07727323 16172.35356415
0.05000000 1533925.77026483 12907.98595785
0.05100000 1527527.08251520 14297.65415838
0.05200000 1521026.49873007 19347.45796546
0.05300000 1514429.21669749 13493.56494982
0.05400000 1507733.70706463 17414.32512869
0.05500000 1500943.99452198 16390.30918478
0.05600000 1494058.50392749 14051.62088515
0.05700000 1487082.64771542 15525.14356684
0.05800000 1480014.54032099 14407.94222277
0.05900000 1472856.42340549 15906.85011572
0.06000000 1465611.11115355 17433.44498164
0.06100000 1458280.51582850 18986.81320337
0.06200000 1450864.46440120 15081.73681242
0.06300000 1443366.69330079 16627.58508425
0.06400000 1435785.06334627 19598.46703123
0.06500000 1428125.96210421 15552.29245482
0.06600000 1420387.40563518 27122.29877962
0.06700000 1412572.18130406 17289.88430831
0.06800000 1404683.66978509 17446.17199537
0.06900000 1396722.02467810 19065.25652947
0.07000000 1388687.41184041 17747.42595441
0.07100000 1380584.47318919 19383.40691145
0.07200000 1372412.27371175 22541.87265173
0.07300000 1364175.64011321 15142.35031476
0.07400000 1355873.58268092 19829.65207601
0.07500000 1347508.87387506 15361.60188221
0.07600000 1339081.76975916 20106.31371553
0.07700000 1330597.38203032 21795.18613960
0.07800000 1322054.31339838 20366.24765300
0.07900000 1313454.65952485 17337.60231893
0.08000000 1304802.35371421 17438.68427546
0.08100000 1296097.80596097 17536.20413742
0.08200000 1287341.08173128 25643.83555143
0.08300000 1278536.43873446 22553.38383775
0.08400000 1269683.70615062 22663.85521860
0.08500000 1260787.21528560 22769.81817699
0.08600000 1251846.37277144 22871.23430437
0.08700000 1242864.24269409 22968.13228352
0.08800000 1233839.89781782 23060.46877322
0.08900000 1224779.59806725 23148.33549074
0.09000000 1215681.79769803 23231.68024533
0.09100000 1206549.24076157 23310.53242667
0.09200000 1197383.02964800 21714.54226296
0.09300000 1188186.79677875 16753.43462186
0.09400000 1178958.54024672 18480.17598689
0.09500000 1169702.88519946 21896.83904014
0.09600000 1160420.73990350 18572.53481521
0.09700000 1151115.47306019 27074.23719921
0.09800000 1141787.55905595 18651.10065411
0.09900000 1132438.83748174 23781.21670537
0.10000000 1123069.07726824 20417.39678491
0.10100000 1113681.95940154 18743.26825826
0.10200000 1104279.02707112 17061.11177074
0.10300000 1094861.01754842 18787.81594492
0.10400000 1085431.11029965 18805.09487063
0.10500000 1075991.84129578 20529.92529784
0.10600001 1066539.44785610 25676.93841533
0.10700001 1057081.70420706 18837.19685540
0.10800001 1047616.12364036 22267.08175590
0.10900001 1038146.88145301 20555.30922022
0.11000001 1028674.36469785 17127.42897840
0.11100001 1019200.13888590 22259.33208109
0.11200001 1009727.00342319 20537.84821649
0.11300001 1000253.56187105 25656.50506992
0.11400001 990784.83065812 20509.24696029
0.11500001 981320.70330482 25612.47156230
0.11600001 971862.39256844 28995.51584772
0.11700001 962412.95559248 17034.71011624
0.11800001 952970.69602990 18711.58049783
0.11900001 943539.77461269 22078.83176589
0.12000001 934120.43363982 23736.00133687
0.12100001 924716.23377634 16922.30787529
0.12200001 915325.45650525 20265.30656175
0.12300001 905951.90045932 23590.98859944
0.12400001 896594.89138586 20173.38600670
0.12500001 887257.18980479 18446.07784523
0.12600001 877941.18326116 20069.73639511
0.12700001 868646.62059455 21681.42067181
0.12800001 859373.91236395 18291.77458674
0.12900001 850126.11083625 18235.20593690
0.13000001 840904.11139460 18176.14322452
0.13100001 831707.68656879 18114.59426735
0.13200001 822540.45844963 19691.61950355
0.13300001 813403.54428473 21254.23561415
0.13400001 804295.53309744 29316.57356355
0.13500001 795220.00905382 19466.98673947
0.13600001 786176.26422614 19387.10758993
0.13700001 777167.56636662 27348.52795001
0.13800001 768192.28608883 16016.80992024
0.13900001 759255.54171523 19133.24055351
0.14000001 750354.66830787 22218.00277641
0.14100001 741492.71236868 18952.55462200
0.14200001 732668.72616823 20430.46839281
0.14300001 723887.98409133 15635.98119388
0.14400001 715144.37238691 15554.39083311
0.14500001 706446.60034814 18565.41753292
0.14600001 697790.01147061 18463.52457452
0.14700001 689180.32651341 19889.74516151
0.14800001 680613.44629552 18254.05349085
