# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682663.64485496 656.23883708
0.00200000 1682455.68262576 832.81558927
0.00300000 1682109.22608907 1513.89835741
0.00400000 1681624.15185464 1387.33997800
0.00500000 1681000.90843117 1664.19096522
0.00600000 1680239.23044207 1940.67639017
0.00700000 1679339.76555599 2821.29092339
0.00800000 1678301.99189113 3171.99089860
0.00900000 1677127.30449724 3270.39838357
0.01000000 1675814.74020739 5806.69832555
0.01100000 1674365.64924819 3616.62995984
0.01200000 1672779.48624098 3588.11215530
0.01300000 1671057.56448388 5965.67576832
0.01400000 1669199.32010928 4131.26850041
0.01500000 1667206.26782192 5201.68378723
0.01600000 1665077.50596389 6793.51652803
0.01700000 1662815.02300508 4938.56083986
0.01800000 1660418.41364560 5205.41196101
0.01900000 1657888.40372406 7957.86469695
0.02000000 1655225.68985423 5213.96115890
0.02100000 1652431.85868519 7088.93299516
0.02200000 1649505.15087367 8536.18954359
0.02300000 1646448.48774551 5927.21482568
0.02400000 1643261.56433473 6778.45426196
0.02500000 1639945.95514061 7035.36846886
0.02600000 1636501.80772941 7290.61588689
0.02700000 1632930.03042637 10973.29030705
0.02800000 1629230.66033848 9213.29980673
0.02900000 1625406.24458289 7314.32843645
0.03000000 1621457.02523831 8293.75306532
0.03100000 1617383.25859446 10092.47199802
0.03200000 1613186.07661850 8783.79859175
0.03300000 1608868.14700533 11487.31909919
0.03400000 1604427.59052896 12634.86785839
0.03500000 1599867.68340170 12958.92883397
0.03600000 1595188.24015587 8853.29514201
0.03700000 1590391.08038425 10878.27549292
0.03800000 1585477.37945384 11130.05171886
0.03900000 1580448.62893581 11379.23065531
0.04000000 1575303.62747123 11625.74130946
0.04100000 1570046.37720951 10880.42189855
0.04200000 1564677.24350589 15138.25303323
0.04300000 1559196.18019914 11319.76479369
0.04400000 1553607.01789209 12584.21742936
0.04500000 1547909.12800595 14952.80287132
0.04600000 1542103.19040400 11959.01079752
0.04700000 1536192.29833229 17696.93609984
0.04800000 1530176.63118311 13496.15851499
0.04900000 1524058.94602839 13716.53115273
0.05000000 1517838.80911890 12772.61417351
0.05100000 1511519.41270422 12968.83716514
0.05200000 1505099.35210269 11965.54040683
0.05300000 1498583.59371555 15780.08597746
0.05400000 1491970.89803992 16001.38862768
0.05500000 1485265.11508068 13723.85030355
0.05600000 1478464.58763081 13904.96009553
0.05700000 1471574.54631329 15363.23898064
0.05800000 1464593.46115550 19442.47910466
0.05900000 1457523.29607160 15741.25233278
0.06000000 1450367.24433141 13270.86090563
0.06100000 1443126.33890813 18789.50581064
0.06200000 1435801.39810026 18995.65338479
0.06300000 1428395.45375564 16455.11639663
0.06400000 1420906.56020223 23551.52733678
0.06500000 1413341.14633903 19588.90920458
0.06600000 1405696.78605301 15539.97869691
0.06700000 1397976.92047615 15685.30178180
0.06800000 1390184.26135249 18704.93011206
0.06900000 1382319.78134635 18868.66589879
0.07000000 1374382.70866213 16100.89418596
0.07100000 1366378.02161376 17708.25998953
0.07200000 1358304.59146218 20822.81036260
0.07300000 1350167.63089112 17984.23368613
0.07400000 1341965.82397410 15097.11622722
0.07500000 1333702.04116762 19765.46517656
0.07600000 1325376.32209193 18369.71668538
0.07700000 1316994.16940572 16949.71575500
0.07800000 1308553.68559396 17056.99809163
0.07900000 1300056.99040798 17160.75307829
0.08000000 1291508.43723736 21968.55954798
0.08100000 1282907.74782934 22091.67245412
0.08200000 1274255.81543081 15864.48564656
0.08300000 1265555.96002958 17540.60642923
0.08400000 1256808.69570533 19229.17394688
0.08500000 1248017.93127897 19319.31848315
0.08600000 1239182.97023783 25874.14163340
0.08700000 1230307.23251804 16240.05623183
0.08800000 1221389.60220498 17936.10715073
0.08900000 1212436.38609608 22915.04877353
0.09000000 1203445.40344491 18069.73358156
0.09100000 1194420.46040085 19779.60375351
0.09200000 1185361.82173013 26457.27710416
0.09300000 1176273.19809357 19902.54344701
0.09400000 1167152.97683712 16631.93070159
0.09500000 1158005.21146580 21677.85857756
