# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 424.48594037
0.00100000 1664582.00806791 549.31207571
0.00200000 1664375.74630700 1048.55675338
0.00300000 1664032.12424589 1098.26124113
0.00400000 1663551.02508161 1746.72864271
0.00500000 1662932.88693826 1496.63965748
0.00600000 1662177.43792615 3316.04412367
0.00700000 1661285.34914951 2591.60525238
0.00800000 1660256.05944166 3362.01866231
0.00900000 1659090.97766032 3235.22754474
0.01000000 1657789.18613642 4376.56364038
0.01100000 1656351.96693438 3279.57703732
0.01200000 1654778.78613229 3226.81877443
0.01300000 1653071.01399903 4165.73913901
0.01400000 1651227.98278495 4458.31575116
0.01500000 1649251.30551186 5937.30496422
0.01600000 1647140.02916476 4200.20726213
0.01700000 1644896.08395884 5329.46355110
0.01800000 1642519.22191599 5617.41599172
0.01900000 1640010.01374274 5412.03328956
0.02000000 1637369.19167696 7220.79846193
0.02100000 1634598.36360146 5933.59232889
0.02200000 1631695.71600199 6755.22057115
0.02300000 1628664.24881415 8794.78734392
0.02400000 1625503.68391933 6705.20300191
0.02500000 1622215.37129349 8224.63230808
0.02600000 1618799.66613173 6556.13894770
0.02700000 1615257.42406349 8819.30593932
0.02800000 1611588.61938367 9113.53406056
0.02900000 1607795.86108601 7958.58987779
0.03000000 1603879.35171529 8949.64719394
0.03100000 1599839.38146984 8447.15232284
0.03200000 1595676.96141710 9478.32158737
0.03300000 1591394.89849553 8927.72579213
0.03400000 1586991.26883635 9998.04545498
0.03500000 1582469.29461712 13672.53533686
0.03600000 1577828.80018338 8756.95024571
0.03700000 1573071.56443827 11656.46083157
0.03800000 1568198.92788369 11926.15339849
0.03900000 1563212.16546226 10317.20076984
0.04000000 1558110.16870250 10540.61577971
0.04100000 1552896.93767276 10761.57627705
0.04200000 1547572.80216940 9981.84503708
0.04300000 1542137.64832215 16284.97432220
0.04400000 1536595.52421526 12446.42432418
0.04500000 1530945.64029853 12676.23049067
0.04600000 1525188.50259703 12903.09533180
0.04700000 1519327.48141515 13126.99004994
0.04800000 1513362.60179839 11123.21564076
0.04900000 1507296.62738926 14696.14280111
0.05000000 1501129.03915862 11483.63768431
0.05100000 1494863.24453815 11659.93385056
0.05200000 1488497.62815205 15383.62370385
0.05300000 1482037.36514100 18006.75482590
0.05400000 1475480.90233628 15824.53341552
0.05500000 1468832.25894907 13572.01070581
0.05600000 1462089.77582281 17501.21543328
0.05700000 1455258.69257996 15192.90145972
0.05800000 1448337.35903700 17944.90071636
0.05900000 1441328.00628948 16863.53846121
0.06000000 1434233.31441613 19684.85316001
0.06100000 1427054.65691297 13271.60892949
0.06200000 1419792.93071861 17442.15696919
0.06300000 1412450.91955066 17627.38830017
0.06400000 1405026.71748427 16438.81336336
0.06500000 1397527.01492034 20753.27714236
0.06600000 1389948.91710270 15365.88599752
0.06700000 1382296.22964452 14099.42220221
0.06800000 1374571.36083517 15649.49567565
0.06900000 1366775.47531642 20091.60042782
0.07000000 1358907.82834845 17366.84285956
0.07100000 1350973.34382774 23344.82047476
0.07200000 1342970.80793175 17646.63724291
0.07300000 1334905.37366156 20744.43047869
0.07400000 1326775.89044277 17911.47536038
0.07500000 1318584.92790242 16535.05577094
0.07600000 1310332.91752145 16647.78049757
0.07700000 1302025.02401119 24373.90959235
0.07800000 1293659.57655839 19928.82671147
0.07900000 1285238.54548693 18507.43592308
0.08000000 1276766.27328013 17063.98204288
0.08100000 1268242.27062283 17159.31872661
0.08200000 1259668.04951666 18819.44154288
0.08300000 1251046.13998106 23644.77315534
0.08400000 1242377.59918566 15840.31513314
0.08500000 1233666.12781541 19097.15255510
0.08600000 1224911.05288412 17583.59898973
0.08700000 1216115.76639583 20868.54753129
0.08800000 1207279.13097103 19340.61258646
0.08900000 1198407.36084147 19414.20015751
0.09000000 1189498.48020307 17860.32051925
0.09100000 1180556.04300339 17920.84157473
0.09200000 1171580.40428308 19612.25688921
0.09300000 1162575.39049681 16392.31377632
0.09400000 1153539.02938394 21369.31152364
0.09500000 1144475.85274624 23072.63427584
0.09600000 1135386.89127631 23127.83206249
0.09700000 1126275.07410235 18211.86880443
0.09800000 1117141.11246804 23225.36482021
0.09900000 1107986.87356752 21605.74505052
0.10000000 1098812.31692074 16647.00738421
0.10100000 1089620.12852101 18338.30762549
0.10200000 1080412.57313729 18361.61254413
0.10300000 1071190.56248108 20052.68827294
0.10400000 1061956.83769752 21743.56727478
0.10500000 1052713.87176800 18411.96648349
0.10600001 1043458.03079403 20097.00261873
0.10700001 1034197.37443133 21780.19773045
0.10800001 1024928.73005182 18433.34407749
0.10900001 1015656.37926303 18434.16415124
0.11000001 1006380.65571360 21783.11031824
0.11100001 997103.53912140 21776.74231952
0.11200001 987827.53972196 20092.41310384
0.11300001 978551.34828378 26773.16614955
0.11400001 969279.33618088 20064.08320365
0.11500001 960012.38721907 23385.90285385
0.11600001 950750.86031318 16685.67838425
0.11700001 941498.01859420 18330.96728532
0.11800001 932251.84910735 21632.90517741
0.11900001 923017.28700295 18275.74314348
0.12000001 913793.82230210 18243.89452164
0.12100001 904585.15852021 19864.69101689
0.12200001 895389.91742325 23127.92265663
0.12300001 886210.92415631 18131.87636251
0.12400001 877048.65699983 19733.59571229
0.12500001 867905.12863586 26245.45232665
0.12600001 858782.95780389 19631.77934051
0.12700001 849681.52031715 19576.66315068
0.12800001 840601.75358121 24398.46704758
0.12900001 831546.37007489 21079.70147493
0.13000001 822515.87933492 16162.43779075
0.13100001 813510.78695365 20939.76864324
0.13200001 804534.40550041 25680.73943417
0.13300001 795587.30361785 22387.82777924
0.13400001 786668.64957089 22302.05726678
0.13500001 777781.95488669 17453.42789056
0.13600001 768926.32738860 17381.58045017
0.13700001 760104.82965255 17307.58778730
0.13800001 751316.08790849 25063.90587453
0.13900001 742565.33650107 18712.64736228
0.14000001 733849.47422843 15520.91711191
0.14100001 725171.49414235 16990.76890909
0.14200001 716530.98276408 16906.54933572
0.14300001 707932.83516333 18349.61995294
0.14400001 699370.75516432 16732.44610657
0.14500001 690854.01541976 16642.67401653
0.14600001 682376.93708030 18055.69460691
0.14700001 673946.24509413 16457.76808162
0.14800001 665557.31205090 20825.28927658
0.14900001 657213.21706589 17744.75769799
0.15000001 648915.61292225 17637.52719142
0.15100001 640664.66427724 14607.15503476
0.15200001 632462.21775273 17418.01029881
0.15300001 624307.94407007 17305.81702627
0.15400001 616200.80511382 18624.67021348
0.15500001 608145.39665890 21345.90443010
0.15600001 600138.50396695 19786.56740962
0.15700001 592186.43071567 15438.30097740
0.15800001 584281.84655176 15328.63496778
0.15900001 576432.69159236 15217.82377633
0.16000001 568634.45062131 15105.77489378
0.16100001 560893.37823924 14992.68070805
0.16200001 553204.27787911 18936.18332570
0.16300001 545571.43508645 17447.37531772
0.16400001 537993.77705988 14646.88127193
0.16500001 530472.70477346 18492.27936145
0.16600001 523008.02456081 13101.35163380
0.16700001 515599.77784226 15591.73801811
0.16800001 508248.24197668 19326.14031367
0.16900001 500957.06923029 12774.40586855
0.17000001 493723.39169828 13930.40615456
