# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 321.09991309
0.00100000 1646598.11424031 543.37739060
0.00200000 1646393.74338795 740.87720798
0.00300000 1646053.28261090 1086.39520522
0.00400000 1645576.60273964 1727.85549853
0.00500000 1644964.11954539 2220.70164928
0.00600000 1644215.63494597 1726.42648698
0.00700000 1643331.73893899 2169.19798555
0.00800000 1642311.89365166 2660.54538004
0.00900000 1641157.50996194 3692.60455526
0.01000000 1639867.68786815 3517.51634236
0.01100000 1638443.67279347 3244.11861338
0.01200000 1636884.96279429 5426.27388957
0.01300000 1635192.89829616 3777.29576166
0.01400000 1633366.82262423 4410.09061659
0.01500000 1631408.29678830 6264.60813862
0.01600000 1629316.42004349 6232.13558526
0.01700000 1627093.17330153 6150.41247098
0.01800000 1624738.22343165 6019.65538868
0.01900000 1622252.12098415 5840.10789906
0.02000000 1619635.65184029 7142.59354772
0.02100000 1616890.37788863 5869.31233784
0.02200000 1614014.46025136 9466.19523945
0.02300000 1611010.95805514 7539.53162689
0.02400000 1607879.53085554 9647.27762503
0.02500000 1604621.57168813 7509.62929847
0.02600000 1601237.43096142 6485.01189201
0.02700000 1597727.91301936 10736.73206724
0.02800000 1594093.00278096 10401.45732015
0.02900000 1590335.32111429 12166.06576512
0.03000000 1586455.09339143 7377.01652336
0.03100000 1582452.52016532 7595.77244630
0.03200000 1578328.72845912 10156.54583543
0.03300000 1574086.35929657 12844.54528400
0.03400000 1569723.50487986 13185.67804938
0.03500000 1565243.56954329 9297.54723243
0.03600000 1560646.20680952 10393.90421769
0.03700000 1555933.22704274 10642.58376517
0.03800000 1551105.92145233 9073.97006044
0.03900000 1546165.53345186 12987.79108246
0.04000000 1541111.11680033 10425.61718827
0.04100000 1535946.43359215 9676.46298029
0.04200000 1530671.93651326 14809.25167281
0.04300000 1525287.65947338 13086.96872575
0.04400000 1519797.23675303 12310.35818942
0.04500000 1514200.24952296 10447.98220717
0.04600000 1508496.98970160 14888.86598049
0.04700000 1502690.90509756 10819.37501989
0.04800000 1496781.89211523 14301.75164459
0.04900000 1490772.91713733 11180.79739897
0.05000000 1484663.27274432 15900.74439153
0.05100000 1478456.42883213 16144.74495493
0.05200000 1472150.62397557 17555.39700901
0.05300000 1465751.28315098 18996.13751520
0.05400000 1459256.59644169 12038.86748206
0.05500000 1452670.73995033 13422.67826330
0.05600000 1445991.96401077 14835.87824305
0.05700000 1439225.46649473 20034.01942877
0.05800000 1432369.77401924 15211.76771036
0.05900000 1425426.79703629 14111.72594976
0.06000000 1418399.51798513 16871.86305467
0.06100000 1411289.09193885 14437.48808522
0.06200000 1404096.30906521 14595.58181498
0.06300000 1396824.20031789 14750.46424502
0.06400000 1389470.82621135 20321.01178369
0.06500000 1382042.64109714 15050.44506557
0.06600000 1374537.08942720 16576.91807410
0.06700000 1366957.53927872 16731.56106379
0.06800000 1359306.65972671 15475.70704539
0.06900000 1351585.44522708 14191.64783932
0.07000000 1343793.32618069 18604.81947221
0.07100000 1335935.03966475 18756.52883541
0.07200000 1328009.58156313 18904.21727915
0.07300000 1320021.87935874 19047.91661165
0.07400000 1311970.92130855 23615.47769027
0.07500000 1303859.20573158 19323.19433467
0.07600000 1295687.07153585 17958.22365338
0.07700000 1287459.58091405 19582.26114389
0.07800000 1279175.40929720 19705.69810435
0.07900000 1270836.29151112 19825.04707744
0.08000000 1262446.19520875 23008.08298701
0.08100000 1254005.39785530 20051.54725249
0.08200000 1245514.74063531 18607.99109828
0.08300000 1236977.02262111 23378.86682476
0.08400000 1228393.48397895 20360.62295265
0.08500000 1219767.41316561 18882.00044222
0.08600000 1211098.15934675 22126.76441015
0.08700000 1202389.58237696 26981.62349553
0.08800000 1193639.82650236 15935.09243218
0.08900000 1184855.56153819 15995.55083207
0.09000000 1176034.68229795 19263.44900095
0.09100000 1167180.74718985 19328.51408154
0.09200000 1158294.02197071 17774.02260228
0.09300000 1149378.28327570 17826.85801133
0.09400000 1140431.84862859 17876.27006739
0.09500000 1131458.82862616 19551.60947764
0.09600000 1122460.66476024 21231.34447198
0.09700000 1113439.75757265 18004.32172638
0.09800000 1104397.12662732 24600.44715228
0.09900000 1095334.86791404 18073.02617042
0.10000000 1086252.39242443 21393.74187489
0.10100000 1077152.64499257 18128.47986784
0.10200000 1068037.83309013 19801.42235688
0.10300000 1058908.91510859 19822.77582331
0.10400000 1049768.41310664 19840.62394112
0.10500000 1040619.08961820 21509.59759442
0.10600001 1031457.19762736 16554.88880089
0.10700001 1022290.78135721 19873.33372478
0.10800001 1013116.50334500 18220.90117017
0.10900001 1003938.84766728 18221.49094277
0.11000001 994757.72144662 16562.71684169
0.11100001 985575.56300596 18213.43726172
0.11200001 976394.68719965 23169.84701802
0.11300001 967213.97586772 19847.23171923
0.11400001 958037.49341167 21483.99180132
0.11500001 948866.09516585 24765.40624998
0.11600001 939700.12977372 19790.08566498
0.11700001 930543.10083544 18117.67502652
0.11800001 921392.99428150 23025.61201156
0.11900001 912254.27496242 22988.80881186
0.12000001 903127.00016290 18030.93140760
0.12100001 894014.20589767 16360.46073864
0.12200001 884915.09510691 19592.02112867
0.12300001 875832.24232194 17919.52852217
0.12400001 866766.18779364 34128.92025244
0.12500001 857718.84415061 19453.06430197
0.12600001 848692.85369157 17784.35958717
0.12700001 839687.72889239 27407.40876266
0.12800001 830703.85294795 16074.12031210
0.12900001 821744.68189818 22433.63087316
0.13000001 812809.81364377 19166.05630911
0.13100001 803900.73772354 23875.85303584
0.13200001 795019.90239224 20618.84214052
0.13300001 786168.61395667 15801.98988548
0.13400001 777345.28524054 17315.36704508
0.13500001 768554.11596221 18814.20564581
0.13600001 759793.56872664 15613.75857353
0.13700001 751067.18846671 26430.05560841
0.13800001 742373.34858147 21669.87906695
0.13900001 733717.35586651 21571.29127974
0.14000001 725095.88940984 18402.93454111
0.14100001 716512.35281131 16787.88521814
0.14200001 707965.94588182 22778.80538312
