# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 349.57665678
0.00100000 1664581.88579176 599.24949312
0.00200000 1664375.25239514 973.65955348
0.00300000 1664031.01547284 1497.62796728
0.00400000 1663549.04308651 1746.72656161
0.00500000 1662929.79320841 1795.96424775
0.00600000 1662172.99044298 1745.28171102
0.00700000 1661279.32269500 2392.24232410
0.00800000 1660248.16471558 2689.60214039
0.00900000 1659080.99990636 3484.07024874
0.01000000 1657776.87240190 3008.86515333
0.01100000 1656337.06878332 3279.54753898
0.01200000 1654761.10021562 4194.81957296
0.01300000 1653050.29744642 3818.54635552
0.01400000 1651203.91318030 4458.25076323
0.01500000 1649223.74945758 4749.76460994
0.01600000 1647108.70899875 4620.14013528
0.01700000 1644860.80934272 6217.57413823
0.01800000 1642479.69068418 7021.60099363
0.01900000 1639966.04562641 6887.85770243
0.02000000 1637320.55045530 7736.33995086
0.02100000 1634544.90409931 7012.19795651
0.02200000 1631637.09272436 7317.89269334
0.02300000 1628600.26811344 8794.44184812
0.02400000 1625434.15725924 9752.60538825
0.02500000 1622140.07876429 10754.78921339
0.02600000 1618718.39749063 7211.39079066
0.02700000 1615169.98201737 7462.08565869
0.02800000 1611494.80742245 9113.00355389
0.02900000 1607695.36619871 10128.48127209
0.03000000 1603772.15828903 8203.29496672
0.03100000 1599725.17199288 11518.02176833
0.03200000 1595555.68481835 11057.20140507
0.03300000 1591266.22547412 8927.00393645
0.03400000 1586855.00636624 11663.38483494
0.03500000 1582325.32085161 10253.46855260
0.03600000 1577676.96062027 11382.93979692
0.03700000 1572911.76317804 11655.27670418
0.03800000 1568030.79761327 11924.87476773
0.03900000 1563035.59102765 10316.03537852
0.04000000 1557925.11398248 12455.61186347
0.04100000 1552703.13835756 11738.43627025
0.04200000 1547370.07683189 10978.59120445
0.04300000 1541925.99527092 11194.38324529
0.04400000 1536374.71866526 10370.52983262
0.04500000 1530715.57116366 10561.93793179
0.04600000 1524948.93253315 15051.24666379
0.04700000 1519078.42736559 12031.10170428
0.04800000 1513103.77867609 17794.10126516
0.04900000 1507028.07705071 13563.25332479
0.05000000 1500850.56253890 14925.95953949
0.05100000 1494574.78492387 11657.68386547
0.05200000 1488198.91509957 18929.89108222
0.05300000 1481728.54334992 18003.00264096
0.05400000 1475161.73599691 14604.10186742
0.05500000 1468502.70813086 13568.96565611
0.05600000 1461749.69867613 16247.34865895
0.05700000 1454908.00291753 18986.55032434
0.05800000 1447976.12999097 16658.96615339
0.05900000 1440956.02536737 14265.46531742
0.06000000 1433850.41561205 15743.67829895
