# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 353.37391970
0.00100000 1682663.57802061 656.23881101
0.00200000 1682455.41494220 832.81545677
0.00300000 1682108.61614310 1412.97128789
0.00400000 1681623.07190736 1765.70429260
0.00500000 1680999.23116187 1664.18930472
0.00600000 1680236.81964199 2646.37309868
0.00700000 1679336.51441169 2418.24468126
0.00800000 1678297.74828754 2945.41267260
0.00900000 1677121.89215204 2767.25124034
0.01000000 1675808.09404689 4424.13355932
0.01100000 1674357.59806995 3315.22818852
0.01200000 1672769.91179369 3261.90147101
0.01300000 1671046.37209344 4561.95679702
0.01400000 1669186.29155496 4882.37011924
0.01500000 1667191.38175330 4801.51139326
0.01600000 1665060.57584921 4670.49512404
0.01700000 1662795.92266139 5836.41395036
0.01800000 1660397.08537423 7098.19785938
0.01900000 1657864.67458670 5470.95367300
0.02000000 1655199.47157321 6778.04214270
0.02100000 1652402.98667964 6543.51612392
0.02200000 1649473.49126153 11950.43598713
0.02300000 1646413.91328473 5927.09035762
0.02400000 1643224.08031059 9243.13587321
0.02500000 1639905.39759540 7674.75761126
0.02600000 1636457.98759499 7953.18618348
0.02700000 1632882.92676416 7543.91946717
0.02800000 1629180.16953676 7795.62746874
0.02900000 1625352.10897003 8045.49330880
0.03000000 1621399.32193612 9801.35935163
0.03100000 1617321.86137909 10868.40340856
0.03200000 1613120.79610034 11977.42246270
0.03300000 1608798.98127152 10666.33773755
0.03400000 1604354.39590309 9265.14706384
0.03500000 1599790.35918136 10366.64200621
0.03600000 1595106.68897283 12393.97954609
0.03700000 1590305.28498383 9064.74054363
0.03800000 1585387.24241369 11129.41895681
0.03900000 1580353.98664726 11378.54923080
0.04000000 1575204.42674854 10656.25844075
0.04100000 1569942.63007566 11868.76683369
0.04200000 1564568.81007854 12109.76315181
0.04300000 1559083.00371612 13376.93279281
0.04400000 1553488.94496454 12583.26103860
0.04500000 1547786.27334288 12815.67093876
0.04600000 1541975.29034757 13045.11156277
0.04700000 1536059.43110493 14377.51694381
0.04800000 1530038.63656777 12370.36295222
0.04900000 1523915.86057645 14858.18033223
0.05000000 1517690.57175754 13932.40009751
0.05100000 1511365.92672650 12967.52025539
0.05200000 1504940.53824001 15553.56118753
0.05300000 1498419.48992767 18205.79765134
0.05400000 1491801.55600397 14768.83609317
0.05500000 1485090.24551576 13722.23450870
0.05600000 1478284.20514421 18958.99581568
0.05700000 1471388.81083563 17921.51655253
0.05800000 1464402.31753733 15551.95333840
0.05900000 1457326.56587340 18362.31558763
0.06000000 1450164.96318948 18576.61404633
0.06100000 1442918.54590607 14761.05741442
0.06200000 1435588.02098850 16279.56891897
0.06300000 1428176.49827147 17823.64353178
0.06400000 1420682.02497561 19392.31054783
0.06500000 1413110.80338063 22383.67617261
0.06600000 1405461.11510402 16949.86184121
0.06700000 1397735.66068209 18533.97572802
0.06800000 1389937.37219400 18701.60821828
0.06900000 1382067.20128055 21767.55943930
0.07000000 1374124.68557329 16097.87144533
0.07100000 1366114.37469572 14754.03593776
0.07200000 1358035.45400992 20818.68448526
0.07300000 1349892.84057187 14983.81123242
0.07400000 1341685.62273012 19622.15315200
0.07500000 1333416.36558127 21281.32619219
0.07600000 1325085.29303192 18365.68302242
0.07700000 1316697.63255689 16945.89932558
0.07800000 1308251.81964794 26354.73414275
0.07900000 1299749.96717143 15597.00033761
0.08000000 1291195.97230393 18825.63815932
0.08100000 1282589.97858723 23663.78621520
0.08200000 1273932.86420684 19032.55788436
0.08300000 1265227.85095730 17536.05883727
0.08400000 1256475.52897991 19224.07649574
0.08500000 1247679.72350062 17704.57610762
0.08600000 1238839.75346157 27483.66122094
0.08700000 1229959.11915123 17859.00724869
0.08800000 1221036.90353730 16300.84342777
0.08900000 1212078.57803389 19635.67388643
0.09000000 1203083.02801655 18064.29251425
0.09100000 1194053.39486485 19773.52514795
0.09200000 1184990.24732163 24795.92209028
0.09300000 1175897.20978872 16580.15143716
0.09400000 1166772.41131305 18289.15840688
0.09500000 1157620.45039620 20003.68232307
0.09600000 1148442.25252911 20051.80267175
0.09700000 1139240.98297392 16746.84323703
0.09800000 1130017.21692376 20136.90775237
0.09900000 1120772.82732026 25217.38980049
0.10000000 1111507.72972870 28626.88292540
0.10100000 1102224.80478277 18550.44433695
0.10200000 1092926.33560845 16885.71267939
0.10300000 1083613.01707802 18594.80024777
0.10400000 1074287.70955464 20304.03866579
0.10500000 1064952.73881407 18626.02427820
0.10600001 1055605.15414351 18636.70987333
0.10700001 1046252.12322345 20339.14223258
0.10800001 1036890.99219732 20343.80222433
0.10900001 1027526.06377570 20345.01702031
0.11000001 1018157.53459143 23733.25324844
0.11100001 1008787.49846878 23726.68308088
0.11200001 999418.36506374 27104.22733652
0.11300001 990048.97155477 20315.80585279
0.11400001 980683.68565716 20300.15324892
0.11500001 971323.36970889 21971.33565740
0.11600001 961968.37388797 16882.54575676
0.11700001 952621.82648798 16861.40712292
0.11800001 943282.27169500 21888.86614561
0.11900001 933953.97825440 20173.40688050
0.12000001 924636.76316245 28529.66867126
0.12100001 915334.33510688 16750.61912155
0.12200001 906045.19541077 21731.49503573
0.12300001 896772.77112857 21683.96662752
0.12400001 887516.78858485 19969.12868405
0.12500001 878279.58191996 21579.33034460
0.12600001 869063.95265209 26489.07052509
0.12700001 859869.04882186 24764.22977312
0.12800001 850695.61122331 21399.24910885
0.12900001 841546.87226450 18051.18126086
0.13000001 832423.29962130 16357.11860855
0.13100001 823324.90684914 19562.20070885
0.13200001 814255.17555696 21117.70897357
0.13300001 805215.20887706 19421.79175372
0.13400001 796203.70307375 19347.75089685
0.13500001 787224.15968918 17665.31097631
0.13600001 778276.16597605 17592.93356141
0.13700001 769362.33699163 15925.80112668
