# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 353.37391970
0.00100000 1682663.63420762 656.23883293
0.00200000 1682455.63733379 1059.94708508
0.00300000 1682109.12387118 1110.19206130
0.00400000 1681623.96474016 1387.33982363
0.00500000 1681000.62451069 1966.77080852
0.00600000 1680238.80897159 2469.95114975
0.00700000 1679339.24190395 2216.72789144
0.00800000 1678301.30019697 2265.70685092
0.00900000 1677126.39258590 2767.25866606
0.01000000 1675813.63801424 3041.60188433
0.01100000 1674364.28643985 4822.16935490
0.01200000 1672777.88442078 3914.30042116
0.01300000 1671055.73110069 5965.66922314
0.01400000 1669197.09896220 4131.26300307
0.01500000 1667203.75819345 6001.93379676
0.01600000 1665074.66035639 5095.12868846
0.01700000 1662811.85119615 5836.46985951
0.01800000 1660414.82540835 5678.61895842
0.01900000 1657884.44173960 6963.11496950
0.02000000 1655221.31294196 7299.52632027
0.02100000 1652427.08648265 7634.21348567
0.02200000 1649499.89310032 6828.92986769
0.02300000 1646442.65299071 8298.07134879
0.02400000 1643255.32527738 8010.87007600
0.02500000 1639939.23970676 7674.91599235
0.02600000 1636494.46635331 7290.58318106
0.02700000 1632922.21260495 10973.23777129
0.02800000 1629222.30630922 7087.11735746
0.02900000 1625397.17576225 7314.28762676
0.03000000 1621447.43797662 7539.73093316
0.03100000 1617372.99870162 11645.08612648
0.03200000 1613175.24942455 11977.82677865
0.03300000 1608856.68518523 8205.16947271
0.03400000 1604415.48942097 11792.45439135
0.03500000 1599854.85364156 12094.90325205
0.03600000 1595174.73446630 10623.86422251
0.03700000 1590376.91584075 13597.72325930
0.03800000 1585462.51941465 12057.44301816
0.03900000 1580433.01202488 10430.85836242
0.04000000 1575287.27148431 11625.62060227
0.04100000 1570029.26316704 12858.54026154
0.04200000 1564659.33532896 11101.25849918
0.04300000 1559177.49070097 11319.62910792
0.04400000 1553587.58718984 14681.40338078
0.04500000 1547889.01130785 10680.43467429
0.04600000 1542082.17484190 14133.18378943
0.04700000 1536170.58683384 15484.60023544
0.04800000 1530154.05171421 14620.62264440
0.04900000 1524035.63423694 13716.32134659
0.05000000 1517814.68622935 19739.18091359
0.05100000 1511494.49015869 14147.58908694
0.05200000 1505073.46140660 14358.40149094
0.05300000 1498557.02756843 12138.31248917
0.05400000 1491943.45680186 13539.38750187
0.05500000 1485236.68778082 13723.58763529
0.05600000 1478435.39339266 12640.62320337
0.05700000 1471544.51812558 14082.68169582
0.05800000 1464562.65969353 12961.38014349
0.05900000 1457491.60971369 15740.91012010
0.06000000 1450334.69658174 14597.61940308
0.06100000 1443093.13335457 17446.99679758
0.06200000 1435767.27766619 14924.80154898
0.06300000 1428360.45493788 19197.16541193
0.06400000 1420870.71169875 16624.18810433
0.06500000 1413304.38554407 19588.39969994
0.06600000 1405659.43610426 26841.06818826
0.06700000 1397938.72882032 18536.66841165
0.06800000 1390145.12020021 23020.80426810
0.06900000 1382279.70399112 18868.11884286
0.07000000 1374341.90903508 20491.43882330
0.07100000 1366336.35163024 20659.00660427
0.07200000 1358262.25274431 19334.86407359
0.07300000 1350124.58158891 16485.02191362
0.07400000 1341921.89583832 19625.60864637
0.07500000 1333657.48966418 22805.54414221
0.07600000 1325331.05964498 18369.08934783
0.07700000 1316948.12224548 20030.78187857
0.07800000 1308506.83497249 17056.38739375
0.07900000 1300009.63831170 18720.13966973
0.08000000 1291460.21506671 23536.86352373
0.08100000 1282858.71336994 25246.66066365
0.08200000 1274206.25894683 17450.25553513
0.08300000 1265505.71275124 19134.44727482
0.08400000 1256757.74244349 17626.02816511
0.08500000 1247966.34971078 22538.27333384
0.08600000 1239131.02038811 29107.18903554
0.08700000 1230254.53313667 17863.29665996
0.08800000 1221336.36994534 22826.77782631
0.08900000 1212382.38023782 24550.74435296
0.09000000 1203391.02594870 18068.91710342
0.09100000 1194365.51187078 18130.46932199
0.09200000 1185306.45309145 29763.04643559
0.09300000 1176217.38183182 18243.13244950
0.09400000 1167096.64509251 36588.48154322
0.09500000 1157948.44674815 20009.35010030
0.09600000 1148774.13275862 21729.06374256
0.09700000 1139576.38894577 20102.12844606
0.09800000 1130356.43385968 20142.95259845
0.09900000 1121115.73865680 23543.43161886
0.10000000 1111854.20316527 21897.96956114
0.10100000 1102574.60806761 25304.08844525
0.10200000 1093279.56181145 16891.17002449
0.10300000 1083969.46295091 21982.90174274
0.10400000 1074647.44971382 20310.83775512
0.10500000 1065315.66936759 20326.22392787
0.10600001 1055970.85044106 20337.99953647
0.10700001 1046620.72801473 25432.88488757
0.10800001 1037262.67083116 22047.01910609
0.10900001 1027900.66478229 20352.43412059
0.11000001 1018534.75147587 18654.46485134
0.11100001 1009167.35548588 16954.01237025
0.11200001 999800.62220321 23725.26988180
0.11300001 990433.60250216 20323.69848020
0.11400001 981070.75385993 22000.51269119
0.11500001 971712.53312380 27052.47819601
0.11600001 962359.68320939 23645.17852994
0.11700001 953015.41393341 20242.04834524
0.11800001 943677.60900238 20213.57533686
0.11900001 934351.12913850 21863.81745166
0.12000001 925035.75274393 23505.15958443
0.12100001 915734.95946859 21785.33571202
0.12200001 906447.17368053 21741.13648498
0.12300001 897176.22071104 18356.22634059
0.12400001 887921.60818606 23307.94331310
0.12500001 878685.63178972 16607.15922336
0.12600001 869470.89718315 16563.42137186
0.12700001 860276.99362069 19820.78286710
0.12800001 851104.51658065 18115.76048920
0.12900001 841956.51149847 18059.96802285
0.13000001 832833.64251905 21274.73640093
0.13100001 823735.73666678 22833.95569674
0.13200001 814666.48043114 19503.11646090
0.13300001 805626.87503554 21051.03123709
0.13400001 796615.58294617 22584.05284126
0.13500001 787636.37528450 20888.11765738
0.13600001 778688.28989266 19202.45413416
0.13700001 769774.25782166 20714.62625474
0.13800001 760893.12769799 15864.62246061
0.13900001 752050.28678236 15793.05676720
0.14000001 743242.11950511 22007.40019643
0.14100001 734472.30615983 21901.96520265
0.14200001 725739.68126340 21793.96365626
0.14300001 717049.85308034 18585.93306850
0.14400001 708396.11757463 24652.18605444
0.14500001 699787.64313530 24520.56017215
0.14600001 691219.52656637 18289.66953575
0.14700001 682697.63527190 18187.06586165
0.14800001 674217.81351468 22603.15326447
0.14900001 665782.68826179 23968.17790826
0.15000001 657394.62578131 19356.98566945
0.15100001 649053.28701576 22197.62346333
0.15200001 640760.65562672 19117.09506270
0.15300001 632516.60549381 14611.13427639
0.15400001 624319.74333846 17418.52166114
0.15500001 616174.75169814 20185.88581826
0.15600001 608078.88832205 15752.28434541
0.15700001 600038.07152753 17065.08355966
0.15800001 592044.59932730 15532.29079646
0.15900001 584107.26807111 18224.14762401
0.16000001 576221.04253135 16698.88660079
0.16100001 568392.43298354 19336.71148288
0.16200001 560615.86076843 15077.76428713
0.16300001 552895.88837637 17681.61134499
0.16400001 545231.45193557 17542.82279422
0.16500001 537624.02586430 13386.83887603
0.16600001 530073.03929012 21245.32841780
0.16700001 522579.45006080 19753.50414495
0.16800001 515142.64561735 18282.41335619
0.16900001 507766.50112580 20716.87422414
0.17000001 500448.50484437 16687.45618201
0.17100001 493189.60118585 20358.86769832
0.17200001 485990.59125547 13872.60208249
0.17300001 478851.87910954 19996.85541596
0.17400001 471774.40527566 13622.48659567
0.17500001 464757.06186703 13496.54571403
0.17600001 457799.10918545 20662.76376897
0.17700001 450905.14254058 13243.08466190
0.17800001 444072.06228752 14308.00252270
0.17900001 437300.81951294 17710.68402681
0.18000001 430592.66843665 15197.76895034
0.18100001 423948.08564214 11573.78328474
0.18200001 417363.38811967 13747.95065409
0.18300001 410844.37897064 17008.95809288
0.18400001 404386.80011539 13466.08107999
0.18500001 397993.90422519 11104.03045246
0.18600001 391663.89531139 12084.79006076
0.18700001 385397.29264574 14128.66541590
0.18800001 379193.93422795 11825.16339759
0.18900001 373056.66427015 19137.80778127
0.19000001 366979.25408792 12616.74735167
0.19100001 360970.53670336 11435.54714309
0.19200001 355022.57725848 14389.06573619
0.19300001 349140.83560662 12191.99855549
0.19400001 343322.16018402 12050.60839190
0.19500001 337568.24548802 10916.95757496
0.19600001 331877.31661684 10787.67268642
0.19700001 326251.03102062 10658.62168714
0.19800001 320689.04192119 14358.85253060
0.19900001 315191.70697490 9455.75165613
0.20000001 309756.35174741 12140.90078053
0.20100001 304386.75884834 10145.21115190
0.20200001 299079.56460872 9106.97317276
0.20300001 293836.89757530 11688.83233801
0.20400001 288657.58529975 12426.70963451
0.20500001 283540.86044630 12265.97820268
0.20600001 278488.09123419 9511.76120571
0.20700001 273498.24033593 8533.14550184
0.20800001 268570.92573672 14313.48816374
0.20900001 263708.70559617 9137.50708085
0.21000001 258906.69628704 11472.15625479
0.21100001 254167.07851569 8890.76482678
0.21200001 249489.57480325 8768.31152098
0.21300001 244873.94812431 8646.49951704
0.21400001 240320.90836056 10850.48952545
0.21500001 235829.62008096 8404.96805705
0.21600001 231397.62255501 9791.59086135
0.21700001 227027.78483737 7423.80891518
0.21800001 222718.35844608 10242.81778922
0.21900001 218468.16023459 7930.39459148
0.22000001 214277.70092888 7813.63673382
0.22100001 210149.43623684 7697.77421333
0.22200001 206079.26640957 9650.69250229
0.22300001 202067.91510363 8147.37872223
0.22400001 198113.72955548 11366.77577074
0.22500001 194221.01150273 7242.50186141
0.22600001 190384.39341347 7779.10668273
0.22700001 186606.56717123 7658.33387886
0.22800001 182885.26641886 7538.53103828
0.22900001 179220.42915093 8656.34713736
0.23000001 175612.42276126 6693.46781009
0.23100001 172062.33638515 7185.32350726
0.23200001 168565.68886942 6480.50821507
0.23300001 165125.97628851 5795.92204184
0.23400001 161740.87494311 6271.50272253
0.23500001 158409.30121425 7289.99638667
0.23600001 155132.76748502 6066.46715943
0.23700001 151909.83797161 7050.13591372
0.23800001 148740.20917192 6932.03777633
0.23900001 145623.61159369 6815.18534494
0.24000001 142559.06408701 5153.51041051
0.24100001 139547.76202608 5572.14240127
0.24200001 136587.31128077 4978.60773168
0.24300001 133678.29232748 6360.41344981
0.24400001 130819.27161087 6249.89099685
0.24500001 128010.95675686 5195.96498055
0.24600001 125252.51885500 6032.78785603
0.24700001 122544.08146564 5014.50405079
0.24800001 119883.48934129 4925.41339259
0.24900001 117271.39274412 4837.44517954
0.25000001 114707.65545657 7773.73817805
0.25100001 112190.80210436 4240.81252017
0.25200001 109721.99731780 4996.73999425
0.25300001 107299.94646013 5723.37941496
0.25400001 104923.14283005 4815.97248375
0.25500001 102592.10957182 5909.30579092
0.25600001 100306.53775023 5413.54409851
0.25700001 98065.43762712  4933.67240045
