# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 429.09690250
0.00100000 1682663.79742394 504.79915122
0.00200000 1682456.28686393 832.81588837
0.00300000 1682110.57842183 1110.19302131
0.00400000 1681626.54564916 1387.34195288
0.00500000 1681004.65456786 1664.19467389
0.00600000 1680244.63054717 2117.10832068
0.00700000 1679347.09363918 2418.25991534
0.00800000 1678311.57963071 2492.29280098
0.00900000 1677139.39132977 2767.28011399
0.01000000 1675829.67617168 3871.16671911
0.01100000 1674383.70666978 3616.66896387
0.01200000 1672800.92412515 3914.35433407
0.01300000 1671082.72788575 5614.83821334
0.01400000 1669228.38732685 4506.91684558
0.01500000 1667239.68600258 5201.78805196
0.01600000 1665115.41380788 5519.85784353
0.01700000 1662857.75541208 5836.63098332
0.01800000 1660466.24768679 4732.32901885
0.01900000 1657941.64429791 4973.82515733
0.02000000 1655284.52915175 5735.56115296
0.02100000 1652496.56294129 5998.56279544
0.02200000 1649576.04052514 5691.03759837
0.02300000 1646525.74910969 8298.49015325
0.02400000 1643345.50211869 7395.05509673
0.02500000 1640036.84883925 8314.98720337
0.02600000 1636599.85081969 6628.22969898
0.02700000 1633035.53083775 10288.12431549
0.02800000 1629343.77561386 9213.93947364
0.02900000 1625527.23879579 8777.84749253
0.03000000 1621586.06169627 8294.41308683
0.03100000 1617520.69016159 8540.50963703
0.03200000 1613332.00059260 12777.59003321
0.03300000 1609022.91636049 8206.01725174
0.03400000 1604591.32351061 11793.74677197
0.03500000 1600040.62684833 8640.21978397
0.03600000 1595370.49314121 10625.16797535
0.03700000 1590582.84566175 12692.85169539
0.03800000 1585679.00585636 10203.84487492
0.03900000 1580660.07892806 15174.33746043
0.04000000 1575525.29689053 10658.42912737
0.04100000 1570278.25292066 14839.13017814
0.04200000 1564919.40619735 12112.47676590
0.04300000 1559449.05121057 10292.36421574
0.04400000 1553870.52487991 10488.62653005
0.04500000 1548183.66116730 11750.71453426
0.04600000 1542388.82459544 11961.22589078
0.04700000 1536488.88463150 12168.99253224
0.04800000 1530484.67893960 12373.96920496
0.04900000 1524378.26711164 12576.12128906
0.05000000 1518169.63022994 13936.79785449
0.05100000 1511861.94035064 11792.52368408
0.05200000 1505453.35556640 22739.87399554
0.05300000 1498949.52022321 13355.64084780
0.05400000 1492348.64836084 16005.44000007
0.05500000 1485654.80140334 14975.40109674
0.05600000 1478866.32658723 17702.03075530
0.05700000 1471988.33895076 16648.18889065
0.05800000 1465019.41716932 12965.42244734
0.05900000 1457961.64394665 13121.65540838
0.06000000 1450817.70401626 14602.48087313
0.06100000 1443589.15075408 16110.45567528
0.06200000 1436276.34349457 13572.81208046
0.06300000 1428882.56438024 27434.54651881
0.06400000 1421405.95628851 19402.19221071
0.06500000 1413852.86969350 22395.43050355
0.06600000 1406220.92762548 21198.78147581
0.06700000 1398513.37776129 21397.25568112
0.06800000 1390733.10768387 15833.49717213
0.06900000 1382880.71404193 17424.29781271
0.07000000 1374955.82554798 17571.93627337
0.07100000 1366963.40431297 19192.16709547
0.07200000 1358902.16183106 17855.97524296
0.07300000 1350777.06186815 19491.71391605
0.07400000 1342587.61634006 15104.11139167
0.07500000 1334335.66305465 21295.99818055
0.07600000 1326021.78796192 19910.21807965
0.07700000 1317651.39508222 18499.82645438
0.07800000 1309222.73133092 20168.57712198
0.07900000 1300737.51047813 15608.85085785
0.08000000 1292200.60417787 18840.28569273
0.08100000 1283611.31727133 17367.26193752
0.08200000 1274970.53520535 17460.72229898
0.08300000 1266281.84926402 19146.18245944
0.08400000 1257545.66307026 17637.07875242
0.08500000 1248765.87906370 19330.89671540
0.08600000 1239941.64219114 21035.61094743
0.08700000 1231076.51522861 16250.21076409
0.08800000 1222169.39638526 21210.75087040
0.08900000 1213225.98062591 16378.55150775
0.09000000 1204245.62281545 23013.13493306
0.09100000 1195230.39055472 23091.85223040
0.09200000 1186181.56840427 18201.95702241
0.09300000 1177102.53281793 21576.29044047
0.09400000 1167991.59261312 28294.59766083
0.09500000 1158853.14847268 23362.48057131
0.09600000 1149687.93988095 20073.55237393
0.09700000 1140499.66587297 20118.41505182
0.09800000 1131288.48414264 23519.48869116
0.09900000 1122056.37246514 18513.93101625
0.10000000 1112803.17448829 25288.45332949
0.10100000 1103532.02125460 21949.25293507
0.10200000 1094244.86249331 23668.51748901
0.10300000 1084942.37638331 22002.63242807
0.10400000 1075627.70092195 18635.25079517
0.10500000 1066303.18807628 27126.75438096
0.10600001 1056965.44068480 20357.15534547
0.10700001 1047621.67475494 22062.91350857
0.10800001 1038269.65985151 22068.42265872
0.10900001 1028913.56944204 22070.19710328
0.11000001 1019553.65810339 30556.02457162
0.11100001 1010191.56900722 22062.58490568
0.11200001 1000829.98614321 22053.28978287
0.11300001 991467.58532237 20344.91580867
0.11400001 982109.42143840 20329.66598099
0.11500001 972755.02121499 20311.12579938
0.11600001 963406.00475783 20289.33141565
0.11700001 954065.04853794 21953.03780073
0.11800001 944730.69969863 21922.47691902
0.11900001 935407.06114017 20204.79347231
0.12000001 926094.23340592 18489.47224089
0.12100001 916795.78648477 25166.04552453
0.12200001 907509.92108172 21766.62648260
0.12300001 898240.64434136 16707.27677190
0.12400001 888987.10599132 18335.35992499
0.12500001 879751.90679286 21615.50536843
0.12600001 870537.86490490 16583.74710792
0.12700001 861344.26878593 28114.27825810
0.12800001 852171.90973852 21436.38539975
0.12900001 843023.18006295 18082.84806463
0.13000001 833899.37273729 16386.12344665
0.13100001 824800.18499367 16331.04443268
0.13200001 815729.68856978 16273.80805412
0.13300001 806688.21325426 17835.87723589
0.13400001 797674.87362852 19383.50034302
0.13500001 788693.05127314 30569.74410866
0.13600001 779741.93334183 16023.69748570
0.13700001 770825.06844620 30316.55137151
0.13800001 761940.56157644 17475.10760381
0.13900001 753093.47039327 25303.94179850
0.14000001 744281.33666388 18889.86121539
0.14100001 735506.71935697 17232.92324729
0.14200001 726769.44975608 15589.20543254
0.14300001 718074.23277828 20163.52540748
0.14400001 709415.05263681 18515.73374721
0.14500001 700800.95526018 26090.82079510
0.14600001 692226.51098713 18316.31434478
0.14700001 683698.05206179 16695.90721900
0.14800001 675211.24962888 18109.16656941
0.14900001 666769.11231605 16502.53630843
0.15000001 658373.66212876 25350.67905639
0.15100001 650024.51150729 14820.55956167
0.15200001 641723.82916679 17673.07508919
0.15300001 633471.16755088 19023.14005924
0.15400001 625265.51075607 15991.16619223
0.15500001 617111.84220606 18772.54312584
0.15600001 609006.53045206 18644.73580973
0.15700001 600955.87278792 18515.45131447
0.15800001 592952.83132942 16970.31083363
0.15900001 585005.22767199 16848.15135220
0.16000001 577108.47322357 15330.88731484
0.16100001 569268.89831464 15216.55837024
0.16200001 561481.36478202 15101.04201867
0.16300001 553750.40323458 20433.39084397
0.16400001 546074.46700352 17569.94680531
0.16500001 538455.17382496 17429.79479960
0.16600001 530892.03048493 14628.73059068
0.16700001 523385.90438139 15827.19049577
0.16800001 515936.69004173 18310.59399414
0.16900001 508547.82071496 14264.76704461
0.17000001 501216.57962769 16713.06763687
0.17100001 493944.57762634 20390.03312726
0.17200001 486731.97727757 18946.04311022
0.17300001 479579.11508195 13768.71704422
0.17400001 472487.92049699 12402.80849878
0.17500001 465456.47112621 15974.46684349
0.17600001 458484.24033793 13390.03287147
0.17700001 451575.80079548 13262.78189577
0.17800001 444727.92564657 16717.32351465
0.17900001 437941.69459520 13006.86894384
0.18000001 431218.32159242 14049.09358109
0.18100001 424558.39909521 15067.57829563
0.18200001 417958.10725717 14914.83576202
0.18300001 411423.53016969 13626.34796292
0.18400001 404950.24159582 22474.73947029
0.18500001 398541.34742550 14455.09535401
0.18600001 392195.36793183 12101.18864924
0.18700001 385912.60223360 11971.00948685
0.18800001 379692.80026675 10764.29139613
0.18900001 373538.82266563 13839.61403365
0.19000001 367444.69476861 13685.47830328
0.19100001 361419.31742920 16654.20293405
0.19200001 355454.32921511 11319.44364871
0.19300001 349555.85161782 13223.69849156
0.19400001 343720.24256792 16086.10811231
0.19500001 337949.08019313 11922.84411263
0.19600001 332240.91898556 12763.03550596
0.19700001 326597.32099630 10669.93498118
0.19800001 321017.87559454 14373.57605902
0.19900001 315503.28523140 10411.60890469
0.20000001 310050.32299891 10282.81944824
0.20100001 304663.28888808 11077.55770752
0.20200001 299338.36496316 9114.85364393
0.20300001 294078.10490662 8998.79043547
0.20400001 288881.14958821 11548.02450061
0.20500001 283746.95479154 9644.55944923
0.20600001 278676.57303533 14709.94360298
0.20700001 273668.86082806 11100.00951987
0.20800001 268723.87408419 9266.94323584
0.20900001 263843.95261983 9142.19339044
0.21000001 259024.03838974 9837.73344309
0.21100001 254266.84508713 9702.82326721
0.21200001 249571.74176417 7973.81752632
0.21300001 244938.29773743 11007.52762071
0.21400001 240367.38720440 11627.77290573
0.21500001 235858.57302350 12991.09081632
0.21600001 231409.36803243 9038.85034269
0.21700001 227021.73859567 9650.69456398
0.21800001 222694.98465731 8778.63671025
0.21900001 218427.34179238 10091.34366794
0.22000001 214219.56894377 7811.51695088
0.22100001 210074.02806306 8394.55855832
0.22200001 205986.45685117 10335.37096121
0.22300001 201958.10574401 8142.95120864
0.22400001 197986.89992723 6682.05818851
0.22500001 194077.12477000 8552.97929306
0.22600001 190223.71437379 7772.54133686
0.22700001 186429.13780941 6375.87681459
0.22800001 182691.05903289 7530.52580945
0.22900001 179009.77176527 9263.75612694
0.23000001 175385.48025232 9115.66076721
0.23100001 171818.81989185 6577.22473651
0.23200001 168306.10196400 7646.98810439
0.23300001 164850.13934688 6364.86418121
0.23400001 161449.38175938 6260.20007380
0.23500001 158101.70905054 7835.52107113
0.23600001 154809.67231131 6053.83252206
0.23700001 151571.09332089 8116.63243123
0.23800001 148386.15414802 5319.64387782
0.23900001 145254.14086793 5752.06425044
0.24000001 142174.68247233 6167.53801738
0.24100001 139148.48415578 6566.41727791
0.24200001 136173.34203671 6948.92597283
0.24300001 133249.61871983 6340.01715859
0.24400001 130376.23528204 6707.85762257
0.24500001 127553.72361265 5648.07914875
0.24600001 124781.08803558 5547.76743650
0.24700001 122058.83629728 6356.82449508
0.24800001 119384.59265684 4904.91622134
0.24900001 116758.85107009 4816.30283449
0.25000001 114181.68930962 4298.94080588
0.25100001 111651.78638461 5486.56904250
0.25200001 109170.23201232 4557.31155096
0.25300001 106735.29377653 4473.27637381
0.25400001 104345.90565483 5188.60040417
0.25500001 102002.39365486 4308.58131183
0.25600001 99704.75062051  4612.34198193
0.25700001 97451.64051137  4525.65439947
0.25800001 95242.90783238  3700.18714436
0.25900001 93078.33267750  4356.06617541
0.26000001 90957.72000644  5341.49236011
0.26100001 88878.00135712  3842.19618047
0.26200001 86843.11494111  4453.74936049
0.26300001 84849.04096055  3696.02439913
0.26400001 82896.18557829  3954.14823919
0.26500001 80985.27575655  3554.44392115
0.26600001 79114.12074963  3485.37275455
0.26700001 77283.97501938  3728.17913135
0.26800001 75493.39201474  3960.00606552
0.26900001 73741.21049283  2986.51916629
0.27000001 72028.31701061  3220.74634754
0.27100001 70353.55029268  4592.67998044
0.27200001 68716.69412909  3939.52826085
0.27300001 67116.54086401  3861.88594408
0.27400001 65552.09095359  3244.82865576
0.27500001 64026.23150639  3710.96055373
0.27600001 62533.99858073  3897.43164599
0.27700001 61078.78190872  3311.08092397
0.27800001 59657.40070474  2496.66233765
0.27900001 58270.95045661  4160.54605951
0.28000001 56918.14862202  2639.01008576
0.28100001 55598.58010505  3292.54806965
0.28200001 54312.43122026  2305.56281442
0.28300001 53058.83182199  2486.33697686
0.28400001 51837.37596510  3102.46709835
0.28500001 50647.67633434  2390.06395934
0.28600001 49488.45054035  2130.47789660
0.28700001 48360.39659576  2924.83692455
0.28800001 47261.92972653  3073.20712593
0.28900001 46194.77433523  3215.15644592
0.29000001 45155.53214191  3350.76642120
0.29100001 44146.56914951  2320.34378433
0.29200001 43165.28691162  2655.96022939
0.29300001 42212.06418254  1861.55211857
0.29400001 41286.30905247  3105.76274549
0.29500001 40388.83964333  1793.26456505
0.29600001 39517.01990675  1760.48332018
0.29700001 38671.22315758  1728.60375697
0.29800001 37852.07780648  1867.43234698
0.29900001 37058.18834119  1667.61855430
0.30000001 36289.23233246  2457.68837606
0.30100001 35545.75591728  1610.22281928
0.30200001 34825.37505594  1899.37604547
0.30300001 34129.24891100  1867.55258882
0.30400001 33457.24864780  1683.73611791
0.30500001 32807.05424587  1505.84386118
0.30600001 32179.78660457  1778.25509196
0.30700001 31575.12349331  1750.52492934
0.30800001 30992.10864271  1867.42959468
0.30900001 30430.43285893  1698.01823392
0.31000001 29890.60824325  1533.83663462
0.31100001 29369.82731326  1786.86037834
0.31200001 28870.41451260  1491.01262810
0.31300001 28390.20917136  1604.61469834
0.31400001 27931.21448689  1451.72494169
0.31500001 27490.18087744  1563.64156234
0.31600002 27068.08338174  1415.79616832
0.31700002 26663.89611271  1907.80185720
0.31800002 26278.35875988  1760.38733668
0.31900002 25910.75949355  1865.57477187
0.32000002 25560.19129572  1230.72326916
0.32100002 25227.12873321  1340.31741306
0.32200002 24910.65331792  1206.92121040
0.32300002 24609.78969021  1315.63941914
0.32400002 24325.43189111  1423.03783301
0.32500002 24056.19186974  1764.52175720
0.32600002 23802.92813846  1401.04041657
0.32700002 23564.42411708  2086.86549863
0.32800002 23341.25518452  1612.64739706
0.32900002 23131.21191018  1259.49454815
0.33000002 22936.87148009  1708.22358437
0.33100002 22753.82337117  1586.39664056
0.33200002 22586.75037493  1466.67070505
0.33300002 22431.36512646  1460.95487987
0.33400002 22289.69071317  1456.07411479
0.33500002 22159.88534993  1451.91575688
0.33600002 22042.35760617  1225.66535273
0.33700002 21935.96738246  1557.01503854
0.33800002 21842.65957604  1221.76922125
0.33900002 21759.52461947  1664.60371222
0.34000002 21687.99126092  1442.14304719
0.34100002 21627.08387893  1442.31029219
0.34200002 21577.63801717  1554.23733998
0.34300002 21536.96076955  1222.43795117
0.34400002 21507.29456807  1558.20356525
0.34500002 21486.76091774  1449.71182778
0.34600002 21476.91818430  1229.66100888
0.34700002 21474.11574187  1120.94889481
0.34800002 21481.86877008  1349.49106005
0.34900002 21497.83546071  1580.09098120
0.35000002 21522.40828526  1133.15484989
0.35100002 21555.13207434  1365.73323291
0.35200002 21595.13184180  1715.19342777
0.35300002 21643.23859218  1264.18162605
0.35400002 21699.27431863  1155.48641219
0.35500002 21762.15831989  1394.51917119
0.35600002 21831.67011260  1519.81178687
0.35700002 21908.05414798  1294.10881982
0.35800002 21991.69229394  1421.10322335
0.35900002 22081.04978974  1907.80279220
0.36000002 22177.34995268  1441.08426818
0.36100002 22278.67138585  1451.67829626
0.36200002 22386.90843092  1340.86394398
0.36300002 22498.81463422  1228.43533722
0.36400002 22616.98390790  1362.10792037
0.36500002 22739.65515399  1747.76997792
0.36600002 22867.83239146  1636.53650261
0.36700002 23000.30731711  1269.61702404
0.36800002 23138.62994593  1664.94019663
0.36900002 23280.20485325  2196.48743195
0.37000002 23425.17953642  1303.61130295
0.37100002 23574.40911322  2104.72334533
0.37200002 23728.05024811  1327.58447427
0.37300002 23884.53526793  1741.89923960
0.37400002 24045.53926030  1623.07397696
0.37500002 24208.51095628  2321.11214044
0.37600002 24375.80712176  1516.29715384
0.37700002 24544.58789505  1530.84601953
0.37800002 24717.23214793  1826.72712843
0.37900002 24892.25569567  2270.17382699
0.38000002 25069.67350678  1576.00509966
0.38100002 25248.87344828  1736.11262055
0.38200002 25430.52945973  2191.47598001
0.38300002 25613.88767653  1475.36000006
0.38400002 25799.77445770  1638.93075007
0.38500002 25986.30015187  1955.98890510
0.38600002 26175.41484152  1671.43119389
0.38700002 26364.89039751  1687.88036321
0.38800002 26555.65049068  1549.52227954
0.38900002 26747.70347268  2190.63701820
0.39000002 26941.41246885  2054.14809100
0.39100002 27134.99104248  1755.09130378
0.39200002 27330.02433271  2416.65751611
0.39300002 27525.16656215  2440.10613134
0.39400002 27721.63948811  2135.25938273
0.39500002 27917.58239956  2155.79581503
0.39600002 28113.77808485  1841.59312070
0.39700002 28309.73814027  2028.10973646
0.39800002 28506.97606630  1876.75685824
0.39900002 28703.04278983  2066.61917878
0.40000002 28898.86484788  2607.40020444
0.40100002 29094.31661726  2105.26485017
0.40200002 29290.48292807  2301.79270996
0.40300002 29485.04946364  2144.15289859
0.40400002 29678.98183503  2704.49734786
0.40500002 29872.38775321  2183.07420044
0.40600002 30065.15271718  2019.02542639
0.40700002 30256.81555244  2036.88891950
0.40800002 30447.72450919  2054.76478586
0.40900002 30636.80758738  2260.99650708
0.41000002 30825.59071852  2280.47730941
0.41100002 31012.77669843  2683.22556709
0.41200002 31197.92831658  2125.98292587
0.41300002 31382.23497866  2533.48794987
0.41400002 31564.85614050  2947.36858177
0.41500002 31746.36193541  2773.36231009
0.41600002 31925.07226362  2396.29603765
0.41700002 32102.88679967  2214.13620749
0.41800002 32279.68000261  2434.53358116
0.41900002 32452.56096817  2862.31601302
0.42000002 32624.48023680  2266.25962703
0.42100002 32794.77247800  2491.09103547
0.42200002 32962.88578844  2928.09328334
0.42300002 33128.40393025  2106.96658980
0.42400002 33291.76725575  2334.58528944
0.42500002 33453.23592782  2565.19425250
0.42600002 33611.05169780  2798.62435223
0.42700002 33767.95917421  2818.27400623
0.42800002 33921.86322227  3492.59520287
0.42900002 34073.82673391  3516.41908557
0.43000002 34223.25718966  3318.80052324
0.43100002 34368.77366855  2672.51596711
0.43200002 34512.55572746  2914.06778094
0.43300002 34653.33806011  2481.52565608
0.43400002 34791.87401662  2951.22085331
0.43500002 34927.04640058  3654.76630855
0.43600002 35060.56318543  2757.86403086
0.43700002 35190.22942921  3236.79745629
0.43800002 35316.32609768  2558.13820211
0.43900002 35440.65843948  3040.80863821
0.44000002 35561.33164799  2822.85863999
0.44100002 35679.68439187  2838.67582474
0.44200002 35794.70431075  3092.12567842
0.44300002 35907.04852326  3108.83240847
0.44400002 36015.67439985  2644.45101813
0.44500002 36120.55858359  3141.40512889
0.44600002 36223.14733563  3157.39078714
0.44700002 36322.88565340  3661.34704738
0.44800002 36418.22400384  2698.04425319
0.44900002 36511.83648323  2957.45889530
0.45000002 36601.96517491  3466.57228600
0.45100002 36687.57554420  2487.41773978
0.45200002 36770.95027060  3248.16204609
0.45300002 36850.39491746  2760.46321409
0.45400002 36927.25746013  2772.31398521
0.45500002 37000.64703970  3037.01325295
0.45600002 37070.47509072  3811.77178186
0.45700002 37136.94848852  2551.30848208
0.45800002 37199.55268334  3073.42718836
0.45900002 37259.15395539  2827.96991924
0.46000002 37316.12503123  3354.53321867
0.46100002 37368.38397590  2589.62913226
0.46200002 37418.28015234  3118.43961569
0.46300002 37464.27724536  2607.51381986
0.46400002 37506.54132542  2877.68951958
0.46500002 37546.31469282  2886.93627356
0.46600002 37581.85171766  2895.86972136
0.46700002 37614.04794830  3168.60754934
0.46800002 37643.53469349  2913.04507032
0.46900002 37668.92863698  3186.79151373
0.47000002 37690.46312606  2929.11448067
