# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664582.05603278 599.24955440
0.00200000 1664375.92651902 1273.24762410
0.00300000 1664032.53039245 1098.26150918
0.00400000 1663551.73954881 2245.79493373
0.00500000 1662933.99731978 1945.63285387
0.00600000 1662179.06709891 2617.93213726
0.00700000 1661287.54615475 2790.96319353
0.00800000 1660258.95495306 2465.48465220
0.00900000 1659094.58776732 2488.64198803
0.01000000 1657793.65167106 3555.96753638
0.01100000 1656357.38890880 3577.73211582
0.01200000 1654785.21795537 4194.88071144
0.01300000 1653078.54329360 3818.61160343
0.01400000 1651236.67913502 4829.86750058
0.01500000 1649261.29962258 4749.87275442
0.01600000 1647151.31306982 4620.25963970
0.01700000 1644908.83808268 4885.37946826
0.01800000 1642533.49628650 5149.34274257
0.01900000 1640025.90853202 5412.08574236
0.02000000 1637386.78804470 5673.54547722
0.02100000 1634617.65363906 6473.08620189
0.02200000 1631716.81020445 7318.25022625
0.02300000 1628687.25069796 7035.92924328
0.02400000 1625528.60564290 6095.73254911
0.02500000 1622242.36196621 8857.44370086
0.02600000 1618828.76224411 9834.38518044
0.02700000 1615288.67980706 8141.05531910
0.02800000 1611622.09864741 8412.66774074
0.02900000 1607831.62219555 8682.29115850
0.03000000 1603917.47784449 8204.03827628
0.03100000 1599879.94338132 8447.36648974
0.03200000 1595719.95876870 8688.69557568
0.03300000 1591440.55138670 9739.61662349
0.03400000 1587039.43737812 10831.54465988
0.03500000 1582520.14664212 9400.17010514
0.03600000 1577882.36509299 11384.42179026
0.03700000 1573127.86526745 10760.19509606
0.03800000 1568258.08034572 10091.74121407
0.03900000 1563274.06733546 13131.50277374
0.04000000 1558174.93089585 13415.88677669
0.04100000 1552964.64420384 9783.67771212
0.04200000 1547643.34987037 10980.53007675
0.04300000 1542211.27750881 11196.45439443
0.04400000 1536672.08448453 12447.04446239
0.04500000 1531025.29975282 20071.74261239
0.04600000 1525271.33176525 13979.11240547
0.04700000 1519413.29340235 12033.75384341
0.04800000 1513451.52148617 11123.86920050
0.04900000 1507388.76880465 11305.41629227
0.05000000 1501224.26528925 14929.67601352
0.05100000 1494961.76723623 13992.84279317
0.05200000 1488599.22471705 11834.36438800
0.05300000 1482142.17880704 14406.42264960
0.05400000 1475588.96239117 17043.05331040
0.05500000 1468943.56539474 13573.03917742
0.05600000 1462204.25587609 16252.40106247
0.05700000 1455376.39255611 18992.66280941
0.05800000 1448458.36618968 16664.51428112
0.05900000 1441452.19711441 14270.37741794
0.06000000 1434360.70345932 15749.28125977
0.06100000 1427185.29577767 14600.10625809
0.06200000 1419926.59836915 16101.96837817
0.06300000 1412587.64337453 16273.01041252
0.06400000 1405166.76013788 20550.56482810
0.06500000 1397669.84832631 23522.78464768
0.06600000 1390095.10613211 18161.59341137
0.06700000 1382445.40739885 18331.22695999
0.06800000 1374723.83293649 14228.39233691
0.06900000 1366930.85700919 18658.60707175
0.07000000 1359065.96007070 15921.45846781
0.07100000 1351134.55634423 21888.38083798
0.07200000 1343135.00940806 17648.79485041
0.07300000 1335072.17861524 14819.30187700
0.07400000 1326945.74874702 16420.95441030
0.07500000 1318757.63765514 16537.22155134
0.07600000 1310508.24427261 18163.64511714
0.07700000 1302202.97511980 19806.50818027
0.07800000 1293840.34229690 16865.20965275
0.07900000 1285421.80100383 16967.56856909
0.08000000 1276952.05527131 20169.45865918
0.08100000 1268430.55038268 17161.86615188
0.08200000 1259858.45684612 18822.28622852
0.08300000 1251238.94689199 20495.29491198
0.08400000 1242572.70207547 17427.08296461
0.08500000 1233863.57100675 22283.57713849
0.08600000 1225110.56671905 23981.54046949
0.08700000 1216317.55905840 19266.47104019
0.08800000 1207482.90487397 20955.86679825
0.08900000 1198612.65139283 27508.16164152
0.09000000 1189706.01269460 19487.38540337
0.09100000 1180765.08036812 17924.01476208
0.09200000 1171791.17033309 21250.43387248
0.09300000 1162787.68635808 24592.96072215
0.09400000 1153752.77574710 18085.07560979
0.09500000 1144691.13923824 18131.90849778
0.09600000 1135603.38411563 18175.33301715
0.09700000 1126492.89088451 19871.33552941
0.09800000 1117360.08338088 19911.35762203
0.09900000 1108207.02081124 16623.10609383
0.10000000 1099033.40489295 18315.39255386
0.10100000 1089842.20315671 18342.04514179
0.10200000 1080635.54971782 20034.98403414
0.10300000 1071414.06850625 23399.68435692
0.10400000 1062180.79028881 26766.95717453
0.10500000 1052938.46440010 21764.23908314
0.10600001 1043683.27439165 16751.11734219
0.10700001 1034422.69156820 21784.94290957
0.10800001 1025154.10566142 18437.39745802
0.10900001 1015881.95002463 20114.46355719
0.11000001 1006606.16258498 21787.99141470
0.11100001 997328.97359606 20106.15305416
0.11200001 988052.68751374 16747.49384178
0.11300001 978776.17672150 16737.07340993
0.11400001 969504.08026704 16723.94617204
0.11500001 960236.30044096 20049.73489731
0.11600001 950974.15929583 20027.51673790
0.11700001 941720.57216931 23335.83687735
0.11800001 932473.67961070 21638.05275448
0.11900001 923238.14344257 23265.60231060
0.12000001 914013.67481468 19907.21877519
0.12100001 904803.78742724 18213.70109892
0.12200001 895607.22969637 23133.53583291
0.12300001 886427.04851464 19785.05265501
0.12400001 877263.34002017 21383.29492052
0.12500001 868118.21639068 29533.38311324
0.12600001 858994.40735718 18000.22865440
0.12700001 849891.50504558 26108.66826541
0.12800001 840809.78903990 17896.63720317
0.12900001 831752.41613736 19463.00745495
0.13000001 822719.86337244 29099.60293909
0.13100001 813712.55001893 20944.96202478
0.13200001 804733.75803006 20870.77099836
0.13300001 795784.51138595 20793.85026280
0.13400001 786863.30285196 19120.77916076
0.13500001 777973.96048394 19044.80345058
0.13600001 769115.51086768 18966.38939228
0.13700001 760291.48924378 17311.83802639
0.13800001 751499.94085054 17235.65195617
0.13900001 742746.12864415 20276.97026821
0.14000001 734027.35635726 15524.67931911
0.14100001 725346.26168171 21629.82654348
0.14200001 716702.56839561 24597.23330747
0.14300001 708100.71741452 19883.46908286
0.14400001 699535.37940407 19779.36378564
0.14500001 691015.29416856 15133.23565616
0.14600001 682534.94833472 16554.88595282
0.14700001 674100.51394542 14965.03211559
0.14800001 665707.80585427 20829.99822791
0.14900001 657359.81323027 17748.71579462
0.15000001 649058.39300712 14701.17329526
0.15100001 640803.54679971 16071.35371206
0.15200001 632596.99541110 17421.72207570
0.15300001 624438.60873868 20194.34555956
0.15400001 616327.19666278 15762.56879850
0.15500001 608267.77096414 14233.46651228
0.15600001 600256.41439012 15549.64314864
0.15700001 592300.11640635 15441.26476349
0.15800001 584390.90215360 22300.35787873
0.15900001 576537.47358851 13836.90001923
0.16000001 568734.53926684 15108.43374878
0.16100001 560988.73083508 14995.22948306
0.16200001 553295.02338307 17586.48314842
0.16300001 545657.71714572 13423.18047546
0.16400001 538075.33217375 21307.78416001
0.16500001 530549.30442737 14531.74613433
0.16600001 523079.48879254 19654.71271934
0.16700001 515666.38922697 14294.27298427
0.16800001 508310.11022152 14174.22809278
0.16900001 501013.89819426 16608.61150937
0.17000001 493775.09491713 15198.39813921
0.17100001 486595.46045914 15064.99616720
0.17200001 479475.09427554 13686.61721242
0.17300001 472414.25526640 20961.02149604
0.17400001 465414.58119549 13438.84666668
0.17500001 458474.54976699 14524.47442257
0.17600001 451593.45955072 17984.71037601
0.17700001 444776.06198851 17813.28212397
0.17800001 438018.70132848 16465.12376062
0.17900001 431322.94333375 15139.43602610
0.18000001 424689.71473106 12683.35892954
0.18100001 418119.60097196 19404.93159773
0.18200001 411608.81239884 14688.26116430
0.18300001 405163.26403629 14537.25860035
0.18400001 398778.88799336 18812.39492980
0.18500001 392458.31132549 10949.58740326
0.18600001 386200.47953726 10832.92396280
0.18700001 380005.42450852 12859.38417291
0.18800001 373873.10322603 14839.02416813
0.18900001 367806.32895093 13627.22513148
0.19000001 361798.63795495 13475.19090732
0.19100001 355859.60821504 12298.50864102
0.19200001 349980.25256006 13171.50742747
0.19300001 344167.12171348 12018.31645813
0.19400001 338416.34551743 10888.54643155
0.19500001 332729.74264416 11738.70587520
0.19600001 327105.51809807 10632.56536823
0.19700001 321545.74997481 14324.86383834
0.19800001 316049.37104664 11320.88900590
0.19900001 310617.31510802 13045.92785109
0.20000001 305246.66100479 10123.50599067
0.20100001 299941.14253499 14541.14727734
0.20200001 294697.43311140 10768.24471484
0.20300001 289517.82005787 11517.01942625
0.20400001 284400.95949367 13117.99487668
0.20500001 279346.32320732 11221.34233364
0.20600001 274355.16115328 11926.21941906
0.20700001 269425.87891113 9246.69660131
0.20800001 264559.06802654 9123.31989216
0.20900001 259756.45710683 9818.79454279
0.21000001 255013.38091668 8878.29127631
0.21100001 250332.33481632 9552.68234818
0.21200001 245712.92898681 8635.58129748
0.21300001 241154.71390339 12385.70669162
0.21400001 236658.33538196 9158.67801227
0.21500001 232223.48734932 9028.84961500
0.21600001 227847.67578910 10383.01907660
0.21700001 223532.78361807 7309.52236990
0.21800001 219278.03295725 9364.26884019
0.21900001 215081.90413023 7807.47348908
0.22000001 210944.97018556 8391.39131075
0.22100001 206869.44803504 8266.50353435
0.22200001 202851.66705379 9499.54401731
0.22300001 198892.12380555 8019.33081104
0.22400001 194989.21118807 8555.15204542
0.22500001 191147.14106814 7127.87722749
0.22600001 187360.45234446 10207.39792642
0.22700001 183632.16892080 7536.26456889
0.22800001 179959.78463890 6181.61889468
0.22900001 176343.43080765 8517.38811080
0.23000001 172783.27869426 5986.94088989
0.23100001 169280.12962710 8247.32830547
0.23200001 165830.32465066 5795.77012064
0.23300001 162436.46812023 6841.82436080
0.23400001 159097.21016049 5608.17692340
0.23500001 155810.33785587 8273.52933145
0.23600001 152578.37405350 5966.57759956
0.23700001 149399.20420595 7466.97257939
0.23800001 146272.60898503 6292.64793617
0.23900001 143198.67433055 6186.18302368
0.24000001 140176.34694161 5574.11269979
0.24100001 137206.71788802 5976.72491391
0.24200001 134287.32944300 4894.77338973
0.24300001 131418.57522818 5771.90409705
0.24400001 128599.43323822 6616.44115309
0.24500001 125830.46908359 5571.77343459
0.24600001 123110.90116688 6385.76274561
0.24700001 120440.56843271 4480.38935765
0.24800001 117817.62487544 5280.58619672
0.24900001 115242.45431276 4753.75146529
0.25000001 112715.31042833 5516.85112991
0.25100001 110234.47728171 6666.98150141
0.25200001 107801.29232215 4909.27108461
0.25300001 105414.09033787 5221.16014145
0.25400001 103071.54614793 3942.48682668
0.25500001 100774.34927927 5417.62927357
0.25600001 98521.97614230  4177.82459598
0.25700001 96313.70750902  4100.07472265
0.25800001 94148.84331981  5486.52410405
0.25900001 92027.47954213  4306.88624635
0.26000001 89949.37615167  4225.82189155
0.26100001 87911.43764921  4491.39556201
0.26200001 85917.41857247  4067.33078767
0.26300001 83963.59254715  3989.95010664
0.26400001 82050.29808031  3587.64945332
0.26500001 80178.20699228  4478.75485452
0.26600001 78345.01100781  3137.71783934
0.26700001 76552.25894866  3385.14105090
0.26800001 74798.05144286  3319.91167039
0.26900001 73081.78691437  4439.71876514
0.27000001 71404.04202857  3773.34677956
0.27100001 69763.65647453  3700.26451452
0.27200001 68160.48093711  3070.28900911
0.27300001 66593.30083834  3010.68327338
0.27400001 65061.08930986  2952.14706714
0.27500001 63566.64361500  3157.99100425
0.27600001 62105.20213032  3096.56552477
0.27700001 60680.18678022  3289.47308104
0.27800001 59288.10623247  3721.81104489
0.27900001 57930.42906584  3406.30939028
0.28000001 56605.54594501  3340.29342431
0.28100001 55313.23800112  3041.67510164
0.28200001 54053.70265490  2753.49574356
0.28300001 52826.02357490  2250.38871080
0.28400001 51629.78877258  2648.60828939
0.28500001 50464.62123567  2597.91882418
0.28600001 49329.27123937  2548.35027284
0.28700001 48224.39365087  2291.62329476
0.28800001 47148.48243749  2043.88681041
0.28900001 46103.10058870  2005.48497054
0.29000001 45085.10214318  2164.76128187
0.29100001 44096.78133666  2124.58302537
0.29200001 43135.32133947  2654.11644765
0.29300001 42201.36284663  2791.62028445
0.29400001 41294.25104201  2375.45190364
0.29500001 40414.81721175  1973.85976606
0.29600001 39560.23638247  2114.89033712
0.29700001 38731.32625047  2770.06458456
0.29800001 37928.28546604  2721.73389389
0.29900001 37149.89824912  2006.09460042
0.30000001 36395.78639533  1807.59681690
0.30100001 35666.56822323  2423.54342550
0.30200001 34959.91216352  2065.60650797
0.30300001 34277.01432148  2031.94150517
0.30400001 33617.59163511  2153.20684617
0.30500001 32979.35096535  2422.00364956
0.30600001 32363.51162255  2235.50967116
0.30700001 31769.73538653  1908.09039765
0.30800001 31197.04703728  1445.98319864
0.30900001 30645.04495338  1709.99358936
0.31000001 30114.48006425  1826.29272996
0.31100001 29602.35323897  1662.46823661
0.31200001 29111.15588480  1640.12260020
0.31300001 28638.55142263  1753.53858663
0.31400001 28186.64497348  1465.00094186
0.31500001 27752.27460298  1447.00366631
0.31600002 27336.27165478  1689.79171235
0.31700002 26937.78872258  1798.90561607
0.31800002 26557.32074292  1270.76785772
0.31900002 26194.36845714  1508.79569457
0.32000002 25847.94492097  1493.49432825
0.32100002 25518.48218164  1232.54274773
0.32200002 25205.40081170  1221.20172715
0.32300002 24907.41128019  2663.10054018
0.32400002 24625.43403534  1560.63695589
0.32500002 24358.19122772  1905.78497190
0.32600002 24106.35718312  1300.65856340
0.32700002 23869.02186966  1761.53389739
0.32800002 23646.47925286  1400.34456766
0.32900002 23436.77170974  1508.15633094
0.33000002 23242.25959475  1500.17171658
0.33100002 23058.80296389  1837.32550717
0.33200002 22890.72812310  1715.08788584
0.33300002 22734.26229862  1480.68257363
0.33400002 22590.87122043  1135.19133258
0.33500002 22459.06947670  1471.51830180
0.33600002 22339.23026475  1806.79702938
0.33700002 22230.19750288  1127.07106677
0.33800002 22133.98351543  1463.16704958
0.33900002 22047.37727999  1461.74118289
0.34000002 21972.32936693  1461.05011045
0.34100002 21907.36861889  1348.61767605
0.34200002 21853.63606990  1124.36962905
0.34300002 21808.42835602  1350.37794776
0.34400002 21773.90613649  1464.83960471
0.34500002 21748.27735357  1467.35634254
0.34600002 21733.03732857  1244.32511118
0.34700002 21724.60083743  1134.02421742
0.34800002 21726.39329108  1478.58976545
0.34900002 21736.25086839  1255.26854710
0.35000002 21754.33308704  2061.65824430
0.35100002 21780.38873203  1380.00549542
0.35200002 21813.55895839  1617.03920217
0.35300002 21854.58720576  1624.67008983
0.35400002 21903.21710784  1399.61563948
0.35500002 21958.67337264  1289.85253500
0.35600002 22020.40191988  1415.03109439
0.35700002 22088.88442176  1779.25972445
0.35800002 22164.39726297  1193.55284914
0.35900002 22245.53505460  1201.25894985
0.36000002 22333.50779401  1330.29545476
0.36100002 22426.09490479  1704.83181541
0.36200002 22525.64621834  1471.82579362
0.36300002 22628.54443980  1729.72601891
0.36400002 22737.64938700  1369.37499920
0.36500002 22851.07343574  1505.42878926
0.36600002 22970.03319018  1390.95042572
0.36700002 23092.97752857  1529.67890395
0.36800002 23221.77833788  1413.85804107
0.36900002 23353.71363009  1555.35740144
0.37000002 23488.89707000  1830.02005741
0.37100002 23628.38737678  1582.15689370
0.37200002 23771.96864546  1463.04587959
0.37300002 23918.42887939  1476.00631607
0.37400002 24069.33824500  2301.63057871
0.37500002 24222.21354002  1502.74619921
0.37600002 24379.17203101  1792.23491676
0.37700002 24537.69523381  2086.93107850
0.37800002 24700.01171339  1544.61530567
0.37900002 24864.61722292  1559.01157373
0.38000002 25031.57886950  1573.61028018
0.38100002 25200.38767702  1732.77873876
0.38200002 25371.45016974  1749.10785756
0.38300002 25544.35522318  1765.62591667
0.38400002 25719.76068673  1930.91112503
0.38500002 25895.55372744  2099.09368459
0.38600002 26074.26684192  2270.41689282
0.38700002 26253.15697414  1680.72718911
0.38800002 26433.38765045  2159.34353946
0.38900002 26614.87767746  2024.06154326
0.39000002 26798.07434874  1728.87784852
0.39100002 26981.24348937  2379.74578851
0.39200002 27165.73243383  1921.70400341
0.39300002 27350.41487450  2262.97343393
0.39400002 27536.45374509  1631.53496169
0.39500002 27722.04916951  1811.35877855
0.39600002 27907.92433457  1828.10867015
0.39700002 28093.71470891  1844.91433234
0.39800002 28280.57703222  2200.37040024
0.39900002 28466.43552505  2561.97931864
0.40000002 28652.29133811  1895.77894621
