# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 408.21908021
0.00100000 1700842.92019252 561.27817699
0.00200000 1700633.12657492 1224.45588991
0.00300000 1700283.60753236 1122.18722095
0.00400000 1699794.24710836 1912.26860066
0.00500000 1699165.52377558 1682.17393512
0.00600000 1698397.12274027 2139.98046178
0.00700000 1697489.72368022 2240.68652838
0.00800000 1696442.80538046 2519.21767235
0.00900000 1695257.72831646 3051.46404141
0.01000000 1693933.58269668 4192.48579820
0.01100000 1692471.70382312 3960.38395938
0.01200000 1690871.51975776 3956.63952971
0.01300000 1689134.40096964 3901.90063833
0.01400000 1687259.63726777 3796.33435215
0.01500000 1685249.04513755 4449.05767727
0.01600000 1683101.38482133 4721.09959547
0.01700000 1680818.87946226 5899.67453156
0.01800000 1678401.02256685 6218.47606843
0.01900000 1675848.59755807 8044.07363125
0.02000000 1673162.28917438 5797.50759424
0.02100000 1670343.60348033 6063.34755554
0.02200000 1667390.95999509 5752.49907333
0.02300000 1664307.07829236 5991.50575458
0.02400000 1661091.78865586 6852.00394064
0.02500000 1657746.71361492 7758.25497404
0.02600000 1654271.84496880 9379.72178999
0.02700000 1650668.29358622 7626.08786565
0.02800000 1646935.94965785 9313.42322243
0.02900000 1643077.19886034 9612.00205466
0.03000000 1639092.71108949 7621.78145690
0.03100000 1634982.49703507 10987.08288563
0.03200000 1630747.71431600 9686.64186919
0.03300000 1626391.10208601 9953.51400363
0.03400000 1621910.70408343 9366.53474826
0.03500000 1617309.86376293 13100.21050142
0.03600000 1612588.33836444 9844.85226068
0.03700000 1607747.91552589 11913.41260501
0.03800000 1602789.94432335 12189.21809069
0.03900000 1597715.77960810 14379.44268239
0.04000000 1592524.26428802 10773.42714714
0.04100000 1587219.51978059 12999.32846974
0.04200000 1581801.58992552 10202.62072835
0.04300000 1576270.82578849 15605.08189966
0.04400000 1570630.87374131 15902.63833518
0.04500000 1564881.22596426 12957.21715304
0.04600000 1559022.42044851 12090.21943261
0.04700000 1553057.52203999 12300.21614661
0.04800000 1546986.96025343 21603.67390512
0.04900000 1540813.30049478 16178.54040827
0.05000000 1534536.20019796 16434.88346943
0.05100000 1528158.82098243 14303.56723071
0.05200000 1521679.68043680 13307.08942555
0.05300000 1515103.86064775 20862.98113371
0.05400000 1508430.27264983 12444.55032970
0.05500000 1501662.58194172 12613.96627674
0.05600000 1494799.02557330 15336.63871805
0.05700000 1487845.19544124 12944.25380456
0.05800000 1480799.38003864 14415.58263777
0.05900000 1473663.50129063 17241.86377040
0.06000000 1466440.67187526 16101.51932943
0.06100000 1459132.35605918 14926.92470004
0.06200000 1451738.90534646 13718.93329680
0.06300000 1444263.35001220 16637.91457005
0.06400000 1436704.31718576 22412.58839626
0.06500000 1429067.56634048 22636.43130972
0.06600000 1421351.42306995 15713.04071723
0.06700000 1413558.61264942 17301.95822854
0.06800000 1405692.52609196 18913.59382390
0.06900000 1397753.31214022 17611.69255753
0.07000000 1389740.75106468 16280.81366113
0.07100000 1381660.00336188 16414.12160874
0.07200000 1373509.63894734 19551.91062636
0.07300000 1365294.82406759 16670.25058296
0.07400000 1357014.71258424 21372.98272483
0.07500000 1348671.66721629 18449.82927231
0.07600000 1340265.82241386 17028.07807205
0.07700000 1331802.92989577 17140.30451144
0.07800000 1323280.99122673 26657.49681840
0.07900000 1314701.94931726 20509.35137131
0.08000000 1306070.63848964 19042.51080248
0.08100000 1297386.31262625 25532.56383043
0.08200000 1288649.91269877 19252.43059914
0.08300000 1279865.25816475 17738.93331069
0.08400000 1271032.42565798 19446.79702537
0.08500000 1262155.37869631 16281.80514953
0.08600000 1253233.56102434 17990.16861317
0.08700000 1244270.24040642 21351.67832800
0.08800000 1235264.79367721 29683.41438611
0.08900000 1226222.55102692 18209.40573804
0.09000000 1217142.59896793 19936.79670764
0.09100000 1208027.68339073 23339.09593961
0.09200000 1198878.76512392 18396.79551523
0.09300000 1189699.28096799 20129.71277992
0.09400000 1180487.57492824 18504.14360665
0.09500000 1171247.97067699 25298.95735574
0.09600000 1161981.47589862 20288.19752289
0.09700000 1152691.43510862 16944.56489271
0.09800000 1143378.56780822 18677.08978330
0.09900000 1134044.14996986 23814.92826920
0.10000000 1124688.66925169 18742.93755451
0.10100000 1115314.75937409 18770.74828309
0.10200000 1105924.89200337 20503.84846217
0.10300000 1096519.65738275 18816.27820582
0.10400000 1087101.88697013 17121.85552528
0.10500000 1077674.31680125 30843.04039800
0.10600001 1068233.38977279 20574.17605511
0.10700001 1058786.05574379 22298.03538326
0.10800001 1049330.80418962 20587.87134710
0.10900001 1039871.28124380 20589.45233768
0.11000001 1030407.78226092 17156.29038218
0.11100001 1020942.40420905 27442.93311697
0.11200001 1011477.05582454 24002.35166468
0.11300001 1002011.42535837 18847.83579836
0.11400001 992549.78764031 22257.93003584
0.11500001 983092.26890967 20526.96754141
0.11600001 973640.09225740 22213.59975092
0.11700001 964195.99502331 17066.26991565
0.11800001 954758.44290299 18746.68290934
0.11900001 945332.04022213 22120.77078312
0.12000001 935916.27951616 20384.25752806
0.12100001 926515.57727113 22041.80662163
0.12200001 917127.15649179 16920.99683444
0.12300001 907755.44025727 21949.52757956
0.12400001 898399.96365146 23583.00015702
0.12500001 889063.07933292 18483.62229029
0.12600001 879747.45933849 26814.70382424
0.12700001 870452.54081792 21726.49644271
0.12800001 861178.83483136 23329.33573508
0.12900001 851929.68346051 16612.62961047
0.13000001 842705.53881403 16559.16461821
0.13100001 833506.32800255 26405.48171581
0.13200001 824336.21475028 18090.05908547
0.13300001 815195.19868595 21301.05154586
0.13400001 806082.73799598 22852.44669958
0.13500001 797002.31997717 19510.61771293
0.13600001 787953.00362213 16192.43498792
0.13700001 778938.21172892 17736.42391740
0.13800001 769956.23840609 16053.58832779
0.13900001 761012.11957772 20775.63184421
0.14000001 752103.23650468 15906.98420226
0.14100001 743232.85932704 17413.94671533
0.14200001 734399.97316027 18903.45620073
0.14300001 725609.49937196 15673.16592570
0.14400001 716855.58556000 21828.25360994
0.14500001 708147.26340559 18610.11096018
0.14600001 699479.53880213 16965.87701400
0.14700001 690857.73416508 18404.45090642
0.14800001 682278.58768563 18298.71258504
0.14900001 673744.41584032 21222.95010029
0.15000001 665257.47003098 21095.31537002
0.15100001 656817.38927374 20965.61205488
0.15200001 648426.58314436 25298.36433513
0.15300001 640084.22564673 14785.94631017
0.15400001 631789.41078853 17626.92539283
0.15500001 623547.15539865 14591.00412492
0.15600001 615354.32678018 14491.59507960
0.15700001 607216.32452056 18708.33584145
0.15800001 599126.37844483 21433.74720051
