# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 331.67800267
0.00100000 1700842.96946827 612.30348355
0.00200000 1700633.32043874 841.81352027
0.00300000 1700284.04758656 1734.28979032
0.00400000 1699795.03003766 1784.78484936
0.00500000 1699166.74974674 1682.17514883
0.00600000 1698398.88813555 2496.64646720
0.00700000 1697492.11125773 2444.38874180
0.00800000 1696445.93157387 2748.24252518
0.00900000 1695261.66959673 3305.76039703
0.01000000 1693938.45662215 3633.49814635
0.01100000 1692477.59022766 3351.10577456
0.01200000 1690878.51359325 3626.93457068
0.01300000 1689142.62066031 5320.79948975
0.01400000 1687269.15457985 3796.35576610
0.01500000 1685259.95439360 4853.54888478
0.01600000 1683113.78913235 5150.32842498
0.01700000 1680832.87800002 4538.24897418
0.01800000 1678416.71095939 5261.83662563
0.01900000 1675866.08727206 6033.11818641
0.02000000 1673181.59900382 6324.62673033
0.02100000 1670364.88143724 6063.42479452
0.02200000 1667414.28492578 6327.83749878
0.02300000 1664332.49649320 10185.71534218
0.02400000 1661119.47388485 6852.11814221
0.02500000 1657776.67471565 9051.46105733
0.02600000 1654304.19195807 9379.90519742
0.02700000 1650703.11425158 7626.24873713
0.02800000 1646973.33565720 9313.63464026
0.02900000 1643117.29724676 10351.63944794
0.03000000 1639135.51178420 11432.97072021
0.03100000 1635028.14129542 8632.94898327
0.03200000 1630796.22434099 8879.68585052
0.03300000 1626442.57674720 9124.34327619
0.03400000 1621965.25067398 9366.84975483
0.03500000 1617367.53641655 8733.78509996
0.03600000 1612649.17848818 9845.22368965
0.03700000 1607812.07413057 12830.34094493
0.03800000 1602857.47727477 13127.40334641
0.03900000 1597786.65861910 9586.72039568
0.04000000 1592598.73386661 12732.82746729
0.04100000 1587297.53922090 11999.96995291
0.04200000 1581883.22659622 13264.09147037
0.04300000 1576356.26781693 12484.74222063
0.04400000 1570720.00432985 10602.36052162
0.04500000 1564974.23055451 15117.65176960
0.04600000 1559119.35435676 12090.97115511
0.04700000 1553158.39945695 13419.28919541
0.04800000 1547091.89036323 19330.91406952
0.04900000 1540922.22741492 11556.91724356
0.05000000 1534649.33407658 12914.07474761
0.05100000 1528276.16941999 20264.94295053
0.05200000 1521801.24856440 16937.64868584
0.05300000 1515229.81825149 12273.36210000
0.05400000 1508560.50160473 18668.43707794
0.05500000 1501797.22621957 16399.62647535
0.05600000 1494938.15827561 15338.06621965
0.05700000 1487988.82506794 15534.60405884
0.05800000 1480947.48977103 17038.30166538
0.05900000 1473816.21325924 15917.21584663
0.06000000 1466598.05942087 16103.24744477
0.06100000 1459294.45368828 14928.58295886
0.06200000 1451905.53066088 19208.71106853
0.06300000 1444434.78477653 19413.20441507
0.06400000 1436880.60902677 14009.58659319
0.06500000 1429248.74690611 15564.51958188
0.06600000 1421537.34901580 17143.74123126
0.06700000 1413749.40395140 15862.26905467
0.06800000 1405888.30995322 16006.03915805
0.06900000 1397953.87574264 16146.36802078
0.07000000 1389946.35163466 20724.10107335
0.07100000 1381870.54478923 16416.62284101
0.07200000 1373725.19909122 24067.66661557
0.07300000 1365515.33281902 18188.66508539
0.07400000 1357240.35239547 18322.74561602
0.07500000 1348902.28089307 18452.98406755
0.07600000 1340501.53482577 17031.07279839
0.07700000 1332043.61083727 21818.87536857
0.07800000 1323526.81220606 17252.17280617
0.07900000 1314952.85136849 18935.32194784
0.08000000 1306326.64569079 17459.05643868
0.08100000 1297647.51318056 20749.38470928
0.08200000 1288916.13922905 16047.00668641
0.08300000 1280136.64712526 19355.66701293
0.08400000 1271308.78692935 21071.94413244
0.08500000 1262436.89928599 24428.15514797
0.08600000 1253520.12912991 16358.43845320
0.08700000 1244561.84054696 18071.03877332
0.08800000 1235561.39214044 18144.21989570
0.08900000 1226524.17110959 23181.30792279
0.09000000 1217449.33642916 18280.00264520
0.09100000 1208339.30557398 30015.14976060
0.09200000 1199195.46718185 23420.28857450
0.09300000 1190020.98237797 20135.15596803
0.09400000 1180814.22407664 20191.92418068
0.09500000 1171579.62902751 18557.82219606
0.09600000 1162317.87931460 23676.41631461
0.09700000 1153032.81421707 16949.58316584
0.09800000 1143724.70025009 25476.46889592
0.09900000 1134395.24873538 37435.04496856
0.10000000 1125044.32606192 25566.63351208
0.10100000 1115675.36456472 17069.83388067
0.10200000 1106290.21954499 23929.05857429
0.10300000 1096889.63061109 17111.47904247
0.10400000 1087476.46351927 20553.30612745
0.10500000 1078053.44719386 22283.36580192
0.10600001 1068617.10217389 20581.56635630
0.10700001 1059174.34974365 17158.62527329
0.10800001 1049723.51449430 27460.76843152
0.10900001 1040268.34461730 18880.87134344
0.11000001 1030809.29999080 22311.86834851
0.11100001 1021348.22553521 17158.65099671
0.11200001 1011887.13704438 22296.93411445
0.11300001 1002425.64189573 17141.47928345
0.11400001 992968.22453200 25693.05401951
0.11500001 983514.59114365 17113.15469172
0.11600001 974066.46205085 20513.84065682
0.11700001 964626.24986939 22196.05105482
0.11800001 955192.83063379 18755.21211283
0.11900001 945770.04297241 17023.86157536
0.12000001 936358.11215064 28891.33091133
0.12100001 926960.94020664 20356.06320587
0.12200001 917576.15553395 16929.28086716
0.12300001 908208.20838835 16892.67347191
0.12400001 898856.13764033 21909.61938731
0.12500001 889522.64658878 26899.16610035
0.12600001 880210.34344794 23475.21096599
0.12700001 870918.76115509 28426.78970375
0.12800001 861648.38350130 23342.05580914
0.12900001 852402.19392134 16621.84356489
0.13000001 843181.02655622 16568.50795278
0.13100001 833984.69389882 18164.18748933
0.13200001 824817.38688118 19746.12917277
0.13300001 815679.24622023 19674.18434633
0.13400001 806569.42926415 19599.63805516
0.13500001 797491.56633707 19522.59446439
0.13600001 788444.74874884 17822.79438583
0.13700001 779432.39813285 19361.10168256
0.13800001 770452.73435321 17670.33429565
0.13900001 761510.93398479 17590.90340460
0.14000001 752604.26528388 19101.09715372
0.14100001 743735.80796772 25346.51753096
0.14200001 734904.84278292 15763.70962119
0.14300001 726116.37151698 17252.52580100
0.14400001 717364.24436028 18723.20766097
0.14500001 708657.54211616 18623.52108532
0.14600001 699991.30378794 16978.28987432
0.14700001 691371.10248461 23022.65879887
0.14800001 682793.26030596 18312.51610537
0.14900001 674260.38163644 19722.11709337
0.15000001 665774.62930660 24127.67370448
0.15100001 657335.63389626 16485.97847601
0.15200001 648945.77080500 16382.63675702
0.15300001 640604.27435052 20717.14321012
0.15400001 632310.24226237 16171.33520900
0.15500001 624068.69281931 16063.52891125
0.15600001 615876.38689903 18855.05647478
0.15700001 607738.84913226 15843.75254465
0.15800001 599649.38913644 14301.63860592
0.15900001 591616.18214371 14198.78904164
0.16000001 583634.39483432 15504.24843061
0.16100001 575710.18502040 16787.70978765
0.16200001 567838.76898087 19437.12197977
0.16300001 560024.36700106 16531.92009431
0.16400001 552265.62848810 21869.71992059
0.16500001 544564.00826714 18983.50222443
0.16600001 536919.15565025 14794.80803245
0.16700001 529332.09685343 14673.08641756
0.16800001 521802.29198169 17195.99534419
0.16900001 514333.68475335 18361.71341270
0.17000001 506923.24285784 14302.83997261
0.17100001 499572.66783160 15466.77052643
0.17200001 492282.01389902 17884.60640951
0.17300001 485052.01469728 13925.84399960
0.17400001 477884.07229268 17562.24048615
0.17500001 470776.50455820 14914.20036877
0.17600001 463728.97458929 13543.20534251
0.17700001 456745.67106161 13414.62099266
0.17800001 449823.81436215 15701.10098191
0.17900001 442964.16337713 13156.03627371
0.18000001 436168.02023114 16578.74723208
0.18100001 429436.01524354 15240.68490091
0.18200001 422764.33708326 17407.32240169
0.18300001 416159.07127017 13783.18909158
0.18400001 409615.64378134 15913.56851267
0.18500001 403137.42961146 13497.04178102
0.18600001 396722.76822483 20030.53351398
0.18700001 390372.07897997 13210.19177680
0.18800001 384084.80041498 18510.96783057
0.18900001 377864.29059897 11846.04606997
0.19000001 371704.29971407 12779.19442797
0.19100001 365613.57255355 16847.47421931
0.19200001 359584.26248562 10409.96489084
0.19300001 353621.82436490 15435.59336290
0.19400001 347723.02802488 11187.98895538
0.19500001 341889.37840695 11056.70302017
0.19600001 336119.53230550 10925.56591389
0.19700001 330414.82185632 11775.98480746
0.19800001 324775.02364204 11633.44189664
0.19900001 319200.82710856 14364.03789873
0.20000001 313688.88924765 13240.80864092
0.20100001 308243.58168967 10273.75906328
0.20200001 302861.08001108 9222.12032221
0.20300001 297543.93874853 10015.32945165
0.20400001 292290.86556396 13481.91681137
0.20500001 287101.36302583 10645.71904419
0.20600001 281976.06366423 8755.35719062
0.20700001 276914.41667342 11231.64927118
0.20800001 271915.89512511 10229.47645816
0.20900001 266983.30043330 10091.96923344
0.21000001 262111.41342193 9125.40928966
0.21100001 257303.00234782 9000.45944761
0.21200001 252557.22490809 9683.04446074
0.21300001 247873.80541710 10343.77438906
0.21400001 243253.73698788 10198.41340536
0.21500001 238696.38111634 10053.89204794
0.21600001 234199.17504872 9147.82020990
0.21700001 229764.49388726 8264.62923587
0.21800001 225391.03881737 9625.32476779
0.21900001 221077.44012222 8754.66704277
0.22000001 216824.48015964 8625.27822858
0.22100001 212634.45404221 7788.80041985
0.22200001 208503.05871816 11159.08423025
0.22300001 204431.56228610 9616.46114466
0.22400001 200417.77536861 9469.74033396
0.22500001 196465.91988636 9324.27299873
